right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.017,0,10.5551,-1.2801,-15.8106,-0.3998,-1.7351,-0.6778,88,0.049,0,-10.3454,0.048,-7.2646,-0.5478,0.0138,0.2431,52
0.069,1,9.21,-0.0825,-14.5186,-0.2146,-1.9398,-0.7875,88,0.101,1,-10.0921,-0.4992,-6.7433,-0.3231,0.013,0.2016,52
0.121,2,7.7974,0.6071,-14.0571,-0.3277,-2.0891,-0.7179,88,0.153,2,-9.9348,0.5555,-7.7629,0.0352,0.079,0.0898,52
0.173,3,6.3427,0.8666,-15.2421,-0.4128,-2.1981,-0.5911,88,0.205,3,-10.7145,0.7606,-7.6811,0.3035,0.0158,0.012,52
0.224,4,5.3463,0.8496,-15.5087,-0.3458,-1.9793,-0.537,88,0.257,4,-10.6691,0.9696,-7.4798,0.3904,-0.0282,-0.0096,52
0.276,5,4.1908,0.8971,-15.4961,-0.5675,-1.4081,-0.3134,88,0.309,5,-10.4615,1.0395,-7.3363,0.4548,0.0529,-0.1509,52
0.328,6,3.0553,0.9352,-16.0299,-0.4566,-0.698,-0.1837,88,0.36,6,-10.573,0.783,-7.9084,0.3752,0.0112,-0.185,52
0.38,7,2.1047,1.9443,-16.7112,0.0278,-0.015,0.0004,88,0.412,7,-10.371,0.4749,-7.489,0.2721,-0.0616,-0.1565,52
0.432,8,2.1365,1.4538,-17.875,0.146,0.0916,-0.0921,88,0.464,8,-10.518,0.3251,-7.5382,0.1813,-0.0643,-0.1526,52
0.483,9,2.0153,1.0235,-19.309,-0.1244,0.0739,-0.225,88,0.516,9,-10.4255,0.2218,-7.4095,0.1165,-0.0955,-0.0716,52
0.535,10,2.2623,1.1845,-19.1035,0.0088,0.0109,-0.4507,88,0.567,10,-10.359,0.3406,-7.3005,0.1213,-0.0834,-0.0561,52
0.587,11,2.2198,1.1464,-18.7757,0.1011,-0.0193,-0.5693,88,0.619,11,-10.3629,0.2513,-7.2622,0.0833,-0.0788,0.014,52
0.639,12,1.9377,1.1238,-18.812,0.2152,0.0588,-0.5294,88,0.671,12,-10.1829,0.4021,-7.0663,0.0848,-0.0562,0.0018,52
0.691,13,1.5683,1.2957,-18.7752,0.2628,0.1804,-0.4532,88,0.723,13,-10.3542,0.3977,-7.3969,0.0895,-0.0428,-0.0502,52
