right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.144,2,9.4866,-0.2351,-11.7552,0.1021,0.0911,0.0908,80,0.147,2,8.2958,3.5092,-11.1892,0.0803,0.0912,0.2152,52
0.195,3,9.4968,-0.279,-11.722,0.0801,0.0681,0.0902,80,0.199,3,8.357,3.2094,-11.025,0.1798,-0.026,0.3922,52
0.247,4,9.5011,-0.35,-11.7096,0.1115,0.0452,0.0836,80,0.25,4,7.9584,3.0277,-11.7931,0.3283,-0.3033,0.5355,52
0.299,5,9.4936,-0.4527,-11.684,0.1055,0.0242,0.0864,80,0.302,5,9.0717,0.9904,-13.2493,0.2027,-0.372,1.0711,52
0.351,6,9.4521,-0.5535,-11.6985,0.2202,-0.0029,0.0803,80,0.354,6,9.3497,-0.2013,-13.7433,-0.0691,-0.6405,1.4621,52
0.403,7,9.5757,-0.5587,-11.658,0.214,-0.0292,0.0919,80,0.406,7,9.0386,-0.7495,-13.3626,0.0465,-0.9723,1.7475,52
0.454,8,9.5926,-0.4444,-11.6291,0.215,-0.0508,0.1132,80,0.458,8,8.4159,-1.1159,-13.3036,0.2577,-1.3764,1.9557,52
0.506,9,9.5851,-0.5796,-11.7937,0.1354,-0.0697,0.1278,80,0.509,9,8.344,-2.1237,-13.7899,0.5587,-1.6713,2.1077,52
0.558,10,9.5716,-0.5991,-11.7999,0.0323,-0.0352,0.1485,80,0.561,10,7.7417,-2.7943,-14.3847,0.6109,-1.7017,2.2187,52
0.61,11,9.5699,-1.2425,-11.8043,-0.0905,-0.0393,0.147,80,0.613,11,6.6239,-3.2982,-14.5322,0.5751,-1.5694,2.0605,52
0.662,12,9.5676,-0.9921,-11.859,0.1176,-0.03,0.1059,80,0.665,12,5.5644,-4.3123,-14.5766,0.6299,-1.3921,1.8542,52
0.713,13,9.5827,-1.0073,-11.7667,0.1923,-0.0156,0.1063,80,0.717,13,5.0417,-4.7565,-14.5258,0.6472,-1.2693,1.64,52
0.765,14,9.5199,-0.9392,-11.7429,0.1687,0.0201,0.138,80,0.768,14,4.1439,-5.914,-14.5808,0.5133,-1.1127,1.6405,52
0.817,15,9.5094,-0.9413,-11.6292,-0.0146,0.0379,0.1664,80,0.82,15,2.8314,-6.692,-14.5349,0.3844,-0.7391,1.5443,52
0.869,16,9.5152,-1.1629,-11.664,-0.0985,0.0074,0.1457,80,0.872,16,1.8641,-7.121,-14.5837,0.3543,-0.6805,1.3108,52
0.92,17,9.4556,-1.3298,-11.6986,-0.176,0.0071,0.1234,80,0.924,17,1.0306,-7.3737,-14.5349,0.3039,-0.4623,1.1045,52
0.972,18,9.4083,-1.3032,-11.6337,-0.1977,-0.0177,0.0792,80,0.976,18,0.4793,-7.3575,-14.427,0.266,-0.2627,0.9262,52
1.024,19,9.3806,-1.3294,-11.7793,-0.2497,-0.0379,0.0344,80,1.027,19,-0.0995,-7.3178,-14.435,0.2052,-0.0614,0.7625,52
1.076,20,9.3793,-1.3012,-11.8742,-0.2689,-0.0268,0.0096,80,1.079,20,-0.3085,-7.382,-14.708,0.1503,0.1788,0.5611,52
1.128,21,9.2855,-1.6502,-11.9029,-0.2186,-0.0021,0.0026,80,1.131,21,-0.4671,-7.4234,-15.167,-0.0305,0.482,0.159,52
1.179,22,9.3109,-1.0808,-11.9512,0.1668,0.0168,-0.0097,80,1.183,22,-0.6361,-7.2566,-15.8229,-0.2554,0.4882,-0.3282,52
1.231,23,9.4477,-1.2489,-11.879,0.1462,-0.0212,-0.0127,80,1.235,23,0.2594,-7.2562,-15.3239,-0.4174,0.5165,-0.722,52
1.283,24,9.4695,-1.2117,-11.9609,0.115,-0.0362,-0.0072,80,1.286,24,0.2596,-6.8439,-15.2065,-0.1867,0.6307,-0.9195,52
1.335,25,9.4275,-1.2172,-11.9195,0.1032,-0.005,0.0134,80,1.338,25,0.6537,-7.4036,-15.7519,-0.363,0.5207,-0.6002,52
1.387,26,9.4116,-1.2857,-11.8109,0.069,-0.0226,0.0123,80,1.39,26,0.9273,-7.5749,-16.0072,-0.3021,0.383,-0.5071,52
1.438,27,9.4042,-1.2239,-11.8905,0.0691,-0.0337,0.0077,80,1.442,27,1.4911,-7.7995,-16.2075,-0.1806,0.2937,-0.4873,52
1.49,28,9.4043,-1.1999,-11.8229,-0.0341,-0.0407,0.0196,80,1.493,28,1.3159,-5.7269,-16.0663,-0.6025,0.8993,-0.7883,52
1.542,29,9.3923,-1.1745,-11.9519,-0.0803,-0.0549,0.0217,80,1.545,29,1.019,-5.9675,-15.7428,-1.1168,0.5006,0.1006,52
1.594,30,9.3799,-1.2759,-11.9716,-0.0941,-0.0399,0.0231,80,1.597,30,1.2956,-5.526,-15.1281,-0.7481,0.4034,-0.0501,52
1.646,31,9.3735,-1.2757,-12.0233,-0.0531,-0.0281,0.0202,80,1.649,31,1.4374,-5.8066,-15.6306,-0.5774,0.2402,0.031,52
1.697,32,9.3877,-1.1553,-11.9751,-0.0436,-0.0082,0.0207,80,1.701,32,1.9437,-5.7778,-15.9929,-0.4757,0.1955,0.0812,52
1.749,33,9.3598,-1.2004,-11.9885,-0.0285,-0.0025,0.0154,80,1.752,33,2.3405,-5.8297,-16.2925,-0.3142,0.0564,0.0809,52
1.801,34,9.3628,-1.2006,-11.9809,-0.0132,0.0146,0.0139,80,1.804,34,2.5028,-5.8959,-16.4388,-0.2156,-0.0712,0.088,52
1.853,35,9.3539,-1.2514,-11.9612,-0.0098,0.0201,0.0128,80,1.856,35,2.601,-5.7653,-16.5398,-0.1045,-0.161,0.0568,52
1.905,36,9.3525,-1.2856,-11.9461,0.0054,0.029,0.0073,80,1.908,36,2.4983,-5.6807,-16.4399,0.0406,-0.2045,0.0563,52
1.957,37,9.2856,-1.5021,-11.8941,0.0788,0.0339,-0.0022,80,1.96,37,2.5794,-5.6607,-16.4592,0.1158,-0.2437,0.0834,52
2.008,38,9.3965,-1.2112,-11.789,0.0815,0.0179,-0.0102,80,2.011,38,2.6125,-5.8878,-16.5831,0.0624,-0.2049,0.1167,52
2.06,39,9.3692,-1.2276,-11.8018,0.0718,-0.0137,-0.0154,80,2.063,39,2.4559,-6.2812,-16.796,0.0058,-0.1559,0.1615,52
2.112,40,9.4011,-1.2141,-11.8839,0.0793,-0.0158,-0.0185,80,2.115,40,2.5945,-6.3809,-16.8281,0.0027,-0.116,0.1457,52
2.164,41,9.4015,-1.2254,-11.8692,0.0557,-0.0095,-0.0083,80,2.166,41,2.4779,-6.5132,-16.7791,0.0248,-0.0858,0.1206,52
2.215,42,9.3912,-1.2099,-11.8759,0.0379,-0.0018,-0.0008,80,2.218,42,2.3558,-6.4937,-16.8303,-0.025,-0.0551,0.1008,52
2.267,43,9.4097,-1.1678,-11.8528,-0.0063,-0.0013,0.0064,80,2.27,43,2.2449,-6.4512,-16.7277,0.0103,-0.0051,0.0598,52
2.319,44,9.3889,-1.2398,-11.8874,-0.0451,-0.0081,0.0056,80,2.322,44,2.2534,-6.2202,-16.6186,0.088,0.0738,-0.017,52
2.371,45,9.3852,-1.2774,-11.8879,-0.0606,-0.0079,0.0009,80,2.374,45,2.3838,-6.2312,-16.7009,0.0822,0.1708,-0.1205,52
2.423,46,9.3825,-1.2872,-11.8825,-0.0449,-0.0038,-0.0093,80,2.425,46,2.5172,-6.3034,-16.8445,0.056,0.2206,-0.1539,52
2.475,47,9.3969,-1.2658,-11.8704,-0.0346,-0.0042,-0.0157,80,2.477,47,2.6224,-6.4306,-16.9738,0.0442,0.21,-0.1543,52
2.526,48,9.4002,-1.2527,-11.8765,-0.0189,-0.0076,-0.0211,80,2.529,48,2.5461,-6.5013,-16.9857,0.0168,0.1782,-0.1131,52
2.578,49,9.3851,-1.2691,-11.9077,-0.01,-0.013,-0.0229,80,2.581,49,2.6362,-6.4862,-16.9901,0.0401,0.1053,-0.0534,52
2.63,50,9.3834,-1.3607,-11.9102,0.0113,-0.0259,-0.0348,80,2.632,50,2.7204,-6.3926,-16.9258,0.062,0.0439,-0.0172,52
2.682,51,9.3854,-1.2379,-11.893,0.1523,-0.0104,-0.0425,80,2.684,51,2.7643,-6.3339,-16.8234,0.0349,0.0049,0.0189,52
2.733,52,9.3772,-1.2415,-11.921,0.1061,-0.0348,-0.0332,80,2.736,52,2.8066,-6.299,-16.724,0.0238,-0.0333,0.0325,52
