right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.019,0,-0.0432,0.24,-1.5197,0.0202,0.1179,0.0008,97,0.901,17,0.2112,0.9349,-1.3394,0.2281,0.1753,0.1685,64
0.07,1,-0.0881,0.0246,-1.6079,-0.126,0.0382,-0.0351,97,0.953,18,0.0567,1.5608,-1.3184,0.2117,0.1027,0.2159,64
0.122,2,-0.1104,0.0414,-1.8471,-0.1432,-0.022,-0.0923,97,1.004,19,0.0951,1.4399,-1.4614,0.1301,0.0976,0.2633,64
0.174,3,-0.1255,0.0684,-1.9762,-0.1308,-0.0442,-0.1242,97,1.056,20,0.0898,1.5435,-1.4699,0.0601,0.1118,0.273,64
0.225,4,-0.2643,-0.0077,-1.7571,-0.1177,-0.2531,-0.1941,97,1.108,21,0.1193,1.5536,-1.4323,-0.0407,0.1713,0.3083,64
0.277,5,-0.0735,0.4973,-2.4698,0.0396,-0.5066,-0.2754,97,1.16,22,0.1605,1.4038,-1.3928,-0.0093,0.21,0.3007,64
0.329,6,0.65,0.2534,-2.7502,-0.1065,-0.5672,-0.2669,97,1.212,23,0.1217,1.3372,-1.0956,0.0806,0.2169,0.2885,64
0.381,7,1.626,-0.0236,-3.3419,-0.6258,-0.6676,-0.1859,97,1.263,24,0.0796,1.294,-1.0751,0.3172,0.2238,0.2607,64
0.433,8,1.1351,0.6229,-4.7792,-0.9406,-1.0783,-0.2281,97,1.315,25,0.072,1.4546,-1.0319,0.3916,0.2129,0.2352,64
0.485,9,-0.4968,1.4062,-5.5985,-0.6711,-1.3927,-0.4122,97,1.367,26,0.0859,1.3296,-1.1579,0.3056,0.2201,0.2473,64
0.537,10,-1.2668,1.9694,-6.4449,-0.3844,-1.5976,-0.538,97,1.419,27,0.1137,1.4392,-1.112,0.1202,0.2674,0.2586,64
0.588,11,-1.6034,1.7589,-7.6104,-0.1529,-1.7717,-0.6883,97,1.47,28,0.0871,1.4494,-0.9471,0.0467,0.2914,0.2685,64
0.64,12,-2.86,2.8524,-9.0623,-0.0111,-1.8911,-0.7959,97,1.522,29,0.0506,1.381,-0.7646,0.0864,0.265,0.2975,64
0.692,13,-4.4194,2.9103,-9.3834,-0.3885,-1.9859,-0.8949,97,1.574,30,0.0334,1.5306,-0.7527,0.0517,0.1961,0.3353,64
0.744,14,-5.537,2.9679,-9.213,-0.2947,-2.0552,-0.9518,97,1.626,31,-0.0537,1.5246,-0.6969,-0.0981,0.0876,0.362,64
0.795,15,-6.2024,2.6312,-8.4491,-0.0839,-2.1057,-0.9854,97,1.678,32,-0.1699,1.7703,-1.1285,-0.2485,-0.0751,0.3427,64
0.847,16,-7.157,2.3526,-7.7988,0.0304,-2.0555,-0.8532,97,1.729,33,-0.2688,2.269,-1.5214,-0.8183,-0.2709,0.2493,64
0.899,17,-8.2534,2.2814,-7.0308,0.2135,-1.6928,-0.604,97,1.781,34,0.229,-0.2432,-0.3824,-1.0743,-0.2403,0.2132,64
0.951,18,-9.4332,2.2989,-6.6885,0.356,-1.1754,-0.2995,97,1.833,35,0.3595,2.163,-0.7238,-0.0718,-0.373,0.2038,64
1.003,19,-10.6608,2.7655,-7.1261,0.3806,-0.5752,0.0227,97,1.884,36,0.396,1.9366,-1.0963,0.4609,-0.2985,0.1726,64
1.055,20,-11.3232,2.8884,-8.1582,0.2582,-0.1856,0.3178,97,1.936,37,0.3904,2.1271,-1.5053,0.9941,-0.1962,0.2216,64
1.106,21,-11.706,3.6598,-9.0228,0.2087,-0.0234,0.4695,97,1.988,38,-0.0575,2.9531,-1.5433,1.0627,-0.17,0.3118,64
1.158,22,-11.7897,4.0111,-9.5548,0.0944,-0.0069,0.5414,97,2.04,39,-0.3642,2.6977,-2.2452,1.1353,-0.0928,0.3657,64
1.21,23,-11.801,3.9837,-9.598,0.0329,0.0035,0.4769,97,2.092,40,-0.4355,2.1699,-2.2478,1.312,0.0434,0.3361,64
1.261,24,-11.9786,3.709,-9.3513,0.0199,0.0742,0.3102,97,2.143,41,-0.3059,1.3946,-2.3017,0.7628,0.0855,0.4532,64
1.313,25,-12.1344,3.3732,-9.321,0.1231,0.1917,0.0937,97,2.195,42,-0.9616,2.4262,-2.0164,0.3672,0.1919,0.5721,64
1.365,26,-10.9271,4.2748,-8.6798,0.0893,0.3517,-0.1077,97,2.247,43,0.6116,0.4613,-2.2344,-0.3647,0.0992,0.5412,64
1.417,27,-11.727,4.6686,-10.0388,0.604,0.5217,-0.5946,97,2.299,44,0.6949,-0.298,-2.4444,-0.4503,0.1516,0.4725,64
1.469,28,-11.1705,4.4475,-9.6345,0.2939,0.4896,-0.7112,97,2.351,45,0.3422,0.6018,-2.3563,-0.2744,0.2517,0.4539,64
1.52,29,-10.9517,3.8521,-9.2753,0.2721,0.711,-0.7948,97,2.402,46,0.2732,0.7109,-2.0699,-0.2295,0.2543,0.3988,64
1.572,30,-11.6356,3.8528,-9.7816,0.0094,1.0449,-0.8153,97,2.454,47,0.2085,0.5673,-1.9273,0.0332,0.2368,0.3339,64
1.624,31,-11.8173,3.8969,-9.7967,0.0739,1.0843,-0.8153,97,2.506,48,0.1932,1.3084,-1.8558,0.2872,0.2255,0.264,64
1.676,32,-11.9683,3.2672,-9.8901,0.0617,0.9554,-0.9107,97,2.558,49,0.1874,1.2932,-1.6825,0.369,0.2179,0.276,64
1.728,33,-11.7258,2.6516,-10.0488,0.0622,0.7133,-1.0134,97,2.61,50,0.038,1.3483,-1.715,0.3907,0.1856,0.2964,64
1.779,34,-11.3998,2.4792,-9.9419,-0.0082,0.5311,-1.0717,97,2.661,51,-0.1031,1.8676,-1.7077,0.203,0.1641,0.3129,64
1.831,35,-10.7046,2.5978,-9.7442,-0.1493,0.4472,-1.0655,97,2.713,52,0.2197,0.7305,-1.5756,0.0381,0.1555,0.3233,64
1.883,36,-10.5359,2.1527,-9.7947,-0.0422,0.4153,-1.0592,97,2.765,53,0.149,1.3263,-1.4752,0.0835,0.1602,0.3085,64
1.935,37,-10.2275,1.9712,-9.8968,-0.1049,0.4683,-1.0301,97,2.817,54,0.0928,1.3127,-1.3763,0.1919,0.1359,0.2984,64
1.987,38,-9.9735,2.1531,-10.1235,-0.0172,0.4966,-0.7914,97,2.868,55,0.1345,1.311,-1.3612,0.2069,0.1348,0.2949,64
2.038,39,-9.9992,2.1439,-10.1483,-0.0299,0.5076,-0.5062,97,2.92,56,0.0435,1.5923,-1.1859,0.281,0.0829,0.3162,64
2.09,40,-10.0365,2.3682,-10.1492,0.0221,0.4777,-0.2395,97,2.972,57,0.0467,1.6867,-1.2647,0.1989,0.0804,0.3405,64
2.142,41,-10.0196,2.3528,-10.1115,0.0795,0.4392,-0.0479,97,3.024,58,0.1381,1.7672,-1.3587,0.3157,0.0984,0.3259,64
2.194,42,-10.0191,2.3841,-10.042,0.1845,0.4316,0.0646,97,3.076,59,0.1479,1.6599,-1.4142,0.4875,0.0974,0.3193,64
2.245,43,-10.0914,2.5221,-9.9555,0.24,0.4468,0.1608,97,3.127,60,0.0603,1.7911,-1.576,0.5437,0.1171,0.3183,64
2.297,44,-10.2,2.4765,-9.8306,0.2773,0.4285,0.2767,97,3.179,61,0.028,1.9766,-1.5208,0.5462,0.1622,0.34,64
2.349,45,-10.1868,2.521,-9.787,0.2746,0.385,0.3575,97,3.231,62,-0.0371,2.0816,-1.4528,0.4371,0.1947,0.3636,64
2.401,46,-9.9772,2.37,-10.1861,0.3562,0.3285,0.3739,97,3.283,63,-0.0626,1.1703,-1.3699,0.5303,0.1771,0.375,64
2.453,47,-9.7205,2.4166,-10.4571,0.3817,0.2618,0.3989,97,3.334,64,-0.0698,1.231,-1.5097,0.5732,0.164,0.3536,64
2.505,48,-9.8207,2.4077,-10.3314,0.2263,0.2055,0.4153,97,3.386,65,0.0275,1.3041,-1.5237,0.6561,0.1372,0.3353,64
2.556,49,-9.983,2.3311,-10.2587,0.2089,0.1544,0.3711,97,3.438,66,0.0071,1.5882,-1.6308,0.7382,0.1568,0.3615,64
2.608,50,-10.0392,2.3857,-10.1824,0.1922,0.1161,0.247,97,3.49,67,-0.1629,2.1328,-1.6403,0.713,0.1742,0.4321,64
2.66,51,-10.0677,2.2568,-10.2035,0.1348,0.0849,0.1595,97,3.542,68,0.0382,1.0307,-1.8007,0.4569,0.17,0.4611,64
2.712,52,-10.1715,2.0585,-10.2109,0.0239,0.0617,0.0646,97,3.593,69,-0.2699,2.2691,-1.6854,0.3578,0.1452,0.4279,64
2.764,53,-10.122,1.9962,-10.0611,0.0441,0.0285,-0.048,97,3.645,70,-0.2692,1.9614,-1.3115,0.6928,0.0696,0.4561,64
2.815,54,-10.1656,2.0923,-9.9905,0.0861,0.0492,-0.1072,97,3.697,71,-0.3159,2.6439,-0.1232,0.1717,0.0158,0.4154,64
