right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.101,1,9.6427,-0.0098,-9.4844,0.0013,0.0572,0.049,92,0.86,16,9.0464,0.0143,-9.7599,-0.0462,-0.0272,-0.0376,62
0.153,2,9.6425,-0.0297,-9.4729,-0.029,0.0334,0.0316,92,0.912,17,9.0256,0.0672,-9.7801,-0.0623,-0.0634,-0.0598,62
0.205,3,9.6495,-0.0412,-9.4553,-0.0288,0.017,0.0185,92,0.964,18,9.033,0.1332,-9.7779,-0.1037,-0.1295,-0.0956,62
0.256,4,9.6753,-0.0255,-9.482,-0.0143,0.0124,0.0084,92,1.015,19,9.0396,0.1387,-9.7932,-0.1213,-0.2419,-0.1427,62
0.308,5,9.6755,-0.0082,-9.4354,-0.0158,0.0044,-0.003,92,1.067,20,9.2911,0.4725,-9.6325,-0.1606,-0.4607,-0.241,62
0.36,6,9.6936,-0.0478,-9.429,-0.0388,-0.0193,-0.0197,92,1.119,21,10.3051,0.098,-9.8322,-0.344,-0.7715,-0.4842,62
0.412,7,9.7002,-0.0458,-9.5146,-0.0318,-0.023,-0.0286,92,1.171,22,10.9728,-0.399,-11.8136,-0.3841,-1.2015,-0.7415,62
0.464,8,9.6769,0.0418,-9.4603,-0.0296,-0.0265,-0.039,92,1.223,23,10.3199,0.8538,-12.8587,0.3788,-1.4599,-0.9792,62
0.515,9,9.6922,0.0656,-9.4773,-0.0602,-0.0477,-0.0603,92,1.274,24,9.4002,1.7104,-13.2951,0.548,-1.6409,-1.0077,62
0.567,10,9.6743,0.0263,-9.5013,-0.053,-0.0741,-0.0825,92,1.326,25,8.5002,1.9693,-13.7553,0.6686,-1.7076,-0.9116,62
0.619,11,9.6347,0.1285,-9.5453,-0.0665,-0.0848,-0.1147,92,1.378,26,7.6088,2.0897,-14.0759,0.6574,-1.6753,-0.7691,62
0.671,12,9.6504,0.4358,-9.6859,-0.0995,-0.0346,-0.133,92,1.43,27,6.691,2.1204,-14.3638,0.5599,-1.5209,-0.6177,62
