right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.117,2,9.732,-0.4028,-9.4067,0.3405,-0.1042,-0.2555,86,0.057,1,7.6412,4.4795,-15.095,0.004,0.4348,0.4028,51
0.168,3,9.7369,-0.2669,-9.4488,0.2612,-0.0851,-0.1703,86,0.109,2,7.7669,3.6457,-15.201,0.0658,0.1584,0.1981,51
0.22,4,9.7165,0.0858,-9.4505,0.2238,-0.0933,-0.0977,86,0.161,3,7.9439,3.8965,-15.3849,0.063,-0.1887,-0.1061,51
0.272,5,9.8038,0.4816,-9.52,0.2564,0.0454,0.2064,86,0.212,4,7.7149,5.6564,-16.9141,-0.2287,-0.6351,-0.5665,51
0.324,6,9.5121,0.0768,-9.4383,-0.1147,0.1356,0.3105,86,0.264,5,7.356,5.9123,-17.3487,-0.3073,-1.1277,-1.0849,51
0.375,7,9.5519,-0.3996,-9.4778,-0.3645,0.0851,0.2759,86,0.316,6,6.2971,5.1224,-17.1295,-0.124,-1.4898,-1.4632,51
0.427,8,9.5866,-0.7002,-9.583,-0.4025,0.0482,0.1898,86,0.368,7,4.9176,4.9281,-16.5401,0.0883,-1.6776,-1.7393,51
0.479,9,9.5781,-0.8822,-9.5351,-0.3565,0.1043,0.1063,86,0.42,8,3.6729,4.8646,-16.1424,-0.0443,-1.7118,-1.8144,51
0.531,10,9.5904,-0.8054,-9.3695,-0.3727,0.1161,0.044,86,0.471,9,2.6442,4.6277,-15.7785,-0.1114,-1.5754,-1.8053,51
0.582,11,9.6798,-0.6482,-9.3806,-0.2358,0.1058,0.0165,86,0.523,10,1.7351,4.5866,-15.7337,-0.109,-1.2988,-1.7016,51
0.634,12,9.6009,-0.6427,-9.2517,-0.1992,0.0706,0.0378,86,0.575,11,0.8731,4.5378,-15.8191,-0.0946,-1.0323,-1.4545,51
0.686,13,9.6437,-0.8234,-9.3458,-0.151,0.029,0.0348,86,0.627,12,0.152,4.6501,-15.9885,-0.026,-0.7878,-1.2165,51
