right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.016,0,9.5855,0.3314,-9.1677,-0.0778,-0.2042,-0.2086,91,0.384,7,8.4956,2.8321,-9.0089,0.0612,-0.1324,0.1247,62
0.067,1,9.505,0.2239,-9.0551,-0.0107,-0.1264,-0.1378,91,0.436,8,8.5417,2.7631,-9.1081,0.0531,-0.1313,0.1412,62
0.119,2,9.5882,0.2526,-8.6049,-0.0821,0.0514,-0.0476,91,0.487,9,8.5575,2.7178,-9.1642,0.0415,-0.1148,0.1512,62
12.762,246,9.7569,0.9185,-8.8969,-0.2684,-0.3431,-0.2499,91,0.539,10,8.5705,2.6371,-9.1803,0.0421,-0.1226,0.1697,62
0.171,3,9.6095,0.1518,-8.5852,-0.1683,0.134,0.0378,91,0.591,11,8.5927,2.5261,-9.2621,0.0496,-0.1426,0.1988,62
0.223,4,9.6041,0.2293,-8.5776,-0.2165,0.1486,0.1041,91,0.643,12,8.635,2.4176,-9.335,0.0659,-0.1627,0.2277,62
0.275,5,9.5798,0.3117,-8.6237,-0.2491,0.1155,0.1578,91,0.695,13,8.6771,2.3326,-9.3923,0.0929,-0.1793,0.2533,62
0.326,6,9.5736,0.2827,-8.719,-0.2319,0.0597,0.2006,91,0.746,14,8.6796,2.3227,-9.5021,0.0906,-0.1718,0.2492,62
0.378,7,9.6443,0.294,-8.7997,-0.1536,-0.0085,0.2313,91,0.798,15,8.8149,2.1578,-9.5855,0.1281,-0.2199,0.2866,62
0.43,8,9.6728,0.2301,-8.8973,-0.0676,-0.0715,0.2492,91,0.85,16,9.0317,1.9121,-9.6502,0.1494,-0.2486,0.3065,62
0.482,9,9.6181,0.13,-9.0027,-0.0407,-0.1107,0.2659,91,0.902,17,9.1717,1.6645,-9.2688,0.2638,-0.3818,0.2873,62
0.533,10,9.6506,-0.065,-9.0328,-0.0379,-0.0616,0.2478,91,0.954,18,9.7297,2.171,-8.685,0.5394,-0.7108,0.0935,62
0.585,11,9.7347,-0.1292,-9.2061,-0.0222,-0.0557,0.2309,91,1.005,19,9.2282,2.1498,-8.8843,1.0606,-0.5017,-0.2159,62
0.637,12,9.6877,-0.2825,-9.3459,0.0527,0.1383,0.2374,91,1.057,20,8.4533,2.0436,-10.0454,0.4549,0.3188,-0.2512,62
0.689,13,9.724,-0.321,-9.0953,0.034,0.2189,0.1613,91,1.109,21,7.8252,2.3105,-13.1947,-0.3451,0.4352,-0.024,62
0.741,14,9.5984,-0.4117,-8.8899,-0.0079,0.1393,0.0596,91,1.161,22,10.0222,-3.6105,-11.9654,-0.0858,0.4344,0.0208,62
