right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.112,2,-3.0741,3.3013,-16.7086,0.5495,0.3108,-0.6278,86,0.147,2,8.3636,2.3968,-12.1139,-0.1859,0.1445,-0.1836,52
0.164,3,-1.5478,3.8275,-16.9111,0.6612,0.6432,-0.8331,86,0.199,3,8.2554,2.8387,-11.8365,-0.1055,0.058,-0.114,52
0.216,4,-1.3,3.4244,-17.3439,0.5827,1.1088,-1.1919,86,0.251,4,8.3807,2.122,-11.9735,0.0178,0.0124,-0.0539,52
0.268,5,-1.0352,3.8326,-18.293,0.5069,1.4876,-1.4755,86,0.303,5,8.3371,2.6112,-12.1917,0.323,0.0184,-0.0613,52
0.319,6,-1.1828,3.2703,-18.0019,-0.3053,1.7641,-1.0362,86,0.354,6,8.5137,2.3679,-12.1776,0.35,-0.0094,0.0084,52
0.371,7,0.1491,2.6529,-17.3841,-0.898,1.9659,-0.2225,86,0.406,7,8.0349,3.2287,-12.4502,0.3106,-0.0288,0.1072,52
0.423,8,1.2592,1.7661,-19.5028,0.0211,2.1131,0.092,86,0.458,8,8.2476,2.5775,-12.7344,0.0164,-0.0074,0.2011,52
0.475,9,3.9148,2.2895,-22.2389,-0.0047,2.1336,0.3048,86,0.51,9,8.2553,2.2953,-12.3869,0.1488,0.0774,0.1659,52
0.527,10,2.9269,3.0081,-23.0242,0.1819,1.3511,0.286,86,0.561,10,8.2235,2.0039,-12.0285,0.2863,0.1207,0.1071,52
0.578,11,2.7191,3.1931,-22.9636,-0.2813,0.5661,0.3668,86,0.613,11,8.3626,1.8133,-12.0576,0.3079,0.0553,0.0595,52
0.63,12,3.7697,2.8572,-22.3509,-0.0088,-0.1747,0.1463,86,0.665,12,8.3638,1.5918,-12.2576,0.093,0.0212,0.0185,52
0.682,13,4.3448,2.8962,-21.1589,0.1814,-0.8009,-0.0402,86,0.717,13,8.1403,2.4399,-12.2076,-0.0778,-0.0488,0.0192,52
0.734,14,4.4475,2.0484,-20.2464,0.0928,-1.2578,-0.1966,86,0.769,14,8.2544,2.3679,-12.3283,-0.2756,-0.1408,0.171,52
0.786,15,4.6281,1.335,-19.222,-0.039,-1.4834,-0.2611,86,0.82,15,8.4553,1.9119,-12.7546,-0.5157,-0.0388,0.1864,52
0.837,16,3.6737,1.1575,-18.2253,-0.0886,-1.3016,-0.198,86,0.872,16,8.5235,1.6513,-12.4172,-0.3609,0.1358,0.1287,52
0.889,17,2.5859,1.6293,-16.578,-0.4949,-0.8587,0.3855,86,0.924,17,8.2731,1.7701,-12.0632,-0.1355,0.1285,0.1586,52
0.941,18,3.4952,3.1576,-14.5989,-1.0339,0.0245,0.946,86,0.976,18,8.4195,1.4013,-12.092,0.0325,0.0707,0.2274,52
0.993,19,5.3732,3.2297,-13.0492,-1.3727,0.6962,1.3682,86,1.027,19,8.4778,1.2439,-12.1613,0.3449,0.1665,0.256,52
1.044,20,6.8522,3.1515,-12.6907,-1.1496,1.1865,1.6763,86,1.079,20,8.4419,1.2834,-12.0086,0.4293,0.276,0.2789,52
1.096,21,8.8917,2.5085,-15.4409,-0.5899,1.5443,1.8755,86,1.131,21,8.3306,1.0494,-11.7936,0.4319,0.2836,0.2963,52
1.148,22,9.4465,7.1827,-19.2744,0.246,0.9743,1.4088,86,1.183,22,8.3519,0.9832,-11.5179,0.3855,0.187,0.2943,52
1.2,23,4.7794,5.2666,-22.0722,-0.4957,0.9481,1.1338,86,1.235,23,8.3451,0.5751,-11.5815,0.2935,0.0994,0.2687,52
1.252,24,6.5188,4.2787,-18.4774,0.2464,1.0524,1.106,86,1.286,24,8.4013,0.3989,-11.6729,0.1274,0.0547,0.2114,52
1.304,25,6.9144,2.3321,-16.4148,-0.1126,0.9411,1.0528,86,1.338,25,8.6039,0.3588,-11.6609,0.1182,0.0682,0.1005,52
1.355,26,7.4679,1.4694,-14.7998,0.0134,0.6173,0.84,86,1.39,26,8.7474,0.4633,-11.4614,0.015,0.0203,0.0174,52
1.407,27,7.984,0.7714,-14.0607,0.1709,0.2741,0.5626,86,1.442,27,8.704,0.3208,-11.5486,0.0035,-0.0307,-0.0668,52
1.459,28,8.4655,0.6377,-13.689,0.216,0.0955,0.3574,86,1.493,28,8.7051,0.6457,-11.5257,-0.0373,-0.0884,-0.1345,52
1.511,29,8.6699,0.3,-13.3768,0.1256,0.0398,0.2009,86,1.545,29,8.7015,0.6037,-11.7084,-0.0228,-0.1136,-0.1831,52
1.563,30,9.0319,0.3482,-13.2218,0.1324,0.0643,0.0826,86,1.597,30,8.7447,0.8648,-11.7894,0.0545,-0.1346,-0.2715,52
1.614,31,9.1814,0.143,-12.9516,0.0058,0.1575,0.0287,86,1.649,31,8.8322,0.8249,-11.9184,0.1824,-0.1526,-0.3275,52
1.666,32,9.3584,0.0422,-12.6049,-0.1161,0.2065,-0.0279,86,1.701,32,8.8597,0.9588,-12.1628,0.1891,-0.1131,-0.329,52
1.718,33,9.4116,0.1482,-12.1545,-0.4127,0.1335,-0.1176,86,1.752,33,8.8872,0.7923,-12.0378,0.2862,-0.0424,-0.3447,52
1.77,34,9.5493,-0.0229,-12.0149,-0.5582,-0.115,-0.253,86,1.804,34,8.9461,0.7589,-12.1045,0.5202,-0.0457,-0.3524,52
1.821,35,9.5519,0.331,-14.2704,-0.7804,-0.5003,-0.3223,86,1.856,35,8.6057,1.6561,-12.2726,0.7953,-0.0112,-0.3602,52
1.873,36,9.4508,0.5775,-15.5279,-0.8511,-1.0333,-0.4449,86,1.908,36,8.5447,2.0043,-12.313,0.8462,0.017,-0.325,52
1.925,37,8.991,1.2797,-15.8201,-0.8308,-1.4275,-0.5556,86,1.96,37,8.5728,2.0928,-12.3332,0.7787,0.0459,-0.2717,52
1.977,38,8.6525,1.7702,-15.6561,-0.778,-1.7153,-0.6521,86,2.011,38,8.2884,2.9403,-12.3894,0.352,0.0239,-0.1567,52
2.029,39,8.4006,2.4632,-15.5803,-0.7007,-1.8577,-0.7354,86,2.063,39,8.1987,2.4168,-12.4644,-0.4141,-0.0699,0.0481,52
2.08,40,8.0648,2.7655,-16.0547,-0.6658,-1.8837,-0.765,86,2.115,40,8.329,1.7712,-12.3725,-0.4101,-0.2044,0.1296,52
2.132,41,7.5932,2.8267,-16.1703,-0.5746,-1.8882,-0.6886,86,2.166,41,8.7245,1.3542,-12.5419,-0.5198,-0.2988,0.174,52
