right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.188,3,9.383,-2.2421,-10.7761,-0.0188,0.0073,0.0005,86,0.017,0,8.3281,-0.5209,-13.499,-0.0556,-0.0446,0.0308,52
0.24,4,9.3608,-2.3056,-10.7675,-0.0516,0.0215,0.0056,86,0.069,1,8.2867,-0.6331,-13.5058,-0.0565,-0.0287,0.0385,52
0.292,5,9.3337,-2.3457,-10.7451,-0.0664,0.0183,-0.0083,86,0.121,2,8.2219,-0.6115,-13.4078,-0.0439,-0.0221,0.0161,52
0.343,6,9.3077,-2.3854,-10.6008,-0.0938,-0.0308,-0.0308,86,0.173,3,8.1549,-0.6353,-13.4358,-0.0794,-0.0115,0.0091,52
0.395,7,9.3247,-2.3568,-10.4529,-0.1942,-0.2325,-0.147,86,0.224,4,8.2139,-0.6462,-13.3627,-0.122,-0.0469,0.0005,52
0.447,8,9.8731,-1.9899,-10.6531,-0.3541,-0.5283,-0.2306,86,0.276,5,8.3164,-0.7034,-13.5597,-0.1275,-0.0837,-0.0279,52
0.499,9,9.9665,-1.3587,-10.9487,-0.6158,-0.5525,-0.1354,86,0.328,6,8.3596,-0.4666,-13.718,-0.1121,-0.0248,-0.0528,52
0.551,10,10.0786,-0.9568,-10.9994,-1.1247,-0.2754,0.14,86,0.38,7,8.38,-0.4015,-13.6026,-0.1616,0.0585,0.0484,52
0.603,11,10.3191,-0.5472,-11.1445,-1.496,-0.176,0.2585,86,0.432,8,8.3957,-0.5076,-13.478,-0.1598,0.1155,0.0746,52
0.654,12,10.4489,-0.4794,-11.3179,-1.6191,-0.2367,0.2337,86,0.483,9,8.4315,-0.4974,-13.4311,-0.167,0.1628,0.0664,52
0.706,13,10.0315,-0.5207,-11.2218,-1.6623,-0.1682,0.22,86,0.535,10,8.4398,-0.4642,-13.3305,-0.1503,0.227,0.0736,52
0.758,14,9.5534,-0.6655,-10.9759,-1.5911,0.0395,0.2761,86,0.587,11,8.4548,-0.5158,-13.1742,-0.1343,0.2866,0.0849,52
0.81,15,9.1792,-0.8567,-10.8776,-1.3083,0.3588,0.3817,86,0.639,12,8.5373,-0.5377,-12.9851,-0.1226,0.3296,0.0965,52
0.861,16,9.1504,-1.1624,-10.8709,-0.957,0.6876,0.4643,86,0.691,13,8.5722,-0.5402,-12.9376,-0.0888,0.4008,0.1109,52
0.913,17,9.1782,-1.4965,-11.0422,-0.5546,0.9652,0.5096,86,0.742,14,8.6908,-0.4489,-12.8005,-0.0696,0.5246,0.173,52
0.965,18,8.9559,-1.7953,-11.2307,-0.2028,1.0916,0.511,86,0.794,15,8.6741,-0.642,-12.6799,-0.0886,0.6791,0.309,52
1.017,19,7.391,-1.3106,-11.257,0.1321,1.0691,0.4308,86,0.846,16,8.5103,-0.5831,-12.7069,0.171,1.034,0.4111,52
1.069,20,6.7323,-1.1323,-10.8771,0.4922,1.0123,0.2226,86,0.898,17,9.5564,-1.3995,-12.6843,0.2953,1.3645,0.7911,52
1.12,21,0.256,-2.2592,-15.9435,-0.2028,0.2373,0.1328,86,0.95,18,8.9645,-1.6626,-10.9498,0.8315,1.1135,0.6527,52
1.172,22,3.1401,-3.5126,-15.731,-0.4763,0.0509,0.0615,86,1.002,19,8.5954,-0.8317,-10.9645,-0.0702,0.4854,0.775,52
1.224,23,4.9065,-3.2134,-14.6761,-0.0215,0.2766,-0.0726,86,1.054,20,7.613,-1.8476,-10.7399,-0.1319,0.0964,0.1382,52
1.276,24,5.9504,-2.2741,-13.0414,0.3086,0.3939,-0.0598,86,1.105,21,8.0775,-5.1743,-10.6087,-0.1643,-0.0894,-0.1046,52
1.328,25,6.8074,-2.2111,-12.1879,0.3126,0.3073,-0.0268,86,1.157,22,8.0922,-3.0021,-9.4436,-0.2269,-0.0101,-0.0021,52
1.379,26,7.5983,-1.9946,-11.6218,0.1938,0.2584,-0.032,86,1.209,23,7.6573,-2.9557,-9.5191,-0.547,-0.0047,0.036,52
1.431,27,8.2635,-1.9384,-11.3171,0.1014,0.2755,-0.0471,86,1.26,24,7.2272,-3.0705,-10.9586,-0.4229,-0.2026,-0.157,52
1.483,28,8.7159,-1.7276,-10.9829,0.0806,0.4011,-0.0786,86,1.312,25,7.7167,-2.3336,-11.0817,-0.4011,-0.4187,-0.274,52
1.535,29,9.0675,-1.5969,-10.8164,0.1082,0.5598,-0.0511,86,1.364,26,8.6102,-2.0914,-11.2939,-0.6973,-0.5893,-0.1095,52
1.587,30,9.5412,-1.6236,-10.7852,0.0257,0.7844,0.0375,86,1.416,27,8.3389,-1.8583,-11.846,-0.6819,-0.6818,-0.0292,52
1.638,31,9.6334,-1.5521,-10.1364,0.0059,0.9545,0.1429,86,1.468,28,8.5301,-1.546,-12.1663,-0.5561,-0.7113,-0.0826,52
1.69,32,9.1605,-1.6799,-8.5731,-0.0375,0.8888,0.1355,86,1.519,29,8.5333,-1.4612,-12.6026,-0.4465,-0.6712,-0.1194,52
