right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.904,17,4.4713,1.5013,-15.956,0.0556,-0.3707,-0.0103,77,0.091,1,8.496,-0.0616,-12.841,-0.0258,0.1,-0.0564,51
0.955,18,4.682,1.4393,-16.2712,-0.0429,-0.1059,0.0103,77,0.143,2,8.5767,0.0248,-12.6073,0.0717,0.0521,-0.0985,51
1.007,19,4.7991,1.2818,-16.6137,0.0083,0.1497,-0.019,77,0.195,3,8.6305,-0.049,-12.7233,0.1617,-0.0237,-0.1284,51
1.059,20,4.4821,0.7232,-17.1234,0.0394,0.3533,-0.0043,77,0.247,4,8.6207,-0.0016,-12.8554,0.1653,-0.0283,-0.1303,51
1.11,21,4.811,0.9676,-17.1334,-0.0143,0.4456,0.0281,77,0.299,5,8.5866,0.2381,-12.9543,0.1676,0.0287,-0.0969,51
1.162,22,5.0802,0.7677,-17.3713,0.0012,0.5503,-0.0204,77,0.351,6,8.5571,0.1141,-12.8185,0.1392,0.0933,-0.0655,51
1.214,23,5.489,1.0014,-17.5356,0.1103,0.549,-0.1244,77,0.403,7,8.5061,0.2519,-12.7287,0.1349,0.0562,-0.05,51
1.266,24,5.7931,1.3526,-17.3633,0.0766,0.5162,-0.1656,77,0.454,8,8.5179,0.2659,-12.7823,0.0579,0.0383,0.0119,51
1.318,25,6.2128,1.2977,-17.5211,0.0519,0.4569,-0.1641,77,0.506,9,8.5277,-0.0558,-12.6972,0.0534,0.0235,-0.0098,51
1.369,26,6.5041,1.395,-17.4085,0.0781,0.3933,-0.1927,77,0.558,10,8.5192,-0.1084,-12.7383,0.1449,0.009,-0.0794,51
1.421,27,6.4859,1.3366,-17.2403,0.0459,0.3296,-0.1872,77,0.61,11,8.5422,0.177,-12.707,0.1358,0.0176,-0.0547,51
1.473,28,6.4378,1.3523,-17.0707,0.0759,0.2757,-0.1545,77,0.661,12,8.4898,0.3216,-12.789,-0.0057,0.0733,0.0076,51
1.525,29,6.4152,1.3955,-16.9808,0.0623,0.2355,-0.137,77,0.713,13,8.615,0.2303,-12.6259,0.0683,0.0562,-0.0346,51
1.577,30,6.4259,1.4435,-16.8579,0.0321,0.1827,-0.1025,77,0.765,14,8.611,0.2776,-12.5885,0.138,0.0144,-0.0494,51
1.628,31,6.461,1.3642,-16.9184,0.0765,0.1392,-0.0897,77,0.817,15,8.5299,0.5338,-12.6055,0.0186,-0.0118,0.0178,51
1.68,32,6.5833,1.3427,-16.8511,0.0707,0.0992,-0.1048,77,0.869,16,8.5967,0.2498,-12.6314,0.0238,-0.0279,-0.0052,51
1.732,33,6.5759,1.2743,-16.7798,0.0727,0.0601,-0.0795,77,0.92,17,8.5891,0.0523,-12.6512,0.1317,-0.0396,-0.0588,51
1.784,34,6.7494,1.438,-16.6338,-0.0099,0.0208,0.0138,77,0.972,18,8.5696,0.3448,-12.7091,0.1335,-0.0404,-0.0246,51
1.835,35,7.0169,1.4273,-16.7085,-0.0063,0.0131,0.066,77,1.024,19,8.5714,0.1482,-12.7624,0.0932,0.0018,0.0076,51
1.887,36,7.0926,1.5844,-16.6493,-0.0179,0.0359,0.0643,77,1.075,20,8.5546,0.1197,-12.7241,0.0765,0.0028,0.009,51
1.939,37,6.9796,1.3271,-16.6429,0.0051,0.0732,0.0263,77,1.127,21,8.5589,0.1739,-12.8016,0.0439,-0.008,0.0272,51
1.991,38,6.9214,1.3004,-16.4486,0.0176,0.0932,-0.037,77,1.179,22,8.5729,0.0483,-12.7933,0.0444,-0.0147,0.0095,51
2.043,39,6.864,1.2357,-16.3757,-0.0199,0.1183,-0.0421,77,1.231,23,8.5305,0.075,-12.8335,0.0703,-0.0277,-0.0074,51
2.094,40,7.1173,1.3071,-16.4828,-0.0255,0.1191,0.0349,77,1.283,24,8.5117,0.2733,-12.8388,-0.0154,-0.0056,0.0385,51
2.146,41,7.2846,1.4919,-16.5805,0.0179,0.0991,0.0601,77,1.334,25,8.506,0.1618,-12.8605,-0.2605,0.0028,0.1292,51
2.198,42,7.2621,1.5102,-16.4547,0.0525,0.0904,0.0174,77,1.386,26,8.6347,0.1424,-12.821,-0.1748,-0.0354,0.0217,51
2.25,43,7.1833,1.6167,-16.3541,0.0946,0.0961,-0.0495,77,1.438,27,8.5912,0.0693,-12.8442,0.0185,-0.1186,-0.058,51
2.302,44,7.126,1.509,-16.2395,0.0372,0.1054,-0.102,77,1.49,28,8.5492,0.241,-12.9936,0.1373,-0.1622,-0.071,51
2.354,45,7.0904,1.3921,-16.1458,0.0272,0.1126,-0.1174,77,1.541,29,8.4615,0.3169,-13.102,0.1636,-0.1385,-0.046,51
2.405,46,7.2345,1.5659,-16.104,-0.0318,0.0988,-0.0621,77,1.593,30,8.3756,0.5724,-13.2529,-0.0323,-0.0425,0.0206,51
2.457,47,7.402,1.7918,-16.1573,-0.034,0.0939,-0.0051,77,1.645,31,8.5733,-0.7271,-13.0219,-0.1466,0.0106,0.0425,51
2.509,48,7.4608,1.8283,-16.231,-0.0279,0.0908,-0.034,77,1.697,32,8.5093,-0.6946,-13.1277,-0.1043,-0.0193,-0.0017,51
2.561,49,7.2454,1.8626,-16.1582,-0.0209,0.0775,-0.0746,77,1.749,33,8.5916,-0.3217,-13.1533,0.0115,-0.0104,-0.0462,51
2.613,50,6.9496,1.4181,-15.9422,-0.077,0.0722,-0.0753,77,1.8,34,8.5781,-0.1351,-13.1444,0.1113,-0.0162,-0.0534,51
2.664,51,6.9206,1.207,-15.8555,-0.1055,0.057,-0.0224,77,1.852,35,8.5144,-0.0494,-13.1694,0.1337,-0.0091,-0.0342,51
2.716,52,7.3895,1.1352,-16.0199,-0.1359,0.029,0.0518,77,1.904,36,8.4039,0.3012,-13.1995,0.0673,0.0255,0.0041,51
2.768,53,7.7737,1.4328,-16.1588,-0.1058,-0.0176,0.1198,77,1.956,37,8.5854,-0.5162,-13.1703,-0.1979,0.096,0.0955,51
2.82,54,7.8517,1.497,-16.1296,-0.0424,-0.0266,0.1237,77,2.008,38,8.5652,-0.3332,-13.0852,-0.1972,0.0379,0.0619,51
2.872,55,7.6648,1.5616,-16.0021,-0.0066,0.0087,0.0713,77,2.059,39,8.6435,-0.1115,-13.1182,0.0089,-0.0484,-0.011,51
2.923,56,7.5409,1.6408,-15.8643,0.0145,0.0423,0.0491,77,2.111,40,8.5781,-0.1364,-13.1978,0.1416,-0.0687,-0.0192,51
2.975,57,7.4503,1.596,-15.8877,0.0331,0.0842,0.0216,77,2.163,41,8.4275,0.2892,-13.2981,0.1427,-0.0652,0.0269,51
3.027,58,7.4272,1.4903,-15.9594,0.011,0.1065,-0.0101,77,2.215,42,8.3433,0.5407,-13.2619,-0.3482,-0.0093,0.1924,51
3.079,59,7.4774,1.4616,-16.027,0.0175,0.0911,-0.0032,77,2.267,43,8.3568,-0.1245,-13.2199,-0.4871,-0.0043,0.2422,51
3.13,60,7.4691,1.4736,-16.0287,-0.0012,0.0569,0.0359,77,2.318,44,8.4059,-0.5635,-13.2035,-0.4087,-0.0223,0.1628,51
3.182,61,7.5517,1.518,-15.9085,0.0009,0.0217,0.0547,77,2.37,45,8.4164,-0.4604,-13.2263,-0.1082,-0.0507,-0.0064,51
