right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.036,0,8.8257,-1.8813,-12.8186,0.1484,0.1172,0.1523,89,0.134,2,3.1507,1.1769,-18.867,-0.1559,-0.9428,-0.6594,52
0.088,1,8.9396,-1.8585,-12.7465,0.1385,-0.0261,0.0283,89,0.186,3,2.8426,0.8592,-18.7907,-0.1878,-0.5529,-0.7348,52
0.14,2,9.1255,-1.0913,-12.6891,0.0621,-0.1092,0.0295,89,0.238,4,2.2055,0.5173,-18.6102,-0.2207,-0.1245,-0.7771,52
0.191,3,8.9602,-1.8941,-12.7464,-0.2238,-0.1924,0.0715,89,0.29,5,1.48,0.3303,-18.9781,-0.3602,0.2316,-0.7138,52
0.243,4,8.8249,-1.7838,-13.2255,-0.1671,-0.171,0.0043,89,0.342,6,0.7462,0.4034,-19.3304,-0.4817,0.491,-0.5537,52
0.295,5,8.8692,-1.7412,-13.2943,0.0188,-0.1421,-0.0748,89,0.393,7,0.3179,0.1245,-19.9264,-0.5375,0.5251,-0.3385,52
0.347,6,8.9946,-1.6198,-13.4173,0.2282,-0.0856,-0.0848,89,0.445,8,0.1481,0.9439,-20.2563,-0.2846,0.3409,-0.1345,52
0.399,7,9.1422,-1.3208,-13.2748,0.2127,-0.0168,0.0029,89,0.497,9,0.2903,1.6212,-20.1849,0.1662,0.0754,-0.0119,52
0.45,8,8.8543,-1.788,-13.3384,-0.089,0.0287,0.1182,89,0.549,10,0.6533,1.6006,-19.7748,0.3149,-0.1072,0.1595,52
0.502,9,9.098,-1.4035,-13.1902,-0.2876,0.017,0.1456,89,0.601,11,0.5826,1.3748,-18.9724,0.0879,-0.078,0.2991,52
0.554,10,8.8455,-1.5446,-13.4365,-0.3863,0.006,0.1192,89,0.653,12,0.8231,1.0782,-18.9114,-0.214,0.0651,0.3086,52
0.606,11,8.6524,-2.048,-13.5472,-0.3638,0.0267,0.0759,89,0.705,13,0.9914,0.9468,-19.4181,-0.3339,0.1589,0.3883,52
0.658,12,9.6205,-0.2578,-13.0349,0.1036,-0.0878,0.0047,89,0.756,14,0.7154,1.8775,-19.2905,-0.1403,0.0812,0.5271,52
0.71,13,9.564,-0.8124,-13.1098,0.1148,-0.0703,0.046,89,0.808,15,0.6554,2.0314,-19.5163,0.0495,-0.0576,0.5836,52
0.761,14,9.5841,-0.8243,-12.8228,-0.0778,-0.0461,0.1004,89,0.86,16,0.9903,2.3258,-19.4501,-0.0331,-0.1502,0.5183,52
0.813,15,9.0551,-1.313,-13.2981,-0.2036,-0.0618,0.1011,89,0.912,17,1.2761,2.2978,-19.254,-0.122,-0.1514,0.342,52
0.865,16,9.1893,-1.4188,-13.3408,-0.2095,0.0336,0.127,89,0.963,18,1.3445,2.1644,-19.0555,-0.0638,-0.0632,0.0889,52
0.917,17,8.8901,-1.831,-13.4436,-0.1775,0.1351,0.1269,89,1.015,19,1.4932,1.9026,-18.9053,-0.0054,0.0803,-0.0999,52
0.968,18,8.9455,-0.7839,-12.9963,0.2605,0.0649,0.0281,89,1.067,20,1.5746,1.7617,-18.831,0.0054,0.2303,-0.2051,52
1.02,19,8.7597,-1.3363,-13.0345,0.4214,0.0388,0.0015,89,1.119,21,1.6398,1.858,-18.9158,0.0134,0.374,-0.2828,52
1.072,20,8.7853,-1.5994,-12.9472,0.3671,0.0359,-0.0143,89,1.171,22,1.5052,1.9227,-19.2232,0.0554,0.4744,-0.3622,52
1.124,21,8.8824,-1.5782,-12.9671,0.3259,-0.0021,-0.0319,89,1.222,23,1.3886,1.9509,-19.3651,0.0576,0.4714,-0.4059,52
1.176,22,8.9411,-1.4781,-12.9779,0.2184,-0.0051,0.0015,89,1.274,24,1.3415,1.9432,-19.4404,0.1123,0.393,-0.4378,52
1.227,23,8.9368,-1.6705,-12.9132,0.222,-0.0077,-0.0331,89,1.326,25,1.4732,1.8166,-19.4601,0.133,0.3061,-0.428,52
1.279,24,8.91,-1.8486,-12.9169,0.2452,-0.02,-0.1052,89,1.378,26,1.4881,1.691,-19.3114,0.132,0.2399,-0.3561,52
