right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.254,4,9.3088,-1.8587,-11.7505,-0.1954,-0.1236,-0.3409,87,0.051,0,8.9478,1.9467,-9.5276,-0.011,-0.3023,0.5165,52
0.305,5,8.9822,-0.8337,-12.4643,-0.1589,-0.0571,-0.8562,87,0.103,1,9.8401,1.6027,-9.4329,0.0377,-0.6624,0.7898,52
0.357,6,8.4586,0.0176,-13.0613,-0.0469,-0.34,-1.2989,87,0.154,2,10.6186,1.409,-9.7319,0.0023,-1.0187,1.1187,52
0.409,7,8.8064,0.9593,-13.6527,-0.0001,-0.5523,-0.9505,87,0.206,3,10.276,-0.6153,-12.5326,-0.1158,-1.203,1.4953,52
0.461,8,8.924,1.6164,-13.746,-0.0006,-0.7331,-0.741,87,0.258,4,10.6706,-2.4461,-14.0127,0.2984,-1.3598,1.7357,52
0.512,9,9.4236,2.0741,-14.5589,-0.244,-0.366,-0.1921,87,0.31,5,9.2344,-3.5121,-14.9865,0.252,-1.2864,1.7631,52
0.564,10,10.2891,2.3718,-15.1636,-0.4284,0.4111,0.3423,87,0.362,6,8.1782,-4.1701,-15.6354,0.1751,-1.1626,1.4951,52
0.616,11,12.7752,1.0301,-13.9514,-0.527,0.0448,0.8228,87,0.413,7,6.7943,-3.7723,-15.0844,-0.0489,-1.1024,1.3543,52
0.668,12,9.1185,2.5804,-17.0542,-0.6207,0.1392,0.1372,87,0.465,8,5.0657,-3.561,-14.2481,-0.4438,-1.1609,1.3835,52
0.719,13,7.0343,3.7923,-10.4141,-0.7522,-0.5718,0.0757,87,0.517,9,4.6894,-5.501,-12.8828,-0.0291,-1.3093,1.4889,52
0.771,14,7.189,-0.4758,-11.2563,-0.7492,-0.9543,0.0505,87,0.569,10,4.7577,-5.238,-13.302,-0.5836,-1.5239,1.767,52
0.823,15,7.7352,-0.5712,-12.1663,-0.5884,-0.847,-0.3898,87,0.621,11,5.3599,-6.1741,-15.0691,-0.6239,-1.7664,1.9179,52
0.875,16,7.5838,0.6627,-14.2409,-0.33,-0.5238,-0.2982,87,0.672,12,5.4227,-6.2931,-15.3229,-0.1976,-1.2141,1.4946,52
0.927,17,10.5375,0.817,-14.5085,-0.1608,-0.0156,0.0591,87,0.724,13,3.9574,-6.6367,-16.815,-0.1903,-0.4744,0.7033,52
0.978,18,10.63,-0.0952,-13.7982,-0.1543,0.3498,0.4426,87,0.776,14,2.3547,-6.4664,-18.0376,0.2136,0.1781,0.1546,52
1.03,19,8.7614,0.603,-13.7306,-0.1925,0.396,0.4154,87,0.828,15,-0.0567,-4.8166,-16.3711,0.8305,0.3408,0.1308,52
1.082,20,6.4664,-0.4267,-12.3314,-0.4997,0.3329,0.3338,87,0.88,16,-1.0509,-3.8395,-14.3281,0.4375,0.2665,0.4032,52
1.134,21,4.9584,3.7938,-17.0049,-0.0217,0.344,-0.0133,87,0.931,17,-0.5568,-3.7823,-13.694,-0.3577,-0.0296,0.708,52
1.186,22,6.7919,-2.4681,-20.4158,-0.1499,-0.1165,0.5572,87,0.983,18,2.3584,-5.3733,-14.6365,-0.1707,-0.1894,0.7093,52
1.237,23,6.3513,1.1219,-19.538,-0.2052,-0.7059,0.2889,87,1.035,19,2.7402,-7.3084,-15.8844,-0.275,0.0629,0.2432,52
1.289,24,8.1708,1.2012,-18.5619,-0.3382,-0.2019,0.5741,87,1.087,20,3.2245,-8.3396,-16.3035,0.0821,0.4603,-0.4939,52
1.341,25,9.5132,0.9172,-16.3246,-0.1363,0.1338,0.8341,87,1.139,21,2.8595,-7.3928,-16.1055,0.3945,0.7726,-1.0319,52
1.393,26,7.5355,0.705,-15.3712,0.0571,0.2737,0.4227,87,1.19,22,2.1658,-6.3412,-14.6663,0.7228,1.0116,-1.4076,52
1.445,27,5.3446,0.1877,-15.1995,0.3553,0.5146,-0.0547,87,1.242,23,2.2316,-5.6148,-13.9319,0.0464,1.0194,-1.4058,52
1.496,28,6.1287,-1.22,-13.3583,-0.3003,-0.2972,0.4786,87,1.294,24,4.3752,-6.3369,-14.8006,-0.1072,0.8014,-1.1416,52
1.548,29,6.7774,0.3001,-12.9628,-0.1527,-0.5763,0.2838,87,1.346,25,6.2616,-6.5192,-15.6889,0.2755,0.6057,-0.915,52
1.6,30,7.2716,0.0012,-13.9908,-0.1536,-0.3282,0.3593,87,1.398,26,7.4057,-6.7132,-15.6435,0.0818,0.4413,-0.8584,52
1.652,31,7.5023,0.7875,-13.2187,0.0979,-0.1157,0.4346,87,1.449,27,7.7481,-6.5491,-15.4772,0.1299,0.2863,-0.8126,52
1.704,32,7.2831,-0.4535,-13.6258,0.1545,0.0219,0.4747,87,1.501,28,7.5804,-6.2261,-14.6989,0.3147,0.0932,-0.5845,52
1.755,33,7.5625,-0.6765,-13.5191,0.0825,0.0931,0.4569,87,1.553,29,7.5363,-5.6893,-14.362,0.2907,-0.1257,-0.2654,52
1.807,34,8.025,-1.17,-13.5521,0.0472,0.1687,0.368,87,1.605,30,7.4762,-5.5116,-14.3664,0.1953,-0.1928,-0.0113,52
1.859,35,7.9913,-1.5825,-13.7942,0.1445,0.1926,0.2367,87,1.657,31,7.3549,-5.323,-14.3884,0.1423,-0.217,0.133,52
1.911,36,8.6856,-1.3869,-13.3612,0.1142,0.1916,0.2174,87,1.708,32,7.1968,-5.2957,-14.3742,0.1124,-0.2746,0.2658,52
1.963,37,8.7664,-1.4763,-13.3331,0.114,0.1577,0.1635,87,1.76,33,6.9532,-5.2871,-14.4998,0.1191,-0.3448,0.345,52
2.014,38,9.0002,-1.2196,-13.2287,0.1321,0.0829,0.0912,87,1.812,34,6.7472,-5.3028,-14.5929,0.122,-0.4015,0.3932,52
2.066,39,9.059,-1.2233,-13.1969,0.0474,0.0127,0.0808,87,1.864,35,6.439,-5.4393,-14.6253,0.1685,-0.4309,0.4014,52
