right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.094,1,9.7401,-0.2686,-9.4686,0.1513,-0.0151,0.0588,90,0.102,1,8.8776,0.9822,-9.1313,0.031,-0.0525,0.0976,51
0.146,2,9.7224,-0.2699,-9.5772,0.1294,-0.0485,0.0708,90,0.153,2,8.8786,0.9631,-9.1397,0.058,-0.0871,0.1168,51
0.198,3,9.7196,-0.2913,-9.6355,0.1008,-0.0357,0.0716,90,0.205,3,8.8931,0.9611,-9.1304,0.0825,-0.1422,0.1447,51
0.249,4,9.7083,-0.2935,-9.6556,0.0945,-0.0046,0.0795,90,0.257,4,8.8867,0.8307,-9.0861,0.1164,-0.2985,0.1993,51
0.301,5,9.7127,-0.2969,-9.6426,0.0855,0.0152,0.0865,90,0.308,5,8.9457,0.7125,-9.2181,0.1977,-0.562,0.2302,51
0.353,6,9.707,-0.3445,-9.661,0.073,0.0048,0.0907,90,0.36,6,8.7505,1.0127,-9.8497,0.212,-0.6386,0.2623,51
0.405,7,9.6998,-0.348,-9.649,0.0644,0.0119,0.0948,90,0.412,7,8.6975,0.827,-10.4536,0.014,-0.3891,0.2721,51
0.457,8,9.7131,-0.2825,-9.6719,0.0473,0.043,0.1016,90,0.464,8,9.0857,-0.1018,-10.5408,-0.0803,-0.1327,0.2047,51
0.509,9,9.7613,-0.0799,-9.7324,-0.0636,0.1267,0.1208,90,0.516,9,9.0247,0.038,-10.4688,-0.0701,-0.0534,0.1194,51
0.56,10,9.7409,-0.307,-9.6031,-0.1699,0.161,0.1271,90,0.567,10,8.9545,0.1204,-10.4706,-0.0551,-0.0449,0.0955,51
0.612,11,9.6234,-0.6065,-9.3687,-0.1696,0.1709,0.1181,90,0.619,11,8.9699,0.1459,-10.4379,-0.029,-0.0489,0.0762,51
0.664,12,9.5739,-0.6288,-9.2501,-0.164,0.0968,0.1029,90,0.671,12,8.9916,0.1424,-10.5027,-0.0168,-0.0654,0.0625,51
0.716,13,9.6738,-0.6043,-9.2653,-0.1577,0.0739,0.1111,90,0.723,13,8.9835,0.1491,-10.5408,-0.0204,-0.0291,0.0444,51
0.767,14,9.6452,-0.7802,-9.2223,-0.1318,0.0651,0.1012,90,0.774,14,8.9766,0.1927,-10.5132,-0.0354,0.0123,0.0237,51
0.819,15,9.6097,-0.8632,-9.2026,-0.1202,0.0441,0.0777,90,0.826,15,8.973,0.2501,-10.4657,-0.0445,0.0296,0.0162,51
0.871,16,9.5997,-0.9171,-9.2444,-0.077,0.0418,0.0541,90,0.878,16,8.9828,0.1904,-10.4539,-0.0524,0.0354,0.0104,51
0.923,17,9.6024,-0.9248,-9.1936,-0.0584,0.0602,0.0361,90,0.93,17,8.995,0.2186,-10.4034,-0.0485,0.0343,-0.0019,51
0.975,18,9.5934,-0.9464,-9.1524,-0.0475,0.0609,0.0203,90,0.982,18,9.0278,0.1249,-10.447,-0.0532,0.0438,-0.0181,51
1.026,19,9.618,-0.961,-9.1045,-0.0304,0.0482,0.0059,90,1.033,19,9.0364,0.2244,-10.3846,-0.0479,0.0701,-0.0268,51
1.078,20,9.6082,-0.931,-9.0465,-0.0134,0.0294,-0.0019,90,1.085,20,9.0776,0.1702,-10.3203,-0.0123,0.05,-0.0196,51
1.13,21,9.5897,-0.9207,-9.0779,-0.0107,-0.0044,-0.008,90,1.137,21,9.1076,0.1456,-10.1637,0.0906,-0.0494,-0.0409,51
1.182,22,9.6132,-0.9009,-9.1208,-0.0023,-0.013,-0.0111,90,1.189,22,10.0217,0.2438,-12.3038,0.2167,-0.3785,0.16,51
1.233,23,9.6494,-0.844,-9.1425,0.0078,-0.0119,-0.0133,90,1.24,23,11.6077,-0.0613,-15.6856,0.6071,-0.943,0.4845,51
1.285,24,9.699,-0.7612,-9.214,0.0305,-0.0241,-0.017,90,1.292,24,12.0666,-0.2554,-16.2987,0.7189,-1.3551,0.9137,51
1.337,25,9.6309,-0.8339,-9.1561,0.0316,0.0046,-0.0075,90,1.344,25,10.8419,-0.8526,-15.521,0.2532,-1.6558,1.1394,51
1.389,26,9.3332,-1.2573,-8.9391,0.0545,-0.0142,0.0019,90,1.396,26,9.5922,-1.0097,-14.9324,0.2844,-1.8752,1.1194,51
1.441,27,9.4829,-1.0197,-9.1325,0.0592,0.0155,0.0398,90,1.448,27,8.5126,-1.2124,-14.5041,0.4208,-2.0354,0.952,51
1.492,28,9.5239,-1.0257,-9.1914,0.11,0.024,0.0474,90,1.499,28,6.9176,-1.223,-14.433,0.5076,-1.8776,0.6382,51
1.544,29,9.5676,-0.9195,-9.1015,0.1179,0.02,0.0572,90,1.551,29,5.4122,-1.4469,-14.8951,0.5716,-1.5161,0.2625,51
