right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.429,8,8.6005,-3.9812,-12.3328,-0.0241,0.0641,0.048,87,0.012,0,9.5554,-3.3472,-14.3739,-0.974,2.1008,-1.9117,52
0.48,9,8.5662,-4.1417,-12.2419,-0.0272,0.0574,-0.0077,87,0.064,1,12.0912,-5.3291,-18.4719,-1.3518,1.7117,-2.0666,52
0.532,10,8.5734,-3.8578,-12.2881,-0.0175,0.0361,-0.0364,87,0.116,2,9.2309,-6.3222,-17.2994,-0.649,1.1094,-1.6257,52
0.584,11,8.5526,-3.7837,-12.2955,-0.0067,0.036,-0.0353,87,0.168,3,8.5869,-5.1859,-15.7869,-0.8723,0.91,-1.1439,52
0.636,12,8.5989,-3.7691,-12.284,0.0746,0.0038,-0.0163,87,0.22,4,8.6375,-5.6986,-16.7696,-0.7906,0.8275,-0.9814,52
0.688,13,8.6538,-3.6306,-12.259,0.102,0.0045,0.0276,87,0.271,5,7.4988,-3.5835,-15.2241,-0.7017,0.6661,-0.7656,52
0.739,14,8.6535,-3.6087,-12.225,0.0319,0.0428,0.0857,87,0.323,6,7.3508,-2.5852,-14.6422,-0.4525,0.5307,-0.5895,52
0.791,15,8.6893,-3.5786,-12.1884,0.0575,0.0525,0.1361,87,0.375,7,7.7069,-1.7256,-14.072,-0.2867,0.4386,-0.4965,52
0.843,16,8.7196,-3.6548,-12.1177,0.0065,0.1149,0.1826,87,0.427,8,7.9455,-1.204,-13.7234,-0.31,0.3344,-0.338,52
0.895,17,8.6045,-3.8798,-11.9555,-0.1294,0.1608,0.1604,87,0.479,9,8.2024,-0.7919,-13.3474,-0.2527,0.2056,-0.1965,52
0.947,18,8.4845,-4.0915,-11.8842,-0.2405,0.1416,0.0928,87,0.53,10,8.4588,-0.6436,-13.2316,-0.138,0.1107,-0.0931,52
0.999,19,8.4966,-4.063,-11.9602,-0.3012,0.1011,0.0368,87,0.582,11,8.6376,-0.5412,-13.214,0.0178,0.0505,-0.0308,52
1.05,20,8.4688,-4.0041,-12.0274,-0.3019,0.0801,-0.013,87,0.634,12,8.5475,-0.5237,-13.414,0.2026,0.058,-0.0831,52
1.102,21,8.4687,-3.9014,-12.1363,-0.2806,0.0658,-0.0567,87,0.686,13,8.3316,-0.4712,-13.1666,0.2523,0.0965,-0.1492,52
1.154,22,8.3254,-3.9786,-12.2316,-0.2093,0.0526,-0.0848,87,0.737,14,8.1437,-0.4319,-12.9453,0.0373,0.1438,-0.0972,52
1.206,23,8.4151,-3.8615,-12.2097,-0.1514,0.0391,-0.1006,87,0.789,15,8.3087,-0.3595,-12.7224,-0.2792,0.1558,-0.0287,52
1.258,24,8.4804,-3.7367,-12.2395,-0.0866,0.0268,-0.1007,87,0.841,16,8.428,-0.0925,-12.7096,-0.3086,0.157,-0.0362,52
1.309,25,8.5748,-3.6365,-12.205,-0.0527,0.0261,-0.0834,87,0.893,17,8.4841,0.0448,-12.6501,-0.2397,0.1573,-0.0875,52
1.361,26,8.6296,-3.5867,-12.2159,-0.0192,0.0202,-0.0657,87,0.945,18,8.4994,0.1341,-12.5444,-0.11,0.1594,-0.1323,52
1.413,27,8.6298,-3.5999,-12.2074,0.0077,0.0193,-0.05,87,0.996,19,8.5233,0.1618,-12.3871,-0.1056,0.1296,-0.1283,52
1.465,28,8.6394,-3.6212,-12.1613,0.0075,0.0248,-0.0404,87,1.048,20,8.6124,0.3306,-12.2641,-0.0784,0.087,-0.1108,52
1.516,29,8.614,-3.5831,-12.1847,0.0249,0.0213,-0.0371,87,1.1,21,8.6133,0.3983,-12.1695,-0.0649,0.0338,-0.0695,52
1.568,30,8.6041,-3.6093,-12.1842,0.0822,0.0042,-0.0366,87,1.152,22,8.6153,0.418,-12.1595,-0.0677,-0.0223,-0.0246,52
1.62,31,8.6148,-3.5771,-12.1594,0.1427,-0.0068,-0.0152,87,1.204,23,8.656,0.3818,-12.2567,-0.0739,-0.0631,0.0052,52
1.672,32,8.7682,-3.4759,-12.0569,0.1259,0.0013,0.0023,87,1.256,24,8.6868,0.3539,-12.3208,-0.0605,-0.0727,0.0123,52
1.724,33,8.774,-3.4756,-12.0067,0.1051,-0.0089,-0.0013,87,1.307,25,8.677,0.3251,-12.3595,-0.0587,-0.0792,0.0165,52
1.776,34,8.6972,-3.5769,-12.0205,0.0607,-0.0128,-0.0123,87,1.359,26,8.6196,0.4001,-12.3799,-0.061,-0.08,0.0197,52
1.827,35,8.7059,-3.5543,-12.0433,0.0331,-0.0198,-0.0199,87,1.411,27,8.6177,0.3993,-12.4072,-0.0513,-0.0706,0.0135,52
1.879,36,8.6907,-3.5598,-12.0627,0.0201,-0.0248,-0.0166,87,1.463,28,8.6565,0.4029,-12.4196,-0.0523,-0.0638,0.0201,52
1.931,37,8.6759,-3.5766,-12.0943,0.0272,-0.0398,-0.0215,87,1.514,29,8.67,0.3715,-12.4782,-0.0453,-0.0658,0.0341,52
1.983,38,8.6801,-3.5455,-12.1126,0.0446,-0.0439,-0.0036,87,1.566,30,8.6617,0.3218,-12.5489,-0.0335,-0.059,0.0397,52
2.034,39,8.6919,-3.4994,-12.1187,0.0597,-0.0435,0.0185,87,1.618,31,8.6218,0.3064,-12.583,-0.0162,-0.0477,0.0382,52
2.086,40,8.6932,-3.5097,-12.1023,0.0483,-0.0305,0.0488,87,1.67,32,8.605,0.2953,-12.5907,-0.0079,-0.0392,0.0385,52
2.138,41,8.6774,-3.5664,-12.0859,-0.0026,-0.0144,0.0792,87,1.722,33,8.5992,0.2895,-12.5875,-0.0045,-0.0443,0.0523,52
2.19,42,8.6544,-3.6153,-12.1107,-0.024,-0.0071,0.0878,87,1.773,34,8.6074,0.2311,-12.6411,0.0052,-0.044,0.0627,52
2.242,43,8.6512,-3.7126,-12.1258,-0.0231,-0.0025,0.0873,87,1.825,35,8.6125,0.172,-12.6749,0.0078,-0.0377,0.0653,52
2.293,44,8.6365,-3.7707,-12.1039,-0.03,-0.0068,0.067,87,1.877,36,8.6126,0.1192,-12.6923,0.0098,-0.0319,0.0693,52
2.345,45,8.5997,-3.7704,-12.1148,-0.0217,-0.0153,0.0398,87,1.928,37,8.7067,0.1231,-12.6779,0.0195,-0.0443,0.0875,52
2.397,46,8.6503,-3.7474,-12.1521,0.0012,-0.0332,0.0169,87,1.98,38,8.666,0.008,-12.7234,0.0874,-0.0487,0.1207,52
2.449,47,8.602,-3.8063,-12.12,-0.0029,-0.0375,-0.0012,87,2.032,39,8.7204,0.208,-12.7679,0.2277,-0.1195,0.1121,52
2.501,48,8.6407,-3.7377,-12.183,0.0083,-0.0454,-0.0143,87,2.084,40,8.5087,0.0738,-13.0538,0.4218,-0.1801,0.0694,52
2.552,49,8.6239,-3.7063,-12.2459,0.0452,-0.0518,-0.018,87,2.136,41,8.3158,-0.2721,-13.61,0.5796,-0.2713,0.0299,52
2.604,50,8.6184,-3.6987,-12.2169,0.0623,-0.0454,-0.009,87,2.187,42,8.848,-0.1164,-11.8128,0.5885,-0.2935,0.019,52
2.656,51,8.5686,-3.7791,-12.2099,0.0793,-0.0425,-0.0022,87,2.239,43,8.6156,0.2366,-11.9909,0.4489,-0.1527,0.0143,52
2.708,52,8.6004,-3.7614,-12.2217,0.1029,-0.0494,-0.005,87,2.291,44,8.4894,-0.2676,-11.9442,0.1185,-0.0707,0.0336,52
2.76,53,8.4816,-3.8142,-12.2212,0.1155,-0.0514,-0.0123,87,2.343,45,8.4006,-0.1513,-12.5244,0.0897,-0.0354,-0.0207,52
2.811,54,8.5799,-3.8183,-12.1536,0.1242,-0.0905,-0.0364,87,2.394,46,8.4681,-0.1457,-12.7633,0.1352,0.0045,-0.0609,52
2.863,55,8.6074,-3.8196,-12.2529,0.1131,-0.0968,-0.0582,87,2.446,47,8.5411,-0.3086,-12.825,0.0597,0.0256,-0.0416,52
2.915,56,8.6474,-3.837,-12.2647,0.0854,-0.0837,-0.0754,87,2.498,48,8.7185,-0.3778,-12.8434,0.0491,0.0313,-0.023,52
2.967,57,8.6357,-3.7456,-12.3018,0.0757,-0.0526,-0.0746,87,2.55,49,8.8905,-0.3081,-12.6173,0.1234,-0.0047,0.066,52
3.019,58,8.6461,-3.663,-12.2729,0.0666,-0.0474,-0.0768,87,2.602,50,9.0823,-1.2706,-14.6206,0.0901,-0.2192,0.4572,52
3.07,59,8.6429,-3.6076,-12.304,0.0672,-0.0494,-0.0496,87,2.653,51,10.2624,-2.8006,-17.2456,0.2476,-0.8251,1.0141,52
3.122,60,8.6246,-3.6252,-12.3255,0.0613,-0.0436,-0.0085,87,2.705,52,10.2814,-3.3308,-17.8883,0.4303,-1.269,1.4205,52
3.174,61,8.5603,-3.727,-12.391,0.0652,-0.0243,0.0368,87,2.757,53,9.0631,-3.7701,-17.6344,0.2376,-1.593,1.7171,52
3.226,62,8.5479,-3.7939,-12.3271,0.0806,-0.0088,0.0555,87,2.809,54,7.7282,-3.7137,-16.5219,0.3616,-1.8294,1.9332,52
3.278,63,8.5849,-3.7323,-12.2889,0.0822,-0.002,0.056,87,2.861,55,6.2558,-3.648,-14.6803,0.5922,-2.002,2.0488,52
3.329,64,8.656,-3.5969,-12.258,0.0376,0.0202,0.0759,87,2.912,56,3.8271,-3.908,-14.6162,0.526,-1.9249,2.1627,52
3.381,65,8.4617,-4.0471,-12.3556,-0.1633,0.071,0.1052,87,2.964,57,2.3596,-4.5109,-15.1909,0.4653,-1.9223,1.8355,52
3.433,66,8.5545,-3.8957,-12.2884,-0.2194,0.0842,0.1049,87,3.016,58,1.3586,-4.7563,-14.4019,0.559,-1.7299,1.4932,52
3.485,67,8.547,-3.9339,-12.222,-0.2171,0.076,0.0956,87,3.068,59,0.1385,-4.909,-14.3117,0.302,-1.4185,1.2812,52
3.537,68,8.4337,-3.961,-12.2484,-0.1841,0.0741,0.0644,87,3.119,60,-0.8751,-5.2034,-14.582,0.3476,-1.0809,0.9202,52
3.588,69,8.3333,-3.9962,-12.3441,-0.0809,0.0391,0.0262,87,3.171,61,-1.6032,-5.3882,-14.766,0.3486,-0.7629,0.6706,52
3.64,70,8.3725,-3.994,-12.2664,0.0644,-0.0102,0.0081,87,3.223,62,-2.1734,-5.9336,-15.4176,0.331,-0.5083,0.4765,52
3.692,71,8.3663,-4.0436,-12.2784,0.0687,-0.015,-0.0057,87,3.275,63,-2.4857,-6.2472,-15.8801,0.3139,-0.3494,0.3874,52
3.744,72,8.4385,-3.9181,-12.2753,0.0826,-0.026,-0.0178,87,3.327,64,-2.6761,-6.5048,-16.25,0.3069,-0.2516,0.3479,52
3.795,73,8.5008,-3.8562,-12.2469,0.0493,-0.0162,-0.0144,87,3.378,65,-2.7809,-6.5906,-16.3685,0.2361,-0.1892,0.3006,52
