right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.291,5,9.1771,-2.7128,-11.4137,-0.1779,0.0458,0.1171,86,0.56,10,4.8354,-1.6925,-16.0525,-0.0425,-1.1365,-0.0004,51
0.342,6,9.1506,-2.5646,-11.413,-0.3495,0.1168,0.1501,86,0.612,11,3.8967,-2.0465,-16.9269,-0.2151,-1.0475,-0.1432,51
0.394,7,8.9731,-2.8312,-11.3714,-0.3835,0.0954,0.1393,86,0.664,12,4.1607,-1.7944,-17.2024,-0.0153,-0.9173,-0.2576,51
0.446,8,8.8235,-3.0246,-11.5138,-0.3758,0.0476,0.0898,86,0.715,13,4.3098,-1.8671,-17.4209,-0.0148,-0.771,-0.2515,51
0.498,9,8.9092,-2.9856,-11.5528,-0.3312,0.0304,0.0411,86,0.767,14,4.3607,-2.0221,-17.594,-0.0336,-0.6326,-0.1531,51
0.55,10,8.8942,-3.1515,-11.4948,-0.2999,0.0301,0.0418,86,0.819,15,4.1892,-1.9124,-17.7224,-0.0414,-0.4924,-0.0163,51
0.602,11,8.3284,-4.3412,-11.5263,-0.1344,0.0119,0.0413,86,0.871,16,4.0366,-1.926,-17.7563,-0.0724,-0.3411,0.1329,51
0.653,12,8.976,-3.3532,-11.3032,-0.1368,0.0189,0.0033,86,0.923,17,4.0159,-1.9824,-17.8388,-0.0518,-0.1682,0.2243,51
0.705,13,8.8072,-3.6299,-11.4561,-0.1944,-0.0079,0.037,86,0.974,18,3.9195,-2.1783,-18.0035,-0.0295,-0.017,0.2969,51
0.757,14,8.2046,-4.7049,-11.4887,0.0111,-0.0418,0.0221,86,1.026,19,4.0667,-2.5025,-18.3169,0.0895,0.1284,0.3329,51
0.809,15,8.891,-3.6506,-11.4076,0.0794,-0.0736,-0.0309,86,1.078,20,3.9593,-2.483,-18.3696,0.2744,0.2386,0.392,51
0.86,16,8.8974,-3.5184,-11.5949,-0.0674,-0.0107,0.032,86,1.13,21,3.7515,-2.4191,-18.5501,-0.0198,0.2288,0.5742,51
0.912,17,8.5835,-3.7337,-11.6336,0.0446,0.0086,0.0116,86,1.181,22,3.5625,-2.2433,-18.2439,0.022,0.2323,0.6681,51
0.964,18,9.0836,-3.288,-11.4044,0.1776,-0.0326,-0.0316,86,1.233,23,3.5454,-2.0653,-18.0358,-0.0394,0.2348,0.7026,51
1.016,19,8.845,-3.4446,-11.5816,0.4217,-0.0787,-0.028,86,1.285,24,3.6289,-1.9719,-17.3407,-0.0969,0.2884,0.6625,51
1.068,20,9.197,-3.0336,-11.4313,0.5486,-0.1177,-0.0727,86,1.337,25,2.932,-2.2749,-17.3163,-0.1844,0.6334,0.5628,51
1.119,21,9.5873,-2.9145,-11.1376,0.3972,-0.0518,-0.0448,86,1.389,26,3.6906,-2.2084,-17.719,-0.1252,0.7229,0.356,51
1.171,22,9.5754,-2.5352,-11.3101,0.1565,0.0284,-0.0221,86,1.44,27,4.0973,-2.4125,-18.2985,-0.0047,0.6622,0.1661,51
1.223,23,9.134,-3.1353,-11.393,0.0836,0.013,0.0155,86,1.492,28,4.615,-2.5447,-18.4785,-0.0672,0.5183,0.1026,51
1.275,24,9.3692,-3.1503,-11.1166,0.1193,-0.0151,0.025,86,1.544,29,4.858,-2.7381,-18.4077,-0.1403,0.3484,0.0528,51
1.327,25,9.3354,-2.9032,-11.2481,-0.0627,-0.0163,0.0196,86,1.596,30,5.0257,-3.0547,-18.0129,-0.1013,0.1252,-0.1258,51
1.378,26,9.2272,-2.9363,-11.4456,-0.1809,-0.0105,0.0571,86,1.648,31,5.2365,-2.6622,-18.097,-0.0875,-0.0275,-0.2728,51
1.43,27,9.0082,-3.2831,-11.4221,-0.119,-0.055,0.0424,86,1.699,32,5.0785,-2.8349,-18.0246,0.0008,-0.1176,-0.2787,51
1.482,28,9.1091,-3.181,-11.48,-0.0855,-0.0966,-0.0068,86,1.751,33,4.9482,-2.93,-17.7769,0.0732,-0.1684,-0.2754,51
1.534,29,9.0591,-3.154,-11.5705,-0.1176,-0.0979,-0.01,86,1.803,34,4.5258,-2.953,-17.5529,0.0149,-0.1469,-0.1887,51
1.586,30,8.6726,-3.6138,-11.6929,-0.0371,-0.164,-0.0653,86,1.855,35,3.9991,-2.9015,-17.5399,0.0984,-0.1266,-0.1829,51
1.637,31,8.9352,-3.4025,-11.4349,0.1588,-0.2634,-0.2493,86,1.907,36,3.7686,-2.4579,-17.6863,0.1223,-0.1505,-0.2527,51
1.689,32,8.8648,-2.9697,-11.8149,-0.1025,-0.2318,-0.184,86,1.958,37,4.0641,-2.3631,-17.9982,0.1957,-0.1635,-0.2702,51
1.741,33,8.8594,-2.9525,-12.0542,-0.1693,-0.276,-0.148,86,2.01,38,4.2487,-2.3707,-18.2022,0.1408,-0.1876,-0.1496,51
1.792,34,8.799,-3.014,-12.3456,-0.0665,-0.2467,-0.2227,86,2.062,39,4.3405,-2.4294,-18.2472,0.0663,-0.2327,-0.0193,51
1.844,35,9.0141,-2.7319,-12.2935,0.0711,-0.1975,-0.2404,86,2.114,40,4.3254,-2.5119,-18.2203,0.0044,-0.2564,0.0588,51
1.896,36,9.0427,-2.5953,-12.3676,0.0792,-0.1493,-0.154,86,2.165,41,4.3479,-2.5045,-18.1532,-0.0787,-0.2557,0.1439,51
1.948,37,8.9876,-2.615,-12.4436,0.0837,-0.0775,-0.0845,86,2.217,42,4.3449,-2.5714,-18.1129,-0.132,-0.2285,0.2149,51
2.0,38,8.8903,-2.6632,-12.4898,0.1902,-0.0414,-0.1028,86,2.269,43,4.3272,-2.6352,-18.0813,-0.1475,-0.1994,0.2318,51
2.052,39,9.0352,-2.4902,-12.3819,0.1518,0.018,-0.0371,86,2.321,44,4.1932,-2.5748,-18.0923,-0.1243,-0.1618,0.2119,51
2.104,40,8.9997,-2.5001,-12.4031,0.0929,0.0919,0.0405,86,2.372,45,4.0093,-2.5203,-18.0949,-0.1238,-0.1249,0.1986,51
2.155,41,8.9793,-2.5664,-12.3071,0.0478,0.1435,0.0776,86,2.424,46,3.8623,-2.4305,-18.1329,-0.1079,-0.1054,0.172,51
2.207,42,8.9657,-2.6809,-12.1852,0.0106,0.1618,0.0913,86,2.476,47,3.76,-2.347,-18.1429,-0.0877,-0.0851,0.1296,51
2.259,43,8.9648,-2.6854,-12.0879,-0.0197,0.1638,0.0953,86,2.528,48,3.7334,-2.3339,-17.9979,-0.0819,-0.0341,0.1087,51
