right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.579,11,8.6286,1.2947,-14.8421,-0.4219,-1.8983,-0.8111,79,0.008,0,8.4634,3.0763,-11.0689,-0.0999,-0.0795,-0.0216,50
0.631,12,7.5208,1.6016,-14.992,-0.3617,-1.8891,-0.8147,79,0.059,1,8.4643,3.0136,-11.0835,0.0144,-0.0032,-0.0554,50
0.682,13,6.6171,2.3686,-15.1972,-0.1827,-1.7095,-0.8174,79,0.111,2,8.1426,3.7054,-11.0329,0.0269,-0.0015,-0.0277,50
0.734,14,5.9457,2.3854,-15.8439,-0.2275,-1.5188,-0.7348,79,0.163,3,8.2919,3.4293,-10.9986,-0.0591,-0.0373,-0.0177,50
0.786,15,5.2467,2.8064,-16.8391,-0.2032,-1.4138,-0.714,79,0.214,4,8.3542,3.2506,-11.0989,0.1052,0.0065,-0.0724,50
0.838,16,4.5429,2.9227,-17.2278,-0.0338,-1.358,-0.7633,79,0.267,5,8.1162,3.9325,-10.9142,0.3953,0.0477,-0.0586,50
0.89,17,3.8795,2.8814,-17.3906,-0.1351,-1.2731,-0.7507,79,0.318,6,8.3237,3.4981,-11.001,0.3733,0.0577,-0.0614,50
0.941,18,3.1002,2.7041,-17.6663,-0.0951,-1.1682,-0.6803,79,0.37,7,8.368,3.3628,-11.0582,0.5313,0.0712,-0.0925,50
0.993,19,2.5636,2.628,-18.0035,-0.1731,-1.0031,-0.5942,79,0.422,8,8.1356,3.7035,-11.1828,0.5274,0.0906,-0.0575,50
1.045,20,2.0277,2.7759,-17.6233,-0.0453,-0.7962,-0.5403,79,0.473,9,7.2881,4.7893,-11.0356,0.0228,-0.0206,0.0375,50
1.097,21,1.6693,2.8924,-17.8488,0.1005,-0.5799,-0.4114,79,0.525,10,7.8834,4.1542,-11.0269,0.1028,-0.0493,0.0203,50
1.149,22,1.5003,3.0266,-18.1181,0.127,-0.3789,-0.243,79,0.577,11,7.8356,4.3621,-11.0952,0.1243,-0.0581,0.018,50
