right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.807,15,9.2443,-2.5705,-9.611,0.2799,-0.1507,0.0255,88,0.012,0,6.8357,-0.7386,-15.2289,0.477,-2.0117,0.1336,51
0.859,16,9.4028,-2.3489,-9.91,0.2548,-0.2207,-0.0047,88,0.064,1,5.973,-0.7363,-15.6572,0.3617,-1.8759,-0.0357,51
0.911,17,9.5305,-2.3539,-10.2454,0.1922,-0.1098,0.0417,88,0.116,2,5.4982,-0.9031,-15.5011,0.4323,-1.6337,-0.2352,51
0.962,18,9.4826,-2.4676,-10.2023,0.1051,0.0485,0.0881,88,0.167,3,5.1545,-1.0922,-15.6642,0.5356,-1.2322,-0.4451,51
1.014,19,9.3249,-2.5684,-9.9181,0.0866,0.1868,0.1072,88,0.219,4,4.84,-1.2031,-16.1945,0.549,-0.8159,-0.5364,51
1.066,20,9.2298,-2.4918,-9.5908,0.061,0.1587,0.0981,88,0.271,5,4.7677,-1.1076,-16.7636,0.4267,-0.5365,-0.5731,51
1.118,21,9.2039,-2.8535,-9.6837,-0.1497,0.109,0.0762,88,0.323,6,4.8351,-1.2537,-17.2422,0.2767,-0.328,-0.5714,51
1.17,22,9.087,-3.0335,-9.7552,-0.1144,0.0414,0.0491,88,0.374,7,4.7239,-1.2606,-17.5526,0.2169,-0.1861,-0.4811,51
1.221,23,9.1807,-2.9316,-9.8452,-0.0354,0.0165,0.0318,88,0.426,8,4.479,-1.1192,-17.6943,0.1354,-0.1204,-0.3499,51
1.273,24,9.2517,-2.8442,-9.8326,0.0554,0.0066,0.0298,88,0.478,9,4.1334,-1.097,-17.9832,-0.0099,-0.0556,-0.2283,51
1.325,25,9.1925,-2.7587,-9.6447,0.0902,-0.0164,0.0195,88,0.53,10,3.8168,-0.9537,-18.2738,-0.1181,-0.009,-0.1043,51
1.377,26,9.1937,-2.7805,-9.6156,0.0556,-0.0623,-0.0041,88,0.582,11,3.7553,-0.9591,-18.4837,-0.1856,0.0019,0.0338,51
1.429,27,9.2264,-2.7076,-9.6407,0.0492,-0.1141,-0.0325,88,0.633,12,3.9688,-0.8946,-18.4893,-0.1553,-0.0134,0.1115,51
1.48,28,9.254,-2.674,-9.7494,0.0449,-0.1568,-0.0513,88,0.685,13,4.1514,-0.8943,-18.4363,-0.1437,-0.0332,0.1013,51
1.532,29,9.379,-2.4621,-9.9627,0.0457,-0.1374,-0.0428,88,0.737,14,4.1425,-0.8905,-18.3822,-0.1026,-0.0369,0.0366,51
1.584,30,9.4477,-2.2919,-9.9116,-0.0659,-0.0014,0.0165,88,0.789,15,3.94,-0.9231,-18.4173,-0.1059,-0.006,-0.0151,51
1.636,31,9.4378,-2.7189,-10.0908,-0.0416,0.0092,0.0124,88,0.841,16,3.7007,-0.9981,-18.4981,-0.0647,0.0271,-0.0359,51
1.687,32,9.4186,-2.7415,-9.988,0.0073,0.0214,0.0337,88,0.892,17,3.5067,-0.9868,-18.5345,-0.0325,0.0358,-0.0452,51
1.739,33,9.3489,-2.6989,-9.7973,0.0402,0.0133,0.032,88,0.944,18,3.7668,-0.8449,-18.5554,-0.0114,0.0178,-0.0427,51
1.791,34,9.3578,-2.4948,-9.8076,-0.0127,0.0462,0.0349,88,0.996,19,4.032,-0.7726,-18.5805,0.0013,0.006,-0.0332,51
1.843,35,9.4053,-2.6871,-9.7942,0.006,0.0251,0.0321,88,1.048,20,4.2123,-0.7459,-18.5258,0.0337,-0.0057,-0.0485,51
1.894,36,9.3991,-2.7554,-9.8538,0.013,0.0138,0.033,88,1.099,21,4.2849,-0.7308,-18.443,0.0802,-0.016,-0.069,51
1.946,37,9.3135,-2.7765,-9.7598,0.022,-0.0042,0.0251,88,1.151,22,4.2266,-0.6786,-18.4546,0.0785,-0.0265,-0.081,51
1.998,38,9.2662,-2.7829,-9.7579,0.0086,-0.0375,0.006,88,1.203,23,4.0314,-0.6715,-18.49,0.0741,-0.0289,-0.0923,51
2.05,39,9.4091,-2.6693,-9.7998,-0.0333,-0.0378,-0.0034,88,1.255,24,3.8983,-0.6857,-18.4652,0.0854,-0.0244,-0.1111,51
2.102,40,9.2128,-2.8994,-9.8046,-0.1619,0.0422,0.009,88,1.307,25,3.781,-0.6762,-18.4576,0.0823,-0.0197,-0.1381,51
2.154,41,9.1825,-3.0028,-9.7019,-0.1312,-0.0027,-0.0298,88,1.358,26,3.7068,-0.7159,-18.4237,0.0673,-0.0173,-0.1751,51
2.205,42,9.2596,-2.896,-9.8221,-0.0391,-0.033,-0.0458,88,1.41,27,3.6779,-0.7585,-18.402,0.0741,-0.027,-0.2086,51
2.257,43,9.2999,-2.8624,-9.7116,0.025,-0.0457,-0.0259,88,1.462,28,3.7409,-0.6624,-18.5096,0.0251,-0.0291,-0.2156,51
2.309,44,9.4011,-2.4884,-9.7368,0.022,0.0485,0.0176,88,1.514,29,3.9416,-0.824,-18.5236,0.0145,-0.0341,-0.1929,51
2.361,45,9.1749,-2.8855,-9.5273,-0.0437,0.0482,0.0197,88,1.566,30,4.0217,-0.8659,-18.4802,0.0876,-0.024,-0.1727,51
2.413,46,9.211,-2.9212,-9.5314,-0.0551,0.0004,-0.0089,88,1.617,31,4.0658,-0.7624,-18.3582,0.13,-0.0215,-0.1583,51
2.464,47,9.3698,-2.7997,-9.7429,0.003,-0.0223,-0.0113,88,1.669,32,4.0296,-0.6528,-18.3172,0.0576,-0.0099,-0.1258,51
2.516,48,9.3974,-2.6985,-9.8301,0.0392,-0.016,0.0037,88,1.721,33,4.0457,-0.6598,-18.296,-0.0145,0.0171,-0.0934,51
2.568,49,9.3046,-2.8649,-9.7567,0.0433,-0.0178,0.0064,88,1.772,34,4.0902,-0.7066,-18.3401,-0.0329,0.0533,-0.0699,51
2.62,50,9.3208,-2.7635,-9.6901,0.0577,-0.0425,-0.0046,88,1.824,35,4.0709,-0.7296,-18.4011,-0.0064,0.0851,-0.0565,51
2.672,51,9.3575,-2.6061,-9.7868,0.045,-0.0529,-0.016,88,1.876,36,4.0024,-0.7035,-18.4044,0.0448,0.0976,-0.0539,51
2.723,52,9.4689,-2.4007,-9.7959,-0.05,0.0349,0.0055,88,1.928,37,3.9438,-0.6924,-18.3846,0.0949,0.1105,-0.063,51
2.775,53,9.283,-2.7629,-9.8166,-0.0274,0.006,0.0049,88,1.98,38,4.0081,-0.6163,-18.325,0.0892,0.1135,-0.0765,51
2.827,54,9.3273,-2.7173,-9.9068,0.0283,-0.0085,0.0121,88,2.031,39,4.1286,-0.6296,-18.2908,0.0252,0.1057,-0.0822,51
2.879,55,9.3609,-2.6736,-9.9116,0.0825,-0.0331,0.0205,88,2.083,40,4.1827,-0.7011,-18.2699,0.0142,0.0941,-0.0717,51
2.93,56,9.3842,-2.5172,-9.8317,0.009,0.0626,0.0415,88,2.135,41,4.1747,-0.585,-18.2975,0.0223,0.0852,-0.0489,51
2.982,57,9.2838,-2.7809,-9.7721,-0.1201,0.0564,0.0242,88,2.187,42,4.218,-0.6492,-18.2732,-0.0066,0.0765,-0.0304,51
3.034,58,9.3027,-2.8124,-9.8419,-0.1329,0.0136,-0.0032,88,2.238,43,4.4634,-0.6282,-18.1651,0.0093,0.0826,-0.008,51
3.086,59,9.3297,-2.7757,-9.8774,-0.1029,0.0215,-0.0096,88,2.29,44,4.5952,-0.6598,-18.1189,-0.0817,0.0675,-0.0104,51
3.137,60,9.2882,-2.809,-9.7809,-0.1211,0.0473,-0.0096,88,2.342,45,4.5884,-0.9456,-18.1394,-0.0815,0.0649,-0.0202,51
3.189,61,9.27,-2.8164,-9.734,-0.0903,0.0373,-0.0176,88,2.394,46,4.4259,-0.8232,-18.225,0.0429,0.0973,0.0127,51
3.241,62,9.3049,-2.7832,-9.7541,-0.0398,0.0165,-0.0214,88,2.446,47,4.3543,-0.7604,-18.2484,0.0184,0.0895,0.0324,51
3.293,63,9.3304,-2.7367,-9.7559,-0.0078,0.0241,-0.0101,88,2.497,48,4.3457,-0.7869,-18.2492,0.0233,0.0833,0.0433,51
3.344,64,9.2496,-2.7465,-9.6684,0.0038,0.0342,0.0019,88,2.549,49,4.3625,-0.6878,-18.203,0.0476,0.0637,0.0451,51
3.396,65,9.2598,-2.7044,-9.6566,0.0009,0.0157,-0.0032,88,2.601,50,4.4173,-0.6225,-18.1569,0.0194,0.0391,0.0411,51
3.448,66,9.2224,-2.684,-9.6539,-0.0116,0.0158,-0.0076,88,2.653,51,4.5042,-0.6646,-18.1261,-0.0183,0.0195,0.0312,51
3.5,67,9.2395,-2.7108,-9.741,-0.0023,-0.0146,-0.0134,88,2.705,52,4.5404,-0.7124,-18.1183,-0.0378,0.0063,0.0153,51
3.552,68,9.2637,-2.6804,-9.8425,0.0526,-0.0369,-0.0138,88,2.756,53,4.5998,-0.7908,-18.0891,0.0005,0.0061,-0.0035,51
3.604,69,9.2227,-2.7316,-9.7798,0.094,-0.0425,0.001,88,2.808,54,4.6222,-0.7382,-18.0632,0.0618,0.0236,-0.0101,51
3.656,70,9.2282,-2.6331,-9.7319,0.1342,-0.0594,0.0035,88,2.86,55,4.7965,-0.7473,-17.958,0.0481,0.0296,-0.0136,51
3.707,71,9.2408,-2.6947,-9.7463,0.1102,-0.0584,0.003,88,2.912,56,4.8942,-0.896,-17.9291,-0.0004,0.0391,-0.0202,51
3.759,72,9.281,-2.6662,-9.7902,0.1105,-0.0533,0.0026,88,2.963,57,4.842,-0.9557,-17.9203,0.0024,0.0501,-0.0156,51
3.811,73,9.3105,-2.6178,-9.81,0.1014,-0.0394,0.0063,88,3.015,58,4.7316,-0.9187,-17.9302,0.0102,0.0555,0.0245,51
3.862,74,9.3193,-2.55,-9.7765,0.046,-0.003,0.0153,88,3.067,59,4.6618,-0.8501,-17.9408,-0.0018,0.0558,0.0737,51
3.914,75,9.257,-2.6816,-9.8069,0.0371,-0.0041,0.0173,88,3.119,60,4.583,-0.8245,-17.9976,-0.0406,0.0534,0.1031,51
3.966,76,9.2658,-2.6657,-9.8088,0.0568,-0.0079,0.015,88,3.17,61,4.5325,-0.7884,-18.0695,-0.0747,0.0473,0.1237,51
4.018,77,9.2676,-2.7477,-9.7963,0.0748,-0.0214,0.0045,88,3.222,62,4.5771,-0.7929,-18.1097,-0.0738,0.0312,0.126,51
4.07,78,9.2873,-2.7174,-9.7748,0.0816,-0.0233,0.0085,88,3.274,63,4.6334,-0.7675,-18.086,-0.0411,0.0127,0.1035,51
