right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.196,3,9.6976,-0.7379,-10.9456,-0.095,-0.0574,0.0337,87,0.011,0,2.987,0.9454,-18.8983,0.1959,-0.0385,-0.1247,51
0.247,4,9.6425,-0.8517,-11.0214,-0.1549,-0.0538,0.0559,87,0.063,1,2.9798,0.8174,-18.7897,0.1336,-0.0293,-0.0879,51
0.299,5,9.5605,-1.0203,-11.1438,-0.1278,-0.0474,0.0221,87,0.114,2,2.9719,0.7929,-18.7627,0.1214,-0.0065,-0.0683,51
0.351,6,9.5856,-0.8787,-11.1856,0.0182,-0.0269,-0.0266,87,0.166,3,2.9037,0.7336,-18.7674,0.0898,0.0085,-0.0427,51
0.403,7,9.7238,-0.5887,-11.0841,0.058,-0.05,-0.0283,87,0.218,4,2.8337,0.7063,-18.876,0.0359,-0.0,-0.0041,51
0.455,8,9.7153,-0.5739,-11.1551,0.0352,-0.0656,-0.0003,87,0.27,5,2.7619,0.6226,-18.9317,0.032,-0.0178,0.0134,51
0.506,9,9.6999,-0.6111,-11.186,0.0365,-0.0369,0.0166,87,0.321,6,2.702,0.6187,-18.9876,0.091,-0.0307,0.0156,51
0.558,10,9.6907,-0.6528,-11.1711,0.0016,-0.0162,0.0514,87,0.373,7,2.7632,0.6016,-19.0246,0.1553,-0.0228,0.0041,51
0.61,11,9.6228,-0.778,-11.2022,-0.0227,-0.0075,0.0267,87,0.425,8,2.9168,0.6141,-19.0851,0.1305,-0.0321,0.0172,51
0.662,12,9.4778,-1.0312,-11.1954,0.001,-0.0007,-0.0256,87,0.477,9,3.0049,0.5982,-19.0668,0.1131,-0.0667,0.034,51
0.714,13,9.613,-0.7191,-11.1478,0.0031,-0.0313,-0.0198,87,0.529,10,2.9734,0.6458,-19.0108,0.0734,-0.0937,0.045,51
0.765,14,9.5856,-0.7931,-11.2063,-0.0084,-0.0229,0.0108,87,0.58,11,2.9227,0.6885,-19.0284,0.0389,-0.1057,0.0671,51
0.817,15,9.5097,-0.926,-11.2204,0.0051,-0.0291,-0.0251,87,0.632,12,2.8294,0.7048,-19.1202,-0.0312,-0.1262,0.0881,51
0.869,16,9.683,-0.6382,-11.0993,0.1125,-0.0771,-0.0487,87,0.684,13,2.6675,0.8319,-19.4173,-0.1325,-0.1948,0.0854,51
0.921,17,9.696,-0.5895,-11.1226,0.0943,-0.0554,-0.0334,87,0.736,14,2.4336,0.8495,-19.4132,-0.1653,-0.2736,0.0508,51
0.973,18,9.6373,-0.6786,-11.1708,0.099,-0.0623,-0.022,87,0.787,15,2.2299,0.9154,-19.2715,-0.114,-0.3216,0.0101,51
1.024,19,9.637,-0.5917,-11.1664,0.0907,-0.0637,-0.0097,87,0.839,16,2.0403,0.8838,-19.1408,-0.0781,-0.3318,-0.04,51
1.076,20,9.5819,-0.4484,-11.2176,0.0019,0.0077,0.0117,87,0.891,17,1.9576,0.7687,-18.8413,-0.0328,-0.3012,-0.0747,51
1.128,21,9.5581,-0.6133,-11.2775,-0.1437,0.0128,0.0387,87,0.943,18,1.8808,0.5513,-18.52,-0.0274,-0.2076,-0.0748,51
1.18,22,9.4559,-0.88,-11.2835,-0.165,0.0301,0.0232,87,0.995,19,1.9737,0.5671,-18.6311,-0.0561,-0.053,-0.0489,51
1.231,23,9.4674,-0.9145,-11.2704,-0.1022,0.0354,-0.0021,87,1.046,20,2.0154,0.52,-18.9192,-0.029,0.0502,-0.0248,51
1.283,24,9.4743,-0.9155,-11.2221,-0.0588,0.0325,-0.0096,87,1.098,21,2.0819,0.6702,-19.0974,-0.0086,0.0927,0.0265,51
1.335,25,9.631,-0.6687,-11.1749,-0.0204,0.0425,-0.0193,87,1.15,22,2.0843,0.821,-19.1666,-0.0447,0.1086,0.0869,51
1.387,26,9.5955,-0.6876,-11.1647,-0.0334,0.0513,-0.0,87,1.202,23,2.095,0.9106,-19.1507,-0.0438,0.1203,0.1145,51
1.439,27,9.6153,-0.7476,-11.1508,-0.007,0.0558,0.0049,87,1.254,24,2.1444,0.9578,-19.1558,-0.0429,0.1292,0.1072,51
1.49,28,9.6421,-0.7523,-11.0932,-0.0436,0.0488,0.0226,87,1.305,25,2.2615,0.9799,-19.1268,-0.0185,0.1418,0.0561,51
1.542,29,9.6243,-0.8454,-11.1338,-0.0498,0.0471,0.019,87,1.357,26,2.3395,0.9795,-19.1543,0.0036,0.1558,-0.0054,51
1.594,30,9.6399,-0.7304,-11.0638,-0.0176,0.056,0.012,87,1.409,27,2.3348,0.9054,-19.1686,-0.0074,0.156,-0.0599,51
1.646,31,9.6323,-0.7455,-11.0084,-0.0682,0.0401,0.021,87,1.46,28,2.3722,0.79,-19.1174,0.0083,0.1549,-0.0944,51
1.698,32,9.6355,-0.7129,-11.0721,-0.1178,0.0327,0.0195,87,1.512,29,2.3994,0.7305,-19.0597,0.0222,0.1638,-0.1113,51
1.75,33,9.6627,-0.7182,-11.1016,-0.1398,0.0536,0.0116,87,1.564,30,2.4481,0.7379,-19.0093,0.0481,0.1879,-0.1335,51
1.801,34,9.5933,-0.8942,-11.0743,-0.0992,0.0581,-0.009,87,1.616,31,2.5532,0.7966,-19.0222,0.078,0.1819,-0.1592,51
1.853,35,9.5542,-0.8512,-11.0787,0.0765,0.0652,-0.0357,87,1.668,32,2.6477,0.9296,-19.0124,0.093,0.1594,-0.163,51
1.905,36,9.5377,-0.8221,-10.9157,0.0722,0.0615,-0.0174,87,1.719,33,2.6476,0.9911,-18.8579,0.0683,0.1428,-0.1369,51
1.957,37,9.5921,-0.7484,-10.9167,0.0428,0.0286,-0.0133,87,1.771,34,2.7224,1.0331,-18.8235,0.0278,0.1457,-0.1068,51
2.008,38,9.6276,-0.7379,-10.9161,0.0416,0.0149,-0.0184,87,1.823,35,2.7978,1.011,-18.8781,-0.0301,0.1426,-0.0916,51
2.06,39,9.5093,-1.0658,-10.9262,0.106,0.0243,-0.0272,87,1.875,36,2.8821,0.947,-18.935,-0.0593,0.1159,-0.0916,51
