right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.132,2,9.434,-0.649,-11.9963,0.019,0.0313,0.007,85,0.677,13,8.7711,1.9045,-10.1253,-0.1029,-0.0493,-0.0049,51
0.183,3,9.4601,-0.6921,-11.9767,0.0155,0.032,0.0078,85,0.729,14,8.905,1.4588,-10.2303,-0.3468,-0.1288,0.0341,51
0.235,4,9.4598,-0.6625,-11.9514,0.0169,0.0312,0.0037,85,0.78,15,8.9403,1.2563,-10.3417,-0.3371,-0.0822,0.013,51
0.287,5,9.4405,-0.6404,-11.9458,0.0228,0.0186,-0.0045,85,0.832,16,8.8385,1.2942,-10.235,-0.147,0.0201,-0.0333,51
0.338,6,9.4597,-0.6234,-11.9483,0.0213,0.0119,-0.0089,85,0.884,17,8.8438,1.6997,-10.1326,0.1614,0.0919,-0.092,51
0.39,7,9.4566,-0.6088,-11.9496,0.0158,0.0134,-0.0088,85,0.936,18,8.9656,1.5944,-10.2316,0.1639,0.0419,-0.1244,51
0.442,8,9.4737,-0.5742,-11.9251,0.0145,0.0268,-0.0048,85,0.987,19,8.8994,1.9834,-10.2436,0.215,0.0398,-0.1376,51
0.494,9,9.4992,-0.3827,-12.0629,0.0046,0.0885,0.0025,85,1.039,20,8.8123,2.0713,-10.151,0.1728,0.0387,-0.1018,51
0.546,10,9.616,-0.3896,-11.9127,-0.1247,0.1475,0.0336,85,1.091,21,8.6848,2.0831,-10.0664,0.1347,-0.0055,-0.0673,51
0.597,11,9.57,-0.6461,-11.8331,-0.1426,0.1725,0.0402,85,1.143,22,8.5526,2.056,-10.1311,-0.0573,-0.0821,-0.0455,51
0.649,12,9.3943,-0.3327,-11.956,-0.157,0.1276,-0.0037,85,1.195,23,8.6968,2.0374,-10.1935,-0.0029,-0.092,-0.0307,51
0.701,13,9.5528,-0.7872,-11.7307,-0.2818,-0.1006,-0.1066,85,1.246,24,8.6843,2.0894,-10.2561,0.016,-0.0995,-0.0108,51
0.753,14,11.4959,-0.8392,-16.3627,-0.702,-0.7468,-0.4385,85,1.298,25,8.7661,1.9467,-10.399,-0.0259,-0.1301,0.0066,51
0.805,15,12.9449,-0.1457,-18.4152,-0.7975,-1.2185,-0.9535,85,1.35,26,8.812,1.8745,-10.5408,-0.0997,-0.1062,0.0203,51
0.857,16,11.8732,0.1761,-17.3364,-0.3182,-1.5627,-1.2973,85,1.402,27,8.7826,1.7735,-10.4647,-0.2055,-0.0917,0.0205,51
0.909,17,10.4821,0.6756,-14.8159,0.1376,-1.8139,-1.3351,85,1.454,28,8.8008,1.6987,-10.5176,-0.1987,-0.1059,0.006,51
0.96,18,9.3301,0.9048,-13.6026,0.5145,-1.9973,-1.2825,85,1.506,29,8.8203,1.7617,-10.616,-0.1543,-0.0792,-0.0077,51
1.012,19,7.0746,0.5017,-14.6987,0.9643,-1.8112,-1.1299,85,1.557,30,8.7825,1.8717,-10.5792,-0.0696,-0.0343,-0.0197,51
1.064,20,5.1081,0.5855,-15.8162,0.9634,-1.4455,-0.8432,85,1.609,31,8.7567,2.0234,-10.5642,-0.0684,-0.0078,-0.0049,51
1.115,21,3.7699,0.445,-15.6144,0.3027,-0.86,-0.6429,85,1.661,32,8.7335,2.02,-10.5199,-0.1203,-0.0092,0.0029,51
1.167,22,2.5126,0.1314,-16.5634,0.1764,-0.3754,-0.5499,85,1.713,33,8.7507,1.9893,-10.5223,-0.1127,-0.0058,-0.0063,50
1.219,23,1.6981,0.2556,-17.7456,0.2926,-0.1138,-0.4978,85,1.765,34,8.7564,1.91,-10.4866,-0.1026,-0.0072,-0.0028,50
1.271,24,1.4524,0.1971,-18.5361,0.1309,0.0368,-0.4871,85,1.816,35,8.7543,1.9036,-10.4824,-0.0776,0.0002,-0.0047,50
1.323,25,1.3904,0.1494,-19.1639,0.2031,0.0677,-0.4497,85,1.868,36,8.7615,1.9756,-10.4187,0.0323,0.0074,-0.0056,50
1.374,26,1.3256,0.349,-19.3684,0.1597,0.0692,-0.3738,85,1.92,37,8.7518,1.8772,-10.4308,-0.0021,0.0056,0.006,50
1.426,27,1.1569,0.2777,-19.4444,0.0903,0.0767,-0.3364,85,1.972,38,8.7138,2.0387,-10.3859,-0.044,-0.0053,0.013,50
1.478,28,1.0206,0.2486,-19.4756,0.0698,0.0683,-0.3052,85,2.023,39,8.7455,2.0023,-10.3971,-0.0448,-0.011,0.0164,50
1.53,29,0.9569,0.1587,-19.5293,0.0774,0.0508,-0.2779,85,2.075,40,8.7421,1.9869,-10.4102,-0.0781,-0.0164,0.0169,50
1.581,30,1.0204,0.1148,-19.6273,0.0716,0.036,-0.2402,85,2.127,41,8.7364,2.0315,-10.4088,-0.0993,-0.0253,0.0162,50
1.633,31,1.1197,0.1174,-19.6221,0.0371,0.0294,-0.1801,85,2.179,42,8.7138,2.0411,-10.4019,-0.1041,-0.0319,0.0148,50
1.685,32,1.197,0.1309,-19.5964,0.0308,0.0262,-0.1201,85,2.23,43,8.7205,2.0365,-10.4208,-0.0667,-0.0282,0.0116,50
1.737,33,1.2357,0.0746,-19.7724,0.0494,0.0318,-0.0807,85,2.282,44,8.7216,2.0316,-10.4358,-0.0224,-0.0217,0.0091,50
1.789,34,1.1805,0.0412,-19.8628,0.0616,0.0043,-0.0564,85,2.334,45,8.7053,1.9946,-10.4135,-0.0256,-0.0235,0.0146,50
1.84,35,1.1102,0.0699,-19.705,0.0191,-0.0305,-0.014,85,2.386,46,8.7457,1.9669,-10.4455,-0.0212,-0.0307,0.017,50
