right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage
0.155,2,9.4666,0.5251,-11.6605,0.1437,0.4795,-0.2346,75
0.206,3,9.4285,0.6614,-11.7452,-0.05,0.509,-0.2312,75
0.258,4,9.3288,0.5725,-12.0579,-0.1008,0.4571,-0.2004,75
0.31,5,9.278,0.4116,-12.1075,-0.0998,0.3409,-0.1432,75
0.361,6,9.2941,-0.1026,-11.7726,0.0861,0.2547,-0.0854,75
0.413,7,9.3853,0.2671,-11.0492,-0.0015,0.2582,-0.0251,75
0.465,8,9.4841,0.573,-11.0021,0.0535,0.2593,0.0072,75
0.517,9,9.5074,0.5708,-10.7315,0.0858,0.2509,0.0561,75
0.569,10,9.6635,0.5848,-10.5919,0.1003,0.2495,0.1004,75
0.62,11,9.6482,0.5497,-10.5097,0.0817,0.2521,0.1358,75
0.672,12,9.6719,0.4788,-10.4124,0.0659,0.2566,0.163,75
0.724,13,9.6769,0.3274,-10.2269,0.0339,0.2378,0.1827,75
0.776,14,9.6441,0.2219,-10.0925,0.0284,0.1881,0.1991,75
0.828,15,9.6188,0.1214,-9.9985,0.0173,0.1286,0.2162,75
0.879,16,9.6181,-0.0586,-9.913,0.0057,0.0705,0.2305,75
0.931,17,9.5957,-0.2285,-9.9157,0.0108,0.0174,0.2353,75
0.983,18,9.6256,-0.3269,-9.9229,0.027,-0.0232,0.2309,75
1.035,19,9.6291,-0.426,-9.9759,0.0211,-0.0339,0.2236,75
1.086,20,9.6601,-0.5408,-9.9434,0.0257,-0.0416,0.2083,75
1.138,21,9.6268,-0.648,-9.8688,0.0327,-0.0913,0.1875,75
1.19,22,9.6115,-0.6504,-9.8981,0.0722,-0.1969,0.181,75
1.242,23,9.6493,-0.69,-10.2344,0.05,-0.2214,0.1874,75
1.294,24,9.5439,-0.8841,-10.1179,0.0134,-0.2691,0.2072,75
1.345,25,9.4793,-1.0206,-10.2513,0.0072,-0.3387,0.1979,75
1.397,26,9.5013,-1.2213,-10.4875,0.0533,-0.4012,0.1738,75
1.449,27,9.5188,-1.1723,-10.9733,0.0855,-0.392,0.1408,75
1.501,28,9.5325,-1.2975,-11.1659,0.0564,-0.3302,0.1254,75
1.553,29,9.4698,-1.4193,-11.3068,0.0572,-0.2305,0.0744,75
1.604,30,9.4726,-1.306,-11.3036,0.0826,-0.1476,0.0511,75
1.656,31,9.7823,-1.1055,-11.2442,0.1241,-0.107,0.0599,75
1.708,32,9.7373,-1.0586,-11.4128,0.1342,-0.0306,0.0856,75
1.76,33,9.5863,-1.2933,-11.3978,0.0676,0.0004,0.0849,75
1.812,34,9.5283,-1.3726,-11.3364,0.0429,0.0054,0.0587,75
1.863,35,9.4819,-1.4251,-11.283,-0.0011,-0.0018,0.0463,75
1.915,36,9.2786,-1.7561,-11.1956,-0.0323,-0.0021,0.031,75
1.967,37,9.4631,-1.3435,-11.3592,-0.0298,0.0209,0.0109,75
2.019,38,9.3967,-1.5161,-11.2777,-0.0243,-0.0003,0.0097,75
2.07,39,9.5113,-1.334,-11.4105,-0.0061,-0.0158,-0.0002,75
2.122,40,9.4883,-1.4689,-11.4607,0.0043,0.0163,-0.0152,75
2.174,41,9.5547,-1.5117,-11.2852,0.0683,0.1179,-0.0397,75
2.226,42,9.5429,-1.4721,-11.1799,0.0618,0.1353,-0.04,75
2.278,43,9.4868,-1.462,-11.103,0.0571,0.1078,-0.0469,75
2.329,44,9.5846,-1.3768,-11.2212,0.0739,0.0623,-0.042,75
2.381,45,9.5791,-1.3989,-11.1892,0.0669,0.1235,-0.0163,75
2.433,46,9.5144,-1.4342,-10.9652,0.0436,0.0964,-0.0009,75
2.485,47,9.5042,-1.4265,-10.9974,0.039,0.0444,0.0038,75
2.536,48,9.5263,-1.4717,-11.0369,0.0678,0.0609,-0.0042,75
2.588,49,9.575,-1.3801,-10.9468,0.0585,0.0476,-0.0052,75
2.64,50,9.5427,-1.3773,-10.9247,-0.0015,0.0244,-0.0144,75
2.692,51,9.5126,-1.4397,-10.8856,-0.0403,0.0223,-0.0344,75
2.744,52,9.3908,-1.5216,-10.6701,-0.0297,0.0175,-0.0404,75
2.795,53,9.4618,-1.3347,-10.81,-0.0522,-0.0337,-0.0224,75
2.847,54,9.4751,-1.3892,-10.9544,-0.0543,-0.0548,-0.0149,75
2.899,55,9.4935,-1.3608,-10.9934,-0.0331,-0.0401,-0.0229,75
2.951,56,9.491,-1.3845,-10.9676,-0.0395,-0.0397,-0.011,75
3.003,57,9.5061,-1.3408,-11.0302,-0.0251,-0.0174,-0.0205,75
3.055,58,9.5136,-1.3494,-11.0689,-0.0114,0.0243,-0.0321,75
3.106,59,9.5328,-1.2661,-10.9624,0.0182,0.068,-0.0437,75
3.158,60,9.5004,-1.3077,-10.8924,0.0577,0.0841,-0.0515,75
3.21,61,9.5626,-1.1198,-10.8407,0.0823,0.0622,-0.0467,75
3.262,62,9.5803,-1.0983,-10.8584,0.0594,0.0276,-0.0314,75
3.314,63,9.5574,-1.2419,-10.8498,0.0484,0.0139,-0.0287,75
3.365,64,9.5214,-1.3142,-10.7529,0.0633,0.0113,-0.0296,75
3.417,65,9.5198,-1.2914,-10.7485,0.09,-0.0261,-0.0287,75
3.469,66,9.537,-1.2645,-10.8453,0.097,-0.0537,-0.0298,75
3.521,67,9.5477,-1.234,-10.8811,0.0849,-0.0493,-0.033,75
3.572,68,9.5561,-1.2079,-10.927,0.0693,-0.04,-0.0323,75
3.624,69,9.5439,-1.1685,-10.9157,0.0543,-0.039,-0.0255,75
3.676,70,9.5331,-1.1458,-10.9026,0.0459,-0.0537,-0.0133,75
3.728,71,9.5735,-1.1129,-10.9807,0.016,-0.0828,0.0007,75
3.78,72,9.525,-1.0638,-10.8514,0.0018,-0.0867,0.0134,75
3.831,73,9.592,-1.0338,-11.1964,-0.0013,-0.0898,0.0165,75
3.883,74,9.5691,-1.0345,-11.1726,-0.0085,-0.0406,0.0108,75
3.935,75,9.5184,-1.1735,-11.1179,-0.065,-0.0333,0.0303,75
3.987,76,9.4941,-1.1583,-11.1229,-0.0613,-0.0256,0.0433,75
4.039,77,9.4966,-1.2503,-11.134,-0.0644,-0.052,0.0467,75
4.09,78,9.5268,-1.2297,-11.2811,-0.0453,-0.0508,0.0327,75
4.142,79,9.5238,-1.2365,-11.2819,-0.0349,-0.0315,0.0221,75
4.194,80,9.4856,-1.225,-11.2271,-0.0134,-0.0198,0.0123,75
4.245,81,9.466,-1.1643,-11.149,-0.008,-0.026,0.0153,75
4.297,82,9.4856,-1.1487,-11.2906,-0.0182,-0.0542,0.0251,75
4.349,83,9.5049,-1.2145,-11.3168,-0.0207,-0.0526,0.0217,75
4.401,84,9.4573,-1.2249,-11.2884,-0.0176,-0.0571,0.0216,75
4.453,85,9.4356,-1.1635,-11.3358,-0.0138,-0.0948,0.0291,75
4.504,86,9.43,-1.1303,-11.4049,0.0073,-0.0541,0.0274,75
4.556,87,9.4346,-1.1897,-11.4352,-0.0001,-0.0485,0.0327,75
4.608,88,9.4725,-1.153,-11.541,0.006,-0.0312,0.0237,75
4.66,89,9.4362,-1.243,-11.5346,0.0056,-0.0081,0.0121,75
4.712,90,9.4459,-1.2414,-11.5164,0.0189,0.0084,0.0115,75
4.763,91,9.423,-1.2741,-11.5093,0.0289,0.0302,0.0126,75
4.815,92,9.44,-1.276,-11.5173,0.0392,0.0625,0.006,75
4.867,93,9.4339,-1.3124,-11.4366,0.0372,0.0801,-0.0025,75
4.919,94,9.4431,-1.3074,-11.3836,0.0363,0.0891,-0.0059,75
4.97,95,9.4671,-1.3313,-11.366,0.0324,0.079,-0.0054,75
5.022,96,9.4843,-1.2914,-11.2663,0.006,0.0686,-0.0035,75
5.074,97,9.4629,-1.3308,-11.2658,-0.0124,0.0453,-0.0099,75
5.126,98,9.4871,-1.287,-11.2997,-0.0279,0.051,-0.0212,75
5.178,99,9.4465,-1.321,-11.206,-0.0541,0.0479,-0.0235,75
5.229,100,9.4111,-1.3792,-11.1273,-0.0809,0.0298,-0.0275,75
5.281,101,9.3832,-1.3285,-11.1112,-0.0481,0.0158,-0.0298,75
5.333,102,9.4056,-1.3139,-11.1162,-0.0526,-0.0339,-0.0048,75
5.385,103,9.4851,-1.1418,-11.2497,-0.0396,-0.0385,0.0019,75
5.436,104,9.4863,-1.2546,-11.312,-0.0563,-0.0543,0.0147,75
5.488,105,9.4689,-1.2668,-11.2699,-0.0555,-0.0559,0.0077,75
5.54,106,9.4449,-1.2471,-11.2914,-0.0479,-0.0673,0.0184,75
5.592,107,9.4456,-1.2345,-11.3834,-0.0246,-0.0546,0.0147,75
5.644,108,9.5027,-1.2513,-11.4117,-0.0244,-0.0377,0.0201,75
5.695,109,9.4293,-1.2366,-11.4652,0.0974,0.0524,0.0141,75
5.747,110,9.4199,-1.41,-11.4604,0.0537,-0.0232,0.0413,75
5.799,111,9.4072,-1.4635,-11.3638,0.038,-0.0591,0.0415,75
5.851,112,9.4257,-1.4606,-11.4233,0.0246,-0.0697,0.0264,75
5.903,113,9.4268,-1.4056,-11.3613,0.0269,-0.0527,0.0212,75
