right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.012,0,9.5756,-0.1314,-9.9524,0.1818,-0.7081,-0.3737,70,0.048,0,8.7543,-0.5184,-11.1434,0.084,0.1071,-0.1664,40
0.063,1,10.0911,-0.0762,-10.5512,0.0765,-1.0006,-0.3986,70,0.101,1,8.7633,-0.3398,-10.8521,0.1533,0.0978,-0.1366,40
0.115,2,10.0705,-0.1927,-11.4401,-0.172,-1.0572,-0.3949,70,0.152,2,9.0405,-0.1155,-10.7146,0.0141,0.0569,-0.0854,40
0.167,3,9.7784,-0.0574,-12.1041,-0.0947,-0.9356,-0.2535,70,0.204,3,9.0578,-0.1388,-10.7368,0.0199,0.0289,-0.053,40
0.219,4,9.0942,-0.2803,-12.1522,0.2056,-0.6652,-0.0857,70,0.256,4,9.0062,-0.2053,-10.7994,-0.03,0.0455,-0.0381,40
0.27,5,8.8281,0.1321,-12.1775,0.6198,-0.2512,0.1506,70,0.308,5,9.0428,-0.1294,-10.7474,0.0011,0.0756,-0.0518,40
0.322,6,9.0752,0.4588,-12.2197,0.3913,0.2297,0.4164,70,0.359,6,9.0325,-0.0741,-10.7312,-0.0145,0.1381,-0.066,40
0.374,7,9.925,-1.4045,-9.996,-0.3587,0.5586,0.2921,70,0.411,7,9.0484,-0.0883,-10.6563,-0.0268,0.2065,-0.068,40
0.426,8,10.3491,0.0928,-10.5526,0.2114,0.4379,0.2271,70,0.463,8,8.9911,0.0997,-10.3128,-0.0646,0.2352,-0.0703,40
0.478,9,9.7951,0.1161,-11.0184,-0.2885,0.3954,0.1742,70,0.515,9,8.9692,0.1084,-10.0919,-0.0803,0.1953,-0.0427,40
0.529,10,10.06,-0.1658,-11.3373,-0.0003,0.2392,0.1413,70,0.567,10,8.9398,0.1282,-9.8876,0.0015,0.0875,0.0034,40
0.581,11,9.8477,-0.1004,-11.4038,-0.0224,0.1981,0.1113,70,0.618,11,8.8592,0.0214,-9.7229,0.0007,-0.0593,0.0348,40
0.633,12,9.8616,0.2834,-11.8815,0.0705,0.2445,0.0899,70,0.67,12,8.7644,-0.0219,-10.0749,0.0311,-0.1605,0.0357,40
0.685,13,9.8823,0.24,-11.9792,0.0536,0.3487,0.098,70,0.722,13,8.8281,-0.0104,-10.3078,0.1393,-0.1888,-0.0202,40
0.737,14,9.759,0.1382,-11.7986,0.0681,0.4427,0.0947,70,0.774,14,8.9503,-0.0613,-10.3071,0.0707,-0.2185,-0.0669,40
0.788,15,9.7142,-0.0013,-11.4896,0.0023,0.4678,0.0844,70,0.825,15,9.0726,0.285,-10.4916,0.0427,-0.2752,-0.0442,40
0.84,16,9.4085,-0.0483,-11.1996,-0.0147,0.4411,0.0404,70,0.877,16,9.1995,-0.1679,-10.9004,0.0726,-0.2382,-0.0148,40
0.892,17,9.4701,-0.1785,-10.6803,-0.1614,0.0501,-0.0986,70,0.929,17,9.0817,0.0497,-11.042,0.061,-0.1611,-0.0146,40
0.943,18,11.1304,-0.5894,-13.148,-0.3477,-0.6368,-0.2937,70,0.981,18,9.0407,-0.0075,-11.1172,0.0343,-0.0685,-0.0286,40
0.995,19,11.9114,-0.3368,-16.2482,-0.7431,-1.1382,-0.5227,70,1.032,19,9.003,0.0641,-10.9621,0.0528,-0.01,-0.0407,40
1.047,20,11.0626,0.2252,-16.7081,-0.5242,-1.5041,-0.8234,70,1.084,20,8.9527,0.2514,-10.7727,0.0914,-0.0232,-0.0351,40
1.099,21,10.21,0.8625,-16.3408,-0.2719,-1.7711,-0.9395,70,1.136,21,9.2135,-0.0031,-10.85,0.0401,-0.0612,-0.0186,40
1.151,22,8.8931,1.2238,-16.0573,0.0242,-1.9661,-0.8839,70,1.188,22,9.0791,0.1037,-10.894,0.0529,-0.074,-0.0136,40
1.203,23,7.1303,1.4763,-15.7624,0.1226,-2.1083,-0.7177,70,1.239,23,8.9852,0.0793,-10.9961,0.0294,-0.0666,-0.0211,40
1.255,24,5.3686,1.6412,-15.3868,0.0283,-2.0627,-0.5646,70,1.291,24,8.9212,0.1899,-11.0179,0.0067,-0.0314,-0.0325,40
1.306,25,3.9619,1.7826,-15.1424,0.0306,-1.8506,-0.4656,70,1.343,25,8.9093,0.1621,-11.0146,0.0143,-0.0099,-0.0342,40
1.358,26,2.8274,1.8069,-15.0576,-0.01,-1.4677,-0.4101,70,1.395,26,8.7436,0.4809,-10.8546,-0.0287,0.0121,-0.0321,40
1.41,27,1.9856,1.8305,-15.426,-0.0254,-1.0108,-0.3641,70,1.447,27,9.0657,0.1871,-10.8914,-0.1768,-0.0228,-0.0138,40
1.462,28,1.5827,1.9039,-16.2616,-0.0323,-0.5504,-0.3275,70,1.498,28,8.998,0.3007,-10.9801,-0.2277,-0.0408,-0.0032,40
1.514,29,1.2885,1.9197,-17.545,0.0153,-0.2116,-0.3038,70,1.55,29,9.0982,-0.0966,-11.1018,-0.1357,-0.035,-0.0012,40
1.565,30,1.1599,1.9626,-18.7228,0.0678,-0.0563,-0.2833,70,1.602,30,9.16,0.1402,-11.0889,-0.0183,-0.0315,-0.0135,40
1.617,31,1.0686,1.9181,-19.3772,0.0921,-0.0594,-0.2454,70,1.654,31,9.0663,0.1622,-11.0837,0.059,-0.0324,0.0018,40
1.669,32,0.9254,1.8927,-19.5584,0.083,-0.1224,-0.1852,70,1.706,32,9.0359,0.2321,-11.1436,0.0528,-0.0226,0.0216,40
1.721,33,0.8359,1.8792,-19.4059,0.0812,-0.1745,-0.0992,70,1.757,33,9.0394,0.1674,-11.112,0.074,-0.0107,0.0297,40
1.773,34,0.7721,1.8769,-19.1803,0.0608,-0.1761,0.0026,70,1.809,34,8.8037,0.8313,-10.6815,0.0101,0.0387,0.0251,40
1.824,35,0.6465,1.9102,-19.0018,0.0339,-0.118,0.0992,70,1.861,35,9.1518,0.2585,-10.9314,-0.3062,-0.0021,0.0045,40
1.876,36,0.6603,1.9845,-19.057,0.0304,-0.0343,0.1524,70,1.913,36,8.8767,0.0988,-10.9781,-0.3094,0.0107,-0.0115,40
1.928,37,0.7158,2.0615,-19.2645,0.0646,0.0473,0.1582,70,1.965,37,8.7849,0.1113,-10.8244,-0.2541,-0.028,0.0015,40
1.979,38,0.6708,2.0285,-19.5018,0.0566,0.0836,0.1412,70,2.016,38,8.8281,0.1393,-10.823,-0.2499,-0.087,0.0027,40
2.031,39,0.7047,2.0068,-19.4719,0.0593,0.0321,0.0954,70,2.068,39,8.9107,-0.0105,-11.0301,-0.0633,-0.1172,-0.0153,40
2.083,40,0.3012,1.9056,-19.235,-0.0493,0.0126,0.039,70,2.12,40,8.9737,0.1398,-11.1804,0.0873,-0.0607,-0.0386,40
2.135,41,0.3228,1.9586,-18.7463,-0.1831,0.0454,-0.0301,70,2.172,41,8.8699,0.4953,-11.0244,0.2698,-0.0513,-0.0346,40
2.187,42,0.3874,2.0771,-18.7894,-0.151,0.1515,-0.1059,70,2.223,42,8.8925,0.5019,-11.0511,0.0932,-0.0605,0.0063,40
2.238,43,0.75,2.3279,-19.0578,-0.0796,0.2515,-0.1424,70,2.275,43,8.826,0.4487,-11.2366,0.0042,-0.0447,-0.0017,40
2.29,44,1.2065,2.4966,-19.6585,-0.0679,0.2837,-0.152,70,2.327,44,8.8941,0.0955,-11.3879,0.0566,0.0057,-0.0218,40
2.342,45,1.5391,2.5155,-20.0034,-0.0704,0.2261,-0.1341,70,2.379,45,8.9576,0.3507,-11.2992,0.0686,0.0368,-0.0292,40
2.394,46,1.6449,2.4514,-20.1203,-0.0962,0.1535,-0.0948,70,2.431,46,8.9073,0.2526,-11.2118,0.186,0.0221,-0.0282,40
2.445,47,1.5829,2.4699,-19.8441,-0.0872,0.0805,-0.0398,70,2.482,47,8.8953,0.4453,-11.2015,0.1552,-0.0077,-0.0103,40
2.497,48,1.4926,2.4756,-19.5477,-0.1059,0.0173,0.0221,70,2.534,48,8.9177,0.3856,-11.2546,0.1602,-0.0212,0.0055,40
2.549,49,1.4222,2.41,-19.3504,-0.1136,-0.0022,0.0752,70,2.586,49,8.9148,0.3337,-11.2997,0.1238,-0.0103,0.0043,40
2.601,50,1.506,2.4004,-19.2848,-0.0451,0.0034,0.0948,70,2.638,50,8.8924,0.3964,-11.241,0.1072,-0.001,0.0035,40
2.653,51,1.4897,2.4986,-19.3892,0.0068,0.0062,0.1094,70,2.689,51,8.8055,0.3763,-11.2842,0.0427,0.0115,-0.0048,40
2.705,52,1.4,2.5031,-19.4616,0.0039,-0.001,0.1143,70,2.741,52,8.7905,0.3803,-11.2835,0.0544,0.0093,-0.0045,40
2.756,53,1.31,2.5676,-19.3495,0.0065,-0.0163,0.1157,70,2.793,53,8.7646,0.4026,-11.238,0.0219,0.0194,-0.0024,40
2.808,54,1.2394,2.5893,-19.2212,-0.0108,-0.0132,0.1153,70,2.845,54,8.634,0.6023,-11.3451,-0.1428,0.0331,-0.0217,40
