right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.492,9,10.0142,1.002,-9.0303,-2.1097,-0.2545,0.1477,70,0.008,0,8.3883,3.0115,-8.0831,0.0461,0.1123,-0.1709,39
0.544,10,10.1965,1.7592,-8.1186,-1.994,-0.0614,-0.0235,70,0.059,1,8.3061,3.1072,-8.0197,0.0616,0.0759,-0.1493,39
0.596,11,10.4531,0.9285,-8.4909,-1.1905,0.276,0.1571,70,0.111,2,8.2825,3.1768,-8.0104,0.0522,0.028,-0.1222,39
0.648,12,10.1307,0.706,-8.732,-0.8359,0.5213,0.2774,70,0.163,3,8.2342,3.2326,-8.0266,0.0202,-0.0157,-0.092,39
0.699,13,10.0773,0.8009,-8.7164,-0.5242,0.7271,0.3945,70,0.215,4,8.3161,3.2914,-7.9469,-0.0386,-0.0542,-0.0824,39
0.751,14,9.7829,0.7281,-8.3487,-0.4286,0.8558,0.5579,70,0.266,5,8.301,3.2565,-8.0415,-0.1026,-0.0852,-0.0691,39
0.803,15,9.6833,0.4434,-7.9893,-0.3421,0.74,0.5138,70,0.318,6,8.3184,3.252,-8.0966,-0.1655,-0.0775,-0.0698,39
0.855,16,9.5981,0.3203,-7.7315,-0.2997,0.5939,0.4349,70,0.37,7,8.3313,3.2543,-8.1265,-0.2456,-0.0725,-0.0631,39
0.907,17,9.509,0.0913,-7.6911,-0.3212,0.4945,0.3673,70,0.422,8,8.2598,3.2361,-8.0713,-0.2931,-0.0776,0.0045,39
0.958,18,9.4622,-0.0712,-7.6206,-0.2613,0.4262,0.293,70,0.474,9,8.319,3.2999,-7.9231,-0.2521,-0.0845,0.1964,39
1.01,19,9.4671,-0.2247,-7.525,-0.3452,0.3651,0.1813,70,0.525,10,8.5894,3.6662,-7.891,-0.2833,-0.2419,0.5372,39
1.062,20,9.6175,-1.0862,-6.9194,-0.4999,0.2573,-0.0495,70,0.577,11,8.921,4.6798,-8.9829,-0.8838,-0.6431,0.525,39
1.114,21,9.3788,-1.1119,-6.4987,-0.5908,-0.0328,-0.0033,70,0.629,12,8.2138,4.6825,-9.631,-1.3221,-0.9975,0.2267,39
1.166,22,9.6607,-0.7466,-6.345,-0.7193,-0.6842,0.064,70,0.68,13,8.307,4.1905,-9.754,-1.642,-0.8156,-0.0061,39
1.217,23,10.662,-0.1029,-7.0159,-0.7652,-1.0473,0.2694,70,0.732,14,8.4038,3.9852,-9.5122,-1.544,-0.4976,-0.2514,39
1.269,24,10.3295,0.5743,-8.1668,-0.9474,-1.2296,0.0645,70,0.784,15,8.798,3.4573,-9.3844,-1.5292,-0.404,-0.5358,39
1.321,25,8.5128,2.8666,-7.7753,-1.3658,-0.7808,-0.257,70,0.836,16,8.6117,1.9919,-10.3853,-1.7932,-0.5492,-0.606,39
1.373,26,8.2064,2.8702,-8.3312,-1.3664,0.0894,-0.6231,70,0.888,17,11.2454,-3.843,-8.8593,-1.6172,-0.4455,-0.1785,39
1.424,27,9.0568,2.3283,-9.3767,-0.516,0.6363,-0.8534,70,0.939,18,11.0208,-2.4849,-8.9005,-1.2362,-0.3999,-0.1345,39
1.476,28,11.8758,-3.5378,-12.615,-0.4122,0.8548,-0.4153,70,0.991,19,10.5345,-1.3905,-8.4079,-0.9294,-0.3076,-0.1384,39
1.528,29,11.5981,0.2371,-12.537,-0.6879,0.5675,-0.4985,70,1.043,20,10.0263,-0.2877,-8.5328,-0.7263,-0.3009,-0.1406,39
1.58,30,10.9223,0.3745,-11.6463,-0.2878,0.5699,-0.3201,70,1.095,21,9.7276,0.455,-8.6063,-0.5092,-0.3407,0.0006,39
1.632,31,10.4825,0.5767,-10.5439,-0.1953,0.5494,-0.1049,70,1.146,22,9.506,0.7709,-8.8387,-0.353,-0.3022,0.0788,39
1.683,32,10.2459,0.7478,-9.883,-0.0843,0.4978,0.0234,70,1.198,23,9.322,1.0657,-8.8711,-0.2346,-0.2006,0.1109,39
1.735,33,9.9603,0.6777,-9.3057,-0.0083,0.4307,0.1182,70,1.25,24,9.1621,1.2747,-8.8367,-0.131,-0.1556,0.1739,39
1.787,34,9.8182,0.7705,-8.6992,0.0416,0.424,0.1672,70,1.302,25,9.0811,1.2649,-9.0098,-0.0374,-0.1518,0.2831,39
1.839,35,9.706,0.703,-8.3502,0.0565,0.3979,0.2352,70,1.354,26,9.0439,1.1449,-9.0231,0.0092,-0.0447,0.2994,39
1.891,36,9.6344,0.5996,-8.1611,0.0738,0.3332,0.2545,70,1.406,27,8.9971,1.0524,-8.9469,0.0292,0.036,0.3003,39
1.942,37,9.6549,0.6599,-8.0074,0.0808,0.3165,0.2349,70,1.457,28,8.9607,0.8162,-8.9185,0.03,0.0704,0.2515,39
1.994,38,9.4295,0.6882,-7.6193,0.0593,0.2949,0.2495,70,1.509,29,8.871,0.856,-8.8492,0.05,0.1139,0.2263,39
2.046,39,9.2964,0.497,-7.3649,0.0227,0.2453,0.2735,70,1.561,30,8.8913,0.8383,-8.7474,0.0656,0.1318,0.2178,39
2.097,40,9.2618,0.2946,-7.233,0.0078,0.1694,0.2699,70,1.613,31,8.8766,0.8438,-8.6692,0.0547,0.1116,0.2103,39
2.149,41,9.2803,0.1382,-7.1638,-0.0075,0.1417,0.2667,70,1.664,32,8.8446,0.7314,-8.6042,0.0613,0.0953,0.2043,39
2.201,42,9.2486,-0.0187,-7.0688,0.0054,0.1277,0.2722,70,1.716,33,8.8057,0.7459,-8.5673,0.0594,0.0882,0.2002,39
2.253,43,9.219,-0.1624,-6.9705,0.0068,0.1339,0.3066,70,1.768,34,8.8911,0.6735,-8.5116,0.0468,0.0624,0.2122,39
