right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage
0.359,6,9.5048,-0.9379,-10.4763,-0.0285,-0.0116,0.2933,75
0.411,7,9.5671,-0.9007,-10.5315,-0.0141,-0.0539,0.1958,75
0.462,8,9.5026,-1.0783,-10.6503,0.0364,-0.0812,0.1423,75
0.514,9,9.6901,-0.784,-10.6911,0.0664,-0.0639,0.1058,75
0.566,10,9.6348,-0.9405,-10.7462,0.02,-0.0257,0.0798,75
0.618,11,9.5983,-0.921,-10.6637,-0.061,-0.019,0.0328,75
0.669,12,9.5343,-0.9478,-10.6296,-0.1558,-0.0735,-0.0273,75
0.721,13,9.487,-0.9488,-10.7801,-0.185,-0.1726,-0.1076,75
0.773,14,9.5833,-1.1045,-10.4446,-0.2375,-0.334,-0.189,75
0.825,15,9.6572,-0.4992,-10.9993,-0.1815,-0.3907,-0.2322,75
0.877,16,9.5652,-0.5737,-11.3664,-0.2386,-0.3575,-0.226,75
0.928,17,9.5126,-0.4471,-11.6068,-0.1827,-0.2698,-0.2152,75
0.98,18,9.4204,-0.3143,-11.7074,-0.1152,-0.1906,-0.2071,75
1.032,19,9.4554,-0.2335,-11.7398,-0.0575,-0.1722,-0.2128,75
1.083,20,9.3429,0.0179,-11.7512,-0.0131,-0.1908,-0.2114,75
1.135,21,9.5315,0.0823,-11.9334,0.0143,-0.2717,-0.2364,75
1.187,22,9.5373,0.031,-11.8094,0.18,-0.3361,-0.2654,75
1.239,23,9.106,0.2467,-10.392,0.3347,-0.0455,-0.2059,75
1.291,24,9.9538,-0.5256,-8.0088,0.1686,-0.2324,-0.1583,75
1.343,25,10.2597,-0.9484,-9.2591,0.0591,-0.1632,-0.058,75
1.394,26,10.3401,-0.7802,-9.9746,-0.0672,-0.1236,-0.0358,75
1.446,27,10.0896,-0.4811,-10.5509,-0.0443,-0.118,-0.0484,75
1.498,28,9.9984,-0.3462,-11.101,0.0544,-0.1881,-0.1009,75
1.55,29,9.8697,0.0253,-11.5007,0.0939,-0.1837,-0.1287,75
1.602,30,9.5457,0.2026,-11.8529,0.1676,-0.2101,-0.1392,75
1.654,31,9.3966,0.2583,-12.2149,0.145,-0.2101,-0.1283,75
1.705,32,9.3483,-0.0567,-11.5629,0.2104,-0.0066,-0.0515,75
1.757,33,9.5883,-0.1789,-11.5151,0.3153,0.2526,0.0645,75
1.809,34,9.5435,-0.0529,-11.6051,0.3883,0.3674,0.1695,75
1.86,35,9.3789,0.0414,-11.903,0.3157,0.3602,0.2213,75
1.912,36,9.0397,0.7881,-12.1271,0.2273,0.227,0.1575,75
1.964,37,9.1762,0.4513,-12.3644,0.3143,0.0698,0.1699,75
2.016,38,9.32,0.151,-12.5049,0.3565,0.0065,0.1643,75
2.068,39,9.5929,0.4206,-12.2031,0.2075,0.0399,0.23,75
2.119,40,9.5331,-0.1368,-12.0219,0.1262,0.0471,0.2674,75
2.171,41,9.5162,-0.7008,-11.8157,0.0674,0.0294,0.2463,75
2.223,42,9.4703,-0.8485,-11.7978,0.1837,0.0274,0.1489,75
2.275,43,9.4383,-0.7889,-11.751,0.2404,0.0358,0.0868,75
2.327,44,9.346,-1.3579,-11.6673,0.4152,0.0143,0.0316,75
2.378,45,9.324,-0.8656,-11.5526,0.7046,-0.0583,-0.0515,75
2.43,46,9.3799,-0.6658,-11.729,0.7067,-0.1223,-0.0499,75
2.482,47,9.5291,-0.333,-11.7234,0.5855,-0.1108,-0.0115,75
2.534,48,9.5861,0.1678,-11.7884,0.1776,-0.036,0.1021,75
2.586,49,9.262,-0.993,-11.9999,0.0022,0.0302,0.1294,75
2.637,50,9.2076,-1.3416,-11.8208,0.0702,0.0378,0.0612,75
2.689,51,9.2584,-1.1012,-11.7526,0.2958,-0.0015,0.0127,75
2.741,52,9.3488,-0.7911,-11.7828,0.1759,0.0107,0.0311,75
2.793,53,9.4047,-0.5694,-11.7658,-0.0318,0.0199,0.0727,75
2.844,54,9.2726,-1.3753,-11.8372,-0.1387,0.0408,0.0851,75
2.896,55,9.2692,-1.5063,-11.6443,0.0922,0.0289,0.0269,75
2.948,56,9.4357,-1.0621,-11.518,0.1015,0.0169,0.0231,75
3.0,57,9.3802,-1.2737,-11.5477,0.0974,0.0188,0.0399,75
3.052,58,9.4631,-0.9261,-11.4796,0.0647,0.0176,0.0531,75
3.103,59,9.4672,-1.137,-11.6004,-0.2336,0.0086,0.1025,75
3.155,60,9.3832,-1.4426,-11.6622,-0.2526,0.012,0.0967,75
3.207,61,9.4192,-1.5518,-11.5729,-0.2025,-0.0148,0.0762,75
3.259,62,9.4542,-1.1492,-11.7278,-0.159,-0.0125,0.0677,75
3.311,63,9.4753,-1.3172,-11.7151,-0.2461,0.0157,0.0875,75
3.362,64,9.4191,-1.5733,-11.6683,-0.2029,0.0403,0.0549,75
3.414,65,9.2879,-1.8916,-11.7612,0.1456,0.0408,-0.0224,75
3.466,66,9.5459,-0.9067,-11.4308,0.2452,-0.0001,-0.0419,75
3.518,67,9.4721,-1.2982,-11.5204,0.28,-0.0464,-0.0725,75
3.57,68,9.5153,-1.1443,-11.5563,0.4267,-0.0951,-0.1037,75
