right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage
0.066,1,9.741,0.2091,-11.374,-0.0504,-0.1373,0.1215,75
0.118,2,9.829,0.4277,-11.2541,-0.1345,-0.0981,0.1603,75
0.17,3,9.7715,0.5781,-11.045,-0.2346,0.0328,0.1369,75
0.221,4,9.8834,0.5244,-11.0485,-0.2855,0.2204,0.0948,75
0.273,5,9.8447,0.6163,-11.0422,-0.204,0.4041,0.0772,75
0.325,6,9.7788,0.7723,-11.0436,-0.0856,0.5321,0.0328,75
0.377,7,9.7603,0.7989,-10.9805,-0.0334,0.6178,-0.0287,75
0.428,8,9.8138,0.6406,-10.9239,-0.0394,0.5752,-0.0592,75
0.48,9,9.6732,0.6094,-10.858,0.0047,0.4423,-0.0422,75
0.532,10,9.4954,0.6872,-10.6908,-0.0397,0.3039,-0.0211,75
0.584,11,9.4392,0.5958,-10.5413,-0.2182,0.2285,-0.0297,75
0.636,12,9.3626,0.3716,-10.5248,-0.3018,0.1303,-0.0336,75
0.687,13,9.3717,0.2601,-10.4811,-0.2202,0.028,-0.0262,75
0.739,14,9.4295,0.2807,-10.2638,-0.1312,-0.0589,-0.042,75
0.791,15,9.5175,0.212,-10.1817,-0.0216,-0.0892,-0.0551,75
0.843,16,9.4317,0.4061,-10.1675,0.1392,-0.1315,-0.0429,75
0.895,17,9.4194,0.3897,-10.1209,0.1451,-0.2166,-0.017,75
0.946,18,9.5999,0.0771,-10.3133,-0.0231,-0.3113,0.0318,75
0.998,19,9.6003,-0.1911,-10.5821,-0.0752,-0.3846,0.1033,75
1.05,20,9.5153,-0.1869,-10.7917,-0.0238,-0.4647,0.1467,75
1.102,21,9.4616,-0.1254,-10.8667,-0.0514,-0.5147,0.1733,75
1.154,22,9.5582,-0.2083,-11.0986,-0.1074,-0.571,0.1848,75
1.206,23,9.5556,-0.1406,-11.2533,-0.0747,-0.5712,0.2042,75
1.257,24,9.5457,-0.1018,-11.449,-0.1031,-0.5461,0.2084,75
1.309,25,9.3353,-0.1007,-11.7731,-0.0803,-0.4806,0.2075,75
1.361,26,9.2161,-0.0615,-12.0216,-0.0252,-0.3949,0.1811,75
1.413,27,9.2263,-0.1394,-12.2335,0.0378,-0.2953,0.1394,75
1.464,28,9.2396,-0.1836,-12.4082,0.0779,-0.2077,0.1162,75
1.516,29,9.2119,-0.2367,-12.5817,0.079,-0.1317,0.1007,75
1.568,30,9.1982,-0.2858,-12.7961,0.0791,-0.0814,0.086,75
1.62,31,9.1767,-0.3325,-12.9738,0.0801,-0.057,0.0667,75
1.672,32,9.0993,-0.3997,-13.1968,0.0882,-0.0529,0.0425,75
1.723,33,8.9059,-0.5257,-13.4632,0.09,-0.0512,0.015,75
1.775,34,8.7663,-0.7034,-13.6897,0.0636,-0.052,-0.0024,75
1.827,35,8.8429,-0.8577,-13.8103,0.0287,-0.1047,0.0174,75
1.879,36,8.9728,-0.8881,-13.8158,-0.0549,-0.1595,0.0712,75
1.931,37,9.1179,-0.8642,-13.7891,-0.2137,-0.2192,0.1627,75
1.982,38,9.0761,-0.7422,-13.7451,-0.3813,-0.272,0.251,75
2.034,39,9.0839,-0.8291,-13.9709,-0.5609,-0.3817,0.3285,75
2.086,40,9.0333,-0.9966,-14.4172,-0.6968,-0.5318,0.393,75
2.138,41,9.2697,-1.5544,-15.9649,-0.5471,-0.8365,0.4641,75
2.189,42,9.4338,-1.9546,-16.8609,-0.4129,-1.2839,0.5966,75
2.241,43,9.2155,-2.235,-17.5535,-0.5109,-1.6104,0.7701,75
2.293,44,8.3228,-2.595,-17.9473,-0.5444,-1.8488,1.0305,75
2.345,45,6.7914,-2.3815,-17.8896,-0.7612,-2.0227,1.2895,75
2.397,46,4.9958,-2.0372,-17.9799,-1.0455,-2.1497,1.5055,75
2.449,47,3.7858,-1.6781,-17.9678,-1.2182,-2.1362,1.5838,75
2.5,48,3.2979,-1.3567,-18.0554,-1.1544,-2.0094,1.5283,75
2.552,49,3.0709,-1.0438,-17.8536,-0.9057,-1.8947,1.221,75
2.604,50,3.0194,-0.6095,-17.443,-0.5466,-1.7898,0.6422,75
2.656,51,3.219,-0.3131,-17.3185,-0.2065,-1.5664,0.0504,75
2.708,52,2.2867,-0.056,-17.5794,0.089,-1.1249,-0.3728,75
2.759,53,0.108,-0.0988,-18.2859,0.1391,-0.5958,-0.4774,75
2.811,54,-2.3907,-0.2789,-18.7868,0.0788,-0.2651,-0.4066,75
2.863,55,-3.3012,-0.6163,-18.9905,0.0451,-0.1929,-0.2829,75
2.915,56,-3.3329,-1.2563,-18.8424,-0.0322,-0.325,-0.0749,75
2.967,57,-3.8117,-1.8188,-19.1613,0.038,-0.3558,0.1134,75
3.018,58,-3.2416,-1.9651,-19.3932,0.3918,-0.2345,0.2309,75
3.07,59,-2.3839,-1.741,-19.1171,0.6424,-0.0967,0.25,75
3.122,60,-2.3163,-1.2183,-18.6358,0.7029,-0.0703,0.1096,75
3.174,61,-2.3641,-0.5974,-18.2558,0.6035,-0.0401,-0.1205,75
3.225,62,-2.0848,-0.5565,-18.5391,0.3663,0.1113,-0.3974,75
3.277,63,-2.0752,-0.8182,-19.6963,0.1404,0.3801,-0.8003,75
3.329,64,-2.1479,-1.5178,-20.19,-0.0433,0.4733,-1.1033,75
