right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.089,1,9.5352,-1.4637,-10.4818,-0.0479,-0.1199,-0.1565,66,0.883,17,8.9311,0.842,-9.7689,-0.0976,0.027,-0.2128,39
0.14,2,9.5144,-1.4263,-10.5346,-0.0487,-0.1445,-0.134,66,0.935,18,8.9297,0.7552,-9.8499,-0.0834,-0.0029,-0.1682,39
0.192,3,9.5321,-1.3205,-10.6532,-0.0643,-0.1551,-0.1079,66,0.987,19,8.9708,0.8554,-9.8941,-0.0618,-0.0026,-0.1513,39
0.244,4,9.4994,-1.2742,-10.7865,-0.0444,-0.137,-0.0901,66,1.039,20,8.9412,0.9541,-9.8723,-0.046,-0.0026,-0.1326,39
0.296,5,9.5119,-1.2235,-10.879,-0.0164,-0.0983,-0.0922,66,1.09,21,8.9399,1.0098,-9.8739,-0.0448,-0.0129,-0.1008,39
0.348,6,9.5395,-1.1473,-10.9023,-0.0391,-0.0567,-0.0887,66,1.142,22,8.9462,1.0458,-9.8882,-0.0196,-0.0234,-0.0697,39
0.399,7,9.5282,-1.1241,-10.8332,-0.0401,-0.0482,-0.0764,66,1.194,23,8.9293,1.1349,-9.9202,-0.0198,-0.021,-0.063,39
0.451,8,9.5535,-1.0731,-10.8256,-0.0417,-0.0503,-0.0621,66,1.246,24,8.8663,1.1738,-10.0005,-0.0288,-0.0133,-0.0614,39
0.503,9,9.5724,-1.0576,-10.8931,-0.0235,-0.0472,-0.0469,66,1.298,25,8.9324,1.1658,-9.9572,-0.0458,-0.0044,-0.0482,39
0.555,10,9.5794,-1.0766,-10.9351,-0.0493,-0.0345,-0.04,66,1.349,26,8.901,1.1992,-9.8701,-0.0131,-0.0167,0.0028,39
0.607,11,9.6214,-1.0882,-10.8618,-0.0191,-0.027,-0.0286,66,1.402,27,8.8577,1.3527,-9.7722,0.0001,-0.08,0.1122,39
0.659,12,9.5281,-1.0875,-10.8415,-0.0204,-0.0747,-0.0172,66,1.453,28,8.9202,1.1213,-10.1445,-0.0088,-0.1478,0.1788,39
0.71,13,9.5854,-1.0466,-11.4016,-0.0899,-0.1202,0.0365,66,1.505,29,8.9902,0.6925,-10.3746,0.0064,-0.121,0.095,39
0.762,14,9.5769,-1.194,-11.3837,-0.1723,-0.0392,0.0849,66,1.557,30,9.0054,0.6635,-10.4105,0.017,-0.0325,-0.0086,39
0.814,15,9.6561,-1.2036,-11.2459,-0.1626,0.0298,0.0385,66,1.608,31,8.9654,0.902,-10.2888,-0.0271,-0.0009,-0.0733,39
0.866,16,9.7037,-1.2094,-11.1263,-0.134,0.056,0.0106,66,1.66,32,8.9707,0.9991,-10.235,-0.0038,0.0095,-0.0895,39
0.917,17,9.6933,-1.1278,-10.9654,-0.1438,0.0234,0.0055,66,1.712,33,8.9452,1.0387,-10.2076,-0.0233,0.0089,-0.082,39
0.969,18,9.5513,-1.0827,-10.9015,-0.1503,-0.0621,0.0166,66,1.764,34,8.9443,1.1348,-10.1937,-0.0448,0.0043,-0.0686,39
1.021,19,9.4032,-1.1719,-11.3066,-0.0461,-0.1272,0.0106,66,1.816,35,8.947,1.1433,-10.2006,-0.0848,-0.0039,-0.0639,39
1.073,20,9.4332,-1.2657,-11.4244,-0.0629,-0.1181,-0.0277,66,1.867,36,8.982,0.9596,-10.1561,-0.0804,-0.0195,-0.0582,39
1.125,21,9.4195,-1.0507,-11.4408,-0.0356,-0.0884,-0.0491,66,1.919,37,8.9928,0.9169,-10.1663,0.0251,-0.0293,-0.0569,39
1.176,22,9.3946,-1.0301,-11.4748,-0.0359,-0.0525,-0.0438,66,1.971,38,9.0124,1.0393,-10.2714,0.1804,-0.006,-0.0706,39
1.228,23,9.4264,-1.0381,-11.4198,-0.0274,-0.0275,-0.0384,66,2.023,39,9.0407,1.1498,-10.265,0.2177,0.0346,-0.0843,39
1.28,24,9.5249,-1.0262,-11.3458,0.0022,-0.0027,-0.0395,66,2.074,40,8.9493,1.3806,-10.2217,0.2097,0.0652,-0.0593,39
1.332,25,9.4922,-0.964,-11.356,0.0409,-0.0305,-0.0295,66,2.126,41,8.95,1.3431,-10.2036,0.2113,0.0809,-0.0045,39
1.384,26,9.5695,-0.9723,-11.2282,0.0637,-0.1317,0.0187,66,2.178,42,8.9157,1.3608,-10.1568,0.2126,0.0946,0.0535,39
1.435,27,9.6029,-1.3526,-11.3485,0.098,-0.233,0.1258,66,2.23,43,8.9219,1.2953,-10.1,0.1848,0.0895,0.1066,39
1.487,28,9.5341,-1.4802,-11.5627,0.0557,-0.3074,0.1918,66,2.282,44,9.0454,1.2386,-10.034,0.1806,0.0625,0.1642,39
1.539,29,9.3141,-1.1405,-11.5872,0.1859,-0.2697,0.1909,66,2.333,45,9.0161,1.1184,-9.9562,0.149,0.0522,0.2529,39
1.59,30,8.9637,-1.1509,-11.7125,0.2137,-0.1173,0.127,66,2.385,46,9.001,1.0807,-9.8441,0.1339,-0.0289,0.3432,39
1.642,31,8.8259,-0.7179,-11.1555,0.213,0.0497,0.0483,66,2.437,47,9.0219,0.9046,-9.8402,0.1455,-0.1359,0.3916,39
1.694,32,10.069,-0.7918,-11.0501,-0.0124,-0.0546,0.194,66,2.489,48,9.0979,0.6071,-10.174,0.01,-0.2274,0.4057,39
1.746,33,10.8399,-1.6081,-10.7129,-0.1062,-0.0121,0.1868,66,2.54,49,8.9851,0.4112,-10.4305,0.3019,-0.1963,0.2828,39
1.798,34,10.3164,-1.3302,-10.8593,-0.1204,0.127,0.1753,66,2.592,50,8.9776,-0.049,-10.4251,0.6758,-0.0707,0.1842,39
1.849,35,10.0452,-1.8024,-10.8473,-0.0815,0.1746,0.1924,66,2.644,51,8.9123,-0.2285,-10.2754,0.7091,0.0561,0.1147,39
1.902,36,10.0166,-1.65,-10.8616,-0.0792,0.2553,0.1683,66,2.696,52,8.9107,-0.2403,-10.1354,0.2463,0.0923,0.1126,39
1.953,37,9.7858,-1.779,-10.753,-0.043,0.336,0.1321,66,2.748,53,8.7612,-0.8331,-11.1905,0.0373,0.225,0.0791,39
2.005,38,9.6115,-1.778,-10.5184,-0.0565,0.295,0.1052,66,2.799,54,9.0854,-1.2157,-10.8497,0.1298,0.2471,0.02,39
2.057,39,9.5514,-1.7541,-10.3833,-0.0725,0.1988,0.1015,66,2.851,55,9.0535,-0.9303,-10.4579,0.0378,0.2285,-0.0306,39
2.108,40,9.5371,-1.7962,-10.4042,-0.0551,0.13,0.0932,66,2.903,56,8.9766,-0.8327,-10.266,0.0507,0.2004,-0.0576,39
2.16,41,9.5354,-1.8862,-10.4139,-0.043,0.0901,0.0734,66,2.955,57,8.9663,-0.4141,-10.1061,0.0269,0.1682,-0.0726,39
2.212,42,9.5135,-1.9585,-10.3143,-0.0524,0.0562,0.0671,66,3.007,58,8.9963,-0.486,-10.0028,0.028,0.1601,-0.0924,39
2.264,43,9.5438,-1.9386,-10.3942,-0.0467,0.02,0.0621,66,3.058,59,9.0404,-0.1225,-9.8082,0.0402,0.1202,-0.0979,39
2.316,44,9.5482,-1.9628,-10.3829,-0.0318,0.0413,0.0362,66,3.11,60,8.9824,-0.0877,-9.7472,0.0111,0.0732,-0.0842,39
2.368,45,9.4966,-1.9233,-10.3444,-0.0186,0.0489,0.0132,66,3.162,61,9.0645,-0.1336,-9.764,-0.0408,0.0468,-0.0992,39
2.42,46,9.5306,-1.9284,-10.3382,-0.0108,0.034,-0.005,66,3.214,62,9.0889,0.0038,-9.6977,0.0001,0.0496,-0.1103,39
2.471,47,9.4889,-1.947,-10.2871,-0.0067,0.033,-0.0203,66,3.265,63,9.06,0.0525,-9.6294,0.0072,0.047,-0.1039,39
2.523,48,9.477,-1.9043,-10.3267,0.0585,0.0366,-0.0365,66,3.317,64,9.0156,0.1313,-9.6295,-0.0251,0.0284,-0.0954,39
2.575,49,9.4579,-1.8672,-10.1949,0.0286,-0.0303,-0.0222,66,3.369,65,9.0016,0.1514,-9.6041,0.0027,0.0145,-0.091,39
2.626,50,9.4708,-1.8087,-10.1619,-0.0246,-0.1219,0.0024,66,3.421,66,9.0752,0.203,-9.66,-0.0483,0.0016,-0.0948,39
2.678,51,9.5321,-1.8141,-10.3531,-0.0653,-0.196,0.0235,66,3.473,67,9.0874,0.3868,-9.6189,-0.0331,0.0098,-0.1037,39
2.73,52,9.5115,-1.86,-10.5381,-0.1059,-0.2258,0.036,66,3.524,68,9.0251,0.3535,-9.6223,-0.0728,0.0081,-0.1229,39
2.782,53,9.6095,-1.8277,-10.6781,-0.135,-0.2365,0.0438,66,3.576,69,9.0227,0.5015,-9.6203,-0.0808,0.0044,-0.132,39
2.834,54,9.7283,-1.7541,-10.7778,-0.1868,-0.2758,0.0696,66,3.628,70,9.0802,0.3921,-9.5952,-0.078,0.0013,-0.1284,39
2.885,55,9.8081,-1.6785,-10.8885,-0.2077,-0.3509,0.0995,66,3.68,71,9.0282,0.696,-9.5795,-0.0656,0.0021,-0.109,39
2.937,56,9.7903,-1.6901,-11.0343,-0.2041,-0.4296,0.1221,66,3.731,72,9.0042,0.7194,-9.5768,-0.1147,-0.0085,-0.0665,39
