right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.033,0,9.2335,-0.9523,-11.8142,0.2907,-0.506,-0.2906,92,0.63,12,7.4458,2.6333,-15.5035,0.1431,-1.4942,-0.7732,63
0.085,1,9.5565,-1.1523,-11.8124,0.272,-0.8228,-0.3682,92,0.681,13,6.5458,2.1112,-14.707,0.14,-1.5918,-0.7886,63
0.136,2,9.8447,-0.6997,-12.6402,0.1737,-0.889,-0.3454,92,0.733,14,5.9114,1.7397,-14.3113,0.0603,-1.4173,-0.6595,63
0.188,3,9.8172,-0.3584,-12.95,-0.0283,-0.7709,-0.1167,92,0.785,15,5.7261,1.8198,-14.6793,0.0881,-1.0723,-0.4264,63
0.24,4,9.3948,-0.6589,-13.729,-0.1185,-0.6569,0.0517,92,0.837,16,5.4806,1.7716,-15.1979,-0.0496,-0.7523,-0.2608,63
0.292,5,9.3614,-0.5595,-14.2695,-0.1718,-0.3163,0.1628,92,0.888,17,5.3417,1.9355,-15.7703,-0.1709,-0.509,-0.125,63
0.344,6,9.209,-0.8498,-14.3509,-0.2514,0.1049,0.2246,92,0.94,18,5.2879,2.3264,-16.1871,-0.1343,-0.3586,-0.0188,63
0.396,7,8.9613,-0.4099,-13.7509,-0.109,0.3944,0.1757,92,0.992,19,5.1178,2.768,-16.6159,-0.0607,-0.3224,0.0263,63
0.448,8,8.7445,-0.4386,-13.2117,0.0397,0.6031,0.1282,92,1.044,20,4.8185,3.2279,-16.7886,-0.1229,-0.2726,0.0315,63
0.499,9,9.1496,-0.4346,-12.6503,0.0192,0.5102,0.1996,92,1.096,21,4.3185,3.317,-16.7731,-0.1412,-0.2029,0.0838,63
0.551,10,9.1905,-0.8177,-12.7113,0.0432,0.4002,0.1651,92,1.147,22,4.1111,3.3714,-16.9196,-0.1235,-0.1344,0.115,63
0.603,11,9.3513,-0.646,-12.5573,-0.0247,0.3904,0.1995,92,1.199,23,4.3222,3.3833,-17.1617,-0.1287,-0.0631,0.1009,63
0.655,12,9.228,-0.8893,-12.4834,-0.3083,0.3621,0.2779,92,1.251,24,4.6177,3.2238,-17.4871,-0.1502,-0.0041,0.1016,63
0.707,13,9.0776,-1.6461,-12.1365,-0.3363,0.2494,0.1804,92,1.303,25,4.5494,3.0692,-17.4849,-0.128,-0.0024,0.0998,63
0.758,14,9.1042,-1.5193,-12.1131,-0.1892,0.1237,0.097,92,1.355,26,4.4656,3.1137,-17.5194,-0.0258,0.0026,0.0811,63
0.81,15,9.153,-1.5957,-12.2792,-0.0213,0.1087,0.0609,92,1.406,27,4.421,3.2375,-17.5691,0.1872,0.0053,0.0482,63
0.862,16,9.1594,-1.295,-12.2103,0.2879,0.0549,-0.0989,92,1.458,28,4.3174,3.1707,-17.5617,0.3763,0.0144,0.0177,63
0.913,17,9.314,-1.0679,-12.1401,0.2483,-0.0223,-0.0578,92,1.51,29,4.3719,2.893,-17.532,0.4807,0.0306,-0.0113,63
0.965,18,9.6405,-0.491,-12.2303,-0.1056,0.0856,0.1243,92,1.562,30,4.6053,2.7389,-17.6845,0.4192,0.0172,-0.0199,63
1.017,19,9.4549,-0.998,-12.2458,-0.2546,0.1079,0.1877,92,1.613,31,4.6136,2.5147,-17.5688,0.3498,-0.0163,-0.0173,63
1.069,20,9.179,-1.5577,-12.1125,-0.2472,0.0892,0.1458,92,1.665,32,4.5275,2.3958,-17.4168,0.347,-0.0068,-0.0236,63
1.121,21,9.3901,-1.0431,-12.1599,-0.0171,0.0041,0.0031,92,1.717,33,4.7371,2.2386,-17.0677,0.3142,0.0654,-0.0108,63
1.172,22,9.4019,-1.1129,-12.1205,0.1361,-0.0201,-0.0287,92,1.769,34,4.6778,2.0124,-16.7906,0.2611,0.2299,0.0173,63
1.224,23,9.5082,-1.0515,-11.961,0.1687,-0.0685,-0.0701,92,1.821,35,4.8764,2.0062,-17.0334,0.3261,0.3961,0.0271,63
1.276,24,9.692,-0.8386,-11.9794,0.0149,-0.0335,0.0066,92,1.872,36,5.1254,1.9487,-17.3348,0.321,0.4428,0.0314,63
1.328,25,9.5051,-1.2012,-12.0215,-0.1276,-0.0135,0.0479,92,1.924,37,5.3683,1.9724,-17.6184,0.2752,0.413,0.0541,63
1.38,26,9.3029,-1.6168,-12.0447,-0.107,-0.005,0.0203,92,1.976,38,5.3862,1.8046,-17.6135,0.1922,0.3383,0.063,63
1.431,27,9.4902,-1.2787,-11.9915,0.0429,-0.0338,-0.0674,92,2.028,39,5.4454,1.7173,-17.609,0.1676,0.2595,0.0615,63
1.483,28,9.4257,-1.3715,-11.914,0.0581,-0.0683,-0.0676,92,2.079,40,5.4047,1.6515,-17.5249,0.0863,0.1764,0.0583,63
1.535,29,9.308,-1.5497,-12.0543,0.1156,-0.1604,-0.1445,92,2.131,41,5.3748,1.6447,-17.4678,0.0387,0.0969,0.0496,63
1.587,30,9.4118,-1.1509,-12.1899,0.1979,-0.1806,-0.1679,92,2.183,42,5.333,1.6095,-17.3994,-0.0061,0.031,0.0456,63
1.639,31,9.4753,-0.9333,-12.1715,0.1147,-0.0922,-0.0496,92,2.235,43,5.3923,1.5719,-17.2958,-0.0238,-0.0235,0.0448,63
1.69,32,9.4009,-1.0381,-12.2458,0.0797,-0.0653,-0.0326,92,2.286,44,5.4853,1.5428,-17.2193,-0.0476,-0.0576,0.0374,63
1.742,33,9.5402,-0.788,-12.2591,-0.0483,-0.0118,0.0529,92,2.338,45,5.5673,1.5181,-17.1771,-0.0232,-0.0611,0.0186,63
1.794,34,9.4284,-1.0104,-12.3831,-0.1927,0.0555,0.1244,92,2.39,46,5.582,1.5325,-17.196,-0.0629,-0.0669,0.0091,63
1.846,35,9.2898,-1.2329,-12.3455,-0.1931,0.0864,0.1373,92,2.442,47,5.4946,1.5131,-17.1473,-0.1113,-0.0835,0.0063,63
1.897,36,9.1639,-1.388,-12.3109,-0.0127,0.0691,0.0719,92,2.493,48,5.4323,1.4363,-17.0161,-0.1193,-0.0789,0.021,63
1.949,37,9.2602,-1.187,-12.2076,0.014,0.0767,0.0546,92,2.545,49,5.461,1.403,-16.9251,-0.0958,-0.0441,0.0423,63
2.001,38,9.1722,-1.4912,-12.2039,0.0044,0.0007,0.0189,92,2.597,50,5.535,1.4544,-17.0063,-0.0965,0.008,0.0631,63
2.053,39,9.3016,-1.3291,-12.2732,0.048,-0.0096,-0.0236,92,2.649,51,5.6379,1.5267,-17.135,-0.1122,0.0224,0.0729,63
2.105,40,9.3024,-1.3249,-12.263,-0.005,0.0347,0.0516,92,2.701,52,5.5841,1.649,-17.1859,-0.0829,0.013,0.0686,63
2.157,41,9.2214,-1.5044,-12.2213,-0.014,0.0425,0.0563,92,2.753,53,5.4651,1.7096,-17.1705,-0.0664,0.0062,0.0451,63
2.208,42,9.2238,-1.4759,-12.1551,0.0511,0.0355,0.0208,92,2.804,54,5.459,1.7721,-17.1791,-0.0468,-0.0022,0.013,63
2.26,43,9.2538,-1.3467,-12.0796,0.0292,0.0243,0.0024,92,2.856,55,5.4551,1.7531,-17.1782,-0.0336,-0.0033,-0.0257,63
2.312,44,9.3131,-1.3419,-12.225,0.007,-0.0276,-0.0176,92,2.908,56,5.4922,1.7526,-17.2075,-0.0267,-0.0071,-0.0508,63
2.364,45,9.3615,-1.2633,-12.2553,-0.013,0.0056,0.0085,92,2.96,57,5.4621,1.7666,-17.2015,-0.0514,-0.0253,-0.0455,63
2.416,46,9.2988,-1.4953,-12.1953,-0.0609,0.0046,0.0302,92,3.011,58,5.364,1.7649,-17.0933,-0.0475,-0.0373,-0.0308,63
2.467,47,9.1975,-1.5903,-12.2084,-0.0135,-0.0045,-0.0093,92,3.063,59,5.3164,1.7656,-17.004,-0.0173,-0.0216,-0.0296,63
2.519,48,9.2684,-1.4077,-12.1402,0.0037,-0.0026,-0.0127,92,3.115,60,5.3912,1.785,-17.0308,-0.0005,0.0102,-0.0362,63
2.571,49,9.2963,-1.3427,-12.18,-0.0062,-0.0369,-0.0336,92,3.167,61,5.477,1.8267,-17.1197,-0.0119,0.0266,-0.0344,63
2.623,50,9.3356,-1.2359,-12.2442,-0.0154,-0.0417,-0.0386,92,3.218,62,5.5551,1.8926,-17.1692,-0.0166,0.025,-0.0198,63
2.675,51,9.3839,-1.1624,-12.2512,-0.062,-0.0218,-0.0036,92,3.27,63,5.5009,1.9278,-17.1362,-0.0059,0.0213,-0.0193,63
2.726,52,9.2814,-1.3164,-12.2852,-0.0445,-0.0269,-0.0153,92,3.322,64,5.4332,1.9677,-17.0919,0.001,0.0258,-0.0278,63
2.778,53,9.2786,-1.2534,-12.2339,0.0075,-0.0384,-0.0439,92,3.374,65,5.4313,1.9624,-17.0563,0.0471,0.0385,-0.0496,63
2.83,54,9.3243,-1.1072,-12.278,0.0287,-0.0441,-0.0526,92,3.426,66,5.5823,1.9182,-17.0675,0.0429,0.0465,-0.0604,63
2.882,55,9.3519,-1.0577,-12.2951,0.0119,-0.0421,-0.02,92,3.477,67,5.6579,1.9085,-17.0833,0.0135,0.0474,-0.0462,63
2.934,56,9.3052,-1.2567,-12.2836,-0.0203,-0.0384,0.0207,92,3.529,68,5.631,1.8405,-17.053,-0.0169,0.041,-0.0242,63
2.985,57,9.2661,-1.3095,-12.3356,0.0212,-0.0335,-0.0068,92,3.581,69,5.6055,1.748,-17.0145,-0.0614,0.0285,-0.0089,63
3.037,58,9.1694,-1.42,-12.3327,0.1507,-0.037,-0.0656,92,3.633,70,5.5483,1.7909,-16.9921,-0.0571,0.0184,0.025,63
3.089,59,9.3168,-1.0966,-12.2507,0.2434,-0.0723,-0.1465,92,3.685,71,5.4701,1.8568,-16.9927,-0.0435,0.0248,0.0613,63
3.141,60,9.387,-0.9895,-12.3417,0.2374,-0.1291,-0.1508,92,3.736,72,5.5603,1.9177,-17.0285,-0.0519,0.0252,0.0786,63
3.192,61,9.4149,-0.801,-12.3416,0.0117,-0.0176,0.0268,92,3.788,73,5.6946,1.9532,-17.0765,-0.0543,0.0158,0.083,63
3.244,62,9.3209,-1.1255,-12.3648,-0.1202,0.0189,0.1081,92,3.84,74,5.7067,1.911,-17.0459,-0.054,0.0133,0.0714,63
3.296,63,9.302,-1.14,-12.3764,-0.0965,0.0372,0.0885,92,3.892,75,5.7032,1.867,-17.0594,-0.0775,0.0168,0.0598,63
3.348,64,9.3014,-1.1324,-12.3683,-0.1136,0.0468,0.0917,92,3.943,76,5.6501,1.8038,-17.0291,-0.0808,0.0136,0.0556,63
3.4,65,9.2349,-1.4498,-12.3491,-0.1005,0.0267,0.0588,92,3.995,77,5.6323,1.7734,-17.0074,-0.0767,0.015,0.0533,63
3.451,66,9.2268,-1.2056,-12.4009,0.0217,0.0094,-0.007,92,4.047,78,5.6223,1.8622,-17.0097,-0.0859,-0.0113,0.0569,63
3.503,67,9.3609,-1.0592,-12.384,-0.0008,0.0181,0.0126,92,4.099,79,5.4554,1.9618,-16.9317,-0.1078,-0.0525,0.0611,63
3.555,68,9.3179,-1.1916,-12.4516,-0.0168,0.0025,0.0237,92,4.151,80,5.2889,2.0278,-16.7978,-0.1128,-0.0631,0.0511,63
3.607,69,9.3617,-0.9756,-12.4779,-0.115,0.046,0.0808,92,4.203,81,5.5026,2.0717,-16.7443,-0.0053,-0.0194,0.006,63
3.659,70,9.2753,-1.2267,-12.4104,-0.2464,0.0257,0.1093,92,4.254,82,5.7208,2.1655,-16.8962,0.0388,0.0555,-0.0544,63
3.711,71,9.2778,-1.2362,-12.4535,-0.2663,0.0615,0.1022,92,4.306,83,5.6357,2.0906,-16.9928,0.0139,0.1018,-0.0959,63
3.762,72,9.3146,-1.245,-12.3327,-0.2982,0.0948,0.1178,92,4.358,84,5.5728,2.0242,-17.0446,-0.0268,0.0915,-0.0812,63
3.814,73,9.1928,-1.6159,-12.2991,-0.2529,0.105,0.1127,92,4.41,85,5.4037,1.977,-17.0149,-0.0473,0.0562,-0.0545,63
3.866,74,8.8738,-2.2287,-12.1592,0.0121,0.0903,0.0297,92,4.461,86,5.4288,2.0474,-16.9264,-0.0587,0.0162,-0.0313,63
3.918,75,9.0448,-1.5976,-12.0415,0.1771,-0.0046,-0.1006,92,4.513,87,5.4582,2.2218,-16.8208,-0.0692,-0.0069,-0.0001,63
3.969,76,9.2197,-1.2488,-12.2516,0.2778,-0.1561,-0.1949,92,4.565,88,5.6158,2.2983,-16.7866,-0.068,-0.0091,0.0135,63
4.021,77,9.44,-0.8821,-12.3194,0.1831,-0.0853,-0.0978,92,4.617,89,5.806,2.3616,-16.8327,-0.0446,0.0031,-0.0135,63
4.073,78,9.3546,-1.1052,-12.3602,-0.086,-0.0066,0.0669,92,4.669,90,5.8708,2.284,-16.8678,-0.0553,0.0051,-0.0354,63
4.125,79,9.1677,-1.6172,-12.3115,-0.1792,0.0358,0.083,92,4.72,91,5.863,2.1907,-16.863,-0.0675,-0.0104,-0.0404,63
