right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.712,13,9.4261,-0.8196,-8.6058,-0.0976,0.2682,0.0526,71,0.122,2,8.6345,2.2939,-8.4186,0.0654,0.0986,-0.0331,39
0.764,14,9.5352,-0.7083,-8.537,-0.0674,0.2738,0.0602,71,0.174,3,8.6113,2.3614,-8.3919,0.0083,0.1219,-0.0327,39
0.816,15,9.4361,-0.8424,-8.2808,-0.0737,0.2731,0.068,71,0.226,4,8.6205,2.3259,-8.1927,-0.0315,0.1494,-0.0361,39
0.867,16,9.4093,-0.8352,-8.187,-0.0492,0.2194,0.0666,71,0.278,5,8.5326,2.5042,-8.0269,-0.0433,0.1143,-0.0254,39
0.919,17,9.3605,-1.0681,-8.045,-0.0536,0.1597,0.0614,71,0.329,6,8.6683,2.4261,-8.0558,-0.0403,0.0971,-0.0129,39
0.971,18,9.3564,-1.0778,-8.0295,-0.0076,0.1039,0.0656,71,0.381,7,8.5914,2.4513,-7.9905,-0.0457,0.0878,-0.007,39
1.023,19,9.3957,-1.0259,-8.0461,-0.0192,0.0878,0.0819,71,0.433,8,8.5335,2.4716,-7.9442,-0.0455,0.0578,0.0216,39
1.074,20,9.3109,-1.13,-7.8897,-0.0382,0.0754,0.0833,71,0.485,9,8.5758,2.3394,-8.0377,-0.0714,0.0343,0.0411,39
1.126,21,9.3898,-0.9788,-8.0089,-0.109,0.0531,0.0952,71,0.536,10,8.5471,2.4297,-7.9412,-0.0504,0.0187,0.0614,39
1.178,22,9.3511,-1.3355,-8.0149,-0.2366,0.0849,0.1043,71,0.588,11,8.5368,2.4011,-7.9594,-0.0424,-0.0218,0.0862,39
1.23,23,9.2933,-1.4288,-7.8013,-0.2102,0.0634,0.0801,71,0.64,12,8.5479,2.4147,-7.9902,-0.0807,-0.0573,0.1072,39
1.282,24,9.2209,-1.6733,-7.7516,-0.1769,0.0013,0.0736,71,0.692,13,8.6891,2.2949,-8.1279,-0.2365,-0.0784,0.0739,39
1.333,25,9.1723,-1.6041,-7.8379,-0.0648,-0.0497,0.0477,71,0.744,14,8.6072,2.319,-8.0504,-0.2036,-0.069,0.0489,39
1.385,26,9.0983,-1.7382,-7.8147,-0.0964,-0.0958,0.0064,71,0.795,15,8.5977,2.177,-8.0569,-0.1618,-0.0714,0.0391,39
1.437,27,9.1308,-1.6547,-7.7791,-0.0086,-0.2046,-0.0498,71,0.847,16,8.5357,2.2113,-7.9867,-0.0724,-0.072,0.036,39
1.489,28,9.18,-1.7706,-7.8716,0.1204,-0.3677,-0.1337,71,0.899,17,8.5289,2.039,-7.9209,-0.0074,-0.0919,0.0252,39
1.541,29,9.3399,-1.5434,-8.0118,0.281,-0.5756,-0.2148,71,0.951,18,8.4787,2.004,-8.117,0.2405,-0.0811,-0.0153,39
1.592,30,9.8344,-1.4289,-7.7698,0.2418,-0.8303,-0.3161,71,1.003,19,8.7158,1.6051,-8.2371,0.3292,-0.0876,-0.0232,39
1.644,31,9.349,-0.5921,-9.4795,0.3489,-0.7031,-0.2946,71,1.055,20,8.59,2.4963,-8.1899,0.4222,-0.1177,-0.029,39
1.696,32,9.6601,-1.2758,-9.9557,0.0861,-0.5282,-0.1975,71,1.106,21,8.3712,2.6766,-8.2909,0.3939,-0.1611,-0.0077,39
1.748,33,9.9561,-0.3763,-9.9869,-0.0577,-0.2972,-0.1641,71,1.158,22,8.7264,2.1267,-8.5623,0.2458,-0.2129,0.0007,39
1.8,34,9.9817,-0.638,-9.8535,0.0093,-0.1971,-0.0982,71,1.21,23,8.8314,2.1726,-8.6097,0.3889,-0.2063,0.0241,39
1.851,35,9.9769,-1.3822,-9.4687,-0.2371,-0.0542,0.0195,71,1.262,24,8.7551,2.145,-8.8844,0.3942,-0.1427,0.0332,39
1.903,36,9.7972,-1.256,-9.3324,-0.0347,0.1431,0.1501,71,1.314,25,8.5469,2.3908,-8.9923,0.4078,-0.0932,0.0428,39
1.955,37,9.6784,-0.8166,-9.94,0.1913,0.2004,0.2363,71,1.365,26,8.5006,2.4018,-9.0841,0.3783,-0.0848,0.0814,39
