right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage
0.358,6,9.334,-1.9683,-11.0454,-0.0488,-0.093,-0.1319,75
0.41,7,9.302,-1.8601,-11.055,-0.0582,-0.1858,-0.17,75
0.461,8,9.2815,-1.7129,-11.0389,-0.1055,-0.3623,-0.2124,75
0.513,9,9.4391,-1.7023,-11.2635,-0.1139,-0.6215,-0.2698,75
0.565,10,10.2756,-1.2069,-11.5493,-0.1601,-0.7802,-0.3081,75
0.617,11,10.0766,-1.1698,-12.0928,-0.2336,-0.8132,-0.251,75
0.668,12,9.8015,-0.8993,-12.4668,-0.2351,-0.7221,-0.2149,75
0.72,13,8.9436,-1.7922,-13.7891,-0.3787,-0.6049,-0.1389,75
0.772,14,9.5198,-1.8587,-15.2484,-0.6457,-0.8149,-0.0284,75
0.824,15,10.0816,-2.0204,-16.4981,-0.6597,-1.1683,-0.0532,75
0.876,16,10.0403,-1.8116,-17.3961,-0.528,-1.5261,-0.0922,75
0.927,17,9.7451,-1.4511,-18.2243,-0.4237,-1.7872,-0.0826,75
0.979,18,8.8625,-1.1494,-18.5497,-0.2922,-1.9778,-0.0097,75
1.031,19,7.7314,-0.6782,-17.6782,-0.1565,-2.1169,0.0633,75
1.082,20,6.2787,0.0788,-16.1511,-0.1002,-2.2184,0.1147,75
1.134,21,4.7945,0.1576,-13.9201,-0.239,-1.7544,-0.3219,75
1.186,22,3.3857,0.7095,-13.4338,-0.1449,-1.4861,-0.2651,75
1.238,23,2.2931,0.5184,-14.3004,-0.0718,-1.1143,-0.2805,75
1.29,24,1.8256,0.221,-15.7851,-0.1032,-0.7902,-0.2249,75
1.341,25,1.3685,-0.1391,-17.4768,-0.0681,-0.4848,-0.2202,75
1.393,26,1.0279,-0.2949,-18.7332,-0.0219,-0.3827,-0.163,75
1.445,27,0.5998,-0.2734,-19.288,0.042,-0.3911,-0.0874,75
1.497,28,0.4058,0.0688,-19.0589,0.0838,-0.3913,-0.0239,75
