right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.163,3,9.4032,-1.2893,-11.4169,0.0796,-0.2236,-0.047,93,0.046,0,8.9253,-0.2636,-11.2406,-0.1539,-0.3709,0.189,63
0.215,4,9.8732,-1.2931,-11.1335,0.0386,-0.545,-0.093,93,0.098,1,8.7015,-0.1972,-11.6976,-0.2006,-0.4811,0.1794,63
0.266,5,10.8279,-1.1237,-11.3273,-0.1683,-0.7993,-0.1336,93,0.15,2,8.4453,-0.1684,-11.9766,-0.2021,-0.5397,0.1378,63
0.318,6,7.8914,-1.082,-11.0886,0.4003,-0.3997,-0.1094,93,0.201,3,8.2973,0.0645,-12.0548,-0.2287,-0.5427,0.0786,63
0.37,7,7.3228,-1.5214,-12.8223,0.9687,0.2553,-0.0868,93,0.253,4,8.3596,0.1917,-12.002,-0.4012,-0.495,0.0144,63
0.422,8,6.6351,-1.3637,-12.8433,0.2358,0.7352,-0.0675,93,0.305,5,8.4457,0.3755,-11.854,-0.4049,-0.3894,0.0103,63
0.474,9,6.817,-1.5003,-12.4932,0.7895,0.4955,0.0378,93,0.357,6,9.047,-1.0881,-11.9909,-0.0682,-0.0137,0.0142,63
0.525,10,7.6593,-2.1227,-12.4774,0.3561,0.3825,0.0459,93,0.409,7,9.1047,-0.4837,-11.8868,-0.229,0.2121,0.0615,63
0.577,11,8.3211,-1.5497,-12.1896,0.4048,0.315,0.0815,93,0.46,8,9.125,-1.2893,-11.6405,-0.3337,0.2312,0.0576,63
0.629,12,8.559,-1.7356,-12.0864,0.0747,0.2772,0.0922,93,0.512,9,9.2694,-0.8058,-11.7716,-0.2899,0.1703,0.0564,63
0.681,13,8.7698,-1.6239,-12.0457,0.0849,0.2182,0.0726,93,0.564,10,9.1693,-0.8248,-11.7272,-0.2121,0.1835,0.0721,63
0.733,14,9.0263,-1.6105,-11.9786,0.0921,0.1622,0.0612,93,0.616,11,9.0682,-0.3926,-11.349,-0.0154,0.0773,0.0821,63
0.784,15,9.1469,-1.6423,-11.9326,0.0269,0.1379,0.0638,93,0.667,12,9.42,-0.4933,-11.2776,0.1608,-0.1773,0.0972,63
0.836,16,9.0727,-1.7491,-11.941,0.0434,0.096,0.0537,93,0.719,13,9.9296,-0.3108,-13.34,0.1209,-0.7,0.1662,63
0.888,17,9.1305,-1.7425,-11.8533,0.0074,0.0449,0.0532,93,0.771,14,10.9702,-0.0622,-15.7416,0.1879,-1.1777,0.1534,63
0.94,18,9.2172,-1.4892,-11.7602,-0.0348,0.0226,0.0605,93,0.823,15,10.6493,-0.0164,-16.3629,0.3134,-1.5263,0.1484,63
0.991,19,8.9956,-1.9845,-11.8976,-0.1465,0.0065,0.0592,93,0.875,16,9.6348,-0.3052,-15.834,0.2955,-1.7808,0.2233,63
1.043,20,8.8991,-2.1551,-11.9837,-0.0017,-0.022,0.021,93,0.926,17,7.9417,-0.589,-15.3976,0.1173,-1.9665,0.2957,63
1.095,21,8.9151,-2.2724,-11.9859,0.4271,-0.0932,-0.0365,93,0.978,18,6.1215,-0.3417,-15.8414,-0.1454,-2.0987,0.2778,63
1.147,22,9.0438,-1.4825,-11.8518,0.5503,-0.1337,-0.0515,93,1.03,19,4.7093,-0.3057,-16.2594,-0.3411,-2.0642,0.1815,63
1.199,23,9.0003,-1.7479,-12.1031,0.4643,-0.1208,-0.027,93,1.082,20,3.7254,-0.5501,-16.111,-0.2744,-1.8766,0.0617,63
1.25,24,9.1008,-1.6969,-12.0681,0.3022,-0.0717,-0.0014,93,1.133,21,2.7419,-0.4224,-16.4109,-0.2017,-1.6312,-0.0195,63
1.302,25,9.087,-1.7181,-11.9678,0.2333,-0.0423,0.005,93,1.185,22,1.855,-0.4205,-16.9383,-0.2091,-1.3604,-0.0755,63
1.354,26,9.0943,-1.8038,-11.8824,0.1963,-0.0499,0.0072,93,1.237,23,1.32,-0.2932,-17.5219,-0.1659,-1.1232,-0.1159,63
1.406,27,9.118,-1.7943,-11.9887,0.1441,-0.0424,0.0208,93,1.289,24,0.8339,-0.2055,-17.8951,-0.1032,-0.9358,-0.1659,63
1.458,28,9.1855,-1.6271,-12.0437,0.0173,-0.008,0.0462,93,1.341,25,0.3392,-0.0448,-18.3113,-0.0995,-0.7553,-0.1932,63
1.509,29,9.3441,-0.5323,-12.1535,-0.2214,0.0927,0.1176,93,1.392,26,-0.0061,-0.021,-18.542,-0.0765,-0.5599,-0.1952,63
1.561,30,9.1424,-1.8345,-12.1136,-0.5188,0.1087,0.1304,93,1.444,27,-0.3337,0.031,-18.7186,-0.032,-0.3991,-0.1844,63
1.613,31,9.1615,-1.6504,-12.1861,-0.4371,0.0529,0.09,93,1.496,28,-0.6003,-0.0056,-18.8955,-0.0546,-0.2668,-0.1478,63
1.665,32,9.0253,-2.0479,-12.2597,-0.3054,0.0213,0.0563,93,1.548,29,-0.8289,-0.0227,-19.0454,-0.0797,-0.1825,-0.1111,63
1.716,33,8.9691,-2.1044,-12.327,-0.0001,0.0097,0.0141,93,1.6,30,-0.9711,0.0689,-19.3874,-0.0718,-0.1326,-0.0855,63
1.768,34,9.0767,-1.9316,-12.1025,0.1633,-0.0148,-0.0147,93,1.651,31,-1.0068,0.0177,-19.5388,0.0011,-0.1072,-0.0834,63
1.82,35,9.2031,-1.7111,-12.0267,0.3541,-0.0806,-0.0421,93,1.703,32,-1.1268,0.0319,-19.7351,-0.0104,-0.086,-0.0778,63
1.872,36,9.38,-1.343,-12.1094,0.0354,-0.0047,0.0181,93,1.755,33,-1.165,-0.002,-19.7153,-0.0225,-0.0806,-0.0802,63
1.924,37,9.0846,-2.2009,-12.1863,-0.307,0.0609,0.0519,93,1.807,34,-1.0918,-0.0689,-19.6901,-0.0019,-0.066,-0.0809,63
1.975,38,9.0191,-2.0447,-12.2094,-0.2824,0.0464,0.0276,93,1.858,35,-1.0453,-0.0938,-19.5766,0.0064,-0.0523,-0.0736,63
2.027,39,9.0803,-2.0218,-12.2502,-0.2078,0.026,0.0175,93,1.91,36,-0.9848,-0.2817,-19.4435,0.023,-0.0351,-0.0919,63
2.079,40,9.0009,-2.2768,-12.2905,-0.0636,0.0196,0.0011,93,1.962,37,-1.1109,-0.1408,-19.4892,0.0002,0.0051,-0.1081,63
2.131,41,9.1597,-1.8829,-12.1374,0.1995,0.0126,-0.0215,93,2.014,38,-1.004,-0.0402,-19.5775,0.0486,0.0478,-0.1261,63
2.183,42,9.2845,-1.8695,-12.1933,0.2071,0.0105,-0.0201,93,2.066,39,-0.981,0.0296,-19.7363,0.0682,0.0902,-0.1378,63
2.234,43,9.3341,-1.9572,-11.8745,-0.022,0.0561,0.0001,93,2.117,40,-0.9627,0.0264,-19.8442,0.0372,0.0975,-0.1315,63
2.286,44,9.3577,-1.7964,-11.881,0.0455,0.0747,-0.0041,93,2.169,41,-0.9439,0.1155,-19.9082,0.0344,0.0776,-0.1101,63
2.338,45,9.3857,-1.8377,-11.8182,0.0004,0.0771,0.0081,93,2.221,42,-0.9453,0.0434,-19.7545,0.0593,0.0593,-0.0702,63
2.39,46,9.3528,-1.8958,-11.8498,0.0048,0.0729,-0.0014,93,2.272,43,-0.961,-0.06,-19.5816,0.051,0.0603,-0.0441,63
2.441,47,9.403,-1.8181,-11.7563,0.0223,0.0634,-0.0026,93,2.324,44,-1.1116,-0.0709,-19.4762,-0.027,0.0702,-0.0251,63
2.493,48,9.4498,-1.8462,-11.5649,-0.1158,0.0692,0.0114,93,2.376,45,-1.1527,-0.156,-19.4995,0.0136,0.0924,-0.0226,63
2.545,49,9.4621,-1.8475,-11.656,-0.0581,0.065,0.0058,93,2.428,46,-1.0276,-0.0365,-19.6729,0.0715,0.1011,-0.0302,63
2.597,50,9.397,-1.9469,-11.6627,0.0136,0.0596,0.0022,93,2.48,47,-1.0204,-0.0962,-19.7937,0.0389,0.0796,-0.02,63
2.649,51,9.4021,-1.8349,-11.697,0.0074,0.0526,0.0009,93,2.531,48,-0.9979,-0.1382,-19.8363,0.0468,0.0485,-0.0034,63
2.701,52,9.4267,-1.6614,-11.7326,-0.1009,0.0629,0.0188,93,2.583,49,-0.9564,-0.097,-19.6298,0.041,0.0088,0.0127,63
2.753,53,9.3439,-1.9952,-11.7425,0.0071,0.0596,0.0095,93,2.635,50,-0.9578,-0.1976,-19.5374,0.0303,-0.0019,0.0298,63
2.804,54,9.3513,-2.0684,-11.663,0.0554,0.0612,0.0018,93,2.687,51,-0.9274,-0.1806,-19.6028,0.039,-0.0037,0.0376,63
2.856,55,9.3303,-1.9766,-11.5603,0.1817,0.0223,-0.016,93,2.738,52,-0.8481,-0.1977,-19.7147,0.0376,-0.0083,0.0437,63
2.908,56,9.3657,-2.0321,-11.5362,0.2787,-0.0331,-0.0387,93,2.79,53,-0.8091,-0.1884,-19.7762,0.0292,-0.0209,0.0516,63
2.96,57,9.3788,-1.9546,-11.6129,0.2964,-0.0421,-0.0449,93,2.842,54,-0.7641,-0.174,-19.7015,0.0167,-0.0286,0.0499,63
3.011,58,9.3419,-1.9236,-11.6597,0.2953,-0.0325,-0.0473,93,2.894,55,-0.7462,-0.149,-19.6599,0.0346,-0.0182,0.0333,63
3.063,59,9.3589,-1.7788,-11.619,0.2493,-0.0289,-0.0371,93,2.946,56,-0.6857,-0.1379,-19.5776,0.0212,0.0049,0.0124,63
3.115,60,9.3201,-1.8779,-11.6028,0.1534,-0.0258,-0.0223,93,2.997,57,-0.6932,-0.1379,-19.6012,-0.0057,0.0281,-0.0019,63
3.167,61,9.3416,-1.8878,-11.6361,0.0455,-0.0175,-0.0087,93,3.049,58,-0.696,-0.132,-19.6348,-0.0045,0.0427,-0.0178,63
3.219,62,9.3591,-1.9085,-11.6403,0.04,-0.0101,-0.0036,93,3.101,59,-0.6884,-0.066,-19.6379,-0.0106,0.0539,-0.0405,63
3.27,63,9.4078,-1.8407,-11.5578,-0.007,0.0065,0.0104,93,3.153,60,-0.6453,-0.0756,-19.671,-0.0251,0.0658,-0.0714,63
3.322,64,9.4437,-1.8199,-11.4429,-0.3753,0.0576,0.0685,93,3.205,61,-0.6251,-0.0305,-19.7032,-0.03,0.0692,-0.1088,63
3.374,65,9.3367,-1.8607,-11.4487,-0.1376,0.0308,0.0392,93,3.256,62,-0.6387,-0.0238,-19.7497,-0.0298,0.0597,-0.1404,63
3.426,66,9.3314,-1.9924,-11.507,-0.0929,0.0126,0.0213,93,3.308,63,-0.5648,-0.0248,-19.7075,-0.0241,0.0451,-0.1626,63
3.478,67,9.2995,-1.9588,-11.547,0.0104,-0.0017,0.0017,93,3.36,64,-0.5205,-0.0358,-19.6221,-0.0376,0.039,-0.1677,63
3.529,68,9.2792,-1.9588,-11.5061,0.0954,-0.0312,-0.0141,93,3.412,65,-0.5193,-0.0669,-19.5388,-0.0392,0.0567,-0.1604,63
