right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.003,0,9.245,-2.1928,-10.7418,0.1658,-0.1071,0.0662,70,0.978,18,2.6039,0.4753,-18.3198,0.0834,-0.5472,-0.3601,39
0.054,1,9.4124,-2.0204,-10.7591,0.1575,-0.1627,0.0752,70,1.03,19,2.3143,0.4218,-18.6145,0.1234,-0.4328,-0.3987,39
0.106,2,9.5433,-1.7864,-11.0488,-0.0396,-0.0989,0.1032,70,1.082,20,2.1305,0.4345,-18.8601,0.1431,-0.3465,-0.4099,39
0.158,3,9.456,-2.2485,-11.014,-0.3467,-0.0142,0.1323,70,1.134,21,1.9237,0.5808,-18.9175,0.1096,-0.3102,-0.3379,39
0.21,4,9.3599,-2.3404,-10.9634,-0.3539,-0.0296,0.1005,70,1.186,22,1.6058,0.8674,-18.8014,0.0975,-0.2576,-0.2275,39
0.262,5,9.4521,-2.1685,-11.0114,-0.3031,-0.0512,0.0703,70,1.237,23,1.3841,0.8958,-18.8113,0.0486,-0.2152,-0.1398,39
0.313,6,9.3289,-2.2376,-11.1343,-0.2686,-0.054,0.0409,70,1.289,24,1.2257,0.8396,-18.8638,-0.0318,-0.1613,-0.0727,39
0.365,7,9.2661,-2.279,-11.1428,-0.1793,-0.0552,0.0268,70,1.341,25,1.2796,0.8125,-18.9998,-0.0216,-0.0853,-0.0322,39
0.417,8,9.3715,-2.1586,-11.2151,-0.1663,-0.0481,0.0168,70,1.393,26,1.2917,0.7742,-19.1305,-0.0187,-0.0252,-0.0004,39
0.469,9,9.3494,-2.1492,-11.3327,-0.1518,-0.0312,0.0019,70,1.444,27,1.2261,0.7379,-19.2947,0.0328,0.0215,0.0075,39
0.521,10,9.411,-2.0731,-11.2506,-0.1625,-0.0166,-0.0057,70,1.496,28,1.2956,0.6361,-19.4281,0.0367,0.0397,0.0065,39
0.572,11,9.2528,-2.5371,-11.1952,-0.1157,-0.0362,-0.0162,70,1.548,29,1.3179,0.608,-19.5355,0.1315,0.0528,0.0092,39
0.624,12,9.4545,-1.835,-11.1215,0.081,-0.0373,-0.0494,70,1.6,30,1.4156,0.5357,-19.5808,0.1759,0.0411,0.0176,39
0.676,13,9.2425,-2.1128,-10.9839,0.1792,-0.0665,-0.0408,70,1.652,31,1.3521,0.5124,-19.5637,0.1753,0.0165,0.0227,39
0.728,14,9.9061,-1.2991,-11.0452,0.2523,-0.1585,-0.0488,70,1.704,32,1.3443,0.4648,-19.4808,0.1831,-0.0037,0.0341,39
0.779,15,9.7074,-1.63,-11.2948,0.1615,-0.1508,-0.0295,70,1.755,33,1.3002,0.3776,-19.3672,0.1458,-0.0034,0.028,39
0.831,16,9.6592,-1.7464,-11.2986,0.1282,-0.1407,-0.019,70,1.807,34,1.2776,0.2818,-19.3369,0.1297,0.0145,0.0124,39
0.883,17,9.6185,-1.765,-11.4822,0.1385,-0.1612,-0.0051,70,1.859,35,1.3264,0.2173,-19.3957,0.1431,0.035,0.0012,39
0.935,18,9.615,-1.7553,-11.4961,0.0312,-0.1313,0.0208,70,1.911,36,1.3593,0.1262,-19.5308,0.0839,0.0238,0.0269,39
0.987,19,9.3822,-2.0529,-11.8021,0.0262,-0.123,0.012,70,1.962,37,1.3564,0.0844,-19.5114,0.0733,-0.0092,0.0678,39
1.038,20,9.4349,-1.979,-11.7459,0.054,-0.1197,0.0147,70,2.014,38,1.2957,0.1029,-19.375,0.0756,-0.0343,0.1031,39
1.09,21,9.4114,-1.8753,-11.7996,-0.015,-0.0635,0.0258,70,2.066,39,1.2093,0.1809,-19.2733,0.0779,-0.0255,0.1148,39
1.142,22,9.3087,-2.0337,-11.8561,-0.0407,-0.0529,0.0345,70,2.118,40,1.1916,0.2779,-19.3103,0.0843,0.0034,0.1018,39
1.194,23,9.2906,-1.9361,-11.8634,-0.0674,0.0071,0.0328,70,2.169,41,1.2433,0.2713,-19.4352,0.097,0.0379,0.0887,39
1.245,24,9.1629,-2.1455,-11.9259,-0.0745,0.0176,0.027,70,2.221,42,1.2958,0.1753,-19.4996,0.081,0.0313,0.0703,39
1.297,25,9.2036,-2.0809,-11.8828,-0.0855,0.0354,0.0148,70,2.273,43,1.3623,0.1072,-19.5014,0.0719,0.005,0.065,39
1.349,26,9.1957,-2.1696,-11.8345,-0.0767,0.0191,0.0032,70,2.325,44,1.4387,0.0274,-19.4901,0.0511,-0.0153,0.0731,39
1.401,27,9.1083,-2.2455,-11.8189,-0.0259,-0.0005,-0.0103,70,2.376,45,1.4869,-0.0883,-19.5077,0.0148,-0.029,0.0793,39
1.453,28,8.909,-2.4514,-11.9105,0.1869,-0.0426,-0.0307,70,2.428,46,1.5349,-0.1764,-19.6404,0.006,-0.0639,0.0827,39
1.505,29,9.1087,-2.0212,-11.9505,0.383,-0.0838,-0.0602,70,2.48,47,1.5323,-0.2288,-19.6758,0.0473,-0.1063,0.0877,39
1.556,30,9.2099,-2.0769,-12.009,0.3516,-0.1018,-0.0512,70,2.532,48,1.4302,-0.2876,-19.5513,0.0396,-0.1475,0.0887,39
1.608,31,9.3836,-2.0596,-12.0534,0.2498,-0.042,-0.0252,70,2.584,49,1.2786,-0.3376,-19.3645,0.0312,-0.1533,0.0795,39
1.66,32,9.4098,-1.8845,-11.9112,0.0734,0.0368,0.0047,70,2.635,50,1.1804,-0.2483,-19.3123,0.0456,-0.1196,0.0618,39
1.712,33,9.2742,-2.056,-11.8953,-0.0971,0.0643,0.0355,70,2.687,51,1.1181,-0.2667,-19.5872,0.0212,-0.1234,0.0494,39
1.763,34,9.258,-1.9997,-11.8093,-0.0988,0.0576,0.0345,70,2.739,52,0.9625,-0.2098,-19.8475,0.1215,-0.1499,0.0427,39
1.815,35,9.3081,-2.0273,-11.7948,-0.1413,0.0625,0.0466,70,2.791,53,0.8586,-0.2804,-19.7438,0.1532,-0.1959,0.0447,39
1.867,36,9.2658,-2.1191,-11.7026,-0.1765,0.0671,0.0494,70,2.842,54,0.7466,-0.3338,-19.3866,0.1465,-0.1841,0.0451,39
1.919,37,9.3102,-2.0473,-11.7741,-0.2262,0.0684,0.0455,70,2.894,55,0.6591,-0.3457,-19.0784,0.0837,-0.1133,0.0396,39
1.971,38,9.183,-2.2041,-11.7573,-0.2362,0.0572,0.0284,70,2.946,56,0.5856,-0.4,-19.0741,0.0239,0.0011,0.0168,39
2.022,39,9.0583,-2.5353,-11.7583,-0.1691,0.0291,0.017,70,2.998,57,0.677,-0.3378,-19.3117,0.0263,0.101,-0.0141,39
2.074,40,9.3067,-2.0715,-11.7078,-0.0905,0.0069,-0.0112,70,3.05,58,0.7512,-0.3124,-19.5461,0.0015,0.1411,-0.0461,39
2.126,41,9.2276,-2.1764,-11.5707,-0.018,-0.0522,-0.0325,70,3.101,59,0.7683,-0.3652,-19.6405,0.0133,0.1458,-0.098,39
2.178,42,9.3006,-2.0675,-11.7479,0.1221,-0.0808,-0.0351,70,3.153,60,0.7992,-0.3757,-19.6527,0.0112,0.1311,-0.149,39
2.23,43,9.2584,-2.0278,-11.7605,0.0859,-0.0374,-0.0209,70,3.205,61,0.8866,-0.4212,-19.5971,0.0173,0.1215,-0.1752,39
2.281,44,9.1713,-2.2075,-11.8178,0.0807,-0.0633,-0.0239,70,3.257,62,0.8991,-0.5062,-19.5299,0.0037,0.112,-0.1752,39
2.333,45,9.1595,-2.1982,-11.9116,0.1307,-0.0685,-0.0328,70,3.309,63,0.9771,-0.5211,-19.5094,-0.0018,0.0982,-0.1627,39
2.385,46,9.2828,-2.017,-11.7759,0.233,-0.0723,-0.0402,70,3.36,64,1.0783,-0.531,-19.4956,-0.0113,0.0879,-0.129,39
2.436,47,9.3381,-2.0555,-11.7263,0.285,-0.1027,-0.0342,70,3.412,65,1.1475,-0.5106,-19.5602,-0.0201,0.08,-0.095,39
2.489,48,9.3173,-1.9882,-11.8483,0.3108,-0.1212,-0.0361,70,3.464,66,1.2239,-0.471,-19.6069,-0.0017,0.059,-0.0719,39
2.54,49,9.3444,-1.9366,-11.9593,0.2849,-0.1061,-0.0262,70,3.516,67,1.3124,-0.4568,-19.6488,0.0081,0.0322,-0.0477,39
2.592,50,9.3493,-1.8147,-12.0649,0.1221,-0.0498,0.0007,70,3.567,68,1.3338,-0.5154,-19.62,0.0597,0.0017,-0.0161,39
2.644,51,9.0503,-2.7103,-12.1918,-0.0077,-0.0119,0.0247,70,3.619,69,1.3047,-0.522,-19.5125,0.0684,-0.0339,0.0177,39
2.696,52,9.0535,-2.6177,-12.0903,-0.0232,0.0047,0.0189,70,3.671,70,1.2597,-0.5118,-19.4171,0.0796,-0.0387,0.0461,39
2.747,53,9.0905,-2.5103,-11.9722,-0.0515,-0.0103,0.0219,70,3.723,71,1.2295,-0.5531,-19.3561,0.0207,-0.0175,0.0661,39
2.799,54,9.0486,-2.4241,-11.9905,0.0046,-0.0211,0.0217,70,3.775,72,1.2092,-0.5683,-19.3762,0.0212,0.007,0.0549,39
2.851,55,9.1052,-2.3417,-11.9427,0.0497,-0.0342,0.0165,70,3.826,73,1.2193,-0.5895,-19.4588,0.0291,0.0186,0.0283,39
2.903,56,9.1659,-2.1833,-12.014,0.0329,-0.0381,0.0198,70,3.878,74,1.1675,-0.5704,-19.4805,0.0677,0.0155,0.011,39
2.955,57,9.2231,-2.044,-12.0837,-0.0519,0.0014,0.0327,70,3.93,75,1.1484,-0.6302,-19.4617,0.0264,0.0086,0.0003,39
3.007,58,9.1865,-2.2667,-12.0086,-0.1745,0.0424,0.0466,70,3.982,76,1.1536,-0.6179,-19.4104,0.0381,0.0074,-0.0107,39
3.058,59,9.1646,-2.2692,-11.8635,-0.1715,0.0603,0.043,70,4.033,77,1.1586,-0.6159,-19.403,0.0138,0.0114,-0.0231,39
3.11,60,9.1221,-2.2762,-11.9523,-0.1079,0.0171,0.0406,70,4.085,78,1.1694,-0.6131,-19.4449,0.0261,0.0228,-0.0416,39
3.162,61,9.1939,-2.2769,-11.9373,-0.0638,-0.0149,0.0352,70,4.137,79,1.2302,-0.5817,-19.5266,0.0256,0.0197,-0.0551,39
3.213,62,9.2055,-2.1217,-11.9643,-0.0471,-0.0346,0.0267,70,4.189,80,1.3023,-0.5629,-19.5546,0.0077,0.0048,-0.0511,39
3.265,63,9.1698,-2.1183,-11.9379,-0.1023,-0.0394,0.0341,70,4.241,81,1.3308,-0.5502,-19.446,-0.0107,0.001,-0.032,39
3.317,64,9.1724,-2.2696,-11.9811,-0.107,-0.0584,0.0331,70,4.292,82,1.3271,-0.5985,-19.3643,-0.0426,0.0183,-0.0135,39
3.369,65,9.1487,-2.3033,-12.0216,-0.057,-0.0512,0.0198,70,4.344,83,1.3617,-0.5944,-19.3938,-0.0668,0.04,0.0058,39
3.421,66,9.1448,-2.2386,-12.0663,-0.0249,-0.0431,0.0126,70,4.396,84,1.3897,-0.6081,-19.4149,-0.0807,0.0354,0.0401,39
3.472,67,9.069,-2.2096,-12.1181,0.1141,-0.0359,-0.0136,70,4.447,85,1.3342,-0.6078,-19.3798,-0.0752,0.0259,0.064,39
3.524,68,9.1584,-2.0964,-12.0538,0.1274,-0.0408,-0.0133,70,4.499,86,1.2389,-0.5965,-19.3349,-0.0379,0.0339,0.0676,39
3.576,69,9.14,-2.1276,-12.1452,0.0704,-0.04,-0.0053,70,4.551,87,1.3491,-0.5385,-19.4447,-0.0324,0.0448,0.0466,39
3.628,70,9.1522,-2.1026,-12.1843,-0.0066,-0.0128,0.0062,70,4.603,88,1.4057,-0.4847,-19.5221,-0.0124,0.0478,0.0378,39
3.68,71,9.1543,-2.1512,-12.1842,-0.0607,0.013,0.0099,70,4.655,89,1.3898,-0.497,-19.4971,-0.0134,0.0338,0.0265,39
3.732,72,9.1519,-2.0734,-12.1624,-0.0919,0.0825,0.0128,70,4.707,90,1.391,-0.4863,-19.495,-0.0017,0.0177,0.0116,39
3.784,73,9.1282,-2.0976,-12.1358,-0.1041,0.0896,0.0135,70,4.759,91,1.4389,-0.449,-19.5246,-0.0172,0.0073,0.0131,39
3.835,74,9.0684,-2.2476,-12.0487,-0.0747,0.0717,0.0024,70,4.81,92,1.4323,-0.4535,-19.5831,-0.0294,-0.0118,0.0137,39
3.887,75,9.0041,-2.4039,-11.9203,0.0347,0.0506,-0.0024,70,4.862,93,1.3896,-0.4574,-19.583,-0.0053,-0.0499,-0.011,39
3.939,76,9.2254,-2.0361,-11.9052,0.1905,-0.0084,-0.0222,70,4.914,94,1.3831,-0.4341,-19.485,-0.0025,-0.0759,-0.0241,39
3.99,77,9.199,-2.0211,-12.0337,0.2034,-0.0305,-0.014,70,4.965,95,1.3652,-0.4391,-19.3482,-0.0037,-0.07,-0.0173,39
4.042,78,9.244,-2.0864,-12.0128,0.1908,-0.0299,-0.0088,70,5.017,96,1.3533,-0.4868,-19.2823,-0.0018,-0.0343,-0.0141,39
4.094,79,9.2555,-2.0639,-12.0419,0.1655,-0.0218,-0.0088,70,5.069,97,1.3899,-0.5031,-19.3332,-0.0133,-0.0058,-0.0082,39
4.146,80,9.2549,-2.0619,-12.0257,0.0817,-0.0015,0.0018,70,5.121,98,1.3675,-0.4921,-19.4015,-0.0017,0.0098,0.0057,39
4.198,81,9.1919,-2.2225,-11.9894,0.084,0.008,0.0014,70,5.173,99,1.3694,-0.4932,-19.4479,-0.0078,0.0166,0.0167,39
4.249,82,9.207,-2.2002,-11.9164,0.1008,-0.0043,-0.0032,70,5.224,100,1.3548,-0.5029,-19.4366,-0.0,0.0219,0.0176,39
4.302,83,9.2211,-2.1297,-11.9706,0.0394,-0.0011,0.0097,70,5.276,101,1.3077,-0.4765,-19.4365,-0.0065,0.0271,0.0154,39
4.353,84,9.217,-2.1825,-11.9072,-0.1719,0.0221,0.0476,70,5.328,102,1.27,-0.465,-19.4248,-0.0129,0.0307,0.0243,39
4.405,85,9.1912,-2.2383,-11.9488,-0.2103,0.0336,0.0509,70,5.38,103,1.256,-0.465,-19.4107,-0.0149,0.0296,0.0313,39
4.457,86,9.1763,-2.2265,-11.9399,-0.2152,0.0576,0.04,70,5.431,104,1.2887,-0.4358,-19.4243,-0.0231,0.0215,0.0357,39
4.509,87,9.1336,-2.2394,-11.9404,-0.1632,0.0619,0.0278,70,5.483,105,1.3316,-0.3915,-19.4422,-0.0171,0.0151,0.0366,39
4.561,88,9.1523,-2.2423,-11.9032,-0.1211,0.0581,0.0278,70,5.535,106,1.3892,-0.3666,-19.4451,-0.0158,0.0143,0.033,39
4.612,89,9.1767,-2.1796,-11.906,-0.098,0.0478,0.0252,70,5.587,107,1.3995,-0.3101,-19.4324,-0.0073,0.0207,0.0167,39
4.664,90,9.172,-2.1987,-11.9202,-0.0641,0.0354,0.0166,70,5.639,108,1.4415,-0.2561,-19.4625,-0.0165,0.0223,-0.0184,39
