right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.403,7,10.0312,-0.7238,-12.0851,0.0648,0.4893,0.2318,93,0.045,0,8.7203,-0.2892,-11.9293,0.4245,0.0376,-0.1668,63
0.455,8,10.0589,-0.9749,-11.801,-0.0955,0.4045,0.2592,93,0.097,1,8.6013,-0.0981,-11.9411,0.5347,0.0428,-0.1445,63
0.506,9,9.7048,-1.3076,-11.5866,-0.1606,0.3223,0.2419,93,0.149,2,8.6186,0.2365,-11.6205,0.4636,0.0194,-0.1181,63
0.558,10,9.4886,-1.4831,-11.273,-0.0941,0.2403,0.1711,93,0.201,3,8.703,0.1643,-11.5531,0.3628,0.0066,-0.0689,63
0.61,11,9.4027,-2.2376,-10.7794,0.0532,0.0922,0.083,93,0.253,4,8.7555,0.0439,-11.5483,0.2839,-0.0309,-0.0184,63
0.662,12,9.5676,-1.0127,-11.2067,0.4086,0.0057,0.0107,93,0.305,5,8.7945,-0.0341,-11.6789,0.2362,-0.0705,0.0177,63
0.714,13,9.6132,-1.0087,-11.0014,0.3864,0.0106,0.0584,93,0.357,6,8.7739,-0.0326,-11.5988,0.2201,-0.1084,0.0308,63
0.766,14,9.4788,-1.2542,-10.9058,0.292,0.0027,0.0693,93,0.408,7,8.8438,-0.299,-11.7458,0.2477,-0.2376,0.0279,63
0.817,15,9.4266,-1.3602,-10.7477,0.2521,-0.0516,0.0826,93,0.46,8,9.0023,-0.3143,-11.5324,0.2393,-0.3764,0.0003,63
0.869,16,9.4798,-1.0824,-10.9119,0.0883,-0.032,0.106,93,0.512,9,10.0885,-0.8025,-11.0021,0.1405,-0.593,-0.1019,63
0.921,17,9.5073,-1.3172,-10.9338,0.1395,0.006,0.0771,93,0.564,10,10.4376,-1.6062,-12.2948,-0.2779,-0.8843,-0.184,63
0.973,18,9.4994,-1.3437,-10.8271,0.1392,0.0262,0.0757,93,0.616,11,10.2411,2.4186,-15.8911,-0.4691,-1.3122,-0.5532,63
1.024,19,9.4253,-1.8515,-10.8103,0.0495,0.0184,0.0563,93,0.667,12,9.8408,3.0372,-17.0127,-0.3352,-1.6245,-0.9415,63
1.076,20,9.4026,-2.0441,-10.7961,0.0979,0.0042,0.017,93,0.719,13,8.649,2.4361,-16.8474,-0.38,-1.8524,-1.0531,63
1.128,21,9.3816,-1.9058,-10.7468,0.1973,-0.0358,-0.0077,93,0.771,14,7.2288,1.7979,-16.3462,-0.5087,-2.0188,-0.9342,63
1.18,22,9.3809,-1.697,-10.7178,0.1873,-0.0833,-0.0109,93,0.823,15,5.8321,1.3629,-15.6213,-0.7033,-2.1402,-0.7745,63
1.232,23,9.3679,-1.5674,-10.8698,0.1318,-0.1028,-0.002,93,0.874,16,4.3995,1.4077,-14.9844,-0.6895,-2.1196,-0.7454,63
1.283,24,9.4203,-1.7237,-11.0114,0.0978,-0.0826,0.0206,93,0.926,17,3.1555,1.5946,-14.9283,-0.4796,-1.7549,-0.6649,63
1.335,25,9.3879,-1.7598,-10.9881,0.1307,-0.0557,0.0199,93,0.978,18,2.1512,1.5587,-15.075,-0.24,-1.2755,-0.5586,63
1.387,26,9.3425,-1.7994,-10.9555,0.1066,-0.0534,0.0247,93,1.03,19,1.5613,1.9042,-15.4437,-0.1585,-0.7882,-0.4258,63
1.439,27,9.3594,-1.9069,-11.0244,0.1346,-0.0401,0.0346,93,1.082,20,1.0324,2.296,-16.6005,-0.2005,-0.3647,-0.317,63
1.49,28,9.1101,-1.6642,-11.2412,0.2732,-0.0361,0.0434,93,1.133,21,0.5647,2.9246,-17.6504,-0.0917,-0.0706,-0.2748,63
1.542,29,8.9497,-2.5232,-11.6006,0.7188,-0.1931,-0.0196,93,1.185,22,0.27,3.288,-18.486,-0.0497,0.0578,-0.2549,63
1.594,30,8.8754,-1.8019,-11.1243,1.2011,-0.4604,-0.0292,93,1.237,23,-0.0483,3.4028,-18.9137,-0.0911,0.0558,-0.2318,63
1.646,31,8.8968,-2.1362,-11.8861,0.3116,-0.4511,-0.02,93,1.288,24,-0.3236,3.3627,-18.9335,-0.1231,0.0301,-0.1942,63
1.698,32,8.617,-2.4692,-12.2424,0.4003,-0.4182,-0.019,93,1.34,25,-0.8516,3.096,-19.0318,-0.0422,0.0024,-0.1499,63
1.749,33,8.9487,-1.8056,-12.0761,-0.1437,-0.169,0.0319,93,1.392,26,-1.1488,3.3012,-19.094,0.0909,-0.0841,-0.097,63
1.801,34,8.5294,-2.3307,-11.8058,-0.246,-0.0259,0.0446,93,1.444,27,-1.4516,3.5879,-19.1263,0.1986,-0.1753,-0.0447,63
1.853,35,8.8897,-2.1133,-11.1757,-0.5683,0.102,0.0424,93,1.496,28,-1.7223,3.8879,-19.1015,0.1863,-0.272,0.0122,63
1.905,36,8.9021,-2.2372,-11.024,-0.5392,0.1218,0.0364,93,1.547,29,-1.7246,3.8826,-19.1059,0.0924,-0.3693,0.0736,63
1.957,37,9.0787,-1.9127,-10.977,-0.6732,0.1196,0.056,93,1.599,30,-1.9023,3.6767,-19.0048,0.0393,-0.4381,0.1001,63
2.008,38,9.1495,-2.5559,-11.1085,-0.6637,0.0989,0.0392,93,1.651,31,-1.5825,3.3284,-19.0489,0.0922,-0.4591,0.0888,63
2.06,39,9.1925,-2.5659,-11.0884,-0.6828,0.1214,-0.004,93,1.703,32,-0.4472,3.355,-18.9039,0.1334,-0.4828,0.0083,63
2.112,40,8.9044,-3.385,-11.0319,-0.4583,0.0982,-0.0514,93,1.755,33,0.6288,2.994,-18.7186,-0.227,-0.4181,-0.0122,63
2.164,41,8.9759,-2.5101,-11.3134,0.0977,0.0356,-0.1704,93,1.806,34,-0.029,2.6691,-18.4314,0.0208,-0.1682,-0.1635,63
2.216,42,8.9614,-1.9778,-11.2858,0.4973,-0.0409,-0.1999,93,1.858,35,-0.705,2.3328,-18.7707,-0.1971,0.0484,0.108,63
2.267,43,9.2626,-1.7311,-11.0682,0.6801,-0.1316,-0.1846,93,1.91,36,-1.7001,2.3643,-19.0476,-0.2102,0.1468,0.4677,63
2.319,44,9.3217,-1.786,-11.0262,0.6089,-0.1621,-0.1553,93,1.962,37,-2.1558,2.5844,-19.4692,-0.2403,0.0744,0.8373,63
2.371,45,9.3209,-1.8916,-11.0849,0.6128,-0.1651,-0.1368,93,2.013,38,-2.3152,3.2708,-19.4748,0.039,-0.1126,0.9965,63
2.423,46,9.3531,-1.5216,-10.9196,0.437,-0.1632,-0.1129,93,2.065,39,-1.9493,3.4077,-19.4914,0.1701,-0.3234,1.064,63
2.475,47,9.3977,-1.6066,-11.1915,0.2509,-0.1516,-0.0211,93,2.117,40,-1.2267,3.8273,-19.3574,0.2844,-0.4315,1.0293,63
2.526,48,9.354,-1.738,-11.417,-0.1242,-0.0736,0.0687,93,2.169,41,-0.8996,4.3298,-18.7739,0.1137,-0.3782,0.9578,63
2.578,49,9.0808,-2.6304,-11.0081,-0.6179,0.0157,0.2657,93,2.221,42,-1.0323,4.1812,-18.3827,0.033,-0.2213,0.8156,63
2.63,50,8.8445,-0.3024,-11.8833,-1.0082,0.1254,0.3171,93,2.272,43,-1.2023,4.2076,-18.271,0.0362,-0.0547,0.6766,63
2.681,51,8.991,-0.6248,-11.8666,-0.2549,-0.0113,0.3032,93,2.324,44,-1.0372,4.3423,-18.3725,0.0476,0.077,0.4593,63
2.733,52,9.2527,-1.7587,-11.522,0.0429,-0.1105,0.1697,93,2.376,45,-0.8964,4.4898,-18.6327,0.1016,0.1454,0.1783,63
2.785,53,9.3949,-1.6599,-11.6424,0.1844,-0.1197,0.0505,93,2.428,46,-0.7902,4.3931,-18.7428,0.0375,0.1559,-0.005,63
2.837,54,9.2336,-1.9681,-11.6612,0.3065,-0.0993,-0.0335,93,2.479,47,-0.6459,4.3,-18.7716,0.1757,0.1624,-0.2203,63
2.889,55,9.1938,-1.8196,-11.5348,0.3137,-0.0619,-0.0831,93,2.531,48,-0.577,4.0355,-18.8312,0.1321,0.1856,-0.3132,63
2.94,56,9.3225,-1.8632,-11.4267,0.1186,-0.0288,-0.0714,93,2.583,49,-0.5306,3.7371,-18.8407,0.0875,0.2175,-0.3893,63
2.992,57,9.2752,-1.8745,-11.4892,-0.067,0.0062,-0.0586,93,2.635,50,-0.6727,3.897,-18.7391,-0.0369,0.2432,-0.3855,63
3.044,58,9.2873,-2.3555,-11.4211,-0.2201,0.0555,-0.0441,93,2.687,51,-0.6264,4.2042,-18.5908,-0.1131,0.2203,-0.3625,63
3.096,59,9.1076,-2.8739,-11.1818,-0.0727,0.0932,-0.0308,93,2.738,52,-0.3928,4.5768,-18.4872,-0.0686,0.2428,-0.4434,63
3.148,60,9.347,-2.1834,-11.2789,0.087,0.0905,-0.0245,93,2.79,53,-0.4553,4.6792,-18.2248,-0.1129,0.345,-0.7182,63
3.2,61,9.4534,-1.8464,-11.2783,0.119,0.0514,-0.0017,93,2.842,54,-0.5395,5.1355,-17.8607,-0.319,0.4869,-0.9582,63
3.252,62,9.5225,-1.3635,-11.282,0.0908,0.045,0.0349,93,2.894,55,-0.0491,4.4997,-18.2345,-0.1652,0.671,-1.1881,63
3.303,63,9.3599,-1.9754,-11.4802,-0.2401,0.0869,0.1047,93,2.946,56,0.5975,4.431,-18.9898,0.096,0.8542,-1.5014,63
3.355,64,9.3773,-2.2189,-11.3958,-0.0686,0.0767,0.0696,93,2.997,57,0.4788,2.9418,-19.7748,-0.1898,0.9501,-1.4518,63
3.407,65,9.3892,-2.0662,-11.22,-0.122,0.0572,0.058,93,3.049,58,0.0554,2.2719,-19.9031,-0.2435,0.8632,-1.2369,63
3.458,66,9.3736,-2.0332,-11.3607,-0.0997,0.0369,0.0495,93,3.101,59,-0.1372,2.1607,-19.7319,-0.2963,0.596,-0.8566,63
3.51,67,9.2882,-2.4837,-11.2065,-0.1926,0.0489,0.0514,93,3.153,60,0.3415,2.3331,-19.2155,-0.1002,0.2883,-0.4365,63
3.562,68,9.3376,-2.3266,-11.3565,-0.0047,0.0549,0.0202,93,3.205,61,0.4664,1.8697,-19.7152,0.2704,-0.0027,-0.036,63
3.614,69,9.3258,-2.2544,-11.2568,-0.0601,0.0571,0.0167,93,3.256,62,0.5137,2.6097,-19.4792,-0.0826,-0.1255,0.4427,63
3.666,70,9.2865,-2.2599,-11.2569,-0.0177,0.0266,0.0028,93,3.308,63,0.2781,2.8809,-19.1211,-0.3994,-0.2343,0.7314,63
3.717,71,9.2334,-2.3866,-11.3509,0.0447,0.0204,-0.0136,93,3.36,64,0.364,3.6758,-18.6779,-0.254,-0.3518,0.8649,63
3.769,72,9.2468,-2.145,-11.2477,0.2021,-0.0182,-0.0243,93,3.412,65,0.5973,4.5974,-18.2388,-0.025,-0.3782,0.8386,63
3.821,73,9.314,-2.0598,-11.3222,0.1429,-0.0456,-0.0108,93,3.464,66,0.7329,5.1201,-18.038,-0.0834,-0.3295,0.7507,63
3.873,74,9.3152,-2.1255,-11.3818,0.1399,-0.0462,-0.0146,93,3.515,67,0.8606,4.9916,-18.1187,-0.1719,-0.223,0.6121,63
3.925,75,9.3159,-1.9565,-11.375,0.1023,-0.0355,-0.0098,93,3.567,68,0.497,4.9747,-18.2789,-0.2164,-0.0756,0.4034,63
3.976,76,9.293,-1.9555,-11.4083,0.031,-0.0165,0.003,93,3.619,69,0.0451,4.5392,-18.4678,-0.2904,-0.0097,0.3083,63
4.028,77,9.2984,-2.1021,-11.336,-0.0122,-0.0009,0.007,93,3.671,70,0.0054,4.6998,-18.4768,-0.1253,-0.0275,0.1984,63
4.08,78,9.3211,-2.1133,-11.2621,0.0245,-0.0118,-0.0019,93,3.722,71,0.0288,4.625,-18.6221,-0.0857,-0.0408,0.114,63
4.132,79,9.3197,-2.0779,-11.2753,0.0141,-0.0087,-0.0062,93,3.774,72,0.026,4.5271,-18.6061,-0.1058,-0.0666,0.0748,63
4.184,80,9.3158,-2.0047,-11.2782,-0.015,-0.0038,-0.0067,93,3.826,73,0.2172,4.4652,-18.4905,-0.0709,-0.0971,0.0563,63
4.235,81,9.2924,-2.0381,-11.3238,-0.0457,-0.0003,-0.0044,93,3.878,74,0.3711,4.4562,-18.3158,-0.0027,-0.0749,-0.001,63
4.287,82,9.3004,-2.0952,-11.352,-0.0843,0.0205,0.0064,93,3.93,75,0.2737,4.3517,-18.2655,-0.0268,-0.0303,-0.0312,63
