right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.155,2,8.7874,-0.8636,-13.8319,-0.0277,-0.0654,-0.0028,91,0.374,7,2.2661,1.3958,-17.9594,0.2061,-0.5577,-0.4015,63
0.207,3,8.7841,-0.7823,-13.8637,-0.0032,-0.0471,-0.017,91,0.426,8,2.0476,1.3452,-18.2844,0.1406,-0.3909,-0.2905,63
0.259,4,8.7513,-0.8,-13.9179,0.0378,-0.0366,-0.0272,91,0.477,9,1.8504,1.3294,-18.6154,0.0727,-0.2466,-0.2063,63
0.31,5,8.7754,-0.713,-13.8623,0.0392,-0.0393,-0.0243,91,0.529,10,1.6323,1.4413,-18.8254,0.0325,-0.1552,-0.1325,63
0.362,6,8.7388,-0.769,-13.9345,0.0022,-0.0314,-0.0,91,0.581,11,1.3517,1.5236,-18.9519,-0.0163,-0.11,-0.0371,63
0.414,7,8.7251,-0.7553,-13.9583,0.0055,0.0021,0.0049,91,0.633,12,1.2139,1.5723,-19.0808,-0.0609,-0.0755,0.042,63
0.466,8,8.7239,-0.8086,-13.9063,0.044,0.0016,-0.0107,91,0.685,13,1.1401,1.6123,-19.1031,-0.0548,-0.0517,0.0888,63
0.518,9,8.7394,-0.6956,-13.9106,0.0748,-0.0101,-0.0211,91,0.736,14,1.0916,1.7166,-19.1073,-0.0539,-0.0209,0.1131,63
0.569,10,8.7476,-0.6767,-13.9112,0.0432,-0.0167,-0.0168,91,0.788,15,1.0499,1.817,-19.1417,-0.0825,0.009,0.1336,63
0.621,11,8.7598,-0.6627,-13.9308,0.0401,-0.0072,-0.0157,91,0.84,16,1.0222,1.8951,-19.2353,-0.1182,0.0289,0.1428,63
0.673,12,8.7599,-0.72,-13.9027,0.0462,0.0001,-0.0168,91,0.892,17,1.0834,1.8562,-19.2626,-0.1175,0.0244,0.1273,63
0.725,13,8.7631,-0.704,-13.902,0.0811,-0.0012,-0.0313,91,0.944,18,1.1604,1.9336,-19.1736,-0.0634,0.0279,0.0963,63
0.776,14,8.7685,-0.5863,-13.8929,0.073,0.0071,-0.0233,91,0.995,19,1.2008,2.0506,-19.0727,-0.0949,0.0485,0.0725,63
0.828,15,8.7299,-0.9622,-13.8506,0.0225,0.003,-0.0035,91,1.047,20,1.2464,2.0738,-19.1325,-0.1142,0.08,0.0448,63
0.88,16,8.7504,-0.8192,-13.8924,0.062,-0.0035,-0.0226,91,1.099,21,1.2875,2.1024,-19.2399,-0.0927,0.1008,0.003,63
0.932,17,8.7699,-0.7179,-13.873,0.0427,-0.0069,-0.0163,91,1.151,22,1.3175,2.0905,-19.2865,-0.075,0.1013,-0.0558,63
0.984,18,8.771,-0.4554,-13.832,-0.0459,-0.003,0.0234,91,1.203,23,1.3012,2.1097,-19.2893,-0.0251,0.0915,-0.1102,63
1.035,19,8.6626,-0.6555,-13.9498,-0.0476,-0.03,0.01,91,1.255,24,1.3076,2.1234,-19.2341,0.0099,0.061,-0.1478,63
1.087,20,8.689,-0.6686,-13.9746,-0.0212,-0.0326,-0.0113,91,1.306,25,1.3573,2.1334,-19.1913,0.0315,0.0413,-0.1536,63
1.139,21,8.6821,-0.6498,-14.0209,0.0405,-0.0373,-0.0365,91,1.358,26,1.4234,2.1252,-19.16,0.053,0.0308,-0.1634,63
1.191,22,8.7391,-0.5647,-13.9892,0.0256,-0.0222,-0.0107,91,1.41,27,1.4489,2.1113,-19.1203,0.0834,0.0273,-0.1663,63
1.243,23,8.7356,-0.4782,-13.9563,-0.0711,-0.0088,0.0489,91,1.462,28,1.5079,2.1451,-19.0837,0.0901,0.0107,-0.1497,63
1.294,24,8.7166,-0.6587,-13.946,-0.1053,-0.0278,0.0563,91,1.513,29,1.5782,2.0559,-19.1619,0.0727,-0.0034,-0.1073,63
1.346,25,8.7108,-0.6721,-13.9908,-0.077,-0.0263,0.0384,91,1.565,30,1.5587,2.0277,-19.2032,0.0812,-0.0161,-0.0872,63
1.398,26,8.746,-0.6424,-14.0092,-0.0466,-0.0296,0.023,91,1.617,31,1.4572,2.0289,-19.1723,0.0319,-0.0392,-0.064,63
