right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.093,1,9.2974,-2.4871,-8.7547,0.0184,-0.0408,-0.0202,88,0.129,2,-3.6921,-7.1889,-15.8825,0.0072,-0.0068,-0.1307,52
0.144,2,9.2587,-2.422,-8.573,0.0294,0.0224,-0.0051,88,0.181,3,-3.7881,-7.2422,-15.9546,-0.0111,-0.0142,-0.1219,52
0.196,3,9.3323,-2.3798,-8.5305,0.007,0.0196,0.0064,88,0.232,4,-3.9932,-7.2315,-16.0279,-0.0297,-0.0457,-0.136,52
0.248,4,9.2903,-2.3155,-8.6039,0.0029,0.0905,0.0265,88,0.284,5,-4.0436,-7.2079,-16.0858,-0.0604,-0.0907,-0.1525,52
0.3,5,9.3116,-2.3698,-8.5799,-0.0097,0.0646,0.0246,88,0.336,6,-3.9317,-7.0387,-16.0193,-0.0625,-0.1387,-0.1557,52
0.352,6,9.344,-2.2585,-8.5222,-0.0097,0.0596,0.0266,88,0.388,7,-3.8136,-7.0867,-15.9451,-0.0886,-0.1766,-0.1043,52
0.403,7,9.3107,-2.308,-8.4691,-0.0335,0.0082,0.0091,88,0.44,8,-3.7356,-7.1612,-15.8931,-0.0777,-0.1954,-0.0609,52
0.455,8,9.2674,-2.4145,-8.4838,-0.0297,0.0072,0.0061,88,0.491,9,-3.7593,-7.388,-16.0075,-0.1627,-0.1527,-0.0375,52
0.507,9,9.1921,-2.4589,-8.3836,-0.0031,0.0235,0.0057,88,0.543,10,-3.6945,-7.4105,-16.027,-0.0843,-0.1105,-0.0622,52
0.559,10,9.2408,-2.4001,-8.4371,0.0175,-0.017,0.0089,88,0.595,11,-3.5716,-7.4977,-16.042,0.0488,-0.0713,-0.079,52
0.611,11,9.1984,-2.4276,-8.3842,0.0122,-0.0333,0.0026,88,0.647,12,-3.5702,-7.4234,-15.9103,0.1316,-0.0606,-0.0952,52
