right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.037,0,9.6686,0.212,-11.6346,-0.1055,-0.0384,-0.1612,80,0.145,2,8.3285,3.1352,-10.9267,0.0617,-0.1471,-0.2898,52
0.089,1,9.7114,0.3731,-11.5831,-0.2277,-0.0619,-0.1915,80,0.197,3,8.2293,3.5481,-11.2013,0.1686,-0.2735,-0.3279,52
0.141,2,9.866,0.4868,-11.528,-0.383,-0.2792,-0.2922,80,0.249,4,8.1862,3.548,-11.4101,0.1832,-0.26,-0.328,52
0.192,3,10.3862,1.89,-13.1116,-0.9124,-0.7076,-0.3631,80,0.3,5,8.0664,3.6609,-11.5222,0.1552,-0.2262,-0.306,52
0.244,4,9.9767,2.1663,-14.2382,-0.6557,-1.1898,-0.6608,80,0.352,6,8.0196,3.7189,-11.606,0.1158,-0.1796,-0.2727,52
0.296,5,9.2209,2.3612,-14.5296,-0.3249,-1.5418,-0.8558,80,0.404,7,7.9518,3.7706,-11.684,0.1171,-0.1528,-0.2534,52
0.348,6,8.5121,2.3037,-14.5412,-0.2133,-1.796,-0.8992,80,0.456,8,7.8899,3.7915,-11.7713,0.1068,-0.1363,-0.2274,52
0.4,7,8.0583,2.5822,-14.4483,-0.189,-1.9819,-0.8654,80,0.508,9,7.7907,3.9692,-11.8825,0.0866,-0.1004,-0.1631,52
0.451,8,7.8989,2.7234,-14.6142,-0.2327,-1.9628,-0.7423,80,0.559,10,7.7374,4.0457,-11.9144,0.0307,-0.0545,-0.0851,52
0.503,9,7.2054,2.8506,-15.4312,-0.1553,-1.7914,-0.632,80,0.611,11,7.7695,4.0894,-11.9585,0.0015,-0.0208,-0.0238,52
0.555,10,6.3694,2.9524,-16.2513,-0.0632,-1.6111,-0.5015,80,0.663,12,7.6902,3.9618,-11.7792,-0.049,0.0673,0.0527,52
0.607,11,5.7794,3.1397,-16.373,-0.1374,-1.3838,-0.3523,80,0.715,13,7.789,4.0164,-11.8102,-0.0201,0.0639,0.0566,52
0.659,12,5.1551,3.1214,-16.3494,-0.1282,-1.0856,-0.2545,80,0.767,14,7.8808,3.9433,-11.7937,-0.0339,0.1876,0.0823,52
0.71,13,4.6128,3.2569,-16.5464,0.0032,-0.7822,-0.1723,80,0.818,15,7.8953,3.9135,-11.7273,-0.0485,0.1312,0.0835,52
0.762,14,4.309,3.2947,-16.8514,0.1067,-0.4661,-0.0946,80,0.87,16,7.897,3.9065,-11.5677,-0.0307,0.0847,0.0788,52
0.814,15,4.1542,3.1642,-17.1,0.1274,-0.1946,-0.0295,80,0.922,17,7.9198,3.8632,-11.5524,0.0009,0.0168,0.0082,52
0.866,16,4.0887,3.1524,-17.4769,0.2481,0.0281,0.0566,80,0.974,18,7.9243,3.9575,-11.5749,0.0513,-0.0158,-0.0791,52
0.918,17,4.0758,3.1562,-17.8985,0.2112,0.1929,0.1304,80,1.026,19,7.8751,4.0078,-11.6493,0.0428,-0.0456,-0.0542,52
0.969,18,4.0907,2.9706,-18.0238,0.101,0.2714,0.1783,80,1.077,20,7.8882,3.9947,-11.6621,0.0143,-0.065,-0.0621,52
1.021,19,4.1388,2.9913,-18.3108,0.1231,0.3173,0.1791,80,1.129,21,7.8716,4.0097,-11.6965,0.0054,-0.0414,-0.0642,52
1.073,20,4.2436,3.0104,-18.3353,0.0919,0.304,0.151,80,1.181,22,7.8703,4.0344,-11.6964,0.0301,-0.0266,-0.0398,52
1.125,21,4.3271,2.9632,-18.354,0.0789,0.2752,0.1069,80,1.233,23,7.8537,4.0451,-11.7205,0.025,-0.0102,-0.0348,52
1.177,22,4.3725,2.9732,-18.2742,0.1161,0.2411,0.0297,80,1.284,24,7.8446,4.0594,-11.7124,0.01,0.0064,-0.0536,52
1.228,23,4.4835,2.97,-18.2112,0.1369,0.2,-0.0168,80,1.336,25,7.8256,4.077,-11.7017,0.0021,0.0028,-0.0566,52
1.28,24,4.5631,2.9699,-18.3145,0.1119,0.1573,-0.0167,80,1.388,26,7.7992,4.1189,-11.6992,-0.0026,0.001,-0.0636,52
1.332,25,4.5348,2.9476,-18.3012,0.0145,0.0977,-0.0164,80,1.44,27,7.7924,4.1483,-11.6962,-0.011,-0.0129,-0.0883,52
1.384,26,4.5367,2.8934,-18.2097,-0.013,0.0451,-0.019,80,1.492,28,7.7826,4.1777,-11.7115,-0.0086,-0.0351,-0.0994,52
1.436,27,4.6266,2.8924,-18.1381,-0.0089,0.005,-0.0231,80,1.543,29,7.7488,4.2548,-11.7115,-0.0112,-0.0432,-0.1089,52
1.487,28,4.7265,2.8869,-18.0514,-0.0233,-0.0172,-0.0327,80,1.595,30,7.7802,3.9487,-11.8425,-0.0214,-0.0367,-0.1006,52
1.539,29,4.7837,2.8516,-17.9839,-0.0313,-0.0168,-0.0433,80,1.647,31,7.7213,4.1095,-11.8637,-0.0255,-0.0,-0.088,52
1.591,30,4.8415,2.8509,-17.9512,0.0078,-0.0161,-0.0539,80,1.699,32,7.7118,4.221,-11.8408,-0.0453,0.0705,-0.0137,52
1.643,31,4.8522,2.8251,-17.9444,0.0061,-0.0085,-0.0609,80,1.751,33,7.7128,4.2657,-11.7953,-0.0304,0.0367,0.0016,52
1.695,32,4.8219,2.8057,-17.8903,0.0223,-0.0001,-0.063,80,1.802,34,7.7014,4.3004,-11.7534,-0.0278,0.0331,0.0099,52
1.746,33,4.8262,2.8054,-17.8716,0.0128,0.0203,-0.0448,80,1.854,35,7.701,4.3065,-11.7284,-0.0224,0.0264,0.0279,52
1.798,34,4.8375,2.8092,-17.8469,0.0111,0.0441,-0.0412,80,1.906,36,7.6955,4.3252,-11.7053,-0.0174,0.0281,0.0302,52
1.85,35,4.8361,2.8455,-17.8626,0.0408,0.0647,-0.0409,80,1.958,37,7.7137,4.3167,-11.6724,-0.0119,0.0255,0.0408,52
1.902,36,4.8699,2.8962,-17.8756,0.0273,0.0673,-0.0281,80,2.009,38,7.7213,4.3148,-11.6602,-0.0094,0.0255,0.0464,52
1.954,37,4.8885,2.8482,-17.8973,0.0005,0.0729,-0.0185,80,2.061,39,7.7115,4.2867,-11.6382,-0.0079,0.0181,0.0422,52
2.006,38,4.8729,2.8151,-17.909,-0.006,0.0797,-0.0137,80,2.113,40,7.7138,4.2832,-11.6375,0.0001,0.0046,0.0373,52
2.057,39,4.8959,2.8383,-17.9183,0.0098,0.0673,-0.0078,80,2.165,41,7.723,4.2747,-11.6404,0.0112,-0.0094,0.027,52
2.109,40,4.9116,2.8505,-17.9236,0.0167,0.051,-0.0052,80,2.217,42,7.7329,4.2771,-11.6714,0.0216,-0.0156,0.0308,52
2.161,41,4.9304,2.8745,-17.9062,0.0088,0.0331,0.0013,80,2.268,43,7.7363,4.2525,-11.6889,0.0183,-0.0117,0.0355,52
2.213,42,4.9271,2.8763,-17.8801,0.0013,0.0191,0.0064,80,2.32,44,7.7589,4.2654,-11.6939,0.0114,-0.0013,0.0362,52
2.265,43,4.9532,2.8698,-17.887,0.003,0.0095,0.0027,80,2.372,45,7.763,4.2317,-11.689,-0.0068,0.0165,0.0526,52
2.316,44,4.9728,2.8595,-17.8825,-0.0028,-0.0019,0.0019,80,2.423,46,7.7182,4.2119,-11.6451,-0.0018,0.0156,0.0642,52
2.368,45,4.9843,2.8712,-17.8563,0.0008,-0.0132,0.0035,80,2.475,47,7.7393,4.1847,-11.6532,0.0369,-0.026,0.0249,52
2.42,46,4.9836,2.8952,-17.8013,-0.003,-0.0178,0.0081,80,2.527,48,7.6748,4.1078,-11.6963,0.042,-0.0534,-0.0375,52
