right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.302,5,-0.4983,-0.3847,-3.0456,-0.097,0.4646,0.0854,97,0.666,12,2.9038,1.3213,-6.8375,0.6621,-1.501,-0.2007,64
0.354,6,-0.3372,-0.098,-2.7648,0.0413,0.4492,0.0417,97,0.718,13,1.0021,0.7318,-5.9315,0.694,-1.7364,-0.2949,64
0.405,7,-0.1768,0.116,-2.4633,-0.1229,0.4122,0.0691,97,0.769,14,-1.4039,0.531,-5.6773,0.2838,-1.9082,-0.2001,64
0.457,8,-0.1795,0.284,-2.4307,-0.4499,0.3399,0.1051,97,0.821,15,-3.116,0.867,-7.0192,-0.0739,-2.0335,-0.2307,64
0.509,9,-0.2962,-0.1113,-2.482,-0.5613,0.3532,0.0927,97,0.873,16,-4.6177,1.4389,-6.7734,-0.021,-2.1174,-0.3045,64
0.561,10,-0.9305,-1.4409,-2.5987,-0.4425,0.3738,0.0298,97,0.925,17,-5.851,1.7362,-7.4822,0.1697,-2.1174,-0.306,64
0.612,11,0.8031,2.034,-2.3998,0.2958,0.1628,-0.1923,97,0.976,18,-7.1025,1.5975,-6.874,0.1118,-1.92,-0.2895,64
0.664,12,0.5867,1.8264,-2.3903,0.3746,0.1354,-0.1557,97,1.028,19,-8.3315,1.4797,-6.425,0.111,-1.4987,-0.2126,64
0.716,13,0.3117,1.2114,-2.3167,0.5715,0.0613,-0.2215,97,1.08,20,-8.7838,1.1777,-6.9912,0.3133,-0.8322,-0.0968,64
0.768,14,0.264,0.9193,-2.3464,0.572,-0.0205,-0.2134,97,1.132,21,-9.1665,1.4386,-7.9477,0.3179,-0.2348,0.0416,64
0.82,15,0.1582,0.4393,-2.5083,0.4249,-0.0033,-0.1607,97,1.184,22,-9.5327,1.4596,-9.2866,0.2021,0.1362,0.1689,64
0.871,16,0.1035,0.3477,-2.6169,0.4311,0.0206,-0.1431,97,1.235,23,-9.7559,1.7421,-10.2344,0.1734,0.3134,0.299,64
0.923,17,0.0131,0.3185,-2.7903,0.331,0.0588,-0.0888,97,1.287,24,-9.7649,1.8221,-10.9841,0.0734,0.3394,0.3965,64
0.975,18,0.017,0.3856,-2.8271,0.0282,0.2934,0.0356,97,1.339,25,-9.7901,1.6723,-11.3644,0.0354,0.2676,0.4293,64
1.027,19,0.0154,0.3009,-3.0284,-0.1063,0.2953,0.0647,97,1.391,26,-9.8199,1.4398,-11.4919,0.0349,0.1574,0.4237,64
1.079,20,-0.1315,-0.0499,-3.0783,-0.1707,0.3177,0.0617,97,1.442,27,-9.9314,1.3129,-11.5335,0.0454,0.0782,0.4106,64
1.13,21,-0.3748,-0.0841,-3.0544,-0.0835,0.3182,0.0183,97,1.494,28,-9.9463,1.2721,-11.3839,0.1033,0.0195,0.3722,64
1.182,22,-0.2282,0.1531,-2.9404,0.0132,0.3158,-0.016,97,1.546,29,-9.9453,1.3274,-11.1288,0.1407,-0.0233,0.3349,64
1.234,23,-0.4174,-0.415,-2.8712,-0.0258,0.265,-0.0147,97,1.598,30,-9.9317,1.4326,-10.8513,0.163,-0.0321,0.3227,64
1.286,24,-0.348,-0.2898,-2.9208,0.0238,0.2421,-0.0503,97,1.65,31,-9.9222,1.5441,-10.7041,0.1371,0.0128,0.3429,64
1.338,25,-0.3822,-0.4655,-2.9419,0.0345,0.2354,-0.0633,97,1.701,32,-9.8951,1.5854,-10.756,0.0758,0.0946,0.373,64
1.389,26,-0.5847,-0.7113,-2.9298,0.1368,0.232,-0.0995,97,1.753,33,-9.9494,1.6465,-10.8331,0.0668,0.1618,0.3899,64
1.441,27,-0.3046,-0.4769,-2.7398,0.3399,0.1444,-0.167,97,1.805,34,-10.0539,1.674,-10.9432,0.0602,0.1873,0.3954,64
