right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.05,0,4.8971,0.0324,-18.1446,-0.1019,-0.5093,-0.0271,92,0.958,18,8.8695,-0.9989,-11.1963,0.1477,0.0971,0.0251,62
0.102,1,4.704,-0.1143,-18.2344,-0.075,-0.4467,-0.0454,92,1.009,19,8.8734,-0.7773,-10.9939,0.0372,0.0757,0.0319,62
0.154,2,4.482,-0.0417,-18.359,-0.0623,-0.388,-0.0695,92,1.061,20,8.9038,-0.7658,-11.0114,-0.0738,0.0281,0.0291,62
0.205,3,4.4183,0.0012,-18.435,-0.0189,-0.3407,-0.1144,92,1.113,21,8.9238,-0.6762,-11.0345,-0.148,-0.0054,0.0227,62
0.257,4,4.4169,-0.0143,-18.5042,-0.0364,-0.276,-0.1564,92,1.165,22,8.9144,-0.6851,-11.0771,-0.1582,-0.0201,0.0164,62
0.309,5,4.3199,-0.1035,-18.4697,-0.0636,-0.1961,-0.1817,92,1.217,23,8.9517,-0.6894,-11.1006,-0.1742,-0.0285,0.0099,62
0.361,6,4.1898,-0.0245,-18.5317,-0.0106,-0.1335,-0.1831,92,1.268,24,8.9182,-0.6959,-11.1017,-0.163,-0.0231,0.0035,62
0.413,7,4.0576,0.1893,-18.6349,0.0298,-0.1064,-0.1747,92,1.32,25,8.9489,-0.8148,-11.1234,-0.1366,-0.0392,-0.0151,62
0.464,8,3.984,0.2932,-18.7589,0.0448,-0.0904,-0.1643,92,1.372,26,8.9376,-0.5581,-11.1133,-0.0449,-0.0118,-0.0263,62
0.516,9,3.9758,0.2868,-18.9146,0.0128,-0.0758,-0.1692,92,1.424,27,8.9449,-0.6474,-11.0886,-0.0499,-0.0138,-0.0234,62
0.568,10,3.9351,0.2368,-18.976,0.0257,-0.0937,-0.1697,92,1.475,28,8.9237,-0.6506,-11.1118,-0.0114,-0.001,-0.0234,62
0.62,11,3.8695,0.1952,-18.9305,0.0246,-0.1221,-0.1646,92,1.527,29,8.8927,-0.5604,-11.0941,0.1694,0.0271,-0.0294,62
0.672,12,3.8234,0.1052,-18.9333,0.0555,-0.1336,-0.1395,92,1.579,30,8.9197,-0.2022,-11.0652,0.2049,0.0348,-0.0341,62
0.723,13,3.8093,0.0906,-18.9366,0.0675,-0.1363,-0.0982,92,1.631,31,9.063,-0.311,-11.1047,0.1286,0.0103,-0.0203,62
0.775,14,3.7045,0.15,-18.8402,0.0832,-0.1317,-0.0576,92,1.683,32,9.0277,-0.2856,-11.1093,0.0087,0.0293,-0.0036,62
0.827,15,3.4512,0.0852,-18.6571,0.1597,-0.1008,-0.0354,92,1.734,33,8.9458,-0.607,-11.0178,-0.0096,0.0313,-0.0032,62
0.879,16,3.3035,0.2796,-18.7958,0.2245,-0.0575,-0.024,92,1.786,34,8.8384,-0.9321,-11.0268,0.1448,0.0478,0.0034,62
0.93,17,3.4182,0.2776,-18.9464,0.1786,-0.0158,-0.0124,92,1.838,35,8.8623,-0.507,-10.9521,0.1116,0.0703,0.0067,62
0.982,18,3.5818,0.1377,-19.0764,0.1486,-0.0181,-0.0071,92,1.89,36,8.8139,-0.7461,-10.8607,0.0099,0.0405,0.0168,62
1.034,19,3.6805,0.1119,-19.1301,0.0451,-0.0513,-0.0139,92,1.941,37,8.8957,-0.6527,-10.9754,-0.1141,-0.0307,0.0056,62
1.086,20,3.7785,0.0628,-19.0891,0.0341,-0.0882,-0.0114,92,1.993,38,8.8571,-0.661,-11.0395,-0.144,-0.0438,0.001,62
