right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.051,0,11.0405,3.1379,-17.0478,0.7017,-1.8581,-0.7897,86,0.052,0,8.9035,0.7908,-11.6361,0.2015,0.1066,-0.0276,51
0.102,1,9.5151,3.7085,-16.6157,1.1182,-2.0295,-0.4371,86,0.103,1,8.7865,0.979,-11.3139,0.1163,0.0582,0.005,51
0.154,2,7.9579,3.9435,-15.5918,1.2984,-2.1546,-0.1226,86,0.155,2,9.4477,0.6624,-12.2062,-0.1413,-0.048,0.1008,51
0.206,3,5.9388,3.401,-14.8421,1.1975,-2.1274,-0.0177,86,0.207,3,9.3649,0.8469,-12.0697,-0.185,0.1391,0.1493,51
0.258,4,3.9495,2.8929,-14.3789,1.0114,-1.7552,-0.0268,86,0.259,4,9.119,0.9563,-11.4699,-0.0666,0.1368,0.1486,51
0.31,5,2.5928,2.6916,-14.5314,0.4512,-1.11,-0.0886,86,0.311,5,8.9194,0.769,-11.4838,-0.152,0.1262,0.0926,51
0.361,6,1.4277,1.683,-15.2067,0.1038,-0.4693,-0.1251,86,0.362,6,8.8527,0.6328,-11.2371,-0.2481,0.1144,-0.0208,51
0.413,7,0.4066,1.3195,-16.7242,-0.0507,-0.0578,-0.1666,86,0.414,7,8.876,0.8045,-11.1384,-0.2348,0.0672,-0.107,51
0.465,8,-0.0716,1.266,-18.1102,-0.1948,0.1272,-0.1635,86,0.466,8,8.8837,0.9953,-11.1294,-0.1961,0.0323,-0.1466,51
0.517,9,-0.277,0.8721,-18.7324,-0.1964,0.1277,-0.1048,86,0.518,9,8.8821,1.0766,-11.1889,-0.1959,0.0215,-0.1509,51
0.569,10,-0.4648,0.6726,-18.9088,-0.0945,0.0509,-0.0251,86,0.569,10,8.8952,1.1427,-11.1598,-0.1187,0.033,-0.1257,51
0.62,11,-0.5334,0.9446,-18.9248,-0.138,0.0988,0.1006,86,0.621,11,8.8598,1.3011,-11.0661,-0.0195,0.019,-0.1043,51
0.672,12,-0.6739,1.1536,-19.0493,-0.0792,0.2333,0.1965,86,0.673,12,8.821,1.4231,-11.0533,0.0014,-0.0007,-0.0825,51
0.724,13,-1.0917,1.0067,-19.2842,-0.0232,0.3121,0.2615,86,0.725,13,8.8257,1.4177,-11.0679,-0.011,-0.0048,-0.058,51
0.776,14,-1.2253,0.9151,-19.5322,0.0132,0.2735,0.2361,86,0.777,14,8.8304,1.4125,-11.0574,-0.0136,0.0015,-0.0237,51
0.827,15,-1.1127,0.9931,-19.359,0.0432,0.191,0.1965,86,0.828,15,8.8202,1.3746,-11.0089,-0.0127,0.0146,0.0086,51
0.879,16,-0.9687,1.2333,-19.5256,0.1701,0.1255,0.1536,86,0.88,16,8.8125,1.3367,-10.9581,-0.0204,0.0115,0.0192,51
0.931,17,-0.8517,1.588,-19.6778,0.1563,0.1132,0.1487,86,0.932,17,8.8146,1.2978,-10.9388,-0.0187,0.0065,0.0067,51
0.983,18,-0.7614,1.646,-19.8058,0.1389,0.0875,0.1401,86,0.984,18,8.8226,1.3135,-10.9443,-0.0206,-0.0008,-0.0076,51
