right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.05,0,9.3077,-1.6404,-11.3402,0.1469,-0.2262,-0.0802,88,0.085,1,6.531,-3.2384,-18.0256,-0.4811,-1.864,1.8766,52
0.102,1,9.2441,-1.7386,-11.6785,0.0113,-0.0737,0.013,88,0.137,2,5.7016,-1.9838,-16.9974,-0.1862,-1.6165,1.3683,52
0.154,2,9.2076,-2.0717,-11.6947,-0.079,-0.0123,0.0248,88,0.188,3,5.5512,-1.6137,-16.7072,0.369,-1.1561,0.3418,52
0.205,3,9.3681,-2.3174,-11.6255,0.1955,0.0062,-0.1369,88,0.24,4,5.4613,-1.552,-16.9775,0.8557,-0.8749,-0.4219,52
0.257,4,9.3638,-1.5253,-11.7345,0.356,0.0209,-0.204,88,0.292,5,5.238,-2.2419,-16.1139,1.2992,-0.5363,-0.9202,52
0.309,5,9.4451,-1.2908,-11.4073,0.395,0.0655,-0.133,88,0.344,6,4.7903,-2.7704,-15.6454,1.0786,-0.3296,-1.0239,52
0.361,6,9.427,-1.1781,-11.0999,0.3038,0.0859,-0.0728,88,0.396,7,4.3801,-3.5221,-15.5195,0.6721,-0.2807,-0.9346,52
0.413,7,9.5302,-1.2787,-11.1124,0.2092,0.0813,-0.0654,88,0.447,8,4.0589,-4.9107,-15.5008,0.7704,-0.2082,-0.9688,52
0.464,8,9.5386,-1.4001,-11.0386,0.1519,0.0941,-0.0405,88,0.499,9,3.7098,-5.5782,-15.2532,0.886,-0.095,-0.9827,52
0.516,9,9.407,-1.5397,-11.0985,0.1509,0.0712,-0.0156,88,0.551,10,3.6077,-6.087,-15.1502,0.549,-0.003,-0.8424,52
0.568,10,9.4548,-1.5633,-10.9421,0.1789,0.0454,0.01,88,0.603,11,3.5053,-6.8348,-15.2979,0.4574,0.0463,-0.7132,52
0.62,11,9.5093,-1.5359,-10.9547,0.14,0.0551,0.058,88,0.655,12,3.5326,-6.9615,-15.3106,0.4772,0.0532,-0.5911,52
0.671,12,9.3229,-1.9147,-10.9582,0.023,0.0341,0.0655,88,0.706,13,3.5477,-7.3891,-15.2944,0.4199,0.0348,-0.4397,52
0.723,13,9.4302,-1.7497,-10.8781,0.0307,0.0175,0.0591,88,0.758,14,3.6298,-7.321,-15.3181,0.5573,0.0268,-0.3401,52
