right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.122,2,9.3616,-1.8384,-11.6122,-0.0306,-0.0046,0.0333,86,0.001,0,8.2457,-0.0799,-13.7931,0.0157,0.0702,0.0306,52
0.173,3,9.3651,-1.8834,-11.6453,-0.0519,0.0212,0.0507,86,0.053,1,8.2364,-0.1901,-13.7025,0.0087,0.0976,0.0696,52
0.225,4,9.3357,-1.9253,-11.5369,-0.0769,0.0423,0.063,86,0.105,2,8.2368,-0.2728,-13.6451,-0.001,0.0974,0.076,52
0.277,5,9.2997,-2.0084,-11.5376,-0.1012,0.0546,0.0608,86,0.156,3,8.2879,-0.2302,-13.6367,-0.0383,0.0893,0.0739,52
0.329,6,9.2672,-2.0256,-11.4703,-0.063,0.0414,0.0597,86,0.208,4,8.3813,-0.227,-13.7832,0.0027,0.1609,0.1471,52
0.381,7,9.3173,-1.9531,-11.5341,0.0048,0.0337,0.06,86,0.26,5,8.619,-0.2396,-13.6022,0.1085,0.2972,0.4723,52
0.432,8,9.4126,-1.7803,-11.5529,-0.0032,0.1181,0.1226,86,0.312,6,10.0975,-2.069,-12.4681,0.5265,0.5058,0.7723,52
0.484,9,9.3408,-2.0273,-11.6293,-0.038,0.2111,0.1887,86,0.364,7,7.6215,-2.1758,-11.8416,0.2125,0.5719,1.1038,52
0.536,10,9.1833,-2.3453,-11.2121,-0.1295,0.2274,0.1133,86,0.415,8,8.5944,-2.2405,-12.63,-0.1613,0.1611,0.6586,52
0.588,11,9.182,-2.3783,-11.0352,-0.0624,0.0373,-0.025,86,0.467,9,9.3121,-1.7068,-12.4276,-0.0896,0.0097,0.3192,52
0.64,12,9.2719,-2.1388,-11.2432,-0.0379,-0.0726,-0.1238,86,0.519,10,8.9009,-1.991,-12.7273,-0.0964,-0.0272,0.2369,52
0.691,13,9.3231,-1.9798,-11.2024,-0.056,-0.0732,-0.1176,86,0.571,11,8.3253,-2.3464,-12.2984,-0.0598,-0.0398,0.111,52
0.743,14,9.3006,-1.7893,-11.3024,-0.122,-0.0769,-0.094,86,0.622,12,9.069,-2.0072,-12.5014,-0.0701,-0.1035,0.0413,52
0.795,15,9.4047,-2.4405,-11.2784,-0.2114,-0.1944,-0.1274,86,0.674,13,8.5478,-2.1127,-12.7172,-0.1046,-0.0903,0.1062,52
0.847,16,9.2881,-2.3348,-11.5903,-0.395,-0.2897,-0.1917,86,0.726,14,8.4312,-2.0952,-12.7161,-0.1166,-0.1176,0.1125,52
0.899,17,9.3575,-1.9173,-11.9174,-0.3825,-0.3902,-0.2564,86,0.778,15,8.4717,-2.0936,-12.8077,-0.0964,-0.1482,0.0913,52
0.951,18,9.7101,-1.8445,-12.0647,-0.29,-0.426,-0.2875,86,0.83,16,8.4011,-2.0319,-12.946,-0.0218,-0.1411,0.0584,52
1.002,19,9.9338,-1.5401,-12.0727,-0.207,-0.4969,-0.3738,86,0.881,17,8.3566,-2.0391,-12.9847,0.0221,-0.1382,0.0514,52
1.054,20,9.8715,-0.9943,-12.2606,-0.1951,-0.586,-0.3972,86,0.933,18,8.3578,-2.122,-13.1298,0.0524,-0.093,0.0394,52
1.106,21,8.8086,-0.5461,-13.0396,-0.069,-0.5351,-0.3693,86,0.985,19,8.3354,-2.2193,-13.1562,0.0625,-0.0455,0.0041,52
1.158,22,8.1782,-0.6957,-13.6711,0.0148,-0.3354,-0.2672,86,1.037,20,8.2403,-2.2847,-13.0639,0.0539,-0.0207,-0.0721,52
1.209,23,8.4392,-0.2695,-13.6334,0.0345,-0.0694,-0.129,86,1.088,21,8.125,-2.1329,-12.9318,0.0346,-0.0145,-0.1705,52
1.261,24,8.6333,-0.259,-13.4931,0.1064,0.1474,0.0291,86,1.14,22,8.1524,-2.0657,-13.0082,-0.0168,-0.0367,-0.2382,52
1.313,25,8.9176,-0.7168,-13.2532,0.1392,0.3275,0.1673,86,1.192,23,8.3218,-1.8892,-13.0991,-0.0351,-0.0451,-0.2763,52
1.365,26,9.2347,-1.2322,-12.9037,0.1841,0.4284,0.2005,86,1.244,24,8.2737,-1.785,-13.0882,-0.0422,-0.0523,-0.2761,52
1.417,27,9.0894,-1.3775,-12.6792,0.1716,0.4543,0.2102,86,1.296,25,8.3361,-1.617,-13.1223,-0.0379,-0.0736,-0.3105,52
