right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.005,0,9.0507,-2.5028,-11.7135,-0.0024,0.1375,0.1128,88,0.055,1,8.9398,0.2574,-9.6501,-0.0319,-0.1998,0.0031,52
0.057,1,9.0762,-2.5098,-11.6877,0.0019,0.0871,0.0767,88,0.107,2,9.0032,0.2258,-9.7905,-0.0175,-0.3259,-0.0307,52
0.109,2,9.0991,-2.511,-11.6657,-0.0098,0.0601,0.0552,88,0.158,3,8.9912,0.2636,-9.9593,-0.0397,-0.4362,-0.0628,52
0.161,3,9.117,-2.5047,-11.6761,-0.0288,0.0449,0.0501,88,0.21,4,8.9162,0.3435,-10.5297,-0.0624,-0.4461,-0.0857,52
0.212,4,9.1564,-2.5043,-11.6636,-0.0394,0.0282,0.0618,88,0.262,5,8.9199,0.4555,-10.7142,-0.1521,-0.3027,-0.0549,52
0.264,5,9.1505,-2.5267,-11.6368,-0.0429,-0.0045,0.0801,88,0.314,6,8.9851,0.3364,-10.7519,-0.1468,-0.1804,-0.0529,52
0.316,6,9.149,-2.5719,-11.6894,-0.0564,-0.0371,0.0668,88,0.365,7,8.9398,0.7428,-10.7183,-0.1589,-0.0991,-0.0492,52
0.368,7,9.1667,-2.627,-11.7684,-0.137,-0.0214,0.0473,88,0.417,8,9.148,0.5564,-10.6331,-0.1411,-0.0614,-0.0513,52
0.42,8,9.1385,-2.6707,-11.8173,-0.2122,0.0161,0.0214,88,0.469,9,9.1062,0.71,-10.729,-0.12,-0.0702,-0.0353,52
0.471,9,9.0914,-2.7242,-11.7782,-0.2508,0.0221,-0.012,88,0.521,10,9.0896,0.7995,-10.812,-0.1233,-0.06,-0.0137,52
0.523,10,9.039,-2.7667,-11.6906,-0.3298,0.0097,-0.0899,88,0.573,11,9.0792,0.6562,-10.8176,-0.1512,-0.0456,-0.0006,52
0.575,11,9.1966,-2.9006,-11.3696,-0.3354,-0.156,-0.2748,88,0.624,12,9.0594,0.6267,-10.7585,-0.141,-0.0241,-0.0281,52
0.626,12,10.8687,-3.5337,-11.2536,-0.6222,-0.5852,-0.5803,88,0.676,13,9.032,0.6783,-10.7061,-0.1525,-0.0366,-0.0305,52
0.678,13,12.0349,-2.5821,-12.1166,-0.741,-0.8038,-0.8109,88,0.728,14,8.9955,0.6957,-10.7101,-0.1407,-0.0562,-0.0326,52
0.73,14,12.0682,-2.3174,-14.2053,-0.6964,-1.1285,-0.8682,88,0.78,15,8.954,0.6882,-10.6582,-0.1412,-0.099,-0.014,52
0.782,15,11.5327,-1.4788,-14.8846,-1.1833,-1.1785,-0.7824,88,0.831,16,8.9208,0.6919,-10.7413,-0.1392,-0.1275,-0.004,52
0.834,16,10.4252,-0.8835,-14.8799,-0.6205,-1.1815,-0.7658,88,0.883,17,8.9019,0.6399,-10.8837,-0.1225,-0.132,-0.0033,52
0.886,17,9.6084,-0.1158,-14.9231,-0.3121,-0.9926,-0.5206,88,0.935,18,8.9046,0.6525,-11.0454,-0.0899,-0.1118,-0.0027,52
0.937,18,8.222,0.1235,-14.6253,-0.2408,-0.6389,-0.1785,88,0.987,19,8.9277,0.6079,-11.0612,-0.0754,-0.0772,-0.0013,52
0.989,19,6.6195,1.1858,-14.0937,-0.1396,-0.3206,0.1307,88,1.039,20,8.9243,0.6655,-11.0457,-0.0482,-0.0552,-0.015,52
1.041,20,5.3128,1.3127,-14.3372,-0.0166,-0.0426,0.3451,88,1.09,21,8.89,0.7421,-11.1136,-0.0444,-0.0436,0.0101,52
1.093,21,4.7737,1.3296,-14.0971,-0.3306,0.1207,0.4401,88,1.142,22,8.9139,0.6846,-11.1483,-0.0447,-0.0202,0.0227,52
