right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.664,12,5.5058,2.2136,-14.996,-0.2023,-0.8157,-0.0903,75,0.086,1,8.4859,3.0387,-10.3588,0.3645,-0.0922,-0.1787,51
0.715,13,5.3248,2.2508,-15.6085,-0.2458,-0.4681,-0.1272,75,0.138,2,8.3191,3.1698,-10.5471,0.3036,0.0062,-0.0882,51
0.767,14,5.1356,2.136,-16.3237,-0.1667,-0.2112,-0.1515,75,0.19,3,8.1812,3.4086,-10.6199,0.077,0.0673,0.0271,51
0.819,15,5.0994,2.1904,-16.903,-0.1475,-0.072,-0.1534,75,0.241,4,8.3200,3.3179,-10.56,-0.0269,0.0801,0.0955,51
0.871,16,5.1585,2.2405,-17.3887,-0.1164,-0.0319,-0.1181,75,0.293,5,8.3714,3.0634,-10.3827,-0.0763,0.0574,0.13,51
0.923,17,5.2044,2.3921,-17.5331,-0.0539,-0.0441,-0.061,75,0.345,6,8.3883,3.0987,-10.3154,-0.0859,0.0398,0.0962,51
0.974,18,5.2206,2.5402,-17.531,-0.0309,-0.0523,-0.0035,75,0.397,7,8.4029,3.0686,-10.1673,-0.0944,0.016,0.0743,51
1.026,19,5.219,2.6323,-17.5551,-0.0247,-0.0313,0.0258,75,0.449,8,8.4452,3.0198,-10.1222,-0.0844,-0.0187,0.0617,51
1.078,20,5.1862,2.7288,-17.5931,-0.0125,-0.0206,0.0345,75,0.501,9,8.4743,2.9236,-10.1333,-0.0843,-0.0342,0.0702,51
1.13,21,5.1567,2.7777,-17.5952,-0.0645,-0.031,0.0546,75,0.552,10,8.5132,2.8719,-10.1393,-0.0815,-0.0482,0.0617,51
1.182,22,5.1953,2.7178,-17.6241,-0.0892,-0.0323,0.0616,75,0.604,11,8.5271,2.8602,-10.1517,-0.0774,-0.0491,0.0533,51
1.233,23,5.1844,2.7758,-17.6482,-0.0839,-0.0165,0.05,75,0.656,12,8.5356,2.7926,-10.1539,-0.0562,-0.0443,0.0392,51
1.285,24,5.2154,2.7611,-17.6908,-0.0808,-0.0115,0.0333,75,0.708,13,8.5713,2.7155,-10.1779,-0.0195,-0.0663,0.022,51
1.337,25,5.2199,2.6672,-17.7049,-0.0518,0.005,0.0099,75,0.76,14,8.5757,2.7036,-10.2461,0.0172,-0.0574,-0.0448,51
1.389,26,5.2419,2.6065,-17.6698,-0.0494,0.0183,0.0058,75,0.811,15,8.5555,2.8274,-10.285,0.0343,-0.045,-0.0761,51
1.441,27,5.2924,2.564,-17.6329,-0.0594,0.0294,0.0337,75,0.863,16,8.5812,2.7565,-10.1718,0.0578,-0.0305,-0.0639,51
1.492,28,5.2895,2.5807,-17.6649,-0.0788,0.0144,0.0779,75,0.915,17,8.5173,2.8284,-10.3957,0.0828,-0.0216,-0.0326,51
1.544,29,5.3299,2.6642,-17.6731,-0.0826,-0.0285,0.1078,75,0.967,18,8.5164,2.841,-10.3085,0.0464,0.0128,-0.0211,51
1.596,30,5.4502,2.8047,-17.632,-0.072,-0.0506,0.0992,75,1.018,19,8.4400,3.0354,-10.1707,0.0173,0.05,-0.0177,51
1.648,31,5.4803,2.9091,-17.5124,-0.0607,-0.0397,0.057,75,1.07,20,8.4401,3.0419,-10.1988,0.0017,0.0209,-0.0088,51
1.7,32,5.4799,2.9058,-17.5349,-0.0588,-0.0198,0.025,75,1.122,21,8.4646,2.9378,-10.1708,0.0307,-0.0146,-0.0351,51
1.751,33,5.47,2.849,-17.5929,-0.0545,-0.0055,-0.0077,75,1.174,22,8.4174,3.0644,-10.2191,0.1232,-0.0593,-0.1008,51
1.803,34,5.433,2.6946,-17.6017,-0.028,-0.0006,-0.0256,75,1.226,23,8.4458,3.0675,-10.303,0.1173,-0.0549,-0.0587,51
1.855,35,5.3886,2.5968,-17.5597,-0.0121,0.007,-0.0158,75,1.277,24,8.4815,3.0093,-10.3171,0.1255,-0.0514,-0.0548,51
1.907,36,5.4449,2.5573,-17.5559,-0.0218,0.0071,0.0263,75,1.329,25,8.4394,3.0578,-10.4204,0.1351,-0.0237,-0.0536,51
1.959,37,5.4949,2.5449,-17.5643,-0.029,0.013,0.0649,75,1.381,26,8.4332,3.0329,-10.4795,0.1112,-0.0095,-0.0299,51
2.01,38,5.4964,2.5876,-17.594,-0.022,0.0196,0.0855,75,1.433,27,8.3712,3.1178,-10.6166,0.0389,0.0056,0.0129,51
2.062,39,5.4963,2.671,-17.617,-0.0093,0.0204,0.0896,75,1.484,28,8.4045,3.0919,-10.4255,-0.0294,0.0352,0.0457,51
2.114,40,5.4718,2.7329,-17.6239,0.0134,0.0154,0.0684,75,1.536,29,8.4539,3.0001,-10.4345,-0.0674,0.0018,0.0732,51
2.166,41,5.4611,2.809,-17.584,0.0265,0.0169,0.0289,75,1.588,30,8.4524,2.9339,-10.4644,-0.0761,-0.0111,0.0622,51
2.218,42,5.4382,2.8321,-17.539,0.0262,0.0195,-0.0121,75,1.64,31,8.4657,2.9192,-10.4608,-0.0599,-0.0227,0.0361,51
2.269,43,5.4304,2.7668,-17.5786,0.0413,0.0252,-0.0492,75,1.692,32,8.4684,2.9027,-10.458,-0.0374,-0.0147,0.0051,51
2.321,44,5.4224,2.7439,-17.5507,0.0642,0.0333,-0.0839,75,1.743,33,8.4895,2.8953,-10.5357,-0.0155,-0.0146,0.0014,51
2.373,45,5.4274,2.7314,-17.5278,0.0643,0.0432,-0.0923,75,1.795,34,8.4908,2.8767,-10.5077,0.0144,-0.0119,-0.0074,51
2.425,46,5.4586,2.7208,-17.5706,0.0687,0.0449,-0.0868,75,1.847,35,8.4681,2.9151,-10.5672,0.0726,-0.0324,-0.0264,51
2.477,47,5.4716,2.774,-17.5605,0.0725,0.0349,-0.0781,75,1.899,36,8.4558,3.0012,-10.6123,0.0636,-0.0117,-0.0204,51
