right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.035,0,9.4877,-1.1909,-12.0357,-0.0001,-0.0838,-0.1745,88,0.092,1,8.9397,1.134,-11.0713,0.2107,0.0878,-0.179,52
0.087,1,9.4373,-0.9832,-12.1562,-0.0428,-0.0808,-0.249,88,0.144,2,8.7712,1.3708,-11.0141,0.0492,0.0711,-0.1687,52
0.138,2,9.5488,-0.6965,-12.2759,-0.0257,-0.0841,-0.2476,88,0.196,3,8.8373,1.3359,-10.9306,-0.0274,0.0595,-0.1273,52
0.19,3,9.5313,-0.5367,-12.2462,0.0003,-0.183,-0.2191,88,0.248,4,8.7666,1.5562,-10.7813,-0.1332,-0.0025,-0.0535,52
0.242,4,9.5349,-0.5019,-12.1912,-0.0674,-0.1926,-0.2328,88,0.299,5,8.8172,1.3077,-10.7062,-0.1125,-0.0853,0.0366,52
0.294,5,9.378,-0.1442,-12.5094,-0.069,-0.1166,-0.222,88,0.352,6,8.7718,1.1137,-10.9807,-0.1251,-0.1155,0.0428,52
0.346,6,9.4354,-0.1752,-12.4814,-0.0632,-0.0334,-0.1129,88,0.403,7,8.8211,1.3225,-11.0599,-0.0704,-0.0936,0.0113,52
0.397,7,9.4408,-0.2225,-12.4594,-0.0355,0.0068,-0.0295,88,0.455,8,8.7606,1.293,-11.0767,-0.0151,-0.0732,-0.0144,52
0.449,8,9.3979,-0.3391,-12.4398,-0.0754,0.0615,0.0374,88,0.507,9,8.7123,1.075,-11.0892,0.0859,-0.0427,-0.0939,52
0.501,9,9.4555,-0.3227,-12.4204,-0.1653,0.0844,0.1358,88,0.559,10,8.846,1.3408,-11.1567,0.1248,-0.0072,-0.1558,52
0.553,10,9.6343,-0.5565,-12.3038,-0.2164,0.0219,0.1058,88,0.611,11,8.731,1.5472,-11.1329,0.0539,-0.0228,-0.0743,52
0.605,11,9.8365,-0.8316,-11.9857,-0.2471,-0.1427,-0.1113,88,0.662,12,8.7045,1.5962,-11.1109,-0.1025,-0.0626,0.0344,52
0.656,12,11.3815,-1.6347,-11.5157,-0.3908,-0.599,-0.3915,88,0.714,13,8.752,1.4327,-11.1205,-0.2525,-0.0955,0.1211,52
0.708,13,12.4942,-0.2318,-12.9176,-0.4379,-1.1106,-0.6708,88,0.766,14,8.7966,1.283,-11.1517,-0.2821,-0.1148,0.1603,52
0.76,14,12.0152,0.3534,-15.5862,-0.6647,-1.3858,-0.8988,88,0.818,15,8.8156,1.0603,-11.1864,-0.2366,-0.1263,0.1625,52
0.812,15,11.7637,0.2318,-16.3442,-0.9837,-1.1382,-0.8896,88,0.869,16,8.8667,0.7725,-11.2625,-0.1116,-0.1094,0.1009,52
0.864,16,9.5657,1.4206,-15.7788,-0.8222,-0.7291,-1.0882,88,0.921,17,8.8015,1.1564,-11.4139,0.18,-0.0899,-0.0034,52
0.915,17,7.4882,1.2747,-13.3081,-0.7603,-0.0365,-1.3857,88,0.973,18,8.7623,1.1684,-11.5048,0.1705,-0.0474,-0.0587,52
0.967,18,5.4631,1.1955,-12.4268,-0.8839,0.2182,-1.0678,88,1.025,19,8.7705,1.2312,-11.5027,0.111,0.0009,-0.1002,52
1.019,19,5.1101,1.6365,-12.1734,-0.7561,0.2257,-0.6777,88,1.076,20,8.7206,1.2949,-11.4083,0.043,0.0206,-0.1183,52
1.071,20,5.322,2.4172,-12.4366,-0.6353,0.2174,-0.349,88,1.128,21,8.7303,1.3242,-11.3931,0.0188,0.0081,-0.0979,52
1.123,21,5.8281,3.2724,-12.9984,-0.54,0.1637,-0.1433,88,1.18,22,8.7446,1.3788,-11.3499,0.0552,-0.0071,-0.085,52
1.174,22,6.1152,3.7961,-13.5232,-0.4927,0.0641,0.0102,88,1.232,23,8.7277,1.4237,-11.4028,0.0759,-0.0092,-0.0723,52
1.226,23,6.205,4.0957,-13.6702,-0.4604,-0.0476,0.0752,88,1.284,24,8.6905,1.4482,-11.4051,0.0875,-0.0052,-0.0599,52
1.278,24,6.2571,4.2829,-13.805,-0.3496,-0.1442,0.0792,88,1.335,25,8.6962,1.5275,-11.3703,0.1108,-0.0224,-0.0354,52
1.33,25,6.2768,4.284,-13.6486,-0.3056,-0.1518,0.0587,88,1.387,26,8.8466,1.4189,-11.2726,0.225,-0.0753,0.0121,52
1.381,26,6.6415,4.5487,-13.7933,-0.175,-0.0673,0.0333,88,1.439,27,8.8608,1.2434,-11.5281,0.3152,-0.0825,0.0447,52
1.433,27,6.8604,4.6315,-13.8799,-0.1368,0.0557,0.0187,88,1.491,28,8.8282,1.1965,-11.7475,0.3495,-0.0362,0.0208,52
1.485,28,6.9517,4.666,-13.9591,-0.0433,0.1464,-0.027,88,1.542,29,8.7713,1.2722,-11.7341,0.3366,0.02,-0.0271,52
1.537,29,7.1475,4.6539,-13.9428,0.0178,0.1691,-0.057,88,1.594,30,8.7527,1.2535,-11.6667,0.2989,0.0491,-0.0508,52
1.589,30,7.3287,4.7856,-13.7177,0.0101,0.1646,-0.0966,88,1.646,31,8.8019,1.2853,-11.6052,0.2871,0.0476,-0.0408,52
1.64,31,7.5761,4.8057,-13.372,-0.0056,0.1371,-0.1183,88,1.698,32,8.6642,1.3227,-11.6935,0.2783,0.0395,-0.0127,52
1.692,32,6.1704,4.8621,-13.7553,0.1896,-0.2274,-0.1511,88,1.75,33,8.7571,1.2647,-11.7669,0.2653,0.0462,0.0151,52
1.744,33,6.4882,5.1382,-14.6709,0.1086,-0.0706,-0.1406,88,1.802,34,8.7507,1.2328,-11.8131,0.2118,0.0723,0.0131,52
1.796,34,6.7644,5.1264,-14.6493,-0.0155,-0.0218,-0.1276,88,1.853,35,8.2938,2.1423,-12.1016,-0.0842,0.0761,0.0383,52
1.848,35,6.9283,5.0418,-14.6633,-0.0055,-0.024,-0.1383,88,1.905,36,8.6452,1.2401,-11.2674,-0.7021,-0.0296,0.1827,52
1.899,36,6.9202,5.042,-14.5325,-0.0506,-0.0306,-0.0886,88,1.957,37,8.6952,1.4467,-11.7478,-0.5417,-0.1399,0.2766,52
1.951,37,6.7602,4.9673,-14.3305,-0.0463,-0.0981,-0.0284,88,2.009,38,8.6885,0.8963,-11.7926,-0.3628,-0.1443,0.2659,52
2.003,38,6.924,5.0599,-14.3981,-0.01,-0.1695,0.0382,88,2.06,39,8.7047,0.9361,-11.7599,-0.3141,-0.1201,0.2348,52
2.055,39,7.0249,5.1197,-14.39,-0.0383,-0.1619,0.0886,88,2.112,40,8.7292,0.8326,-11.8186,-0.263,-0.1239,0.218,52
2.106,40,6.9385,4.9259,-14.5839,-0.0119,-0.064,0.0707,88,2.164,41,8.7721,0.6518,-11.8265,-0.2028,-0.1116,0.1749,52
2.158,41,7.1129,4.9419,-14.5728,-0.0165,-0.0345,0.0787,88,2.216,42,8.7276,0.8837,-11.9259,-0.2266,-0.0683,0.1431,52
2.21,42,7.38,4.811,-14.6944,-0.0433,-0.0207,0.1093,88,2.268,43,8.8016,0.6987,-11.7565,-0.3326,-0.026,0.1282,52
2.262,43,7.0766,4.7294,-14.5956,-0.0259,0.0187,0.1348,88,2.319,44,8.7855,0.8168,-11.7348,-0.3518,-0.0668,0.14,52
2.313,44,6.9568,4.7282,-14.6126,-0.0318,0.0237,0.1479,88,2.371,45,8.7912,0.5647,-11.8082,-0.3315,-0.0996,0.1441,52
2.365,45,6.8291,4.8239,-14.5607,-0.0316,0.011,0.1384,88,2.423,46,8.8233,0.488,-11.8356,-0.2736,-0.1033,0.1046,52
2.417,46,6.6447,4.8319,-14.6265,-0.0552,-0.0212,0.1164,88,2.475,47,8.7742,0.4592,-11.8876,-0.2093,-0.0983,0.0758,52
2.469,47,6.5113,4.7996,-14.8176,-0.0664,-0.0658,0.0874,88,2.526,48,8.7815,0.3138,-11.8762,-0.1424,-0.0962,0.045,52
2.521,48,6.6014,4.8513,-14.8822,-0.0722,-0.1489,0.0432,88,2.578,49,8.7926,0.0651,-11.9048,-0.0141,-0.095,-0.0234,52
2.572,49,6.8972,4.9403,-14.9996,-0.0595,-0.2236,-0.0088,88,2.63,50,8.6726,0.7099,-12.1475,0.456,-0.1235,-0.1884,52
2.624,50,7.0778,4.9508,-14.9589,-0.0706,-0.2403,-0.0493,88,2.682,51,8.6808,0.8333,-12.1831,0.4285,-0.1134,-0.1466,52
2.676,51,7.1989,4.9694,-14.9287,-0.0435,-0.2414,-0.0831,88,2.734,52,8.635,0.8166,-12.2876,0.3005,-0.0867,-0.0465,52
