right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.323,6,4.6053,-1.2243,-16.7534,-0.142,-0.4482,0.4174,89,0.126,2,8.7643,2.2803,-9.7109,0.1265,-0.0572,-0.0775,52
0.375,7,4.2874,-1.4623,-17.5604,-0.0676,-0.2844,0.2652,89,0.177,3,8.6649,2.2036,-9.7601,0.0919,-0.0738,-0.0135,52
0.426,8,3.9422,-1.6063,-18.0635,-0.0254,-0.224,0.1717,89,0.229,4,8.698,2.1104,-9.8159,0.1373,-0.1123,-0.0279,52
0.478,9,3.6355,-1.8058,-18.2628,-0.0547,-0.1824,0.1195,89,0.281,5,8.7063,2.2408,-9.978,0.157,-0.119,-0.0315,52
0.53,10,3.4639,-1.9965,-18.3866,-0.0905,-0.1906,0.0767,89,0.333,6,8.5691,2.1198,-10.17,0.0817,-0.0839,0.0336,52
0.582,11,3.34,-2.0856,-18.6903,-0.0279,-0.245,0.0349,89,0.384,7,8.6143,2.12,-10.164,0.0585,-0.0922,-0.0135,52
0.633,12,3.4662,-2.095,-18.7628,-0.0488,-0.2888,0.0115,89,0.436,8,8.6648,2.181,-10.2521,0.0417,-0.0755,-0.0356,52
0.685,13,3.6233,-2.093,-18.7349,-0.0203,-0.3061,0.0187,89,0.488,9,8.6958,2.1249,-10.2611,0.0126,-0.0235,-0.0625,52
0.737,14,3.5834,-2.0605,-18.6169,-0.0054,-0.2839,0.0456,89,0.54,10,8.6842,2.135,-10.2717,0.0242,0.0104,-0.0808,52
0.789,15,3.4684,-2.0687,-18.605,-0.0023,-0.1993,0.0648,89,0.592,11,8.6712,2.2662,-10.268,0.0144,0.0449,-0.0623,52
0.841,16,3.3449,-2.0362,-18.6538,-0.0121,-0.1224,0.0717,89,0.643,12,8.5971,2.3598,-10.162,-0.0244,0.0689,-0.0303,52
0.892,17,3.2153,-2.0306,-18.7124,-0.0018,-0.069,0.0561,89,0.695,13,8.6485,2.3137,-10.0811,-0.0304,0.0625,-0.0327,52
0.944,18,3.1947,-2.1089,-18.7408,-0.0172,-0.0365,0.0277,89,0.747,14,8.6395,2.3958,-10.0852,-0.044,0.0669,-0.0237,52
0.996,19,3.1908,-2.1949,-18.7822,0.0245,-0.021,-0.0101,89,0.799,15,8.6219,2.4122,-10.001,-0.069,0.0892,-0.0141,52
1.048,20,3.1853,-2.2045,-18.7535,0.0566,-0.018,-0.027,89,0.851,16,8.6637,2.3305,-9.9243,-0.0732,0.0996,-0.0054,52
1.1,21,3.2017,-2.1842,-18.7946,0.0565,-0.0074,-0.0209,89,0.903,17,8.6328,2.4264,-9.8284,-0.1037,0.0959,0.0072,52
1.152,22,3.2033,-2.1647,-18.7847,0.0604,-0.0072,-0.0224,89,0.954,18,8.6067,2.4125,-9.7413,-0.1298,0.0721,0.0945,52
1.203,23,3.1392,-2.1099,-18.8616,0.0346,-0.0042,-0.0225,89,1.006,19,8.6937,2.2256,-9.7225,-0.1146,0.0212,0.0728,52
1.255,24,3.1017,-2.2547,-18.8264,0.0083,0.0012,-0.0447,89,1.058,20,8.7363,2.188,-9.7398,-0.0745,0.0089,0.0323,52
1.307,25,3.1599,-2.3082,-18.8487,0.0281,0.0118,-0.077,89,1.11,21,8.7387,2.1944,-9.7397,-0.0395,-0.0143,0.0194,52
1.359,26,3.2451,-2.2578,-18.8794,0.0387,0.0107,-0.0722,89,1.162,22,8.7368,2.227,-9.7624,-0.0377,0.0002,0.0097,52
1.411,27,3.1991,-2.2459,-18.903,0.0413,0.012,-0.0551,89,1.213,23,8.7335,2.2048,-9.7262,-0.023,0.0195,-0.0078,52
1.462,28,3.0907,-2.276,-18.886,0.0017,0.0162,-0.0372,89,1.265,24,8.7098,2.2614,-9.7063,0.0017,0.0149,-0.0214,52
1.514,29,3.0341,-2.4201,-18.8888,-0.0419,0.0174,-0.0046,89,1.317,25,8.68,2.3227,-9.7065,0.0009,0.0238,-0.0286,52
1.566,30,3.064,-2.4803,-18.8755,-0.1044,0.0106,0.0791,89,1.368,26,8.6418,2.3577,-9.696,0.0115,0.021,-0.0041,52
19.745,381,9.6486,-0.2343,-10.403,-0.0198,0.1441,-0.0124,87,19.545,377,8.8331,1.4654,-8.9077,-0.0085,0.0114,0.0923,52
19.797,382,9.6317,-0.1677,-10.4193,-0.0306,0.1561,-0.0049,87,19.596,378,8.8435,1.3928,-8.9244,-0.0254,-0.003,0.0864,52
19.849,383,9.6175,-0.181,-10.3204,-0.0388,0.1729,0.0009,87,19.648,379,8.8374,1.4108,-8.9116,-0.0487,-0.0107,0.0755,52
19.901,384,9.6312,-0.196,-10.1858,-0.0522,0.178,0.0078,87,19.7,380,8.7955,1.4273,-8.9442,-0.1245,-0.0179,0.0526,52
19.952,385,9.6713,-0.2245,-10.0801,-0.0573,0.1851,0.0115,87,19.752,381,8.8697,1.3495,-8.9156,-0.1463,-0.0381,0.0491,52
