right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.3,5,9.3993,-1.519,-11.6203,0.0106,0.0055,0.0007,87,0.142,2,8.3382,1.8057,-12.7345,0.0051,0.0056,-0.0122,52
0.352,6,9.3849,-1.5216,-11.6068,0.0087,0.0033,-0.0039,87,0.194,3,8.3434,1.8062,-12.7302,0.006,0.0016,-0.0101,52
0.404,7,9.3729,-1.5269,-11.626,0.0138,0.0013,-0.0006,87,0.245,4,8.3625,1.8226,-12.7241,0.0087,-0.0002,-0.0058,52
0.455,8,9.3839,-1.5483,-11.6098,0.0148,0.0166,0.0233,87,0.297,5,8.3559,1.8159,-12.7279,0.0107,-0.001,-0.0029,52
0.507,9,9.405,-1.5762,-11.5679,0.0104,0.0236,0.03,87,0.349,6,8.3304,1.8163,-12.7337,0.0076,-0.004,-0.0032,52
0.559,10,9.4075,-1.6214,-11.5367,-0.0111,0.0041,0.0132,87,0.401,7,8.323,1.8129,-12.7355,-0.0011,-0.0072,-0.0085,52
0.611,11,9.3976,-1.6489,-11.5422,-0.0401,-0.0112,-0.0265,87,0.453,8,8.3289,1.8168,-12.7498,-0.0086,-0.0165,-0.0119,52
0.662,12,9.4108,-1.5075,-11.6066,-0.0345,-0.0233,-0.0558,87,0.504,9,8.3382,1.8327,-12.7649,-0.0116,-0.0196,-0.0136,52
0.714,13,9.4295,-1.4388,-11.6265,-0.027,-0.015,-0.0562,87,0.556,10,8.3201,1.8555,-12.785,-0.0079,-0.0113,-0.0128,52
0.766,14,9.4853,-1.3823,-11.6316,-0.0088,-0.0073,-0.0396,87,0.608,11,8.3061,1.8338,-12.7962,-0.0059,-0.0004,-0.0091,52
0.818,15,9.4452,-1.3658,-11.6301,0.0057,-0.0032,-0.0255,87,0.66,12,8.3055,1.8288,-12.7922,-0.0112,0.009,-0.011,52
