right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.292,5,9.6688,-0.8638,-10.8154,0.0057,-0.045,-0.046,86,0.664,12,8.6649,0.5724,-12.6241,-0.258,-0.1055,0.1127,51
0.344,6,9.8283,-0.7835,-10.7986,-0.0977,-0.0232,-0.0357,86,0.716,13,8.586,0.7092,-12.6206,-0.2697,-0.0949,0.1493,51
0.395,7,10.8797,-0.8158,-10.3438,-0.2878,0.2332,0.0054,86,0.768,14,8.5666,0.455,-12.567,-0.2247,-0.1826,0.1974,51
0.447,8,11.3274,-0.7127,-12.3174,-0.4238,-0.0014,-0.0911,86,0.82,15,8.5199,-0.4602,-12.7004,0.0186,-0.2399,0.1879,51
0.499,9,11.999,-0.8548,-13.4666,-0.3371,-0.6744,-0.1925,86,0.872,16,8.597,0.3176,-12.8838,0.2858,-0.2353,0.0754,51
0.551,10,11.4593,-0.4075,-13.5433,-0.2946,-1.1656,-0.3339,86,0.923,17,8.5804,0.332,-13.0864,0.256,-0.2174,0.0793,51
0.603,11,9.9205,0.2703,-13.3289,0.0067,-1.499,-0.4522,86,0.975,18,8.5181,0.393,-13.157,0.1735,-0.1594,0.0574,51
0.654,12,9.3045,0.2801,-13.115,0.0696,-1.6337,-0.4316,86,1.027,19,8.346,0.6371,-13.3056,-0.1165,-0.092,0.0628,51
0.706,13,8.7858,0.2295,-13.1028,0.0694,-1.5488,-0.3268,86,1.079,20,8.4053,0.6432,-13.2355,-0.1889,0.0001,0.0241,51
0.758,14,8.6005,0.0333,-13.4688,0.1043,-1.307,-0.2324,86,1.131,21,8.4395,0.965,-13.1577,-0.2443,0.0762,0.0408,51
0.81,15,7.8707,-0.1646,-13.9084,0.219,-1.0056,-0.164,86,1.182,22,8.5059,0.8685,-12.9,-0.2283,0.0888,0.031,51
0.861,16,7.265,-0.3856,-14.52,0.25,-0.7215,-0.1322,86,1.234,23,8.4276,0.6333,-12.8726,-0.2268,0.0493,0.0587,51
0.913,17,6.9228,-0.5588,-15.1021,0.2805,-0.478,-0.1093,86,1.286,24,8.4487,0.8031,-12.9719,-0.2313,0.002,0.1157,51
0.965,18,6.67,-0.6168,-15.5597,0.3109,-0.3257,-0.0964,86,1.338,25,9.1611,-0.7913,-12.7424,0.1272,0.2618,-0.0275,51
1.017,19,6.5653,-0.5855,-15.8215,0.3319,-0.2005,-0.1001,86,1.389,26,9.4408,0.1393,-12.7097,0.3796,0.1659,-0.1493,51
1.069,20,6.3538,-0.6467,-16.0743,0.2598,-0.0627,-0.1336,86,1.441,27,9.4028,0.1118,-12.8578,0.49,0.1191,-0.1837,51
1.12,21,6.4634,-0.4472,-16.0519,-0.1575,0.0864,-0.204,86,1.493,28,9.0576,0.6527,-12.8743,0.5767,0.0949,-0.2176,51
1.172,22,6.9654,0.3004,-16.3191,0.1455,0.1728,-0.4343,86,1.545,29,8.7047,1.1048,-12.6773,0.4336,0.0431,-0.1745,51
1.224,23,7.6255,0.2704,-16.4284,0.1811,0.1484,-0.5713,86,1.597,30,8.6876,0.2085,-12.9624,0.3605,-0.0535,-0.1281,51
1.276,24,8.101,0.3086,-16.6476,0.183,0.0938,-0.5963,86,1.648,31,8.5449,0.4651,-13.219,0.3588,-0.0642,-0.1478,51
1.328,25,8.063,0.2413,-16.408,0.2764,0.0029,-0.5296,86,1.7,32,8.4971,0.3719,-13.1825,0.2758,-0.0397,-0.1127,51
1.379,26,7.8546,0.063,-16.3047,0.0734,-0.0217,-0.3479,86,1.752,33,8.3474,0.8326,-13.1901,0.1438,-0.0532,-0.0632,51
1.431,27,7.7441,-0.0029,-16.265,-0.1781,-0.0198,-0.1087,86,1.804,34,8.3038,1.1055,-13.131,-0.2384,-0.0019,0.1278,51
1.483,28,7.4796,0.2153,-16.1974,-0.0596,-0.0405,0.0056,86,1.856,35,8.5883,0.9741,-13.1618,-0.3499,0.018,0.1469,51
1.535,29,7.1703,0.287,-16.1924,0.0368,-0.0351,0.0283,86,1.907,36,8.7561,0.615,-13.0273,-0.1759,0.0632,0.0194,51
1.587,30,6.8372,0.5419,-16.2031,-0.0152,-0.0009,-0.0771,86,1.959,37,8.6349,0.5333,-12.9742,0.1871,0.0377,-0.0982,51
1.638,31,6.8498,0.501,-16.3757,0.1709,-0.0258,-0.1439,86,2.011,38,8.4877,0.8554,-13.1562,0.3449,0.0136,-0.1114,51
1.69,32,7.2369,0.5357,-16.5337,0.0171,-0.0121,-0.1499,86,2.062,39,8.6348,0.1394,-12.9699,0.3396,0.0895,-0.133,51
1.742,33,7.3152,0.5265,-16.7733,0.0634,-0.073,-0.0942,86,2.114,40,8.3043,0.9025,-13.0198,0.2412,0.101,-0.1178,51
1.793,34,7.2808,0.7791,-16.8908,0.0639,-0.1407,-0.0638,86,2.166,41,8.3056,0.8572,-13.0487,-0.3396,0.0825,0.0909,51
1.845,35,6.8946,0.7387,-17.0155,0.0644,-0.2265,-0.0564,86,2.218,42,8.732,0.5701,-12.8072,-0.5345,0.034,0.1363,51
1.897,36,6.763,0.7237,-17.0791,0.0286,-0.3156,-0.0559,86,2.27,43,8.6199,0.6266,-12.773,-0.3423,-0.0357,0.0327,51
1.949,37,6.949,0.5603,-17.3092,0.0303,-0.4002,-0.093,86,2.321,44,8.5702,0.3102,-12.9503,0.013,-0.0146,-0.0617,51
