right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.018,0,8.4957,1.1245,-14.2515,0.1821,-0.0336,0.0903,90,0.931,17,8.0417,-0.3294,-13.7429,0.8436,-0.876,-0.2461,51
0.069,1,8.537,1.0836,-14.6507,0.285,-0.0086,-0.0017,90,0.983,18,7.7095,-0.4937,-13.7438,0.9625,-0.7896,-0.2781,51
0.121,2,8.6571,0.946,-14.3729,0.3921,-0.0009,-0.1264,90,1.034,19,7.6457,-0.6398,-13.8928,0.999,-0.6391,-0.2953,51
0.173,3,8.696,0.8578,-14.2955,0.3755,0.0073,-0.1529,90,1.086,20,7.565,-0.7785,-14.0614,0.8639,-0.5517,-0.2951,51
0.225,4,8.7247,0.7806,-14.2168,0.3834,0.0126,-0.1512,90,1.138,21,7.636,-0.824,-13.9948,0.708,-0.4555,-0.2475,51
0.277,5,8.7472,0.6567,-14.1049,0.2988,-0.0274,-0.1326,90,1.19,22,7.6218,-0.8208,-13.8118,0.4236,-0.3094,-0.1449,51
0.328,6,8.736,0.7145,-14.1262,0.2531,-0.0436,-0.1405,90,1.241,23,7.9189,-0.6941,-13.9619,0.054,-0.0753,-0.0774,51
0.38,7,8.7145,0.5689,-14.0931,0.1671,-0.0279,-0.1596,90,1.293,24,8.2563,-1.024,-14.0148,-0.1453,0.129,-0.0129,51
0.432,8,8.7286,0.6612,-14.0998,0.1013,-0.0526,-0.1292,90,1.345,25,8.4887,-1.059,-14.0789,-0.4293,0.2134,-0.0038,51
0.484,9,8.7231,0.5702,-14.0595,0.0667,-0.0766,-0.1194,90,1.397,26,8.5145,-1.0601,-14.1834,-0.4758,0.2106,0.0137,51
0.535,10,8.5573,0.9311,-14.216,0.0376,-0.0339,-0.1379,90,1.449,27,8.1578,-0.869,-14.377,-0.4793,0.1557,0.0281,51
0.587,11,8.6055,0.8826,-14.2239,0.0529,-0.0723,-0.0983,90,1.501,28,7.6886,-0.4559,-14.735,-0.5032,0.0903,0.077,51
0.639,12,8.5926,0.9044,-14.2123,0.0892,-0.0756,-0.0298,90,1.552,29,7.632,-0.1534,-15.0548,-0.3816,0.006,0.1363,51
0.691,13,8.6438,0.76,-14.2401,0.1197,-0.101,0.0201,90,1.604,30,7.7145,-0.2461,-15.0498,-0.3523,-0.1357,0.2011,51
0.743,14,8.8091,0.7663,-14.0686,-0.0695,-0.2102,0.1036,90,1.656,31,7.7427,0.3544,-15.4179,-0.5797,-0.2684,0.135,51
0.794,15,8.8472,0.7976,-14.2744,-0.2036,-0.1875,0.177,90,1.708,32,7.752,0.4823,-15.9897,-0.6228,-0.4154,0.0582,51
0.846,16,9.0168,0.991,-14.2405,-0.3111,-0.1419,0.2733,90,1.759,33,7.4727,0.6945,-15.9447,-0.3472,-0.5197,-0.0023,51
0.898,17,8.8982,0.9409,-14.2916,-0.57,-0.0854,0.419,90,1.811,34,6.99,0.745,-15.9863,-0.2747,-0.5527,-0.1138,51
0.95,18,8.6006,0.5318,-14.4929,-0.7728,-0.0121,0.4778,90,1.863,35,6.4896,0.6761,-16.2515,-0.0975,-0.4054,-0.2349,51
1.002,19,8.5379,0.395,-14.5065,-0.7524,0.06,0.4665,90,1.915,36,6.185,0.6298,-15.2338,0.1163,-0.2494,-0.3322,51
1.054,20,8.4273,-0.0228,-14.7362,-0.5875,0.1003,0.3649,90,1.967,37,6.209,0.2968,-15.1965,0.3884,-0.0027,-0.3816,51
1.105,21,7.2803,-0.7037,-15.6009,0.1979,0.1183,-0.0261,90,2.018,38,6.3327,0.0062,-14.6204,0.3843,0.1968,-0.4115,51
1.157,22,8.6527,0.3764,-13.8308,0.3204,0.197,-0.1852,90,2.07,39,6.3596,-0.1323,-13.6985,0.2849,0.5072,-0.3041,51
