right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.454,8,9.4586,-1.8294,-11.0269,0.0524,-0.0836,-0.0501,79,0.138,2,0.3224,-3.9226,-18.6009,-0.0408,-0.0668,0.2051,50
0.506,9,9.3849,-1.9355,-11.0511,-0.0756,-0.1169,-0.0612,79,0.189,3,0.115,-3.8213,-18.5979,-0.0336,-0.04,0.2063,50
0.558,10,9.3886,-1.6559,-11.1988,-0.1364,-0.1851,-0.0582,79,0.241,4,0.2358,-3.8487,-18.8976,-0.0358,-0.0009,0.1858,50
0.61,11,9.4276,-1.7169,-11.3263,-0.0733,-0.175,-0.0283,79,0.293,5,0.317,-3.8701,-19.17,0.052,0.013,0.1205,50
0.661,12,9.4279,-1.6396,-11.4377,-0.0179,-0.1674,-0.0013,79,0.345,6,0.1843,-3.7566,-19.1257,0.1113,-0.0141,0.0353,50
0.713,13,9.3786,-1.6462,-11.5705,-0.0004,-0.1117,0.0617,79,0.397,7,0.0648,-3.7913,-19.0208,0.1063,-0.0515,-0.0438,50
0.765,14,9.3258,-1.7612,-11.5549,0.0489,-0.0895,0.1091,79,0.449,8,-0.0596,-3.9897,-18.8753,0.1192,-0.0709,-0.1211,50
0.817,15,9.3033,-1.7776,-11.6524,0.0194,-0.1077,0.1145,79,0.5,9,0.276,-4.3132,-18.75,0.0792,-0.0935,-0.1436,50
0.868,16,9.3214,-1.7106,-11.6397,-0.0524,-0.0699,0.1635,79,0.552,10,0.2786,-4.405,-18.7825,0.1412,-0.0317,-0.2162,50
0.92,17,9.2482,-1.985,-11.7001,-0.1101,-0.0803,0.1694,79,0.604,11,-0.0593,-4.2062,-18.8069,0.2721,0.0362,-0.3844,50
0.972,18,9.2227,-1.9852,-11.8087,-0.0443,-0.124,0.1569,79,0.656,12,0.2694,-3.9869,-18.6532,0.2886,-0.0569,-0.5059,50
1.024,19,9.2529,-1.8592,-11.9568,0.1024,-0.0943,0.2009,79,0.708,13,0.681,-3.8894,-18.6242,0.2157,-0.1679,-0.6378,50
1.076,20,8.6426,-1.4215,-11.292,0.0505,-0.0141,0.1845,79,0.759,14,1.0859,-4.0196,-18.4596,0.1376,-0.2013,-0.9014,50
1.127,21,8.8969,-1.7591,-11.5087,0.1249,-0.028,0.1385,79,0.811,15,1.3604,-4.454,-18.3485,-0.004,-0.2207,-1.0906,50
1.179,22,9.0756,-1.8763,-11.5457,0.0593,0.033,0.0727,79,0.863,16,1.6111,-4.7352,-17.926,-0.113,-0.2314,-1.1223,50
1.231,23,9.0158,-2.0135,-11.7795,-0.0366,0.0056,0.0114,79,0.915,17,1.9968,-4.5391,-17.9007,-0.2389,-0.1605,-1.0372,50
1.283,24,9.1557,-2.1153,-11.7941,-0.0675,0.0374,-0.0399,79,0.966,18,2.3484,-4.5246,-18.1985,-0.2632,-0.0318,-0.9705,50
1.335,25,9.1291,-2.1566,-11.9244,-0.2096,0.105,-0.1005,79,1.018,19,2.5098,-4.4868,-18.4039,-0.2132,0.1397,-0.8593,50
1.386,26,9.2689,-2.1526,-11.6849,-0.509,0.2454,-0.1162,79,1.07,20,2.4265,-4.3654,-18.4679,-0.1839,0.2392,-0.5775,50
1.438,27,9.1619,-2.0706,-11.6938,-0.6352,0.2819,-0.1148,79,1.122,21,2.2727,-3.9974,-18.5053,-0.1822,0.3485,-0.2876,50
1.49,28,9.1433,-1.8982,-11.6712,-0.554,0.252,-0.1048,79,1.174,22,2.1522,-3.8579,-18.7615,-0.2438,0.4322,-0.0561,50
1.542,29,9.3494,-1.7548,-11.6512,-0.5051,0.2536,-0.0566,79,1.225,23,2.1179,-3.7671,-18.8197,-0.2467,0.4139,0.154,50
1.594,30,9.2819,-1.925,-11.596,-0.4289,0.2368,-0.0283,79,1.277,24,2.1609,-3.5157,-18.6118,-0.1952,0.3296,0.3469,50
1.645,31,8.7829,-3.0072,-11.5488,-0.1094,0.1502,-0.0549,79,1.329,25,2.2546,-3.1162,-18.7745,-0.1218,0.3,0.4652,50
1.697,32,9.6115,-1.7689,-11.2082,-0.0591,-0.0104,-0.0209,79,1.381,26,2.8189,-2.8481,-18.8778,-0.1776,0.2621,0.5127,50
1.749,33,9.6858,-1.5156,-11.36,-0.0711,-0.0376,0.0046,79,1.432,27,2.9119,-2.8692,-18.6347,-0.2036,0.23,0.4509,50
1.801,34,9.5523,-1.4424,-11.4194,-0.1932,0.0021,0.0291,79,1.484,28,2.7934,-2.8834,-18.4399,-0.197,0.244,0.3457,50
1.853,35,9.4314,-1.6152,-11.55,-0.2611,0.0325,0.0566,79,1.536,29,2.7181,-2.9735,-18.338,-0.257,0.2513,0.2649,50
1.904,36,9.345,-1.9644,-11.4638,-0.2512,0.0522,0.0503,79,1.588,30,2.7191,-3.0495,-18.2861,-0.2165,0.2372,0.1923,50
1.956,37,9.001,-2.6497,-11.5636,-0.038,-0.0271,0.0028,79,1.639,31,2.6939,-2.9257,-18.4507,-0.1326,0.2332,0.0846,50
2.008,38,9.6778,-1.5699,-11.3102,0.1896,-0.1061,-0.0415,79,1.691,32,2.9758,-2.8143,-18.6859,-0.1523,0.1907,0.0136,50
