right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.712,13,5.7304,-0.416,-17.5946,-0.1128,-0.7707,0.2419,88,0.179,3,8.7088,2.3636,-9.8666,-0.0715,-0.1308,0.0415,51
0.764,14,5.3089,-0.2523,-17.467,-0.1751,-0.7031,0.2498,88,0.231,4,8.7286,2.2453,-9.9258,-0.071,-0.0998,0.0283,51
0.816,15,4.9843,-0.204,-17.5593,-0.1598,-0.6021,0.2372,88,0.283,5,8.7898,2.0369,-9.9687,-0.056,-0.0746,0.0084,51
0.868,16,4.8774,-0.1994,-17.7067,-0.1324,-0.499,0.2189,88,0.335,6,8.714,2.3167,-9.9982,-0.0015,-0.028,-0.0189,51
0.92,17,4.9564,-0.2555,-17.8672,-0.1087,-0.3789,0.1708,88,0.386,7,8.7135,2.2959,-10.0321,-0.1089,0.0117,-0.041,51
0.971,18,4.9551,-0.2627,-18.0418,-0.1392,-0.2623,0.1431,88,0.438,8,8.6017,2.3042,-9.9015,-0.1136,0.0418,-0.0498,51
1.023,19,4.8877,-0.2295,-18.0729,-0.1676,-0.1775,0.1395,88,0.49,9,8.7254,2.0833,-9.9381,-0.0408,0.059,-0.0449,51
1.075,20,4.8351,-0.3353,-18.2018,-0.1221,-0.1125,0.1125,88,0.542,10,8.7112,2.1287,-9.9617,-0.11,0.0876,-0.0727,51
1.127,21,4.6665,-0.384,-18.2511,-0.0801,-0.0573,0.0741,88,0.594,11,8.6367,2.162,-9.7248,-0.0194,0.1315,-0.082,51
1.179,22,4.4083,-0.2253,-18.254,-0.1271,0.0511,0.0903,88,0.645,12,8.7057,2.0086,-9.6549,0.1145,0.1076,-0.0628,51
1.23,23,4.4531,-0.1267,-18.3949,-0.1623,0.1474,0.0797,88,0.697,13,8.5993,2.4145,-9.593,0.1445,0.0683,-0.0344,51
1.282,24,4.7629,-0.1283,-18.4229,-0.1049,0.1777,0.0007,88,0.749,14,8.5453,2.5102,-9.5354,0.1476,0.0328,-0.0011,51
1.334,25,4.7061,-0.0919,-18.4708,-0.0404,0.1521,-0.0578,88,0.801,15,8.4365,2.6978,-9.6081,-0.0278,-0.0115,-0.0057,51
1.386,26,4.6056,-0.0952,-18.5464,0.0214,0.12,-0.0574,88,0.853,16,8.7415,2.2779,-9.7704,-0.0093,0.006,-0.0159,51
1.437,27,4.5321,-0.1083,-18.5229,0.024,0.0834,-0.0569,88,0.905,17,8.7265,2.3934,-9.6784,-0.032,0.0364,-0.0442,51
1.489,28,4.4069,-0.2253,-18.3108,0.1061,0.0241,-0.0699,88,0.956,18,8.6735,2.5105,-9.6204,0.1003,0.0499,-0.0248,51
1.541,29,4.2752,-0.4254,-18.2554,0.224,0.0347,-0.0668,88,1.008,19,8.6192,2.6915,-9.5656,0.1273,0.0313,-0.0025,51
1.593,30,4.2116,-0.5035,-18.3106,0.1475,0.0044,-0.0684,88,1.06,20,8.564,2.6553,-9.601,0.095,-0.004,0.0251,51
1.645,31,4.2603,-0.9156,-18.3964,0.195,0.031,-0.0431,88,1.112,21,8.5663,2.6154,-9.6077,0.0591,-0.0348,0.0417,51
1.696,32,4.267,-0.9589,-18.5611,0.1254,-0.0391,-0.0135,88,1.163,22,8.6605,2.3973,-9.7289,0.0551,-0.0327,0.0433,51
1.748,33,4.2505,-0.821,-18.534,0.0879,-0.0696,0.039,88,1.215,23,8.6285,2.572,-9.7089,0.0398,-0.036,0.0467,51
1.8,34,4.3295,-0.7483,-18.4682,0.0325,-0.0822,0.0826,88,1.267,24,8.6227,2.5623,-9.6496,-0.0564,-0.0441,0.0461,51
1.852,35,4.4332,-0.7054,-18.4242,0.0193,-0.069,0.1062,88,1.319,25,8.7171,2.4155,-9.7389,-0.1826,-0.0807,0.0409,51
1.904,36,4.4803,-0.6192,-18.4521,0.0088,-0.0475,0.1283,88,1.371,26,8.7476,2.3931,-9.7549,-0.1911,-0.0846,0.0308,51
1.956,37,4.5254,-0.5999,-18.4522,-0.0227,-0.0101,0.1546,88,1.422,27,8.7504,2.2558,-9.8113,-0.2186,-0.0789,0.0155,51
2.007,38,4.495,-0.504,-18.4759,-0.0492,0.0282,0.1605,88,1.474,28,8.6937,2.3928,-9.8085,-0.2031,-0.0653,0.0059,51
2.059,39,4.4451,-0.4693,-18.5861,-0.0295,0.0337,0.127,88,1.526,29,8.6825,2.3072,-9.7791,-0.1827,-0.0615,0.0025,51
2.111,40,4.418,-0.4814,-18.6369,0.0042,0.0284,0.0893,88,1.577,30,8.699,2.3263,-9.7937,-0.1624,-0.0573,-0.0031,51
2.163,41,4.3424,-0.469,-18.6946,-0.0144,0.0167,0.0656,88,1.629,31,8.6694,2.2831,-9.7302,-0.1428,-0.0506,-0.0058,51
2.215,42,4.3074,-0.51,-18.666,-0.0171,-0.0047,0.0547,88,1.681,32,8.6902,2.3557,-9.7991,-0.1168,-0.0534,-0.006,51
2.266,43,4.4124,-0.547,-18.5468,-0.0034,-0.0311,0.0455,88,1.733,33,8.6683,2.3121,-9.8038,-0.1005,-0.0379,-0.0105,51
2.318,44,4.517,-0.5596,-18.4851,-0.002,-0.0307,0.0234,88,1.785,34,8.6468,2.3678,-9.8111,-0.0964,-0.0292,-0.0154,51
2.37,45,4.6043,-0.534,-18.5054,-0.0211,-0.0106,0.0151,88,1.836,35,8.6627,2.2902,-9.7621,-0.0618,-0.0295,-0.0144,51
2.422,46,4.6278,-0.4428,-18.5249,-0.0518,0.019,0.0409,88,1.888,36,8.7032,2.3089,-9.8162,-0.074,-0.0193,-0.0257,51
