right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.101,1,9.5115,1.256,-14.7055,-0.1142,-1.5433,-0.4375,87,0.028,0,7.895,3.7205,-9.8786,0.0667,-0.039,0.3591,51
0.153,2,8.7184,1.3254,-15.039,-0.0399,-1.7412,-0.4804,87,0.08,1,7.9026,3.6197,-9.7899,-0.0499,-0.052,0.2051,51
0.204,3,7.7429,1.3499,-14.9765,0.0578,-1.794,-0.4464,87,0.131,2,7.9902,3.6684,-9.8371,0.0624,-0.1977,0.2208,51
0.256,4,6.8718,1.5299,-15.2347,0.098,-1.6556,-0.3897,87,0.183,3,8.1534,3.151,-10.2868,0.0755,-0.3113,0.2206,51
0.308,5,6.1786,1.8688,-15.1596,0.1037,-1.4359,-0.3196,87,0.235,4,8.3163,2.9269,-10.3131,0.0194,-0.1411,0.1212,51
0.36,6,5.5328,1.9682,-15.5288,0.0989,-1.12,-0.2469,87,0.287,5,8.2467,3.0797,-10.2526,0.0052,-0.0569,0.0901,51
0.412,7,5.1629,2.1687,-15.8642,0.0768,-0.8513,-0.1975,87,0.339,6,8.3626,2.9739,-10.32,-0.0011,-0.0662,0.1328,51
0.463,8,4.9028,1.9802,-16.5984,0.0981,-0.5932,-0.1269,87,0.39,7,8.4554,2.8888,-10.3768,-0.0178,-0.0685,0.1364,51
0.515,9,4.9701,2.1475,-17.1355,0.1234,-0.398,-0.0828,87,0.442,8,8.4289,2.7484,-10.3036,-0.0717,-0.0677,0.1046,51
0.567,10,5.0997,2.221,-17.4662,0.0672,-0.2499,-0.015,87,0.494,9,8.476,2.7108,-10.3018,-0.0697,-0.0873,0.0554,51
0.619,11,5.1591,2.4179,-17.7372,0.0172,-0.204,0.1078,87,0.546,10,8.5532,2.6712,-10.341,-0.0869,-0.033,0.0031,51
0.67,12,5.0408,2.3388,-17.8752,-0.0137,-0.1773,0.1913,87,0.597,11,8.5407,2.6761,-10.3397,-0.0888,0.013,-0.0342,51
0.722,13,4.8315,2.3785,-18.0808,-0.0164,-0.1376,0.2016,87,0.649,12,8.5495,2.6558,-10.3619,-0.0991,0.0502,-0.0658,51
0.774,14,4.4877,2.4899,-18.1565,0.0235,-0.0997,0.157,87,0.701,13,8.5536,2.7104,-10.2336,-0.1141,0.1466,-0.0949,51
0.826,15,4.5254,2.465,-18.1826,0.0846,-0.1276,0.0405,87,0.753,14,8.611,2.5502,-10.3276,-0.1564,0.2124,-0.1535,51
0.878,16,4.8189,2.3528,-18.0957,0.1243,-0.1619,-0.1571,87,0.805,15,8.1834,3.3246,-9.8702,-0.1026,0.2114,-0.2109,51
0.929,17,4.9414,2.363,-18.0977,0.2271,-0.1229,-0.3492,87,0.857,16,8.3832,3.2063,-10.0021,-0.0759,0.2268,-0.2538,51
0.981,18,4.9423,2.371,-17.8645,0.2894,-0.0572,-0.4691,87,0.908,17,8.3905,3.2559,-9.7949,-0.0586,0.2164,-0.2954,51
1.033,19,4.7064,2.0707,-17.9499,0.3716,0.0019,-0.5408,87,0.96,18,8.2286,3.4195,-9.594,0.0514,0.1998,-0.2288,51
1.085,20,4.3478,1.7938,-18.1375,0.4388,0.0784,-0.5389,87,1.012,19,7.7448,3.8199,-9.104,0.0898,0.1345,-0.1442,51
1.137,21,4.1476,1.7493,-18.2958,0.4386,0.0904,-0.4446,87,1.064,20,7.6823,4.0264,-9.6113,0.2385,-0.1096,0.2484,51
1.188,22,4.5167,2.6943,-18.2856,0.3448,0.1304,-0.1694,87,1.116,21,8.2585,3.3594,-9.8912,0.1084,-0.1642,0.1627,51
1.24,23,4.7011,2.4306,-18.4322,0.2759,0.1528,0.0024,87,1.167,22,8.2946,3.2859,-9.9284,0.1122,-0.1518,0.1448,51
1.292,24,5.1677,2.6372,-18.2813,0.0083,0.0323,0.0065,87,1.219,23,8.5559,3.0376,-9.8091,0.0584,-0.1376,0.061,51
1.344,25,5.0253,2.4966,-18.2912,-0.1284,0.0259,0.0677,87,1.271,24,8.5614,2.9152,-10.1854,0.0423,-0.0831,-0.0808,51
1.396,26,4.8319,2.5581,-18.3155,-0.2492,-0.0137,0.1478,87,1.323,25,8.5106,3.0586,-10.1087,0.0455,-0.0311,-0.2176,51
1.447,27,4.2663,2.7117,-18.0511,-0.2058,-0.114,0.1326,87,1.374,26,8.1895,3.3511,-9.7568,0.0903,0.0123,-0.1799,51
1.499,28,3.8082,2.3942,-18.125,-0.1764,-0.0147,0.0989,87,1.426,27,7.6296,3.7179,-9.6956,0.2009,-0.1378,0.1425,51
1.551,29,4.1416,1.7867,-18.2397,-0.195,0.0553,0.0687,87,1.478,28,8.0371,3.3636,-10.0455,0.0688,-0.1785,0.1836,51
