right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.023,0,9.0464,-2.6069,-11.1194,-0.068,-0.0236,-0.0093,89,0.047,0,8.111,-0.0578,-14.4673,0.0105,-2.1171,0.808,52
0.075,1,9.1036,-2.6744,-11.31,-0.0233,-0.1094,0.1152,89,0.099,1,7.2758,-0.0683,-15.2883,0.0168,-2.0966,0.524,52
0.127,2,9.0881,-3.0994,-11.4755,0.0047,-0.1499,0.1648,89,0.151,2,6.8525,-0.4446,-15.7877,0.0465,-1.9406,0.2181,52
0.178,3,9.027,-2.9778,-11.6701,0.0419,-0.2036,0.1919,89,0.203,3,6.2302,-0.7176,-15.8271,0.2474,-1.7082,-0.0365,52
0.23,4,8.9097,-3.0528,-11.8112,0.0271,-0.2187,0.2531,89,0.255,4,5.2164,-1.0826,-16.0495,0.3554,-1.4128,-0.1675,52
0.282,5,8.8852,-3.3452,-11.9363,0.0713,-0.2327,0.2763,89,0.306,5,4.2123,-1.3923,-16.357,0.2015,-1.1164,-0.227,52
0.334,6,8.8154,-3.4641,-12.0181,0.0697,-0.2018,0.217,89,0.358,6,3.5003,-1.7359,-16.8057,0.0778,-0.8103,-0.2268,52
0.385,7,8.7774,-3.5191,-12.1018,0.0738,-0.1913,0.1628,89,0.41,7,3.1787,-1.8228,-17.3785,0.0835,-0.5198,-0.1627,52
0.437,8,8.7371,-3.5196,-12.1402,0.0614,-0.1495,0.12,89,0.462,8,2.8686,-1.9568,-18.0674,0.0581,-0.3134,-0.1293,52
0.489,9,8.6897,-3.5296,-12.1777,0.0473,-0.1274,0.1007,89,0.513,9,2.654,-1.8082,-18.5725,0.0817,-0.2044,-0.098,52
0.541,10,8.6805,-3.5154,-12.1603,0.0188,-0.1226,0.0951,89,0.565,10,2.3169,-1.7664,-18.7038,0.1373,-0.1528,-0.0299,52
