right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage
0.362,6,8.5874,-0.1624,-15.4526,0.007,-1.8231,0.418,75
0.414,7,7.7872,-0.1718,-15.7536,0.0328,-1.9081,0.4847,75
0.466,8,7.101,-0.3324,-15.968,0.0384,-1.891,0.5123,75
0.517,9,6.5119,-0.5892,-16.274,-0.0047,-1.7602,0.5196,75
0.569,10,6.0396,-0.7747,-16.5451,-0.0539,-1.5922,0.5152,75
0.621,11,5.5438,-0.9912,-16.9011,-0.0598,-1.3734,0.504,75
0.673,12,5.1002,-0.8082,-17.0298,-0.0909,-1.1523,0.4916,75
0.725,13,4.4813,-1.271,-17.4662,-0.0794,-0.8835,0.4416,75
0.776,14,4.2845,-0.7486,-17.3348,0.1069,-0.588,0.3789,75
0.828,15,4.1242,-0.9814,-17.6385,-0.0351,-0.3467,0.3021,75
0.88,16,4.114,-0.9084,-17.8638,0.0509,-0.1708,0.2054,75
0.932,17,4.142,-1.1358,-18.1311,-0.0554,-0.0383,0.1326,75
0.983,18,4.1595,-1.0873,-18.339,-0.0595,0.053,0.0689,75
1.035,19,4.0389,-1.134,-18.5781,-0.0618,0.1094,0.0158,75
1.087,20,3.8948,-1.0866,-18.6124,-0.0463,0.1298,-0.0322,75
1.139,21,3.641,-1.3052,-18.737,-0.0036,0.1394,-0.0804,75
1.191,22,3.7305,-1.1579,-18.6131,0.059,0.1451,-0.1335,75
1.242,23,3.6798,-1.4263,-18.7431,0.0625,0.1457,-0.1549,75
1.294,24,3.7564,-1.3559,-18.8425,0.0175,0.1289,-0.1303,75
1.346,25,3.7728,-1.4233,-18.8894,0.0129,0.0952,-0.0829,75
1.398,26,3.7635,-1.4238,-18.8677,-0.0237,0.0599,-0.0274,75
1.45,27,3.6719,-1.4915,-18.8355,-0.015,0.034,0.015,75
1.502,28,3.6918,-1.3139,-18.8221,-0.0314,0.0237,0.0408,75
1.553,29,3.7284,-1.2215,-18.9086,-0.0368,-0.0035,0.0427,75
1.605,30,3.7646,-1.2483,-18.9397,-0.0136,-0.0635,0.0205,75
1.657,31,3.7993,-1.2938,-18.8942,0.0096,-0.1228,-0.012,75
1.709,32,3.8011,-1.2688,-18.7636,0.0173,-0.1605,-0.0287,75
1.76,33,3.8587,-1.095,-18.6322,0.0331,-0.1512,-0.0355,75
1.812,34,3.9997,-0.9462,-18.6053,-0.001,-0.1102,-0.0489,75
1.864,35,4.0844,-0.9331,-18.6765,-0.0299,-0.0738,-0.0728,75
1.916,36,4.1128,-1.02,-18.6393,-0.0175,-0.0606,-0.1084,75
1.967,37,3.9874,-1.1075,-18.6016,-0.0366,-0.0463,-0.1245,75
2.019,38,3.8564,-1.1623,-18.5595,-0.008,-0.0098,-0.112,75
2.071,39,3.8213,-1.1498,-18.6358,0.0104,0.0141,-0.0908,75
2.123,40,3.8293,-1.0925,-18.714,0.0336,0.0151,-0.0625,75
2.175,41,3.8469,-1.0767,-18.777,0.0337,0.0075,-0.037,75
2.226,42,3.8736,-0.9552,-18.7764,0.0542,-0.0043,-0.0176,75
2.278,43,3.8524,-0.9852,-18.7424,0.0544,-0.0135,-0.0067,75
2.33,44,3.8761,-0.981,-18.6704,0.067,-0.0064,0.0055,75
2.382,45,3.8739,-1.2419,-18.8422,0.0719,0.0093,0.0015,75
2.434,46,3.864,-1.2011,-18.9279,0.1282,-0.0106,-0.0021,75
2.485,47,3.7777,-1.214,-18.8603,0.1209,-0.0363,0.0025,75
2.537,48,3.698,-1.2097,-18.7364,0.093,-0.0497,-0.0119,75
2.589,49,3.6913,-1.18,-18.5912,-0.0214,-0.0416,-0.0211,75
2.641,50,3.7076,-1.209,-18.5657,0.0128,0.0049,-0.0334,75
2.693,51,3.8109,-1.306,-18.6389,-0.0408,0.0447,-0.0342,75
2.744,52,3.9203,-1.4181,-18.8408,-0.0455,0.0399,-0.0181,75
2.796,53,3.9978,-1.497,-18.8586,-0.021,-0.0043,0.0006,75
2.848,54,3.936,-1.4707,-18.8027,0.0036,-0.0378,0.0129,75
2.9,55,3.8255,-1.3826,-18.7252,0.0304,-0.0488,0.012,75
2.952,56,3.7002,-1.331,-18.716,0.0431,-0.0402,0.004,75
3.003,57,3.62,-1.3088,-18.7505,0.053,-0.0314,-0.0106,75
3.055,58,3.5324,-1.279,-18.7975,0.0421,-0.0257,-0.0237,75
3.107,59,3.5024,-1.2422,-18.8448,0.0515,-0.0242,-0.0499,75
3.159,60,3.5075,-1.3336,-18.8752,0.0589,-0.0291,-0.0732,75
3.21,61,3.5268,-1.3504,-18.9184,0.0199,-0.0427,-0.0755,75
3.262,62,3.5382,-1.3926,-18.9306,0.017,-0.0568,-0.0739,75
