right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.281,5,9.1372,-1.6066,-10.9391,0.0053,-0.0963,0.0054,70,0.107,2,6.6324,-3.0014,-13.8951,-0.2528,-2.1255,1.3557,40
0.333,6,9.5881,-0.725,-11.2075,0.2358,-0.1732,0.0066,70,0.159,3,5.0373,-2.6457,-13.7645,-0.1617,-2.0627,1.1313,40
0.385,7,9.3286,-1.0325,-11.3842,0.0616,-0.1118,0.0757,70,0.211,4,3.6398,-2.5944,-13.9564,-0.163,-1.7011,0.8929,40
0.436,8,9.4013,-1.1916,-11.2032,0.0113,-0.0828,0.058,70,0.263,5,2.628,-2.6446,-14.4117,-0.1383,-1.2564,0.6487,40
0.488,9,9.5759,-1.041,-11.2698,0.0251,-0.0724,0.0445,70,0.314,6,1.9621,-2.8813,-15.1421,-0.1835,-0.8062,0.4308,40
0.54,10,9.4404,-1.3061,-11.2073,-0.0588,-0.0358,0.0646,70,0.366,7,1.4543,-3.0606,-16.1645,-0.0687,-0.4275,0.227,40
0.592,11,9.4005,-1.2995,-11.2124,-0.0196,-0.0392,0.0357,70,0.418,8,1.1923,-3.2475,-17.1836,-0.0719,-0.1624,0.1062,40
0.644,12,9.206,-1.6493,-11.2533,0.074,-0.047,0.0601,70,0.47,9,1.0362,-3.4223,-17.9604,-0.0448,-0.0285,0.0472,40
0.695,13,9.367,-1.3945,-11.2736,0.0341,-0.0321,0.0641,70,0.522,10,0.8627,-3.4947,-18.4628,-0.0693,0.013,0.0085,40
0.747,14,9.4937,-1.5347,-11.3558,0.1027,-0.061,0.0501,70,0.573,11,0.8001,-3.5371,-18.7551,-0.0607,0.0037,-0.009,40
0.799,15,9.5276,-1.4681,-11.3908,0.1141,-0.0769,0.0496,70,0.625,12,0.7184,-3.561,-18.8549,-0.0702,-0.0186,-0.0181,40
0.851,16,9.5682,-1.2932,-11.4989,0.0473,-0.0637,0.0489,70,0.677,13,0.7464,-3.6579,-18.8225,-0.053,-0.0468,-0.0355,40
0.903,17,9.4372,-1.6514,-11.5652,-0.0606,-0.0164,0.0639,70,0.729,14,0.7193,-3.6749,-18.7811,-0.0517,-0.0509,-0.0503,40
0.954,18,9.5818,-1.5503,-11.475,-0.0781,0.0222,0.0582,70,0.781,15,0.7962,-3.7233,-18.8101,-0.026,-0.0366,-0.0505,40
1.006,19,9.5691,-1.6678,-11.4293,-0.0957,0.0094,0.0466,70,0.832,16,0.777,-3.7445,-18.815,-0.0083,-0.0081,-0.0341,40
1.058,20,9.5329,-1.5858,-11.4572,-0.08,-0.007,0.0279,70,0.884,17,0.8188,-3.7593,-18.8107,-0.0192,0.0131,-0.0152,40
1.11,21,9.4614,-1.6114,-11.4517,-0.0834,-0.0133,0.031,70,0.936,18,0.8107,-3.7167,-18.8477,0.0154,0.0224,-0.0009,40
1.162,22,9.4643,-1.6581,-11.4611,-0.0871,-0.0097,0.0309,70,0.988,19,0.7836,-3.6886,-18.8699,-0.0001,0.0372,0.0223,40
1.213,23,9.5086,-1.4454,-11.5311,-0.0095,-0.0238,0.0185,70,1.04,20,0.716,-3.6508,-18.9211,0.0134,0.0412,0.0469,40
1.265,24,9.3085,-1.5353,-11.5009,-0.0808,-0.0075,0.0313,70,1.091,21,0.6814,-3.6808,-18.8806,-0.0049,0.0416,0.0638,40
1.317,25,9.3828,-1.3894,-11.5368,-0.0869,0.0061,0.0136,70,1.143,22,0.7177,-3.7091,-18.8944,0.0008,0.0344,0.0693,40
1.369,26,9.3379,-1.5709,-11.5083,-0.0997,0.0109,0.0106,70,1.195,23,0.778,-3.7133,-18.9031,-0.0045,0.0339,0.0754,40
1.42,27,9.1282,-2.0269,-11.4295,-0.0529,0.0186,0.0045,70,1.247,24,0.7741,-3.6972,-18.8461,-0.0048,0.0267,0.0809,40
1.472,28,8.8632,-2.1318,-11.5008,0.2097,0.0052,0.0013,70,1.299,25,0.7,-3.6763,-18.7447,0.0184,0.0182,0.0782,40
1.524,29,9.0259,-1.9185,-11.3439,0.1237,0.0033,0.0372,70,1.351,26,0.6111,-3.6373,-18.733,0.0232,0.0426,0.0808,40
1.576,30,9.4144,-1.8265,-11.5551,0.1569,-0.0713,-0.0088,70,1.403,27,0.6824,-3.673,-18.9198,0.035,0.0761,0.101,40
1.628,31,9.4258,-1.7926,-11.6958,0.0457,-0.0436,-0.0144,70,1.454,28,0.912,-3.7839,-19.095,-0.031,0.0919,0.1216,40
1.679,32,9.3307,-1.7609,-11.6263,-0.024,0.0105,-0.0173,70,1.506,29,0.9157,-3.6585,-19.2462,-0.0621,0.0418,0.113,40
1.731,33,9.3794,-1.7527,-11.5458,-0.0232,0.0099,-0.0246,70,1.558,30,0.8417,-3.5982,-19.0313,-0.0347,-0.012,0.0856,40
1.783,34,9.3725,-1.6193,-11.5931,0.0005,-0.0067,-0.0286,70,1.609,31,0.712,-3.6045,-18.7853,-0.0145,-0.0149,0.0572,40
1.835,35,9.3456,-1.6186,-11.5956,-0.0214,0.0027,-0.0169,70,1.661,32,0.6557,-3.5862,-18.6229,-0.0204,0.023,0.023,40
1.887,36,9.3575,-1.648,-11.5392,-0.0244,0.0258,-0.0185,70,1.713,33,0.6938,-3.6151,-18.8412,-0.036,0.0751,0.0099,40
1.938,37,9.191,-1.9804,-11.4202,0.0791,0.0176,-0.0236,70,1.765,34,0.7938,-3.6154,-19.069,-0.0593,0.063,0.0214,40
1.99,38,9.467,-1.6241,-11.3988,0.1687,-0.0437,-0.0475,70,1.817,35,0.8196,-3.5116,-19.0877,-0.049,0.0137,0.0061,40
2.042,39,9.4122,-1.7966,-11.4866,0.2448,-0.0944,-0.0726,70,1.868,36,0.8087,-3.4829,-19.0136,-0.0146,-0.0183,-0.0213,40
2.094,40,9.376,-1.6014,-11.5585,0.2591,-0.0885,-0.0836,70,1.92,37,0.9077,-3.4163,-18.9124,-0.0266,-0.0152,-0.0543,40
2.145,41,9.4294,-1.4346,-11.6098,0.2448,-0.0779,-0.0757,70,1.972,38,0.9522,-3.4814,-18.9133,-0.0341,0.0081,-0.0976,40
2.197,42,9.4082,-1.5341,-11.6841,0.1958,-0.0469,-0.0609,70,2.024,39,0.974,-3.4398,-18.8938,-0.0352,0.0338,-0.1452,40
2.249,43,9.383,-1.4698,-11.6195,0.1731,-0.0281,-0.0648,70,2.075,40,0.8886,-3.4843,-18.8305,-0.0273,0.0677,-0.1603,40
2.301,44,9.3731,-1.5449,-11.5647,0.1757,-0.0654,-0.0857,70,2.127,41,0.9572,-3.6615,-18.329,0.0279,0.1082,-0.1624,40
2.353,45,9.4036,-1.3694,-11.6951,0.2001,-0.0775,-0.092,70,2.179,42,1.1282,-3.8273,-17.2363,0.1785,0.2598,-0.1815,40
