right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.037,0,7.0611,1.4653,-15.6124,-0.0845,0.4067,-0.0477,71,0.214,4,8.5494,2.7429,-9.4377,0.039,0.0062,0.0475,40
0.089,1,7.4182,1.4336,-14.9459,-0.1665,0.6427,-0.0659,71,0.266,5,8.5675,2.7181,-9.4814,0.0421,0.0179,0.0273,40
0.141,2,8.1536,1.4043,-14.8638,-0.1573,0.9284,-0.1187,71,0.317,6,8.5715,2.7237,-9.4803,0.018,0.0218,0.0156,40
0.193,3,8.6774,1.5783,-14.8413,-0.041,1.0457,-0.1034,71,0.369,7,8.5607,2.7307,-9.4639,-0.0152,0.0043,0.0168,40
0.244,4,9.2588,1.324,-15.4006,0.0177,0.8465,-0.0385,71,0.421,8,8.5639,2.7029,-9.4617,-0.0383,-0.017,0.0216,40
0.296,5,9.3505,1.3754,-15.413,0.1088,0.4438,0.0228,71,0.473,9,8.5747,2.6963,-9.4814,-0.0546,-0.0245,0.0256,40
0.348,6,8.9731,1.5829,-14.9319,0.1935,0.0794,0.0517,71,0.525,10,8.5845,2.6724,-9.4582,-0.0585,-0.0272,0.0326,40
0.4,7,8.7415,1.6025,-14.4408,0.1852,-0.0592,0.0538,71,0.576,11,8.5976,2.6114,-9.4871,-0.0529,-0.0398,0.0461,40
0.452,8,8.4067,1.6834,-14.2432,0.0808,-0.0685,-0.0139,71,0.628,12,8.6192,2.5964,-9.5066,-0.0449,-0.0414,0.0443,40
0.503,9,8.4001,1.5495,-14.0364,0.0127,-0.0831,-0.0067,71,0.68,13,8.6326,2.601,-9.5152,-0.0419,-0.0337,0.0422,40
0.555,10,8.483,1.6508,-13.5613,0.0324,0.053,-0.0314,71,0.732,14,8.6442,2.6037,-9.5279,-0.0228,-0.0286,0.0446,40
0.607,11,8.4569,1.654,-13.3555,-0.0545,0.1793,-0.0444,71,0.784,15,8.6542,2.5714,-9.5488,-0.0159,-0.0186,0.0487,40
0.659,12,8.6383,1.4442,-13.3659,-0.0583,0.2459,0.0063,71,0.835,16,8.648,2.5305,-9.5366,-0.0207,0.0036,0.0321,40
0.711,13,8.763,1.3697,-13.2599,-0.0667,0.2988,0.0302,71,0.887,17,8.632,2.577,-9.5123,-0.0256,0.0096,0.0236,40
0.762,14,8.6115,1.5159,-13.0814,-0.1493,0.3132,0.0563,71,0.939,18,8.6667,2.4809,-9.5331,-0.0217,0.0039,0.0349,40
0.814,15,8.931,0.6016,-13.9818,-0.2327,0.1182,0.0575,71,0.991,19,8.6688,2.4611,-9.5283,-0.022,0.0245,0.0127,40
0.866,16,8.7239,0.8292,-13.2282,-0.2909,0.0518,0.0587,71,1.043,20,8.6323,2.4832,-9.4796,-0.0237,0.038,-0.0143,40
0.918,17,8.6521,1.1061,-13.298,-0.2266,0.0148,0.0632,71,1.094,21,8.619,2.4997,-9.4507,-0.0179,0.0325,-0.0206,40
0.97,18,8.6657,1.2151,-13.4058,-0.1601,0.0455,0.0485,71,1.146,22,8.637,2.4933,-9.4408,-0.0117,0.0363,-0.0406,40
1.021,19,8.7297,1.4258,-13.3735,-0.1109,0.0627,0.0531,71,1.198,23,8.6174,2.548,-9.4236,-0.0088,0.0337,-0.0583,40
1.073,20,8.8464,1.409,-13.3033,-0.0691,0.0781,0.0481,71,1.25,24,8.6058,2.5818,-9.4087,-0.0046,0.0203,-0.0445,40
1.125,21,8.9802,1.5845,-13.3075,-0.0076,0.0648,0.0399,71,1.302,25,8.6114,2.5931,-9.4028,-0.0003,0.0046,-0.0305,40
1.177,22,9.0221,1.5856,-13.2737,-0.0008,0.0725,0.0375,71,1.353,26,8.5985,2.6259,-9.4115,0.0015,0.003,-0.0251,40
1.228,23,9.0443,1.5405,-13.1441,0.0019,0.074,0.0362,71,1.405,27,8.5931,2.6499,-9.3906,0.0016,-0.0035,-0.0188,40
1.28,24,9.0948,1.4862,-13.1032,0.0,0.0663,0.0312,71,1.457,28,8.598,2.6355,-9.4108,0.0023,-0.0209,-0.0035,40
1.332,25,9.2294,1.4757,-13.005,-0.0072,0.0573,0.0172,71,1.509,29,8.6165,2.6095,-9.42,0.0025,-0.019,-0.0027,40
1.384,26,9.149,1.4769,-12.9894,-0.0368,0.0673,0.0266,71,1.56,30,8.604,2.6173,-9.415,0.0015,-0.014,-0.0086,40
1.435,27,9.114,1.5675,-12.9368,-0.0329,0.0513,0.0265,71,1.612,31,8.5941,2.623,-9.4321,0.0034,-0.0196,-0.0093,40
1.487,28,9.1198,1.4249,-12.9361,-0.0074,0.032,0.0188,71,1.664,32,8.6029,2.6316,-9.4529,0.002,-0.0212,-0.0101,40
1.539,29,9.0874,1.4652,-12.985,0.0238,0.0267,0.0152,71,1.716,33,8.5963,2.648,-9.4603,-0.0022,-0.0089,-0.0215,40
1.591,30,9.0501,1.4143,-12.9693,0.0007,0.0102,0.0156,71,1.768,34,8.5922,2.6635,-9.4591,-0.0057,0.0031,-0.034,40
1.643,31,9.0489,1.553,-12.9055,-0.0463,-0.0319,-0.0031,71,1.819,35,8.5769,2.675,-9.4569,-0.0052,-0.0026,-0.0266,40
1.694,32,9.0899,1.501,-12.9862,-0.0622,-0.0428,0.0013,71,1.871,36,8.5712,2.6923,-9.448,-0.006,-0.0015,-0.0222,40
1.746,33,9.0576,1.5587,-13.0358,-0.0464,-0.0349,-0.0011,71,1.923,37,8.5757,2.6908,-9.4553,-0.0104,0.0153,-0.0275,40
1.798,34,9.0443,1.5391,-13.0156,-0.0279,-0.0324,-0.0077,71,1.975,38,8.5652,2.7046,-9.4388,-0.0109,0.0191,-0.0259,40
1.85,35,9.0639,1.4742,-13.0128,-0.027,-0.0256,-0.0102,71,2.026,39,8.5677,2.7099,-9.4217,-0.0109,0.018,-0.0171,40
1.902,36,9.0742,1.4417,-13.0413,-0.0449,-0.0072,-0.0029,71,2.078,40,8.58,2.7045,-9.4113,-0.0135,0.0274,-0.0191,40
1.953,37,9.0537,1.4762,-13.0729,-0.0556,0.0111,0.0028,71,2.13,41,8.5732,2.7183,-9.3862,-0.0138,0.0295,-0.021,40
2.005,38,9.1,1.4842,-13.0595,-0.0713,0.0182,0.0026,71,2.182,42,8.5808,2.7352,-9.3704,-0.0117,0.0202,-0.0121,40
2.057,39,9.1301,1.5122,-13.0227,-0.0679,0.0244,0.0058,71,2.234,43,8.5754,2.7328,-9.3548,-0.0117,0.0225,-0.0137,40
2.109,40,9.1247,1.571,-12.995,-0.0599,0.0254,0.0078,71,2.285,44,8.5661,2.7426,-9.3402,-0.0125,0.0285,-0.0187,40
2.161,41,9.1155,1.592,-12.9808,-0.0525,0.0218,0.0103,71,2.337,45,8.5638,2.7518,-9.3314,-0.0112,0.0281,-0.02,40
2.212,42,9.1052,1.5812,-12.9781,-0.0491,0.0191,0.0114,71,2.389,46,8.5591,2.7586,-9.325,-0.0114,0.0267,-0.0206,40
2.264,43,9.1048,1.5898,-12.9671,-0.0439,0.0232,0.0111,71,2.441,47,8.5562,2.7742,-9.3028,-0.0124,0.0296,-0.0282,40
2.316,44,9.118,1.6022,-12.9374,-0.0366,0.0255,0.0111,71,2.492,48,8.5448,2.7996,-9.284,-0.0117,0.0313,-0.0361,40
2.368,45,9.1175,1.5938,-12.9134,-0.0265,0.0237,0.0097,71,2.544,49,8.5261,2.8347,-9.2588,-0.0046,0.0403,-0.0424,40
2.419,46,9.1143,1.5945,-12.9009,-0.0255,0.0197,0.0075,71,2.596,50,8.5017,2.8536,-9.237,0.0013,0.0339,-0.0403,40
2.471,47,9.179,1.6174,-12.8767,-0.0168,0.0266,0.011,71,2.648,51,8.5044,2.8626,-9.2227,-0.0033,0.0272,-0.032,40
2.523,48,9.1711,1.5984,-12.8607,-0.0088,0.0274,0.0095,71,2.7,52,8.5249,2.8613,-9.2164,0.0117,0.0354,-0.0379,40
2.575,49,9.1832,1.5689,-12.8267,-0.0074,0.0284,0.0085,71,2.751,53,8.4902,2.8992,-9.1899,0.0161,0.0333,-0.0332,40
2.627,50,9.1821,1.5621,-12.8077,-0.012,0.0279,0.0095,71,2.803,54,8.4777,2.9047,-9.1571,0.014,0.0065,-0.0087,40
2.678,51,9.1937,1.5632,-12.8026,-0.0141,0.0237,0.0106,71,2.855,55,8.4807,2.8929,-9.1793,0.0247,-0.024,0.0173,40
2.73,52,9.1752,1.5594,-12.7922,-0.0083,0.0185,0.0124,71,2.907,56,8.5015,2.8825,-9.2377,0.0193,-0.0369,0.0226,40
2.782,53,9.2074,1.5247,-12.7804,-0.0084,0.0098,0.0126,71,2.959,57,8.5406,2.8499,-9.2426,0.0047,-0.0246,0.0158,40
2.834,54,9.2103,1.5127,-12.7699,-0.0003,0.0017,0.0131,71,3.01,58,8.5385,2.8471,-9.2281,0.0061,0.0046,-0.0025,40
2.885,55,9.2202,1.4942,-12.7441,0.0003,-0.009,0.0108,71,3.062,59,8.5076,2.8497,-9.2295,0.0139,-0.0178,0.0046,40
2.937,56,9.2287,1.626,-12.6673,-0.0195,-0.0367,0.0008,71,3.114,60,8.5307,2.8636,-9.2772,0.0571,-0.0385,0.0109,40
2.989,57,9.3344,1.6464,-12.7101,0.0035,-0.1099,-0.0126,71,3.165,61,8.5298,2.8592,-9.3178,0.0406,-0.021,-0.0086,40
3.041,58,9.3742,1.6004,-12.9044,0.0624,-0.1861,-0.0221,71,3.217,62,8.5071,2.8831,-9.3334,0.0524,0.009,-0.0243,40
3.093,59,9.5656,1.0477,-13.3514,0.2068,0.0102,0.0078,71,3.269,63,8.5053,2.913,-9.297,0.0576,0.0134,-0.0091,40
3.144,60,9.6774,1.3496,-13.876,0.382,-0.2314,0.0682,71,3.321,64,8.5063,2.8998,-9.324,0.0412,0.0184,-0.0014,40
3.196,61,9.3175,1.0836,-14.1044,0.0529,-0.5889,0.1206,71,3.373,65,8.4908,2.9444,-9.3066,0.0202,0.0119,0.0158,40
3.248,62,8.6301,1.3006,-13.9116,0.0527,-0.9049,0.1004,71,3.424,66,8.5063,2.8485,-9.3071,-0.0435,-0.0056,0.0215,40
3.3,63,8.0922,1.5735,-13.5969,0.1345,-0.7691,0.0849,71,3.476,67,8.4892,2.8591,-9.2864,-0.0734,-0.0202,0.0213,40
3.352,64,7.9567,1.657,-13.7013,0.0815,-0.5918,0.0791,71,3.528,68,8.5206,2.8446,-9.2815,-0.1002,-0.0382,0.0213,40
3.403,65,8.147,1.5735,-14.0532,0.0263,-0.4262,0.0729,71,3.58,69,8.5512,2.8117,-9.2779,-0.1029,-0.0232,-0.0018,40
3.455,66,8.1873,1.5069,-14.1187,0.0234,-0.2836,0.0724,71,3.631,70,8.5119,2.8462,-9.2328,-0.0892,-0.0165,-0.0114,40
3.507,67,8.3119,1.3371,-14.3725,-0.0391,-0.1496,0.0799,71,3.683,71,8.5298,2.8405,-9.231,-0.0732,-0.0274,-0.0052,40
3.559,68,8.4257,1.2492,-14.8467,0.0006,-0.13,0.1012,71,3.735,72,8.5166,2.8454,-9.2541,-0.0534,-0.0204,-0.0055,40
3.611,69,8.263,1.1731,-14.798,-0.0099,-0.1627,0.1143,71,3.787,73,8.5074,2.8651,-9.2483,-0.0429,-0.0156,0.0077,40
3.662,70,8.0725,1.1391,-14.7074,-0.0835,-0.1346,0.1116,71,3.839,74,8.5105,2.8532,-9.2597,-0.0326,-0.0249,0.0302,40
3.714,71,8.0731,1.122,-14.7222,-0.1791,-0.0557,0.0844,71,3.89,75,8.5328,2.8351,-9.2836,-0.0241,-0.0222,0.0306,40
3.766,72,8.1135,1.0348,-14.7433,-0.184,-0.0209,0.0594,71,3.942,76,8.5298,2.8317,-9.28,-0.0191,-0.0016,0.0147,40
3.818,73,7.9661,0.8715,-15.0725,-0.0421,-0.0788,0.05,71,3.994,77,8.5159,2.8513,-9.2709,-0.0128,0.0055,0.0126,40
3.869,74,8.084,1.0053,-15.3872,-0.0588,-0.1317,0.0355,71,4.046,78,8.542,2.7392,-9.257,-0.021,0.0049,0.0191,40
3.921,75,7.95,1.0592,-15.1611,-0.0744,-0.2302,0.0381,71,4.097,79,8.5513,2.7852,-9.2465,-0.0201,0.0103,0.0271,40
3.973,76,8.0352,1.2156,-15.3142,0.065,-0.1866,0.0467,71,4.149,80,8.5498,2.7948,-9.2533,-0.0158,0.007,0.0263,40
4.025,77,7.9213,1.3304,-15.3852,0.217,-0.1848,0.0362,71,4.201,81,8.5573,2.7555,-9.2223,-0.0154,0.0119,0.0243,40
4.077,78,7.7426,1.3432,-15.0603,0.0915,-0.1467,0.0041,71,4.253,82,8.5521,2.7531,-9.2136,-0.0125,0.0219,0.0016,40
4.128,79,7.6355,1.2981,-14.6604,-0.103,-0.0293,-0.0178,71,4.305,83,8.5298,2.7385,-9.2304,-0.0088,0.0208,-0.0281,40
4.18,80,7.6999,1.0545,-14.7889,-0.0363,0.1545,-0.0025,71,4.356,84,8.5244,2.78,-9.1984,0.0036,0.0153,-0.0467,40
4.232,81,8.1371,1.0848,-13.3599,0.218,0.2103,0.0565,71,4.408,85,8.5105,2.8285,-9.1826,0.0048,0.0168,-0.0482,40
4.284,82,8.4892,-0.0809,-14.4209,0.3,0.1685,0.0388,71,4.46,86,8.5095,2.8297,-9.1668,0.0025,0.0177,-0.0589,40
4.336,83,8.1709,0.0886,-14.876,0.2433,0.2153,0.0173,71,4.512,87,8.4993,2.8205,-9.1841,0.0054,0.0227,-0.0757,40
4.387,84,8.3464,0.2179,-14.7931,0.2316,0.2671,0.0064,71,4.564,88,8.4183,2.8315,-9.2355,0.0443,0.0213,-0.1061,40
4.439,85,8.5117,0.3036,-14.6163,0.1542,0.2919,0.0115,71,4.615,89,8.4443,3.2585,-9.0623,0.0584,0.0068,-0.1097,40
4.491,86,8.6248,0.4346,-14.53,0.1105,0.2774,0.0055,71,4.667,90,8.4441,3.2103,-8.989,0.0722,-0.0198,-0.0635,40
4.542,87,8.807,0.5691,-14.3246,0.0538,0.2331,-0.0156,71,4.719,91,8.4305,3.2028,-9.1344,0.0873,-0.0636,-0.0505,40
4.594,88,8.7506,0.7213,-14.1351,-0.002,0.1306,-0.0325,71,4.771,92,8.4081,3.2411,-9.2197,0.0799,-0.0651,-0.0613,40
4.646,89,8.7193,0.9536,-14.187,0.0028,0.0298,-0.0454,71,4.822,93,8.4287,3.2653,-9.2862,0.0564,-0.08,-0.0411,40
