right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.892,17,12.3528,-0.5459,-16.391,0.3358,-1.4512,-0.1348,72,0.135,2,8.6323,0.3575,-11.3264,0.1097,0.4314,-0.2363,39
0.943,18,11.8795,-0.5491,-17.2981,-0.2323,-1.7325,-0.0866,72,0.187,3,8.7473,0.4618,-11.3661,0.2598,0.3761,-0.2029,39
0.995,19,10.7335,-0.2881,-17.4843,-0.3974,-1.9379,-0.1032,72,0.239,4,8.579,1.0068,-11.2083,0.236,0.3045,-0.1376,39
1.047,20,9.1532,-0.1232,-17.304,-0.4817,-2.0877,-0.0764,72,0.291,5,8.5368,1.5173,-11.003,0.1677,0.2425,-0.077,39
1.099,21,7.1898,-0.2961,-16.7377,-0.6292,-2.1971,0.0131,72,0.342,6,8.3608,1.6448,-10.9833,-0.3458,0.1425,-0.0194,39
1.151,22,5.573,0.1123,-15.1242,-0.6269,-2.277,0.1473,72,0.394,7,8.6785,1.4254,-10.7051,-0.345,0.0796,-0.0104,39
1.203,23,4.2333,0.7497,-13.4371,-0.7431,-1.812,0.2143,72,0.446,8,8.7749,1.2437,-10.8493,-0.2201,0.08,-0.0205,39
1.254,24,2.9266,0.8504,-13.8563,-0.6058,-1.0649,0.2317,72,0.498,9,8.7749,1.2394,-10.8307,-0.0936,0.1433,-0.047,39
1.306,25,1.8039,1.0275,-15.4216,-0.4184,-0.411,0.2057,72,0.55,10,8.7526,1.0086,-10.6754,-0.0017,0.2124,-0.0642,39
1.358,26,1.5269,1.3495,-16.7196,-0.2739,-0.0199,0.1924,72,0.601,11,8.7148,1.2783,-10.4762,-0.0005,0.1713,-0.0489,39
1.41,27,1.1795,1.6112,-18.2173,-0.2666,0.1126,0.1421,72,0.653,12,8.7217,1.5197,-10.3641,-0.0326,0.0785,-0.0409,39
1.461,28,0.418,1.2746,-19.1143,-0.1369,-0.0151,0.1231,72,0.705,13,8.7974,1.4156,-10.4041,-0.2774,-0.0226,0.0069,39
1.513,29,0.7608,1.7152,-18.16,-0.0253,-0.0767,0.1144,72,0.757,14,8.9341,1.1445,-10.4255,-0.3209,-0.074,0.0092,39
1.565,30,0.9652,1.8977,-18.0567,0.0773,0.0494,0.024,72,0.809,15,8.8791,1.1717,-10.4442,-0.3114,-0.0829,-0.0113,39
1.617,31,0.9137,1.9931,-18.4547,0.1161,0.233,-0.0581,72,0.86,16,8.9657,1.0203,-10.514,-0.2244,-0.0625,-0.0412,39
1.669,32,1.0036,2.232,-19.0994,0.1384,0.2651,-0.1001,72,0.912,17,9.1955,0.796,-10.3406,0.0712,0.0142,-0.0935,39
1.72,33,1.032,2.328,-19.6861,0.1154,0.2296,-0.1012,72,0.964,18,9.2472,1.2614,-10.4197,0.3149,0.0699,-0.0888,39
1.772,34,1.2686,2.3335,-19.8064,0.0298,0.1708,-0.0631,72,1.016,19,9.1715,1.3983,-10.5076,0.502,0.1111,-0.0597,39
1.824,35,1.1628,2.3888,-19.5511,-0.028,0.1264,-0.0452,72,1.068,20,8.8953,1.6467,-10.4251,0.5647,0.1521,-0.0272,39
1.876,36,0.9693,2.1952,-19.2021,-0.0479,0.1039,-0.0683,72,1.12,21,8.694,2.1981,-10.138,0.3653,0.1065,-0.0071,39
1.928,37,0.8229,1.9961,-19.1612,-0.0377,0.118,-0.1275,72,1.171,22,9.4404,1.1885,-10.0128,0.0683,-0.0567,0.0327,39
1.979,38,1.0484,1.9865,-19.448,-0.0211,0.138,-0.1602,72,1.223,23,9.4838,1.1536,-10.21,-0.1224,-0.136,0.0371,39
2.031,39,1.1046,2.0171,-19.788,0.0439,0.12,-0.1345,72,1.275,24,9.2468,1.3851,-10.3582,-0.1007,-0.1374,0.0261,39
2.083,40,1.0637,2.0582,-19.7827,0.016,0.0936,-0.1041,72,1.327,25,9.168,1.3053,-10.4769,-0.1217,-0.129,0.0191,39
2.134,41,0.9947,2.2571,-19.4963,0.006,0.0701,-0.0797,72,1.378,26,9.264,1.3883,-10.3426,-0.0985,-0.0663,-0.0026,39
