right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage
0.21,4,9.7626,-0.277,-10.3294,-0.213,-0.2609,-0.1978,75
0.262,5,11.0033,-0.4357,-12.4997,-0.1473,-0.7406,-0.3166,75
0.313,6,11.1981,0.0186,-13.0031,-0.3607,-1.1658,-0.3397,75
0.365,7,10.6528,0.2277,-13.2036,-0.7207,-1.3662,-0.4022,75
0.417,8,9.7616,0.6718,-13.2838,-0.7025,-1.515,-0.4962,75
0.469,9,9.0772,1.1331,-13.3844,-0.5217,-1.5527,-0.5519,75
0.52,10,8.3498,1.2643,-13.4947,-0.3528,-1.4591,-0.5767,75
0.572,11,7.8057,1.4355,-14.0136,-0.2537,-1.2439,-0.5139,75
0.624,12,7.7142,1.8121,-14.4306,-0.2187,-1.0574,-0.4459,75
0.676,13,7.4845,2.1027,-14.7408,-0.232,-0.8903,-0.3643,75
0.728,14,7.3388,2.3537,-14.9597,-0.2161,-0.7151,-0.2708,75
0.779,15,6.9384,2.4663,-15.1811,-0.2012,-0.5592,-0.1879,75
0.831,16,6.6604,2.4527,-15.5974,-0.2145,-0.4286,-0.1365,75
0.883,17,6.3909,2.4212,-15.8512,-0.2248,-0.3013,-0.0905,75
0.935,18,6.337,2.4707,-16.2442,-0.1966,-0.2123,-0.0325,75
0.986,19,6.4086,2.5872,-16.3522,-0.0386,-0.1713,-0.044,75
1.038,20,6.4285,2.6172,-16.5673,0.0448,-0.1585,-0.038,75
1.09,21,6.2372,2.6592,-16.6841,0.1704,-0.1205,-0.0913,75
1.142,22,6.0144,2.7506,-16.7793,0.2247,-0.095,-0.1763,75
1.193,23,6.014,2.7781,-16.836,0.242,-0.0984,-0.2483,75
1.245,24,6.1652,2.9087,-16.8204,0.2309,-0.1068,-0.2859,75
1.297,25,6.2231,2.9554,-16.8555,0.2185,-0.0846,-0.3072,75
1.349,26,6.1656,3.0719,-16.8569,0.2106,-0.0559,-0.309,75
1.401,27,6.0871,3.0884,-16.8967,0.1522,-0.0428,-0.2931,75
1.453,28,6.0486,3.0366,-16.8346,0.0888,-0.0283,-0.2528,75
1.505,29,6.1091,3.0119,-16.7872,0.0525,-0.0,-0.2029,75
1.556,30,6.1115,2.9895,-16.7568,0.0352,0.0434,-0.1215,75
1.608,31,6.1111,3.0875,-16.7724,0.0213,0.0845,-0.0363,75
1.66,32,5.9908,3.0952,-16.8903,0.0101,0.1069,0.0132,75
1.711,33,5.8106,2.9905,-16.9656,-0.024,0.0987,0.0321,75
