right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.03,0,9.5905,-0.2722,-9.4779,0.0727,0.0353,-0.0194,93,0.462,8,8.7184,0.3757,-7.6083,-0.0791,-0.2071,-0.0418,63
0.081,1,9.6395,-0.213,-9.4643,0.0342,-0.0304,-0.0062,93,0.514,9,8.7553,0.4368,-7.733,-0.0213,-0.2311,-0.0424,63
0.133,2,9.6449,-0.2095,-9.4924,0.0192,-0.0941,0.0045,93,0.565,10,8.8011,0.427,-7.8779,0.008,-0.2458,-0.0321,63
0.185,3,9.6291,-0.228,-9.5549,0.0155,-0.163,0.0166,93,0.617,11,8.8246,0.4958,-7.9708,0.0172,-0.2522,-0.0337,63
0.237,4,9.6571,-0.204,-9.661,0.0186,-0.2352,0.0283,93,0.669,12,8.8689,0.4318,-8.1585,-0.0218,-0.2441,-0.0224,63
0.289,5,9.6778,-0.217,-9.8442,0.013,-0.2953,0.0386,93,0.721,13,8.9033,0.4592,-8.3118,-0.0053,-0.2253,-0.0038,63
0.34,6,9.6869,-0.2328,-10.0501,0.0005,-0.3302,0.0436,93,0.773,14,8.9247,0.4636,-8.418,-0.0085,-0.1986,0.0152,63
0.392,7,9.6932,-0.2788,-10.3197,-0.0038,-0.3286,0.0508,93,0.824,15,8.8548,0.543,-8.4194,-0.042,-0.1836,0.0278,63
0.444,8,9.6826,-0.2782,-10.4699,0.032,-0.3005,0.0504,93,0.876,16,8.9069,0.4638,-8.4995,-0.1408,-0.2258,0.0266,63
0.496,9,9.6705,-0.3452,-10.6965,0.0617,-0.2704,0.0567,93,0.928,17,8.9738,0.3823,-8.6686,-0.1264,-0.284,0.0363,63
0.547,10,9.6625,-0.3261,-10.8511,0.1036,-0.222,0.0558,93,0.98,18,8.9763,0.3583,-8.9083,-0.1308,-0.264,0.0064,63
0.599,11,9.6358,-0.3239,-10.8999,0.0619,-0.1411,0.0578,93,1.031,19,8.8802,0.4175,-8.9611,-0.2,-0.2351,-0.0416,63
0.651,12,9.5449,-0.3343,-10.9302,0.0384,-0.0434,0.0747,93,1.083,20,8.8762,0.3556,-9.087,-0.1816,-0.2298,-0.0769,63
0.703,13,9.5931,-0.4307,-10.8759,-0.0005,-0.0121,0.0934,93,1.135,21,8.8743,0.232,-9.2508,-0.0535,-0.2026,-0.1226,63
0.755,14,9.61,-0.4132,-10.8819,0.027,0.0004,0.0804,93,1.187,22,8.954,0.2961,-9.355,0.0445,-0.1467,-0.1927,63
0.807,15,9.5893,-0.5947,-10.7826,0.0363,-0.009,0.0514,93,1.239,23,8.9843,0.5622,-9.5031,0.0966,-0.0457,-0.2444,63
0.858,16,9.6111,-0.6279,-10.7767,0.0061,-0.0622,0.0334,93,1.29,24,8.965,0.8723,-9.4573,0.067,-0.0428,-0.2169,63
0.91,17,9.6059,-0.635,-10.8456,-0.0463,-0.1212,0.0078,93,1.342,25,8.9429,0.8911,-9.4949,0.0773,-0.0646,-0.1732,63
0.962,18,9.6331,-0.535,-11.0024,-0.1451,-0.1655,-0.0301,93,1.394,26,8.9208,1.0047,-9.5937,0.1057,-0.0412,-0.1424,63
1.014,19,9.7123,-0.6239,-11.1697,-0.1359,-0.2709,-0.0563,93,1.446,27,8.7657,1.3538,-9.3876,0.0438,-0.0486,-0.0929,63
1.065,20,10.1457,-1.625,-13.5831,-0.4917,-0.6869,0.1097,93,1.498,28,8.7572,1.0278,-9.6143,-0.188,-0.1045,-0.0711,63
1.117,21,11.0206,-1.6404,-15.0584,-1.0334,-1.1747,0.3206,93,1.549,29,8.8718,0.9677,-9.6687,-0.0717,-0.0743,-0.0946,63
1.169,22,10.8599,-1.5176,-15.1817,-0.9059,-1.5308,0.3729,93,1.601,30,8.846,1.1258,-9.7158,-0.0227,-0.0807,-0.0695,63
1.221,23,9.9005,-0.9629,-14.6144,-0.7271,-1.7906,0.3831,93,1.653,31,8.9179,1.1336,-9.8104,-0.0365,-0.0375,-0.0453,63
1.272,24,8.419,-0.7656,-14.5845,-0.6059,-1.7958,0.3173,93,1.705,32,8.9528,1.1142,-9.6814,-0.0214,0.0131,-0.0338,63
1.324,25,7.4413,-0.4226,-14.6238,-0.4181,-1.6779,0.2156,93,1.756,33,8.8417,1.3445,-9.5238,-0.0148,0.0018,-0.0071,63
1.376,26,6.4534,-0.4,-14.9702,-0.3394,-1.424,0.1671,93,1.808,34,8.7991,1.508,-9.419,-0.0355,-0.0173,-0.0019,63
1.428,27,5.9727,-0.4013,-15.4841,-0.1435,-1.1747,0.0825,93,1.86,35,9.0497,1.1192,-9.5281,-0.1509,-0.024,0.0126,63
1.479,28,5.8503,-0.304,-15.9191,-0.1502,-0.9301,0.0857,93,1.912,36,8.9678,1.2243,-9.5679,-0.1613,-0.047,-0.0047,63
1.531,29,5.6574,-0.5476,-16.5253,-0.1022,-0.7172,0.1112,93,1.964,37,9.0093,1.2174,-9.6561,-0.1543,-0.1064,0.0185,63
1.583,30,5.5829,-0.4794,-16.9173,0.0066,-0.5541,0.1071,93,2.015,38,9.0882,1.0109,-9.8241,-0.1419,-0.1013,0.0183,63
1.635,31,5.391,-0.5949,-17.3046,-0.0462,-0.4311,0.1214,93,2.067,39,9.0506,1.1668,-9.7826,-0.1836,-0.0912,0.0181,63
1.687,32,5.2346,-0.5955,-17.5572,-0.1141,-0.3479,0.1482,93,2.119,40,9.0365,0.95,-9.8024,-0.1765,-0.073,0.0096,63
1.738,33,5.137,-0.7074,-17.9028,-0.1358,-0.2814,0.1341,93,2.17,41,9.0725,0.8943,-9.8137,-0.0577,-0.051,-0.0083,63
1.79,34,5.0914,-0.7704,-18.1021,-0.1035,-0.2645,0.1072,93,2.222,42,8.9511,1.2807,-9.8049,0.0822,-0.0352,-0.0309,63
1.842,35,5.0402,-0.8206,-18.2072,-0.0986,-0.2621,0.1096,93,2.274,43,8.929,1.3272,-9.8906,0.0684,-0.0352,-0.0242,63
1.894,36,5.0547,-0.8665,-18.2438,-0.0714,-0.2607,0.1023,93,2.326,44,8.9664,1.2973,-9.9139,0.0786,0.0084,-0.0302,63
1.946,37,4.9837,-0.9352,-18.2636,-0.0768,-0.2512,0.1056,93,2.378,45,8.85,1.428,-9.9139,0.0981,0.0205,-0.0113,63
1.997,38,4.9126,-0.8653,-18.2447,-0.1051,-0.2336,0.1483,93,2.429,46,8.8409,1.3411,-9.8822,0.057,0.0164,0.0032,63
2.049,39,4.8648,-0.8013,-18.2355,-0.1373,-0.1983,0.19,93,2.481,47,8.9303,1.3783,-9.7276,0.052,0.0421,-0.0049,63
2.101,40,4.8384,-0.7331,-18.2211,-0.1048,-0.1558,0.1715,93,2.533,48,8.9296,1.3296,-9.802,0.0592,0.0586,-0.0107,63
2.153,41,4.6634,-0.6918,-18.2343,-0.0373,-0.0957,0.1057,93,2.585,49,8.8997,1.4453,-9.7869,0.0469,0.0316,0.0014,63
2.205,42,4.5067,-0.6878,-18.2091,0.0181,-0.0361,0.0422,93,2.636,50,8.8536,1.4741,-9.6972,0.0169,-0.0053,0.0078,63
