right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage
0.128,2,9.6269,-0.9716,-9.8588,0.0187,0.0091,0.0079,75
0.18,3,9.6221,-0.9715,-9.8451,0.0333,0.0141,0.0158,75
0.232,4,9.618,-0.9899,-9.8512,0.0431,0.0193,0.0252,75
0.283,5,9.6026,-1.0493,-9.8487,0.0595,0.034,0.0192,75
0.335,6,9.5865,-0.9911,-9.8069,0.0933,0.0285,0.0062,75
0.387,7,9.6102,-0.9544,-9.8062,0.1497,0.068,-0.0006,75
0.439,8,9.8236,-1.0648,-9.534,0.1442,0.0489,-0.0001,75
0.49,9,9.8047,-1.0213,-9.4865,0.1511,0.0661,0.0166,75
0.542,10,9.7424,-1.0801,-9.4584,0.1317,0.0408,0.0376,75
0.594,11,9.7452,-0.9659,-9.5004,0.0981,0.0367,0.0422,75
0.646,12,9.6646,-0.7477,-9.5127,-0.0063,0.017,0.028,75
0.698,13,9.5677,-0.7908,-9.606,-0.0312,-0.0146,0.0002,75
0.75,14,9.4577,-0.4772,-9.5229,-0.0599,0.01,0.0515,75
0.801,15,9.3722,-0.8769,-9.2257,-0.0542,-0.0248,0.0266,75
0.853,16,9.5169,-0.7576,-9.5971,0.0089,-0.0596,-0.0036,75
0.905,17,9.6601,-0.8169,-9.7201,0.0613,-0.0067,0.0083,75
0.957,18,9.4807,-1.2154,-9.5077,0.0566,-0.0109,0.0651,75
1.008,19,9.3791,-1.4153,-9.3758,-0.0043,-0.062,0.0323,75
1.06,20,10.0173,-0.615,-10.0832,0.1536,-0.1577,-0.2566,75
1.112,21,10.1396,-0.4986,-9.8622,0.1792,-0.1092,-0.1892,75
1.164,22,9.9305,-0.6995,-9.6914,0.1259,-0.0834,-0.1184,75
1.216,23,9.8343,-0.8422,-9.7114,0.0828,-0.0791,-0.0743,75
1.267,24,9.8483,-0.7678,-9.7507,0.0638,-0.0459,-0.0523,75
1.319,25,9.7756,-0.8551,-9.6981,0.0635,-0.0267,-0.0273,75
1.371,26,9.7471,-0.9432,-9.7003,0.0472,-0.0226,-0.0047,75
1.423,27,9.6893,-1.0492,-9.6317,0.0277,-0.0192,0.0037,75
1.474,28,9.6753,-1.0505,-9.694,0.031,-0.0066,0.0107,75
1.526,29,9.6399,-0.9995,-9.7157,0.0345,-0.0129,0.0351,75
1.578,30,9.5959,-1.0966,-9.6574,0.0159,-0.0213,0.0468,75
1.63,31,9.4503,-1.2455,-9.4049,-0.0293,-0.0384,0.0489,75
1.682,32,9.4869,-1.2123,-9.9053,0.0811,-0.0456,-0.0305,75
1.733,33,9.5557,-1.189,-9.9483,0.0931,-0.0249,-0.0206,75
1.785,34,9.572,-1.1566,-9.9102,0.0837,-0.0135,-0.0082,75
1.837,35,9.4901,-1.2826,-9.7977,0.0541,-0.0092,0.0308,75
1.888,36,9.4405,-1.3608,-9.741,0.0267,-0.0049,0.0387,75
