right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.089,1,12.9202,-1.7037,-11.7247,-0.9224,-0.85,0.4654,66,0.783,15,8.7236,1.9973,-10.2253,0.3631,0.0724,-0.0229,39
0.141,2,11.653,-2.3418,-13.0078,-0.8164,-0.7027,0.5661,66,0.835,16,8.6043,2.1745,-10.234,0.3212,0.0101,0.0376,39
0.193,3,10.4765,-1.5367,-13.1878,-0.1916,-0.5669,0.5194,66,0.887,17,8.2953,2.4957,-10.1957,-0.0031,-0.0941,0.0647,39
0.244,4,8.9125,-1.1108,-13.4358,-0.0963,-0.3761,0.4388,66,0.939,18,8.3439,2.2953,-10.3161,0.0334,-0.0969,0.0757,39
0.296,5,7.4621,-0.8418,-13.361,0.0021,-0.15,0.3131,66,0.99,19,8.5592,1.9676,-10.4634,0.0543,-0.0794,0.0472,39
0.348,6,6.4146,-0.7053,-13.2305,0.0979,0.0448,0.1659,66,1.042,20,8.5642,1.9881,-10.481,-0.0206,-0.0429,0.0132,39
0.4,7,5.8778,-0.6243,-13.1653,0.0962,0.1548,0.0098,66,1.094,21,8.5807,1.9606,-10.513,0.1022,0.0064,-0.0129,39
0.452,8,5.8982,-0.682,-13.1861,-0.0135,0.2072,-0.0868,66,1.146,22,8.6247,1.8792,-10.4021,0.1045,0.0068,-0.0208,39
0.504,9,6.392,-1.0249,-13.5133,-0.0511,0.1915,-0.1245,66,1.198,23,8.5947,2.0208,-10.5391,0.0432,-0.0117,-0.0269,39
0.555,10,7.0754,-1.2481,-13.9386,0.0407,0.1066,-0.1698,66,1.249,24,8.65,1.9519,-10.5842,0.1134,0.0123,-0.0618,39
0.607,11,7.6352,-1.2207,-14.1653,0.0571,-0.0296,-0.1859,66,1.301,25,8.7875,1.8345,-10.5403,0.1749,0.0185,-0.0429,39
0.659,12,8.039,-1.342,-14.2617,0.058,-0.1673,-0.1445,66,1.353,26,8.7867,1.961,-10.5783,0.1309,0.0081,-0.0169,39
0.711,13,8.315,-1.2467,-14.1566,0.06,-0.2883,-0.078,66,1.405,27,8.7078,1.9891,-10.6307,0.0921,0.0065,-0.0075,39
0.762,14,8.5151,-1.2192,-13.9366,0.0865,-0.3646,-0.0157,66,1.456,28,8.3011,2.6141,-10.4932,-0.1078,0.0027,-0.0299,39
0.814,15,8.6378,-1.1124,-13.9902,0.0332,-0.3624,0.053,66,1.508,29,8.1969,1.8761,-10.3178,-0.0216,-0.0167,0.0033,39
0.866,16,8.8601,-1.1362,-14.0167,0.0195,-0.3532,0.0657,66,1.56,30,8.3897,1.6726,-10.4996,-0.0559,-0.0605,0.0352,39
0.918,17,8.8743,-1.196,-14.0154,0.0244,-0.3263,0.0571,66,1.612,31,8.4503,1.6728,-10.6022,-0.0833,-0.0572,0.0242,39
0.97,18,8.883,-1.1442,-13.9762,-0.0171,-0.2677,0.0586,66,1.664,32,8.5475,1.5761,-10.6233,0.0136,-0.022,0.0038,39
