right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.192,3,4.9394,0.8676,-15.6694,-0.0135,-2.1149,-0.326,92,0.012,0,8.1923,0.1831,-7.9422,-0.1908,0.1039,-0.1085,63
0.244,4,3.756,1.0554,-15.6646,-0.0103,-1.8512,-0.2119,92,0.064,1,8.5212,0.169,-8.1234,-0.2787,0.0605,-0.1348,63
0.295,5,2.7247,0.883,-16.1521,0.0705,-1.53,-0.1422,92,0.116,2,8.6383,0.3511,-8.3904,-0.3483,-0.0198,-0.1612,63
0.347,6,1.8789,0.7272,-16.8801,0.1408,-1.1772,-0.1068,92,0.168,3,8.8517,0.2562,-8.7978,-0.3242,-0.0139,-0.1573,63
0.399,7,1.4699,0.9617,-17.5795,0.2189,-0.8634,-0.1067,92,0.219,4,8.9816,0.2126,-8.9442,-0.0999,0.0763,-0.1669,63
0.451,8,1.0404,1.3094,-18.3693,0.2757,-0.619,-0.1597,92,0.271,5,9.068,0.8667,-8.993,0.25,0.2332,-0.1535,63
0.503,9,0.4727,1.076,-18.7808,0.2531,-0.4635,-0.2278,92,0.323,6,8.9194,1.0423,-8.8166,0.314,0.2237,-0.1016,63
0.555,10,0.1079,0.7424,-19.0082,0.0599,-0.3532,-0.1993,92,0.375,7,8.7041,1.3142,-8.5195,0.2991,0.1794,-0.044,63
0.607,11,-0.117,0.9777,-19.1196,-0.0201,-0.2519,-0.1761,92,0.427,8,8.618,1.1737,-8.6928,0.1261,0.1201,-0.0065,63
0.658,12,-0.4002,0.9032,-19.2844,0.0295,-0.1624,-0.2046,92,0.478,9,8.8992,0.8601,-8.8039,-0.1244,0.1127,-0.0112,63
0.71,13,-0.4435,0.7835,-19.4852,0.0031,-0.1217,-0.1738,92,0.53,10,8.876,0.8992,-8.6315,-0.1368,0.1289,-0.03,63
0.762,14,-0.5056,0.6501,-19.5831,-0.0536,-0.1012,-0.1342,92,0.582,11,8.9595,0.8202,-8.5691,-0.0746,0.1309,-0.0376,63
0.814,15,-0.6059,0.4941,-19.5616,-0.0348,-0.0783,-0.1125,92,0.633,12,8.825,1.0694,-8.3869,-0.0626,0.1482,-0.0178,63
0.865,16,-0.6464,0.537,-19.6337,0.0282,-0.0597,-0.0833,92,0.685,13,8.7285,1.0002,-8.1358,-0.1131,0.098,-0.0145,63
0.917,17,-0.7374,0.5546,-19.6973,0.0377,-0.0523,-0.0528,92,0.737,14,8.8136,0.95,-8.2343,-0.1058,0.0604,-0.0412,63
0.969,18,-0.8378,0.57,-19.6755,0.0019,-0.0378,-0.0106,92,0.789,15,8.7516,1.0398,-8.2262,-0.1003,0.0554,-0.0194,63
1.021,19,-0.9278,0.6392,-19.6659,-0.0043,-0.0267,0.0289,92,0.841,16,8.6934,0.9896,-8.0543,-0.1192,0.0226,-0.014,63
1.072,20,-1.0652,0.8228,-19.6248,-0.0651,-0.0294,0.0787,92,0.892,17,8.751,0.9184,-8.1218,-0.1044,-0.019,-0.0161,63
1.124,21,-0.9256,0.9713,-19.6793,-0.0395,-0.0291,0.0886,92,0.944,18,8.7778,0.9572,-8.1388,-0.086,-0.0164,-0.0044,63
1.176,22,-0.7317,0.9939,-19.7833,-0.0456,-0.0125,0.078,92,0.996,19,8.7752,0.9452,-8.1263,-0.0907,-0.0351,-0.0096,63
1.228,23,-0.6872,0.9396,-19.7082,-0.0988,0.0133,0.1119,92,1.048,20,8.794,0.9204,-8.1328,-0.0697,-0.0805,-0.032,63
1.28,24,-0.7586,1.0674,-19.6321,-0.0735,0.0637,0.0995,92,1.1,21,8.8105,1.0246,-8.2568,-0.046,-0.0813,-0.0331,63
1.331,25,-0.9431,1.0853,-19.5345,-0.0123,0.0828,0.036,92,1.151,22,8.825,0.996,-8.264,-0.0281,-0.0758,-0.035,63
1.383,26,-1.0071,1.0477,-19.5378,-0.0126,0.0808,-0.0194,92,1.203,23,8.8623,0.9785,-8.3413,-0.0012,-0.0759,-0.0335,63
1.435,27,-0.8921,1.0234,-19.6598,-0.0211,0.0734,-0.0855,92,1.255,24,8.9538,0.8603,-8.1905,0.2009,-0.0218,-0.014,63
1.487,28,-0.7861,0.7953,-19.7507,-0.0314,0.062,-0.1179,92,1.307,25,8.8646,1.0741,-8.2262,0.1811,-0.0199,-0.0276,63
1.538,29,-0.8021,0.6789,-19.7486,-0.0386,0.0572,-0.0894,92,1.359,26,8.9354,1.0136,-8.3682,0.1469,-0.0213,-0.0151,63
1.59,30,-0.8737,0.9185,-19.7761,0.0348,0.0459,-0.0762,92,1.41,27,8.8775,1.0959,-8.3617,0.1443,-0.0164,0.0085,63
1.642,31,-0.9122,0.9659,-19.7954,0.0611,0.0129,-0.0771,92,1.462,28,8.7953,1.1697,-8.3743,0.1074,-0.0217,0.0305,63
1.694,32,-0.8352,0.9568,-19.7803,-0.0214,-0.0219,-0.0466,92,1.514,29,8.6915,1.2984,-8.292,0.0015,-0.0434,0.0452,63
1.746,33,-0.8049,0.9189,-19.6633,-0.0417,-0.035,-0.045,92,1.566,30,8.8074,0.986,-8.237,-0.1237,-0.0823,0.0253,63
1.797,34,-0.7684,0.8757,-19.5691,0.0155,-0.0239,-0.0603,92,1.617,31,8.9051,0.881,-8.4854,-0.1631,-0.1268,-0.0038,63
1.849,35,-0.7213,0.7938,-19.6092,0.0222,-0.0109,-0.0402,92,1.669,32,8.964,0.7532,-8.6162,-0.0926,-0.0786,-0.0072,63
1.901,36,-0.6068,0.8621,-19.7122,0.0215,-0.0002,-0.006,92,1.721,33,8.9111,0.9847,-8.4682,0.1062,-0.0084,-0.0087,63
1.953,37,-0.5692,0.8836,-19.7226,0.0455,0.0101,0.0202,92,1.773,34,8.8748,1.0481,-8.462,0.1632,0.0214,0.0006,63
2.005,38,-0.5492,0.8675,-19.6891,0.0334,0.0312,0.0583,92,1.825,35,8.8582,1.0996,-8.4614,0.1481,0.0306,0.0058,63
2.057,39,-0.5524,0.82,-19.6662,0.0236,0.0628,0.0927,92,1.876,36,8.9011,1.0447,-8.5017,0.114,0.035,0.0061,63
2.108,40,-0.5809,0.6994,-19.6891,0.0365,0.0866,0.1065,92,1.928,37,8.8557,1.1467,-8.4984,0.0962,0.047,0.0041,63
2.16,41,-0.542,0.6975,-19.7694,0.0503,0.0892,0.1177,92,1.98,38,8.8663,1.1675,-8.4914,0.0316,0.0367,0.0049,63
2.212,42,-0.4662,0.7935,-19.8334,0.0522,0.0783,0.1249,92,2.032,39,8.9166,1.0819,-8.3705,0.0179,0.047,-0.007,63
