right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.672,12,6.7911,1.8913,-15.4973,-0.0532,-1.9216,-0.8344,71,0.133,2,8.7204,2.6769,-8.9152,-0.0368,-0.0696,0.0224,39
0.724,13,5.6807,1.9148,-15.2953,-0.196,-1.7022,-0.6489,71,0.185,3,9.0579,2.3944,-9.0429,-0.183,-0.0734,0.0214,39
0.775,14,4.8043,2.12,-15.305,-0.1857,-1.4416,-0.4555,71,0.237,4,8.8746,2.3307,-9.0871,-0.0822,-0.0629,0.0142,39
0.827,15,4.238,2.415,-15.6787,-0.0669,-1.1771,-0.2834,71,0.289,5,8.7475,2.7337,-9.0695,0.0614,-0.0588,0.0219,39
0.879,16,3.8711,2.5901,-16.1496,-0.0307,-0.9078,-0.1447,71,0.341,6,8.7242,2.625,-9.0955,0.1053,-0.0407,0.0291,39
0.931,17,3.5655,2.8552,-16.5497,0.0109,-0.6549,-0.0499,71,0.392,7,8.5574,2.7544,-9.0532,0.011,-0.0604,0.0286,39
0.983,18,3.2458,2.9296,-17.0386,-0.0312,-0.4412,0.0134,71,0.444,8,8.5301,2.6634,-9.0071,-0.2,-0.0562,0.011,39
1.034,19,3.1806,3.1292,-17.4682,0.0061,-0.2703,0.0734,71,0.496,9,8.5707,2.5756,-8.9919,-0.1353,-0.0647,-0.0041,39
1.086,20,3.0903,3.2497,-17.9722,0.0127,-0.1659,0.1059,71,0.548,10,8.5394,2.6179,-9.0938,-0.1217,-0.0756,-0.007,39
1.138,21,3.1689,3.3971,-18.3311,0.059,-0.1255,0.1015,71,0.6,11,8.6308,2.6511,-9.0616,-0.1071,-0.0827,0.003,39
1.19,22,3.1201,3.4886,-18.4993,0.0632,-0.1135,0.0629,71,0.652,12,8.6213,2.5903,-9.1322,-0.1264,-0.0838,0.0054,39
