right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.116,2,5.4556,1.0007,-16.036,-0.1318,-1.9743,-0.2487,70,0.004,0,8.932,0.8766,-9.743,-0.1704,-0.155,-0.0897,39
0.167,3,4.5571,1.1123,-16.5463,-0.0396,-1.7316,-0.2088,70,0.056,1,8.9252,0.9718,-9.767,-0.106,-0.1148,-0.1252,39
0.219,4,3.9309,1.1936,-17.2433,-0.0913,-1.474,-0.1742,70,0.107,2,8.9375,1.085,-9.7426,0.0105,-0.0874,-0.1379,39
0.271,5,3.3044,1.3976,-17.7999,-0.0756,-1.2805,-0.1534,70,0.159,3,8.9516,1.1215,-9.6669,0.098,-0.0357,-0.1473,39
0.323,6,2.712,1.6815,-18.0137,-0.0633,-1.1042,-0.1348,70,0.211,4,8.9727,1.4783,-9.6698,0.2073,-0.0666,-0.1439,39
0.374,7,2.0249,1.5639,-18.161,-0.0306,-0.9503,-0.1126,70,0.263,5,8.9157,1.6666,-9.7983,0.2761,-0.098,-0.1071,39
0.426,8,1.6261,1.4673,-18.077,0.0669,-0.7824,-0.0659,70,0.314,6,8.9585,1.5635,-9.9417,0.2153,-0.1006,-0.0642,39
0.478,9,1.3176,1.6128,-18.1956,0.0443,-0.559,-0.0014,70,0.366,7,8.8588,1.6932,-9.7865,0.1348,-0.1231,-0.0434,39
0.53,10,1.24,1.4962,-18.4825,0.022,-0.3259,0.062,70,0.418,8,8.7805,1.8326,-9.8796,-0.0561,-0.1546,-0.0268,39
0.582,11,1.1924,1.6456,-18.8497,0.1331,-0.1429,0.1024,70,0.47,9,8.9333,1.4604,-10.0796,-0.0389,-0.1649,-0.049,39
0.633,12,1.0529,1.8098,-19.1248,0.0985,-0.0143,0.1271,70,0.522,10,8.9241,1.4205,-10.3156,0.0328,-0.1408,-0.0582,39
0.685,13,0.9156,1.8402,-19.3468,0.0798,0.0526,0.1412,70,0.573,11,8.8578,1.2594,-10.3423,0.1964,-0.0389,-0.0771,39
0.737,14,0.9031,1.8365,-19.4456,0.1056,0.0681,0.1193,70,0.625,12,8.8773,1.5289,-10.2867,0.3542,-0.0324,-0.0667,39
0.789,15,0.8574,1.7217,-19.5092,0.1107,0.0666,0.1006,70,0.677,13,8.9008,1.6394,-10.4367,0.4277,-0.0254,-0.0412,39
0.841,16,0.8309,1.5803,-19.5475,0.0432,0.0415,0.0831,70,0.729,14,8.8645,1.7899,-10.4044,0.3418,-0.0161,-0.0226,39
0.892,17,0.8622,1.3758,-19.5634,0.0377,0.0095,0.0495,70,0.78,15,8.8384,1.8034,-10.4492,0.2266,-0.0125,-0.0089,39
0.944,18,0.9881,1.2687,-19.4879,0.0124,-0.0305,0.0266,70,0.832,16,8.8112,1.6573,-10.4711,0.1774,0.0038,0.0027,39
0.996,19,0.9966,1.1316,-19.5576,-0.0122,-0.0365,0.0065,70,0.884,17,8.6837,1.7741,-10.5848,-0.0056,-0.0034,0.0047,39
1.048,20,1.1975,1.1034,-19.5656,0.0346,-0.0081,0.0095,70,0.936,18,8.7848,1.826,-10.4934,0.0705,0.0331,-0.009,39
1.1,21,1.3357,1.0698,-19.6185,0.0079,0.0248,0.0463,70,0.988,19,8.7694,1.7738,-10.4303,0.072,0.0689,0.0021,39
1.152,22,1.3793,1.068,-19.6867,0.0381,0.0397,0.0641,70,1.039,20,8.776,1.5796,-10.254,0.068,0.0641,-0.0025,39
1.203,23,1.279,1.0824,-19.6148,0.0247,0.0413,0.0897,70,1.091,21,8.8061,1.4591,-10.2027,0.1404,0.0426,0.006,39
1.255,24,1.2367,1.0635,-19.5776,0.0017,0.0414,0.1289,70,1.143,22,8.8468,1.5118,-10.3687,0.208,0.042,0.0171,39
1.307,25,1.2634,1.0896,-19.6093,0.0063,0.0447,0.1669,70,1.194,23,8.8342,1.7306,-10.3107,0.2334,0.0484,0.0326,39
1.359,26,1.3811,1.1032,-19.7144,0.0383,0.0444,0.1726,70,1.246,24,8.7422,1.8876,-10.2775,0.151,0.0369,0.0268,39
1.41,27,1.3883,1.1315,-19.7048,0.1054,0.0377,0.1333,70,1.298,25,8.8363,1.6045,-10.2722,0.0976,0.0309,0.0389,39
1.462,28,1.2966,1.1858,-19.6285,0.1514,0.0248,0.0885,70,1.35,26,8.8902,1.5802,-10.2522,-0.0192,0.0092,0.041,39
1.514,29,1.2324,1.0786,-19.4863,0.1264,0.0051,0.0495,70,1.402,27,8.6325,2.251,-10.2062,-0.4291,-0.0197,0.0346,39
1.566,30,1.1143,1.0022,-19.4024,0.1132,0.0001,0.0179,70,1.453,28,8.9998,1.1533,-10.1805,-0.3687,-0.0536,0.0215,39
