right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.427,8,1.6518,0.0641,-19.2972,0.101,-0.2546,-0.4272,92,0.072,1,8.7601,0.0074,-11.458,-0.1405,-0.0501,-0.0217,63
0.478,9,1.4162,0.0068,-19.541,0.1382,-0.2371,-0.6056,92,0.124,2,8.8379,0.0878,-11.5142,-0.4621,-0.0654,0.0267,63
0.53,10,1.3724,-0.0233,-19.7234,0.087,-0.2654,-0.7592,92,0.176,3,8.8675,0.0414,-11.6815,-0.3364,-0.0716,-0.0583,63
0.582,11,1.343,-0.3384,-19.764,0.0019,-0.2892,-0.8625,92,0.227,4,8.8643,0.1725,-11.789,-0.262,-0.0411,-0.0683,63
0.634,12,1.2472,-0.7501,-19.6654,-0.0304,-0.2968,-0.883,92,0.279,5,8.8338,0.2359,-11.7754,-0.1954,-0.0006,-0.0439,63
0.686,13,1.0897,-1.0166,-19.5165,-0.0526,-0.2571,-0.8098,92,0.331,6,8.8719,0.2809,-11.672,-0.1811,0.0235,-0.0165,63
0.737,14,0.8698,-1.1598,-19.3809,-0.0344,-0.2198,-0.6697,92,0.383,7,8.8423,0.1868,-11.6499,-0.233,0.0201,0.0082,63
0.789,15,0.8376,-1.1827,-19.3232,0.0019,-0.1628,-0.4681,92,0.435,8,8.8406,0.1421,-11.6452,-0.2361,0.0057,0.014,63
0.841,16,0.8625,-1.1235,-19.3665,0.0319,-0.101,-0.2634,92,0.486,9,8.8424,0.1252,-11.6932,-0.2068,0.0086,0.0104,63
0.893,17,0.9589,-0.9495,-19.474,0.0315,-0.0386,-0.0704,92,0.538,10,8.8582,0.1472,-11.692,-0.1758,0.0133,0.0087,63
0.944,18,0.9565,-0.8028,-19.5553,0.0767,0.0114,0.0536,92,0.59,11,8.8444,0.1712,-11.6753,-0.1837,0.0206,0.004,63
0.996,19,0.8022,-0.4951,-19.58,0.1073,0.0578,0.1432,92,0.642,12,8.8785,0.1682,-11.6444,-0.1796,0.0208,-0.0131,63
1.048,20,0.6587,-0.4063,-19.6493,0.0808,0.0737,0.1661,92,0.693,13,8.857,0.1469,-11.7017,-0.1654,0.0263,-0.0183,63
1.1,21,0.6806,-0.4156,-19.7195,0.0308,0.0517,0.1514,92,0.745,14,8.8173,0.0702,-11.7245,-0.1301,0.0546,-0.0344,63
1.152,22,0.8891,-0.5971,-19.7237,0.0189,0.0272,0.1296,92,0.797,15,8.8619,0.2016,-11.718,-0.0359,0.0872,-0.023,63
1.204,23,1.022,-0.604,-19.6222,0.0181,0.0377,0.1249,92,0.849,16,8.9042,0.1442,-11.6118,0.0293,0.1145,-0.0107,63
1.255,24,1.027,-0.5899,-19.5942,0.0223,0.0579,0.1259,92,0.901,17,8.7474,-0.1754,-11.7581,0.1249,0.1407,-0.0144,63
1.307,25,0.8958,-0.5995,-19.6481,0.0184,0.0601,0.1272,92,0.952,18,8.7367,-0.2727,-11.6127,0.135,0.1645,0.0002,63
1.359,26,0.85,-0.5922,-19.7432,0.0286,0.0484,0.1052,92,1.004,19,8.6649,-0.1458,-11.503,0.1149,0.1824,0.0046,63
1.411,27,0.8654,-0.6241,-19.7518,0.0066,0.0251,0.0839,92,1.056,20,8.73,-0.3156,-11.4491,0.2371,0.1489,-0.0448,63
