right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.458,8,9.2158,-2.8453,-9.7476,-0.1204,0.1157,0.0808,70,0.04,0,9.0279,-0.3141,-12.1381,0.2547,0.0045,0.0538,39
0.51,9,9.0507,-2.9857,-9.5433,-0.0951,0.0869,0.0488,70,0.092,1,9.3117,-0.2183,-12.3294,0.3424,-0.0062,0.2162,39
0.562,10,9.1524,-2.8349,-9.5433,-0.0846,0.0336,0.04,70,0.144,2,11.2883,-1.5914,-13.3846,0.5889,-0.2674,0.7746,39
0.614,11,9.184,-2.8749,-9.6554,-0.1165,0.0335,0.0395,70,0.196,3,11.6914,-2.2416,-13.8128,0.4617,-0.598,1.2457,39
0.665,12,9.0566,-3.0334,-9.6418,-0.1199,0.0236,0.0411,70,0.248,4,10.9859,-2.6986,-13.9155,0.2996,-0.8907,1.5895,39
0.717,13,9.0971,-2.9947,-9.6349,-0.1028,0.0054,0.0349,70,0.3,5,9.5767,-3.2367,-13.499,0.2919,-1.0751,1.8404,39
0.769,14,9.0832,-3.0048,-9.6327,-0.113,-0.0044,0.0282,70,0.351,6,7.9379,-3.553,-13.4082,0.1198,-1.1749,2.0209,39
0.821,15,9.1072,-3.0269,-9.5893,-0.0662,-0.0369,0.0199,70,0.403,7,6.3757,-4.3163,-13.887,-0.0317,-1.3178,2.0665,39
0.872,16,9.1151,-3.0226,-9.6663,-0.0347,-0.0638,0.0177,70,0.455,8,5.2959,-5.1809,-14.2571,0.1032,-1.3692,1.9515,39
0.924,17,9.1375,-3.0788,-9.7024,-0.0478,-0.0686,0.0103,70,0.507,9,4.4212,-4.4966,-13.3631,0.2774,-1.2829,1.7384,39
