right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.744,14,8.8609,-3.6289,-10.9315,-0.3853,-0.0338,0.1143,93,0.128,2,7.9076,-1.6751,-14.041,-0.195,-1.7061,-0.1902,63
0.795,15,8.6472,-3.7521,-11.0215,-0.3695,0.0099,0.0662,93,0.18,3,7.5324,-1.6721,-14.36,-0.1733,-1.52,-0.2052,63
0.847,16,8.5113,-3.8847,-11.1369,-0.2357,-0.0247,-0.0788,93,0.231,4,6.9639,-1.4326,-14.4719,-0.1232,-1.2692,-0.2195,63
0.899,17,8.804,-3.5719,-11.0421,-0.168,-0.0775,-0.0837,93,0.283,5,6.423,-1.1347,-14.5748,-0.0885,-0.9092,-0.3,63
0.951,18,8.8475,-3.5303,-11.0697,-0.1361,-0.0788,-0.107,93,0.335,6,6.2151,-1.0441,-15.0227,0.1494,-0.505,-0.367,63
1.003,19,8.8514,-3.4558,-10.9786,-0.0685,-0.1192,-0.1832,93,0.387,7,6.4172,-0.9214,-15.6195,0.3512,-0.194,-0.387,63
1.055,20,8.9252,-3.3339,-11.0248,-0.0097,-0.1432,-0.2019,93,0.438,8,6.6388,-0.8529,-16.1951,0.3288,-0.0559,-0.3993,63
1.106,21,8.9535,-3.3034,-11.1091,0.0133,-0.1442,-0.1904,93,0.49,9,6.6585,-0.7241,-16.5096,0.3651,-0.0636,-0.397,63
1.158,22,8.9894,-3.1435,-11.2039,0.0823,-0.1426,-0.2426,93,0.542,10,6.5571,-0.6749,-16.6207,0.3109,-0.1075,-0.3691,63
1.21,23,9.0269,-3.0866,-11.2429,0.1236,-0.1191,-0.2635,93,0.594,11,6.3539,-0.748,-16.5849,0.284,-0.1202,-0.3095,63
1.262,24,9.0269,-3.0006,-11.2693,0.1135,-0.1406,-0.2962,93,0.646,12,6.3019,-0.5431,-16.8775,0.1567,-0.1509,-0.2517,63
1.313,25,9.0992,-2.8022,-11.3761,0.094,-0.1331,-0.2686,93,0.697,13,6.1139,-0.3754,-16.949,0.0351,-0.1997,-0.193,63
1.365,26,9.1161,-2.7152,-11.4242,0.088,-0.0972,-0.2017,93,0.749,14,5.9018,-0.3259,-16.8647,-0.0099,-0.2005,-0.1586,63
1.417,27,9.1331,-2.6422,-11.4507,0.075,-0.0801,-0.1508,93,0.801,15,5.765,-0.333,-16.7831,-0.0139,-0.153,-0.1463,63
1.469,28,9.1521,-2.5955,-11.4788,0.057,-0.0671,-0.1156,93,0.853,16,5.8134,-0.3223,-16.8547,0.0103,-0.0854,-0.1364,63
1.521,29,9.1234,-2.5863,-11.4034,-0.0189,-0.1123,-0.1625,93,0.905,17,5.8938,-0.2115,-16.953,-0.0108,-0.0607,-0.1248,63
1.572,30,9.1728,-2.4693,-11.5078,-0.0582,-0.1685,-0.2027,93,0.957,18,5.9732,-0.2123,-16.8284,-0.0069,-0.0477,-0.1248,63
1.624,31,9.244,-2.3224,-11.6431,-0.088,-0.235,-0.2517,93,1.008,19,6.116,-0.1697,-16.7417,0.0312,-0.0286,-0.1445,63
1.676,32,9.2135,-2.1802,-11.7842,-0.0845,-0.2572,-0.2541,93,1.06,20,6.1538,-0.0903,-16.6666,0.0373,0.0078,-0.1648,63
1.728,33,9.152,-1.9559,-11.8949,-0.0701,-0.2147,-0.1847,93,1.112,21,6.0616,-0.1477,-16.5859,0.08,0.0796,-0.1936,63
1.779,34,9.1675,-1.9163,-11.9618,-0.0525,-0.1765,-0.1318,93,1.164,22,5.807,-0.1677,-16.6591,0.3104,0.1123,-0.157,63
1.831,35,9.16,-1.9055,-12.0805,-0.0448,-0.1388,-0.0702,93,1.215,23,5.7292,-0.191,-16.4195,0.2435,0.0997,-0.0796,63
1.883,36,9.1616,-1.9306,-12.1839,-0.0134,-0.1201,-0.0296,93,1.267,24,5.9269,-0.0834,-16.5014,0.3692,0.1523,0.0057,63
1.935,37,9.1597,-1.9161,-12.235,0.0109,-0.0794,0.0098,93,1.319,25,6.1938,-0.0814,-16.7366,0.323,0.1729,0.0742,63
1.987,38,9.195,-1.8876,-12.2314,0.0233,-0.0412,0.0553,93,1.371,26,6.2575,-0.1607,-16.8277,0.1539,0.1326,0.133,63
2.039,39,9.1333,-2.0481,-12.2628,0.0276,0.0068,0.1543,93,1.423,27,6.0993,-0.2355,-16.6962,0.0777,0.1034,0.1648,63
2.09,40,9.1018,-2.142,-12.2543,0.033,0.0456,0.1768,93,1.474,28,5.9835,-0.3279,-16.4977,0.0502,0.1407,0.1735,63
2.142,41,9.0831,-2.2343,-12.2004,0.0337,0.0648,0.1654,93,1.526,29,6.1912,-0.3452,-16.674,-0.0003,0.1956,0.1871,63
2.194,42,9.0685,-2.303,-12.177,0.0289,0.0522,0.1264,93,1.578,30,6.3898,-0.3309,-16.8439,-0.1095,0.1707,0.1773,63
2.246,43,9.0474,-2.2287,-12.0966,0.0231,0.0475,0.1033,93,1.63,31,6.5217,-0.0631,-16.8505,-0.1448,0.0908,0.1187,63
2.297,44,9.1497,-2.1694,-11.9828,-0.0995,0.1023,0.1676,93,1.681,32,6.3654,-0.2081,-16.7108,0.0388,0.0568,-0.0096,63
2.349,45,9.1392,-2.2901,-12.0026,-0.1763,0.1483,0.2081,93,1.733,33,6.2527,-0.5441,-16.6537,0.2458,0.034,-0.1082,63
2.401,46,9.1823,-2.2722,-11.9236,-0.16,0.1432,0.1861,93,1.785,34,6.3567,-0.7308,-16.5213,0.3756,0.0272,-0.1674,63
2.453,47,9.0979,-2.4515,-11.9228,-0.1116,0.1478,0.1443,93,1.837,35,6.48,-0.947,-16.4123,0.3283,0.0316,-0.2031,63
2.505,48,9.0398,-2.5634,-11.8943,-0.0609,0.1058,0.0556,93,1.889,36,6.4419,-1.1704,-16.4651,0.1874,0.0148,-0.1874,63
2.557,49,9.0478,-2.5763,-11.8583,-0.0021,0.0376,-0.0035,93,1.94,37,6.4351,-0.9628,-16.408,0.0614,-0.0321,-0.1184,63
2.608,50,9.0687,-2.5625,-11.8622,0.0383,0.0014,-0.0491,93,1.992,38,6.3718,-0.8804,-16.4329,0.0163,-0.0324,-0.0683,63
2.66,51,9.1001,-2.5286,-11.8512,0.0612,0.0078,-0.0338,93,2.044,39,6.3201,-1.0214,-16.4867,-0.0371,-0.0221,-0.0319,63
2.712,52,9.0962,-2.5416,-11.844,0.0292,0.0237,0.0075,93,2.096,40,6.3336,-1.0339,-16.5787,-0.1312,-0.0357,0.0139,63
2.764,53,9.1128,-2.5552,-11.8372,-0.0185,0.0251,0.0332,93,2.148,41,6.4125,-0.7582,-16.8933,-0.2831,-0.1087,0.0542,63
2.815,54,9.089,-2.5738,-11.8342,-0.0494,0.0364,0.0622,93,2.199,42,6.4487,-0.418,-17.2762,-0.4007,-0.2582,0.0501,63
2.867,55,9.0616,-2.6048,-11.8463,-0.0379,0.0395,0.0735,93,2.251,43,6.368,-0.2515,-17.5947,-0.3822,-0.469,0.0255,63
2.919,56,9.0775,-2.6364,-11.8577,-0.0172,0.0486,0.0796,93,2.303,44,6.0694,-0.2211,-17.6767,-0.4241,-0.6945,0.0025,63
2.971,57,9.0865,-2.6862,-11.8309,-0.018,0.072,0.0966,93,2.355,45,5.6209,-0.1301,-17.5861,-0.3845,-0.8459,-0.0157,63
3.023,58,9.1365,-2.7242,-11.8104,-0.0179,0.101,0.1177,93,2.407,46,5.2475,0.0126,-17.5678,-0.3297,-0.9038,-0.0195,63
3.075,59,9.1403,-2.8069,-11.7802,-0.0388,0.1386,0.1445,93,2.458,47,4.8773,0.0652,-17.5974,-0.2473,-0.8676,-0.0218,63
3.126,60,9.0951,-2.886,-11.7096,-0.0302,0.1541,0.1441,93,2.51,48,4.5781,0.0524,-17.6685,-0.1722,-0.7846,-0.0327,63
3.178,61,8.9863,-3.0561,-11.6852,0.0087,0.147,0.0888,93,2.562,49,4.2749,0.1348,-17.7364,-0.1118,-0.687,-0.0413,63
3.23,62,9.0952,-2.9138,-11.5515,0.0927,0.0674,-0.037,93,2.614,50,3.974,0.1854,-17.8068,-0.0649,-0.5625,-0.0476,63
3.282,63,9.0836,-2.9503,-11.4811,0.0968,0.0348,-0.0114,93,2.665,51,3.6979,0.3153,-17.9546,-0.0225,-0.4394,-0.0609,63
3.333,64,9.0843,-2.9532,-11.4621,0.0776,0.0524,0.0063,93,2.717,52,3.5573,0.5025,-18.1975,-0.0003,-0.3097,-0.0883,63
3.385,65,9.0511,-2.9777,-11.4041,0.0437,0.0935,0.0402,93,2.769,53,3.4658,0.4882,-18.4274,-0.0485,-0.2113,-0.1238,63
3.437,66,9.0293,-3.0128,-11.3457,0.0322,0.0661,0.0431,93,2.821,54,3.4136,0.2575,-18.625,-0.0366,-0.1694,-0.1502,63
3.489,67,9.0148,-3.0463,-11.3019,0.0309,0.0442,0.0445,93,2.873,55,3.3102,0.1019,-18.7391,0.0198,-0.1627,-0.1399,63
3.541,68,9.032,-3.0651,-11.2729,0.0273,0.029,0.047,93,2.924,56,3.2437,0.0359,-18.918,0.0697,-0.1809,-0.0793,63
3.592,69,9.0221,-3.1206,-11.2532,0.0285,0.0307,0.0489,93,2.976,57,3.1238,0.0584,-19.037,0.0969,-0.2218,-0.0016,63
3.644,70,9.0167,-3.1357,-11.2436,0.0255,0.0273,0.0339,93,3.028,58,2.9972,0.1152,-19.1072,0.1235,-0.2685,0.0696,63
3.696,71,9.0127,-3.1442,-11.2173,0.022,0.0178,0.0214,93,3.079,59,2.9027,0.1882,-19.2042,0.1377,-0.3214,0.1045,63
3.748,72,9.1026,-3.0889,-11.1322,0.0033,0.0363,0.0333,93,3.131,60,3.1294,0.4246,-19.8532,0.0843,-0.4051,0.0957,63
3.8,73,9.1159,-3.0945,-11.1455,-0.0369,0.0619,0.0532,93,3.183,61,3.0425,0.7986,-20.572,0.1886,-0.698,-0.0086,63
3.851,74,9.0305,-3.183,-11.1358,-0.0732,0.1096,0.0994,93,3.235,62,2.4089,0.5949,-20.0497,0.1931,-1.0199,-0.1919,63
3.903,75,8.8591,-3.343,-11.1182,-0.04,0.1068,0.072,93,3.287,63,1.7122,0.1959,-19.2151,0.1572,-1.1478,-0.3733,63
3.955,76,8.7319,-3.4605,-11.0586,0.0379,0.0027,-0.0677,93,3.338,64,1.0608,-0.0712,-18.4338,0.0899,-1.066,-0.4672,63
4.007,77,8.9101,-3.3562,-10.9853,0.1183,-0.1442,-0.1939,93,3.39,65,0.4737,0.1147,-17.8171,-0.0657,-0.7447,-0.4068,63
4.059,78,9.0436,-3.1765,-11.1258,0.0658,-0.1756,-0.2342,93,3.442,66,0.2883,0.2341,-17.6737,-0.2131,-0.2542,-0.2512,63
4.11,79,9.1066,-2.9972,-11.2095,-0.0046,-0.1149,-0.191,93,3.494,67,0.5378,0.095,-18.4304,-0.3136,0.2004,-0.0715,63
4.162,80,9.0647,-2.9612,-11.3052,-0.0474,-0.0897,-0.1824,93,3.545,68,0.5854,-0.0141,-19.2362,-0.3831,0.4112,0.0617,63
4.214,81,9.0901,-2.8721,-11.3524,-0.034,-0.0657,-0.2032,93,3.597,69,0.605,0.1073,-19.6678,-0.3297,0.4156,0.1568,63
4.266,82,9.1334,-2.7494,-11.3748,0.0668,-0.0875,-0.2947,93,3.649,70,0.6781,0.1925,-19.7977,-0.2491,0.3315,0.1965,63
4.317,83,9.0127,-2.6493,-11.326,0.0751,-0.1868,-0.3902,93,3.701,71,0.7227,0.3791,-19.6654,-0.1339,0.229,0.2267,63
