right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.778,15,9.1165,-3.6821,-10.2122,-0.0209,0.0363,0.029,95,0.265,5,4.4568,7.1371,-12.7864,0.8525,-0.0906,-0.1779,63
0.83,16,9.1061,-3.6035,-10.2085,-0.0241,0.0516,0.014,95,0.317,6,4.1887,7.5046,-13.1536,1.2263,-0.1851,-0.2335,63
0.882,17,9.1942,-3.1165,-9.9983,-0.0869,0.0923,0.0212,95,0.369,7,4.107,7.3787,-13.217,1.0363,-0.3936,-0.3141,63
0.933,18,9.0818,-3.4722,-10.1102,-0.0205,0.0427,-0.0204,95,0.42,8,4.4852,6.8082,-13.9836,0.6347,-0.6492,-0.3675,63
0.985,19,9.2745,-3.9205,-10.3663,0.4901,-0.0607,-0.0414,95,0.472,9,3.9154,7.031,-14.1589,0.1923,-0.6863,-0.2036,63
1.037,20,9.0516,-4.539,-10.2675,-0.1456,0.0325,0.0198,95,0.524,10,3.6194,7.1661,-13.9296,0.0603,-0.5939,-0.2404,63
1.089,21,9.2335,-3.6188,-10.3828,0.087,-0.066,0.0075,95,0.575,11,3.4417,7.5207,-14.1329,0.1056,-0.408,-0.314,63
1.141,22,9.4001,-3.468,-10.484,0.1626,-0.0842,0.0116,95,0.627,12,3.2635,7.463,-14.3541,0.1463,-0.2531,-0.3226,63
1.192,23,9.139,-3.8105,-10.3263,0.182,-0.1072,0.0088,95,0.679,13,3.103,7.4481,-14.7787,0.192,-0.2362,-0.358,63
1.244,24,9.0204,-3.7731,-10.3665,0.1184,-0.1115,0.0422,95,0.731,14,2.7474,7.8393,-15.0188,0.2933,-0.359,-0.5536,63
